Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,38.860001,38.860001,38.439999,38.849998,2271200,37.781919
2016-01-05,38.790001,38.849998,38.57,38.810001,1045500,37.743021
2016-01-06,38.049999,38.23,37.91,38.09,894500,37.042814
2016-01-07,37.32,37.709999,37.200001,37.23,1906300,36.206457
2016-01-08,37.439999,37.529999,36.77,36.84,1841500,35.82718
2016-01-11,37.209999,37.209999,36.549999,36.869999,2910200,35.856354
2016-01-12,37.209999,37.25,36.73,37.060001,2193700,36.041133
2016-01-13,37.41,37.41,36.41,36.5,1368100,35.496527
2016-01-14,36.580002,37.119999,36.34,36.959999,2739400,35.94388
2016-01-15,35.799999,35.950001,35.389999,35.650002,1944700,34.669897
2016-01-19,36.259998,36.279999,35.709999,35.970001,2969600,34.981099
2016-01-20,35.18,35.419998,34.470001,35.189999,2929900,34.222541
2016-01-21,35.209999,35.709999,34.860001,35.459999,5989000,34.485118
2016-01-22,36.32,36.57,36.279999,36.540001,1820900,35.535428
2016-01-25,36.189999,36.369999,35.970001,35.990002,1866900,35.00055
2016-01-26,36.209999,36.66,36.16,36.639999,912500,35.632678
2016-01-27,36.549999,36.970001,36.279999,36.439999,1037500,35.438175
2016-01-28,36.82,36.91,36.34,36.630001,2202800,35.622954
2016-01-29,36.880001,37.43,36.880001,37.41,1628400,36.381509
2016-02-01,37.009998,37.41,36.91,37.279999,1540600,36.255082
2016-02-02,36.720001,36.720001,36.27,36.369999,2965700,35.3701
2016-02-03,36.619999,36.830002,35.959999,36.810001,2039300,35.798006
2016-02-04,36.810001,37.16,36.709999,36.939999,1230800,35.924429
2016-02-05,36.810001,36.849998,36.330002,36.470001,1885900,35.467353
2016-02-08,35.900002,35.900002,35.459999,35.790001,2084200,34.806048
2016-02-09,35.18,35.560001,35.060001,35.330002,4285100,34.358695
2016-02-10,35.580002,35.830002,35.32,35.360001,2032900,34.387869
2016-02-11,34.82,35.009998,34.540001,34.869999,1648800,33.911339
2016-02-12,34.950001,35.439999,34.869999,35.419998,1403700,34.446217
2016-02-16,36.02,36.18,35.799999,36.16,1961700,35.165875
2016-02-17,36.470001,36.889999,36.459999,36.830002,967200,35.817457
2016-02-18,37.029999,37.029999,36.669998,36.709999,831500,35.700753
2016-02-19,36.459999,36.639999,36.299999,36.59,492200,35.584053
2016-02-22,36.93,37.110001,36.93,37.080002,751000,36.060583
2016-02-23,36.790001,36.869999,36.439999,36.439999,452300,35.438175
2016-02-24,35.889999,36.450001,35.709999,36.400002,788800,35.399278
2016-02-25,36.48,36.779999,36.349998,36.779999,1028600,35.768828
2016-02-26,36.98,37.0,36.580002,36.639999,1415700,35.632678
2016-02-29,36.650002,36.849998,36.490002,36.490002,1084500,35.486804
2016-03-01,37.169998,37.57,37.029999,37.549999,569700,36.517659
2016-03-02,37.490002,37.849998,37.439999,37.849998,1435500,36.809411
2016-03-03,37.889999,38.259998,37.889999,38.240002,859700,37.188692
2016-03-04,38.459999,38.82,38.459999,38.630001,817500,37.567969
2016-03-07,38.27,38.77,38.23,38.630001,1086300,37.567969
2016-03-08,38.369999,38.400002,38.130001,38.189999,848800,37.140064
2016-03-09,38.360001,38.509998,38.290001,38.389999,626600,37.334566
2016-03-10,38.68,38.869999,38.009998,38.34,1205300,37.285941
2016-03-11,38.990002,39.310001,38.98,39.299999,1025400,38.219548
2016-03-14,39.18,39.279999,39.080002,39.189999,577100,38.112571
2016-03-15,38.73,38.740002,38.580002,38.720001,658200,37.655495
2016-03-16,38.450001,39.240002,38.450001,39.209999,481900,38.132022
2016-03-17,39.290001,39.73,39.18,39.669998,561500,38.579375
2016-03-18,39.599998,39.75,39.549999,39.59,1617100,38.501576
2016-03-21,39.529999,39.639999,39.439999,39.57,651900,38.482125
2016-03-22,39.240002,39.57,39.23,39.48,571000,38.394599
2016-03-23,39.349998,39.349998,38.970001,38.990002,540300,37.918073
2016-03-24,38.59,38.790001,38.470001,38.790001,770300,37.723571
2016-03-28,38.98,39.02,38.84,39.0,675700,37.927796
2016-03-29,38.799999,39.450001,38.73,39.439999,602200,38.355698
2016-03-30,39.790001,40.029999,39.75,39.799999,1288000,38.705802
2016-03-31,39.669998,39.779999,39.470001,39.48,999500,38.394599
2016-04-01,38.709999,39.18,38.639999,39.150002,461100,38.073674
2016-04-04,39.189999,39.240002,38.93,38.970001,331600,37.898622
2016-04-05,38.330002,38.369999,38.189999,38.220001,384900,37.169242
2016-04-06,38.290001,38.810001,38.25,38.779999,487800,37.713843
2016-04-07,38.459999,38.549999,38.119999,38.220001,602000,37.169242
2016-04-08,38.959999,39.099998,38.849998,38.970001,898900,37.898622
2016-04-11,39.259998,39.439999,39.060001,39.060001,356200,37.986148
2016-04-12,39.400002,39.779999,39.169998,39.700001,706100,38.608552
2016-04-13,40.27,40.380001,40.16,40.330002,361300,39.221233
2016-04-14,40.450001,40.459999,40.310001,40.360001,422200,39.250407
2016-04-15,40.310001,40.380001,40.240002,40.25,272200,39.143431
2016-04-18,40.18,40.59,40.09,40.560001,418900,39.444909
2016-04-19,41.130001,41.290001,41.049999,41.240002,248400,40.106215
2016-04-20,41.139999,41.400002,41.07,41.200001,418500,40.067314
2016-04-21,41.16,41.220001,40.869999,40.959999,830100,39.83391
2016-04-22,40.950001,41.07,40.790001,40.93,960100,39.804736
2016-04-25,40.73,40.759998,40.599998,40.720001,505100,39.60051
2016-04-26,40.900002,40.939999,40.77,40.900002,347000,39.775562
2016-04-27,40.759998,41.040001,40.720001,40.990002,341900,39.863088
2016-04-28,40.509998,40.880001,40.470001,40.599998,4010500,39.483807
2016-04-29,40.599998,40.669998,40.310001,40.48,1219900,39.367107
2016-05-02,40.720001,40.779999,40.57,40.740002,1244000,39.619961
2016-05-03,40.189999,40.240002,39.889999,39.919998,708200,38.822501
2016-05-04,39.619999,39.669998,39.360001,39.459999,509200,38.375149
2016-05-05,39.540001,39.610001,39.27,39.41,628900,38.326524
2016-05-06,39.209999,39.52,39.18,39.470001,616600,38.384876
2016-05-09,39.5,39.560001,39.240002,39.290001,325600,38.209824
2016-05-10,39.57,39.91,39.57,39.900002,344100,38.803055
2016-05-11,39.68,39.869999,39.630001,39.630001,435000,38.540477
2016-05-12,39.970001,39.98,39.439999,39.619999,386100,38.53075
2016-05-13,39.27,39.439999,39.040001,39.099998,374900,38.025046
2016-05-16,39.259998,39.630001,39.259998,39.599998,421400,38.511299
2016-05-17,39.540001,39.650002,39.279999,39.330002,377600,38.248726
2016-05-18,39.27,39.669998,39.110001,39.23,784500,38.151473
2016-05-19,39.0,39.049999,38.799999,38.970001,767900,37.898622
2016-05-20,39.25,39.360001,39.200001,39.27,967600,38.190374
2016-05-23,39.150002,39.25,39.099998,39.169998,460900,38.093121
2016-05-24,39.419998,39.720001,39.349998,39.669998,502300,38.579375
2016-05-25,39.889999,40.150002,39.889999,40.080002,1125100,38.978106
