Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,19.9,19.9,19.9,19.9,0,19.724412
2016-01-05,19.5,19.5,19.5,19.5,50100,19.327941
2016-01-06,19.5,19.5,19.5,19.5,0,19.327941
2016-01-07,19.530001,19.530001,19.530001,19.530001,200,19.357677
2016-01-08,19.52,19.52,19.52,19.52,1000,19.347765
2016-01-11,19.299999,19.299999,19.281,19.290001,1600,19.119795
2016-01-12,19.280001,19.280001,19.280001,19.280001,100,19.109883
2016-01-13,19.379999,19.42,19.379999,19.4,500,19.228823
2016-01-14,19.4,19.4,19.4,19.4,0,19.228823
2016-01-15,19.4,19.4,19.4,19.4,0,19.228823
2016-01-19,19.530001,19.549999,19.530001,19.549999,1300,19.3775
2016-01-20,19.549999,19.549999,19.549999,19.549999,0,19.3775
2016-01-21,19.726,19.726,19.719999,19.719999,2100,19.546
2016-01-22,19.59,19.59,19.59,19.59,8700,19.417148
2016-01-25,19.629999,19.74,19.629999,19.74,1200,19.565824
2016-01-26,19.85,19.85,19.49,19.49,500,19.318029
2016-01-27,19.49,19.49,19.49,19.49,0,19.318029
2016-01-28,19.280001,19.280001,19.106001,19.110001,5200,18.941383
2016-01-29,19.27,19.309999,19.219999,19.309999,3900,19.139617
2016-02-01,19.33,19.33,19.33,19.33,900,19.159441
2016-02-02,19.360001,19.360001,19.360001,19.360001,100,19.189177
2016-02-03,19.27,19.27,19.27,19.27,300,19.099971
2016-02-04,19.52,19.52,19.08,19.08,13800,18.911647
2016-02-05,18.950001,18.950001,18.9,18.9,2700,18.733235
2016-02-08,18.790001,18.83,18.790001,18.83,9900,18.663853
2016-02-09,18.92,18.98,18.92,18.98,3800,18.812529
2016-02-10,18.98,18.98,18.98,18.98,0,18.812529
2016-02-11,18.959999,18.959999,18.927,18.934999,2700,18.767926
2016-02-12,19.09,19.136,19.09,19.129999,2400,18.961205
2016-02-16,19.309999,19.309999,19.110001,19.129999,3100,18.961205
2016-02-17,19.209999,19.25,19.209999,19.25,3100,19.080147
2016-02-18,19.25,19.25,19.25,19.25,200,19.080147
2016-02-19,19.26,19.26,19.26,19.26,100,19.090059
2016-02-22,19.27,19.27,19.222,19.222,600,19.052395
2016-02-23,19.24,19.24,19.24,19.24,200,19.070235
2016-02-24,18.77,19.219999,18.77,19.200001,3400,19.030589
2016-02-25,19.049999,19.049999,19.038,19.038,1400,18.870018
2016-02-26,19.202,19.202,19.202,19.202,300,19.032571
2016-02-29,19.23,19.23,19.212,19.212,1700,19.042483
2016-03-01,19.290001,19.290001,19.290001,19.290001,100,19.119795
2016-03-02,19.290001,19.290001,19.290001,19.290001,1300,19.119795
2016-03-03,19.16,19.16,19.155001,19.155001,12100,18.985986
