Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,18.690001,18.843,18.66,18.799999,3900,18.799999
2016-01-05,18.85,18.879999,18.85,18.879999,900,18.879999
2016-01-06,18.860001,18.860001,18.49,18.51,400,18.51
2016-01-07,18.290001,18.290001,18.1,18.190001,1300,18.190001
2016-01-08,17.57,17.57,17.57,17.57,100,17.57
2016-01-11,17.75,17.75,17.051001,17.051001,1300,17.051001
2016-01-12,17.450001,17.450001,17.136,17.17,1100,17.17
2016-01-13,17.290001,17.370001,16.780001,16.82,1500,16.82
2016-01-14,16.735001,16.735001,16.735001,16.735001,400,16.735001
2016-01-15,16.73,16.73,16.299999,16.299999,1300,16.299999
2016-01-19,16.75,16.75,16.455,16.455,400,16.455
2016-01-20,15.83,16.01,15.83,16.0,16500,16.0
2016-01-21,16.23,16.389999,16.17,16.389999,700,16.389999
2016-01-22,16.559999,16.559999,16.559999,16.559999,100,16.559999
2016-01-25,16.264999,16.264999,16.264999,16.264999,100,16.264999
2016-01-26,16.118,16.120001,16.118,16.120001,600,16.120001
2016-01-27,16.379999,16.379999,16.25,16.25,200,16.25
2016-01-28,15.89,15.909,15.83,15.83,600,15.83
2016-01-29,15.94,16.075001,15.94,16.075001,400,16.075001
2016-02-01,16.030001,16.030001,16.030001,16.030001,100,16.030001
2016-02-02,16.1,16.1,15.809,15.809,1000,15.809
2016-02-03,15.79,15.79,15.79,15.79,100,15.79
2016-02-04,16.07,16.07,16.07,16.07,200,16.07
2016-02-05,15.52,15.52,15.22,15.22,500,15.22
2016-02-08,15.2,15.2,14.62,14.62,1400,14.62
2016-02-09,14.736,14.74,14.35,14.48,2500,14.48
2016-02-10,14.78,14.78,14.78,14.78,200,14.78
2016-02-11,14.52,14.52,14.516,14.516,1000,14.516
2016-02-12,14.85,14.85,14.609,14.789,1500,14.789
2016-02-16,15.09,15.09,15.08,15.08,400,15.08
2016-02-17,15.756,15.78,15.756,15.78,300,15.78
2016-02-18,15.84,15.84,15.79,15.81,2400,15.81
2016-02-19,15.92,15.92,15.87,15.92,4400,15.92
2016-02-22,16.200001,16.26,16.200001,16.26,800,16.26
2016-02-23,16.247999,16.247999,16.247999,16.247999,200,16.247999
2016-02-24,16.099001,16.15,16.099001,16.15,600,16.15
2016-02-25,16.23,16.23,16.209999,16.23,1000,16.23
2016-02-26,16.559999,16.559999,16.559999,16.559999,200,16.559999
2016-02-29,16.74,16.83,16.690001,16.809999,700,16.809999
2016-03-01,17.1,17.1,17.1,17.1,600,17.1
2016-03-02,17.200001,17.372,17.200001,17.33,1100,17.33
2016-03-03,17.549999,17.766001,17.549999,17.766001,700,17.766001
2016-03-04,17.969999,18.360001,17.969999,18.360001,400,18.360001
2016-03-07,18.110001,18.110001,18.110001,18.110001,100,18.110001
2016-03-08,17.905001,17.905001,17.905001,17.905001,600,17.905001
2016-03-09,17.860001,17.860001,17.85,17.85,700,17.85
2016-03-10,17.52,17.610001,17.52,17.610001,1500,17.610001
2016-03-11,17.719999,17.719999,17.719999,17.719999,200,17.719999
2016-03-14,18.17,18.17,18.110001,18.110001,200,18.110001
2016-03-15,17.780001,17.780001,17.68,17.709999,1400,17.709999
2016-03-16,17.805,18.02,17.805,18.02,400,18.02
2016-03-17,18.23,18.25,18.23,18.25,2800,18.25
2016-03-18,18.450001,18.52,18.450001,18.51,900,18.51
2016-03-21,18.610001,18.610001,18.610001,18.610001,100,18.610001
2016-03-22,18.58,18.684,18.58,18.684,1200,18.684
2016-03-23,18.379999,18.379999,18.379999,18.379999,100,18.379999
2016-03-24,17.98,18.24,17.98,18.209999,2200,18.209999
2016-03-28,18.440001,18.440001,18.32,18.32,500,18.32
2016-03-29,18.43,18.83,18.32,18.83,700,18.83
2016-03-30,18.99,18.99,18.884001,18.9,1400,18.9
2016-03-31,18.98,18.98,18.9,18.955,300,18.955
2016-04-01,18.809999,18.809999,18.809999,18.809999,100,18.809999
2016-04-04,19.040001,19.1,19.040001,19.087,1300,19.087
2016-04-05,19.087,19.087,19.087,19.087,0,19.087
2016-04-06,18.959999,19.120001,18.959999,19.120001,900,19.120001
2016-04-07,19.190001,19.190001,19.190001,19.190001,300,19.190001
2016-04-08,19.190001,19.190001,19.190001,19.190001,0,19.190001
2016-04-11,19.49,19.49,19.056,19.056,1400,19.056
2016-04-12,18.93,19.030001,18.91,18.99,3900,18.99
2016-04-13,18.99,18.99,18.99,18.99,0,18.99
2016-04-14,19.67,19.813999,19.67,19.700001,3000,19.700001
2016-04-15,19.639999,19.639999,19.639999,19.639999,300,19.639999
2016-04-18,19.35,19.48,19.34,19.43,19400,19.43
2016-04-19,19.48,19.559999,19.27,19.41,2300,19.41
2016-04-20,19.25,19.25,19.25,19.25,300,19.25
2016-04-21,19.612,19.74,19.612,19.700001,400,19.700001
2016-04-22,19.74,19.74,19.530001,19.57,1500,19.57
2016-04-25,19.41,19.41,19.360001,19.405001,1400,19.405001
2016-04-26,19.559999,19.6,19.43,19.58,2200,19.58
2016-04-27,19.541,19.541,19.541,19.541,100,19.541
2016-04-28,19.360001,19.360001,19.360001,19.360001,200,19.360001
2016-04-29,18.870001,18.92,18.85,18.914,3900,18.914
2016-05-02,18.851999,18.954,18.851999,18.954,400,18.954
2016-05-03,18.67,18.671,18.5,18.59,17700,18.59
2016-05-04,18.289,18.289,18.120001,18.120001,700,18.120001
2016-05-05,18.083,18.083,18.076,18.079,500,18.079
2016-05-06,18.120001,18.120001,17.965,17.965,800,17.965
2016-05-09,18.48,18.48,18.02,18.02,600,18.02
2016-05-10,18.156,18.280001,18.156,18.280001,400,18.280001
2016-05-11,18.200001,18.200001,18.200001,18.200001,200,18.200001
2016-05-12,18.062,18.062,18.062,18.062,100,18.062
2016-05-13,18.07,18.07,18.07,18.07,100,18.07
2016-05-16,18.23,18.27,18.23,18.23,1000,18.23
2016-05-17,18.309999,18.309999,18.309999,18.309999,100,18.309999
2016-05-18,18.190001,18.23,18.190001,18.23,200,18.23
2016-05-19,18.087999,18.087999,18.087999,18.087999,100,18.087999
2016-05-20,18.356001,18.356001,18.356001,18.356001,200,18.356001
2016-05-23,18.25,18.48,18.25,18.389999,2300,18.389999
2016-05-24,18.891001,18.98,18.891001,18.964001,300,18.964001
2016-05-25,19.030001,19.030001,19.030001,19.030001,100,19.030001
2016-05-26,19.15,19.15,19.149,19.149,1000,19.149
2016-05-27,19.139999,19.219999,19.139999,19.219999,200,19.219999
2016-05-31,19.379999,19.389999,19.379999,19.389999,500,19.389999
2016-06-01,19.219999,19.389999,19.219999,19.385,2900,19.385
2016-06-02,19.48,19.48,19.48,19.48,100,19.48
2016-06-03,19.385,19.385,19.385,19.385,100,19.385
2016-06-06,19.65,19.65,19.65,19.65,200,19.65
2016-06-07,19.75,19.75,19.665001,19.726,1300,19.726
2016-06-08,19.76,19.76,19.76,19.76,100,19.76
2016-06-09,19.629999,19.67,19.629999,19.67,500,19.67
2016-06-10,19.302999,19.302999,19.302999,19.302999,300,19.302999
2016-06-13,19.514,19.528,19.389999,19.389999,700,19.389999
2016-06-14,19.292,19.292,19.292,19.292,100,19.292
2016-06-15,19.601999,19.601999,19.601999,19.601999,100,19.601999
2016-06-16,19.309999,19.450001,19.309999,19.450001,1100,19.450001
2016-06-17,19.500999,19.500999,19.500999,19.500999,100,19.500999
2016-06-20,19.860001,19.860001,19.860001,19.860001,200,19.860001
2016-06-21,19.969999,19.969999,19.76,19.76,600,19.76
2016-06-22,19.76,19.76,19.76,19.76,600,19.76
2016-06-23,19.639999,19.870001,19.639999,19.870001,5600,19.870001
2016-06-24,19.17,19.17,19.0,19.0,500,19.0
2016-06-27,18.309999,18.309999,18.282,18.282,1200,18.282
