Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,39.389999,39.389999,36.959999,37.349998,267800,37.349998
2016-01-05,37.360001,38.16,37.360001,37.5,68800,37.5
2016-01-06,37.799999,38.119999,37.5,37.57,98800,37.57
2016-01-07,33.810001,35.380001,33.759998,34.82,141100,34.82
2016-01-08,35.080002,35.169998,34.41,34.450001,81200,34.450001
2016-01-11,33.330002,33.330002,32.25,32.779999,178700,32.779999
2016-01-12,33.209999,33.41,32.689999,33.259998,68200,33.259998
2016-01-13,31.83,31.83,30.940001,30.959999,119300,30.959999
2016-01-14,32.450001,32.880001,32.0,32.720001,61000,32.720001
2016-01-15,31.08,31.299999,30.610001,30.68,257600,30.68
2016-01-19,32.209999,33.400002,32.209999,33.049999,149900,33.049999
2016-01-20,32.529999,32.84,32.130001,32.470001,117000,32.470001
2016-01-21,31.49,32.119999,31.48,31.83,26200,31.83
2016-01-22,32.290001,32.490002,32.18,32.23,44700,32.23
2016-01-25,32.25,32.360001,31.84,31.93,49800,31.93
2016-01-26,30.09,30.51,30.09,30.34,60100,30.34
2016-01-27,29.34,30.0,29.34,29.629999,82400,29.629999
2016-01-28,28.889999,28.950001,28.58,28.75,57100,28.75
2016-01-29,29.68,30.190001,29.57,29.91,67600,29.91
2016-02-01,28.629999,29.280001,28.629999,28.82,96800,28.82
2016-02-02,29.690001,30.610001,29.07,29.59,176800,29.59
2016-02-03,30.280001,30.309999,29.540001,30.309999,75000,30.309999
2016-02-04,30.73,31.059999,30.620001,30.959999,63400,30.959999
2016-02-05,30.440001,30.52,30.059999,30.120001,24200,30.120001
2016-02-08,30.02,30.030001,29.719999,29.9,20100,29.9
2016-02-09,29.889999,29.940001,29.41,29.709999,21400,29.709999
2016-02-10,30.040001,30.41,30.02,30.040001,20300,30.040001
2016-02-11,29.389999,29.549999,29.040001,29.379999,35200,29.379999
2016-02-12,29.290001,29.639999,29.02,29.469999,29500,29.469999
2016-02-16,30.940001,32.279999,30.940001,32.060001,125300,32.060001
