Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,18.51,19.129999,18.51,19.129999,31500,17.968763
2016-01-05,19.02,19.18,18.860001,19.16,75500,17.996942
2016-01-06,18.639999,18.709999,17.98,18.129999,305900,17.029465
2016-01-07,17.52,17.950001,17.139999,17.23,322700,16.184098
2016-01-08,17.42,17.639999,17.1,17.43,47700,16.371958
2016-01-11,17.209999,17.209999,16.360001,16.52,242600,15.517197
2016-01-12,16.6,17.209999,15.42,16.34,70300,15.348123
2016-01-13,16.4,16.4,15.14,15.38,79900,14.446397
2016-01-14,15.6,16.65,15.27,16.610001,42600,15.601734
2016-01-15,15.99,16.18,15.62,15.62,19000,14.671829
2016-01-19,15.84,15.84,14.53,14.91,110100,14.004927
2016-01-20,14.61,14.61,13.41,14.04,253000,13.187738
2016-01-21,14.54,15.06,14.48,14.83,261200,13.929784
2016-01-22,15.85,16.4,15.7,16.4,41100,15.404481
2016-01-25,15.68,16.870001,15.63,15.78,330400,14.822116
2016-01-26,16.030001,16.440001,15.76,15.92,44700,14.953618
2016-01-27,16.030001,16.34,15.8,16.25,91500,15.263586
2016-01-28,17.1,17.1,16.559999,16.790001,109000,15.770808
2016-01-29,16.92,17.18,16.790001,17.08,29800,16.043203
2016-02-01,16.360001,16.82,16.18,16.629999,278300,15.620519
2016-02-02,16.389999,16.469999,16.049999,16.17,471300,15.188443
2016-02-03,16.52,16.52,15.6,16.299999,179500,15.31055
2016-02-04,16.33,16.92,16.309999,16.629999,72200,15.620519
2016-02-05,16.719999,16.790001,16.07,16.26,71100,15.272979
2016-02-08,15.95,15.95,14.29,14.6,65900,13.713746
2016-02-09,13.82,14.26,13.82,14.16,38400,13.300454
2016-02-10,14.34,14.59,13.93,14.37,92400,13.497707
2016-02-11,14.17,14.59,13.56,13.81,35500,12.9717
2016-02-12,14.35,14.69,14.04,14.06,145200,13.206525
2016-02-16,15.16,15.56,14.97,15.52,180600,14.577899
2016-02-17,16.0,16.58,15.82,16.58,44600,15.573554
2016-02-18,16.6,16.799999,16.120001,16.4,55300,15.404481
2016-02-19,16.33,16.33,15.81,16.209999,32900,15.226014
2016-02-22,16.66,16.950001,16.639999,16.92,175600,15.892916
2016-02-23,16.709999,16.719999,16.32,16.459999,138800,15.460838
2016-02-24,16.200001,16.92,15.79,16.809999,255900,15.789592
2016-02-25,16.16,16.540001,15.92,16.35,47700,15.64226
2016-02-26,16.49,16.98,16.440001,16.549999,43700,15.833602
2016-02-29,16.610001,16.93,16.610001,16.790001,38300,16.063214
2016-03-01,17.17,17.17,16.58,16.82,99800,16.091915
2016-03-02,16.870001,17.42,16.68,17.34,142100,16.589406
2016-03-03,17.370001,18.030001,17.370001,17.83,57900,17.058195
2016-03-04,17.99,18.209999,17.690001,17.92,39600,17.1443
