Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.73,16.73,16.73,16.73,300,16.422616
2016-01-05,16.790001,16.83,16.66,16.700001,14400,16.393168
2016-01-06,16.700001,16.700001,16.700001,16.700001,0,16.393168
2016-01-07,16.700001,16.700001,16.440001,16.440001,2700,16.137945
2016-01-08,16.34,16.360001,16.33,16.360001,2100,16.059415
2016-01-11,16.389999,16.440001,16.030001,16.33,20500,16.029966
2016-01-12,16.32,16.42,16.32,16.42,600,16.118312
2016-01-13,16.360001,16.360001,16.35,16.35,1600,16.049599
2016-01-14,16.35,16.35,16.35,16.35,0,16.049599
2016-01-15,16.15,16.25,16.110001,16.120001,10500,15.823825
2016-01-19,16.23,16.32,16.23,16.32,400,16.020149
2016-01-20,16.190001,16.450001,16.1,16.309999,6800,16.010333
2016-01-21,16.34,16.5,16.34,16.5,5200,16.196842
2016-01-22,16.51,16.51,16.41,16.41,2000,16.108496
2016-01-25,16.379999,16.42,16.379999,16.379999,1300,16.103579
2016-01-26,16.52,16.58,16.450001,16.450001,8200,16.1724
2016-01-27,16.52,16.549999,16.52,16.540001,1500,16.260881
2016-01-28,16.58,16.58,16.58,16.58,800,16.300205
2016-01-29,16.58,16.620001,16.58,16.620001,2300,16.339531
2016-02-01,16.719999,16.76,16.719999,16.76,1500,16.477168
2016-02-02,16.629999,16.629999,16.559999,16.559999,1600,16.280542
2016-02-03,16.799999,17.07,16.73,17.059999,25300,16.772104
2016-02-04,17.190001,17.190001,17.049999,17.1,6500,16.81143
2016-02-05,16.780001,16.780001,16.77,16.77,400,16.486999
2016-02-08,16.84,16.9,16.82,16.889999,6900,16.604973
2016-02-09,16.83,16.83,16.76,16.76,1500,16.477168
2016-02-10,17.0,17.0,16.879999,16.879999,1600,16.595142
2016-02-11,17.0,17.01,16.959999,17.01,3600,16.722949
2016-02-12,16.860001,16.860001,16.84,16.84,1700,16.555818
2016-02-16,16.860001,16.860001,16.75,16.76,1600,16.477168
2016-02-17,16.9,17.040001,16.9,16.969999,4600,16.683623
2016-02-18,16.940001,16.950001,16.940001,16.950001,1200,16.663962
2016-02-19,16.879999,16.879999,16.85,16.85,500,16.565649
2016-02-22,17.1,17.110001,17.059999,17.08,34300,16.816718
2016-02-23,17.07,17.08,17.07,17.07,1600,16.806872
2016-02-24,17.059999,17.139999,17.049999,17.110001,7400,16.846256
2016-02-25,17.17,17.200001,17.1,17.200001,2500,16.934869
2016-02-26,17.16,17.18,16.940001,16.950001,12800,16.688722
2016-02-29,17.02,17.02,16.98,17.0,1400,16.737951
2016-03-01,17.040001,17.120001,16.98,17.120001,6400,16.856102
2016-03-02,17.110001,17.110001,17.110001,17.110001,100,16.846256
2016-03-03,17.4,17.4,17.370001,17.370001,2400,17.102248
2016-03-04,17.549999,17.559999,17.52,17.559999,700,17.289318
2016-03-07,17.469999,17.639999,17.469999,17.58,4600,17.30901
2016-03-08,17.58,17.6,17.540001,17.540001,3100,17.269628
2016-03-09,17.690001,17.77,17.629999,17.629999,12500,17.358239
2016-03-10,17.610001,17.610001,17.530001,17.57,4100,17.299164
2016-03-11,17.719999,17.790001,17.719999,17.77,25200,17.496082
2016-03-14,17.65,17.65,17.65,17.65,2800,17.377931
2016-03-15,17.549999,17.549999,17.52,17.52,5500,17.249936
2016-03-16,17.49,17.690001,17.48,17.690001,6500,17.417315
2016-03-17,18.040001,18.040001,17.99,18.01,21700,17.732382
2016-03-18,17.99,17.99,17.92,17.92,800,17.643769
2016-03-21,17.91,17.91,17.860001,17.860001,5000,17.609261
2016-03-22,17.91,17.93,17.9,17.91,21400,17.658559
2016-03-23,17.950001,17.950001,17.75,17.75,4300,17.500805
2016-03-24,17.75,17.790001,17.709999,17.780001,8100,17.530384
2016-03-28,17.75,17.75,17.75,17.75,173900,17.500805
2016-03-29,17.940001,18.030001,17.940001,18.030001,1000,17.776875
2016-03-30,18.09,18.15,18.08,18.110001,1600,17.855751
2016-03-31,18.25,18.26,18.139999,18.17,6500,17.914909
2016-04-01,18.15,18.15,18.139999,18.15,600,17.895189
2016-04-04,18.120001,18.120001,18.049999,18.049999,1000,17.796592
2016-04-05,17.969999,17.969999,17.91,17.91,7000,17.658559
2016-04-06,18.040001,18.08,18.02,18.02,20300,17.767015
2016-04-07,18.02,18.02,18.02,18.02,0,17.767015
2016-04-08,17.93,18.09,17.93,17.969999,18400,17.717716
2016-04-11,18.07,18.07,18.07,18.07,700,17.816312
2016-04-12,18.200001,18.25,18.190001,18.209999,38100,17.954346
2016-04-13,18.139999,18.139999,18.139999,18.139999,100,17.885329
2016-04-14,18.24,18.24,18.190001,18.190001,700,17.934628
2016-04-15,18.32,18.32,18.26,18.26,500,18.003645
2016-04-18,18.360001,18.360001,18.33,18.33,400,18.072662
2016-04-19,18.51,18.51,18.48,18.51,1400,18.250135
2016-04-20,18.440001,18.51,18.440001,18.49,600,18.230416
2016-04-21,18.290001,18.290001,18.290001,18.290001,200,18.033225
2016-04-22,18.290001,18.290001,18.290001,18.290001,0,18.033225
2016-04-25,18.129999,18.25,18.120001,18.18,11000,17.949302
2016-04-26,18.17,18.25,18.17,18.25,197700,18.018414
2016-04-27,17.93,17.99,17.82,17.969999,10000,17.741966
2016-04-28,18.08,18.17,18.07,18.17,2800,17.939429
2016-04-29,18.07,18.1,18.0,18.030001,4000,17.801206
2016-05-02,18.030001,18.030001,18.030001,18.030001,2100,17.801206
