Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,53.139999,53.380001,53.139999,53.169998,600,51.471249
2016-01-05,53.16,53.169998,53.09,53.09,1400,51.393806
2016-01-06,52.099998,52.279999,52.02,52.25,7100,50.580644
2016-01-07,51.259998,51.259998,51.150002,51.150002,700,49.51579
2016-01-08,50.860001,50.860001,50.25,50.25,11700,48.644543
2016-01-11,50.5,50.5,49.919998,50.240002,5600,48.634864
2016-01-12,50.439999,50.450001,50.099998,50.099998,1900,48.499334
2016-01-13,50.009998,50.009998,49.59,49.59,700,48.005629
2016-01-14,50.240002,50.32,50.240002,50.32,1900,48.712306
2016-01-15,48.360001,48.549999,48.209999,48.389999,2800,46.843968
2016-01-19,49.830002,49.830002,49.279999,49.279999,5200,47.705532
2016-01-20,48.240002,48.619999,47.639999,48.619999,16600,47.066619
2016-01-21,48.450001,49.259998,48.450001,49.09,14300,47.521604
2016-01-22,50.5,50.5,49.900002,50.16,10200,48.557418
2016-01-25,50.130001,50.189999,49.849998,50.049999,18600,48.450932
2016-01-26,49.759998,50.299999,49.759998,50.040001,4300,48.441253
2016-01-27,50.040001,50.360001,49.52,49.560001,14700,47.976589
2016-01-28,50.060001,50.41,50.049999,50.34,3500,48.731667
2016-01-29,51.200001,51.59,51.09,51.59,9600,49.941731
2016-02-01,51.09,51.509998,51.060001,51.509998,2300,49.864285
2016-02-02,50.57,50.639999,49.959999,49.959999,2400,48.363807
2016-02-03,50.299999,50.779999,50.299999,50.779999,4000,49.157608
2016-02-04,51.279999,51.52,51.220001,51.220001,1400,49.583553
2016-02-05,51.150002,51.150002,51.150002,51.150002,200,49.51579
2016-02-08,50.209999,50.43,50.169998,50.43,1000,48.818792
2016-02-09,50.099998,50.099998,49.759998,49.759998,1200,48.170196
2016-02-10,50.470001,50.470001,50.279999,50.279999,700,48.673583
2016-02-11,49.470001,49.599998,49.16,49.57,2200,47.986268
2016-02-12,49.950001,50.34,49.950001,50.34,1100,48.731667
2016-02-16,50.34,50.34,50.34,50.34,0,48.731667
2016-02-17,52.110001,52.32,52.110001,52.23,2200,50.561282
2016-02-18,52.209999,52.279999,51.939999,52.029999,7400,50.367671
2016-02-19,51.57,52.029999,51.540001,51.900002,2100,50.241828
2016-02-22,52.580002,53.189999,52.580002,53.18,13700,51.480931
2016-02-23,52.43,52.43,52.209999,52.34,1100,50.667769
2016-02-24,51.41,51.630001,51.41,51.630001,700,49.980453
2016-02-25,51.68,51.759998,51.68,51.740002,700,50.08694
2016-02-26,51.810001,51.810001,51.810001,51.810001,1100,50.154703
2016-02-29,51.900002,51.900002,51.900002,51.900002,300,50.241828
2016-03-01,52.970001,53.09,52.970001,53.040001,4000,51.345405
2016-03-02,53.41,53.759998,53.41,53.759998,900,52.042399
2016-03-03,54.48,54.48,54.48,54.48,200,52.739396
2016-03-04,54.91,55.669998,54.91,55.669998,600,53.891375
2016-03-07,55.619999,55.619999,55.619999,55.619999,100,53.842973
2016-03-08,54.799999,54.849998,54.779999,54.779999,2300,53.029811
2016-03-09,55.25,55.380001,55.16,55.16,2800,53.397671
2016-03-10,55.130001,55.130001,54.540001,54.540001,600,52.797481
2016-03-11,55.830002,56.240002,55.830002,56.0,4000,54.210834
2016-03-14,55.830002,55.84,55.830002,55.830002,1000,54.046267
2016-03-15,54.869999,54.98,54.869999,54.98,1100,53.223421
2016-03-16,55.16,56.18,55.0,56.18,700,54.385083
2016-03-17,56.529999,56.919998,56.529999,56.860001,6900,55.043358
2016-03-18,56.990002,57.299999,56.990002,57.060001,1500,55.236969
2016-03-21,56.599998,56.799999,56.540001,56.709999,8800,55.081564
2016-03-22,56.419998,56.830002,56.419998,56.73,700,55.10099
2016-03-23,56.060001,56.060001,55.830002,55.939999,4500,54.333674
2016-03-24,55.279999,55.580002,55.279999,55.580002,1300,53.984015
2016-03-28,55.599998,55.639999,55.599998,55.630001,1400,54.032578
2016-03-29,55.43,55.860001,55.279999,55.810001,2300,54.20741
2016-03-30,56.810001,56.950001,56.700001,56.740002,3100,55.110705
2016-03-31,56.82,56.959999,56.82,56.82,1500,55.188406
2016-04-01,55.77,56.200001,55.759998,56.200001,2400,54.58621
2016-04-04,55.900002,55.990002,55.639999,55.639999,7600,54.042289
2016-04-05,55.080002,55.080002,54.669998,54.669998,1700,53.100142
2016-04-06,54.68,55.16,54.57,55.16,1600,53.576073
2016-04-07,54.650002,54.779999,54.189999,54.360001,10700,52.799046
2016-04-08,55.470001,55.470001,55.25,55.25,3400,53.663489
2016-04-11,55.82,55.82,55.490002,55.73,2600,54.129705
2016-04-12,56.189999,56.189999,56.18,56.18,500,54.566784
2016-04-13,57.360001,57.360001,57.099998,57.169998,4600,55.528354
2016-04-14,57.23,57.41,57.209999,57.220001,1300,55.576921
2016-04-15,57.619999,57.619999,57.23,57.23,5600,55.586632
2016-04-18,57.18,58.0,57.18,57.810001,8800,56.149979
2016-04-19,58.25,58.639999,58.25,58.490002,4200,56.810453
2016-04-20,57.919998,58.380001,57.919998,58.380001,2500,56.703612
2016-04-21,58.110001,58.110001,58.110001,58.110001,400,56.441364
2016-04-22,58.209999,58.209999,57.900002,57.98,37300,56.315096
2016-04-25,57.82,57.860001,57.5,57.610001,5300,55.955722
2016-04-26,57.66,57.869999,57.66,57.860001,4000,56.198543
2016-04-27,57.27,57.700001,57.27,57.669998,3200,56.013996
2016-04-28,57.580002,57.82,57.060001,57.139999,21600,55.499217
2016-04-29,56.619999,56.82,56.360001,56.360001,3500,54.741616
2016-05-02,56.580002,56.919998,56.52,56.77,5000,55.139842
2016-05-03,55.84,55.889999,55.84,55.889999,700,54.285111
2016-05-04,55.18,55.549999,54.919998,55.060001,9100,53.478946
2016-05-05,55.380001,55.380001,54.889999,55.02,6500,53.440094
2016-05-06,54.290001,55.080002,54.290001,54.950001,7700,53.372104
2016-05-09,54.98,54.98,54.299999,54.529999,5700,52.964163
2016-05-10,55.220001,55.259998,54.959999,55.259998,1200,53.6732
2016-05-11,55.049999,55.25,54.860001,55.130001,12900,53.546936
2016-05-12,55.049999,55.060001,54.779999,54.869999,1800,53.2944
2016-05-13,54.080002,54.25,54.0,54.0,800,52.449383
2016-05-16,54.0,54.0,54.0,54.0,200,52.449383
2016-05-17,54.860001,54.860001,54.82,54.82,400,53.245836
2016-05-18,54.73,54.759998,54.73,54.759998,400,53.187558
2016-05-19,53.73,53.759998,53.389999,53.560001,16500,52.022019
2016-05-20,54.18,54.18,54.029999,54.029999,900,52.47852
2016-05-23,54.240002,54.27,54.119999,54.130001,500,52.575651
2016-05-24,54.009998,54.439999,54.009998,54.380001,2300,52.818472
2016-05-25,55.189999,55.189999,55.02,55.049999,4100,53.469231
2016-05-26,55.16,55.32,55.150002,55.150002,1100,53.566362
2016-05-27,55.389999,55.389999,55.150002,55.150002,2600,53.566362
2016-05-31,55.41,55.549999,55.240002,55.419998,3400,53.828606
2016-06-01,55.18,55.459999,55.18,55.41,4200,53.818894
2016-06-02,55.310001,55.759998,55.310001,55.669998,4500,54.071427
2016-06-03,56.16,56.389999,56.09,56.389999,2300,54.770753
2016-06-06,56.5,57.049999,56.5,57.049999,2800,55.411801
2016-06-07,57.540001,57.619999,57.529999,57.59,1400,55.936296
2016-06-08,57.720001,58.029999,57.720001,57.77,3900,56.111127
2016-06-09,57.200001,57.240002,57.189999,57.189999,2200,55.54778
2016-06-10,56.349998,56.380001,56.169998,56.380001,34400,54.761042
2016-06-13,55.939999,56.150002,55.599998,55.599998,2400,54.003437
2016-06-14,55.450001,55.540001,55.380001,55.380001,2300,53.789757
2016-06-15,55.869999,55.869999,55.869999,55.869999,300,54.265684
2016-06-16,54.630001,55.029999,54.599998,55.029999,1000,53.449805
2016-06-17,55.189999,55.509998,55.189999,55.43,5400,53.83832
2016-06-20,56.220001,56.25,56.150002,56.169998,18300,55.013612
2016-06-21,55.900002,56.709999,55.900002,56.709999,1800,55.542495
2016-06-22,56.709999,56.709999,56.43,56.43,1100,55.268261
2016-06-23,57.200001,57.919998,57.200001,57.919998,82700,56.727584
2016-06-24,56.009998,56.009998,55.040001,55.150002,10500,54.014614
