Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.56,15.91,15.56,15.89,37000,14.523449
2016-01-05,15.95,16.16,15.79,15.99,27700,14.614849
2016-01-06,15.89,16.07,15.82,16.0,20900,14.623989
2016-01-07,15.86,15.88,15.64,15.65,57700,14.304089
2016-01-08,15.71,15.83,15.54,15.54,26000,14.203549
2016-01-11,15.54,15.59,15.11,15.2,74100,13.892789
2016-01-12,15.29,15.3,14.85,15.07,28200,13.773969
2016-01-13,15.14,15.14,14.55,14.68,32900,13.41751
2016-01-14,14.65,14.67,14.2,14.63,38600,13.37181
2016-01-15,14.3,14.41,14.01,14.4,68800,13.16159
2016-01-19,14.47,14.58,14.23,14.35,54000,13.115891
2016-01-20,14.12,14.15,13.5,14.03,123400,12.82341
2016-01-21,14.01,14.61,14.01,14.27,36800,13.042771
2016-01-22,14.45,14.76,14.45,14.67,24900,13.40837
2016-01-25,14.63,14.66,14.51,14.52,22300,13.271271
2016-01-26,14.55,14.76,14.55,14.76,62100,13.49063
2016-01-27,14.7,14.9,14.61,14.68,28500,13.41751
2016-01-28,14.85,14.85,14.69,14.75,3300,13.48149
2016-01-29,14.78,14.94,14.78,14.8,59200,13.52719
2016-02-01,14.74,14.98,14.63,14.9,24700,13.61859
2016-02-02,14.79,14.79,14.61,14.63,15000,13.37181
2016-02-03,14.68,14.73,14.38,14.72,33900,13.45407
2016-02-04,14.68,14.82,14.68,14.77,34500,13.49977
2016-02-05,14.75,14.85,14.7,14.7,10300,13.43579
2016-02-08,14.46,14.46,14.24,14.28,51800,13.05191
2016-02-09,14.18,14.23,13.95,13.99,12300,12.78685
2016-02-10,14.05,14.08,13.95,14.02,8900,12.814271
2016-02-11,13.77,13.9,13.52,13.68,42200,12.503511
2016-02-12,13.8,14.02,13.78,13.94,28400,12.74115
2016-02-16,14.1,14.27,14.04,14.14,26600,12.923951
2016-02-17,14.23,14.63,14.23,14.47,28000,13.22557
2016-02-18,14.58,14.58,14.44,14.51,11500,13.26213
2016-02-19,14.46,14.46,14.27,14.32,22200,13.08847
2016-02-22,14.44,14.48,14.39,14.39,29200,13.152451
2016-02-23,14.4,14.53,14.35,14.39,14100,13.152451
2016-02-24,14.3,14.49,14.19,14.45,19700,13.20729
2016-02-25,14.53,14.71,14.53,14.68,11900,13.41751
2016-02-26,14.81,14.95,14.74,14.9,14000,13.61859
2016-02-29,14.9,15.21,14.9,15.11,30900,13.810529
2016-03-01,15.31,15.37,15.18,15.27,29000,13.95677
2016-03-02,15.26,15.47,15.23,15.42,18600,14.09387
2016-03-03,15.5,15.64,15.47,15.58,44500,14.240109
2016-03-04,15.68,15.87,15.57,15.64,104800,14.29495
2016-03-07,15.61,15.83,15.61,15.8,32800,14.441189
2016-03-08,15.74,15.74,15.52,15.59,50700,14.24925
2016-03-09,15.68,15.74,15.53,15.55,36400,14.21269
2016-03-10,15.7,15.7,15.42,15.51,30900,14.17613
2016-03-11,15.72,15.83,15.69,15.79,41300,14.432049
2016-03-14,15.82,15.88,15.71,15.83,26000,14.468609
2016-03-15,15.8,15.8,15.71,15.79,25300,14.432049
2016-03-16,15.8,15.94,15.74,15.94,35700,14.569149
2016-03-17,15.94,16.219999,15.88,16.16,15300,14.770229
2016-03-18,16.25,16.290001,16.110001,16.17,35500,14.779369
