Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,30.610001,31.030001,30.6,31.030001,6200,30.088413
2016-01-05,31.139999,31.26,31.030001,31.24,3300,30.29204
2016-01-06,30.42,30.459999,30.209999,30.309999,4900,29.39026
2016-01-07,29.139999,29.209999,29.030001,29.040001,2400,28.158799
2016-01-08,29.209999,29.209999,28.799999,28.799999,1000,27.92608
2016-01-11,28.99,29.219999,28.799999,28.9,3700,28.023046
2016-01-12,29.07,29.200001,28.780001,29.0,1800,28.120012
2016-01-13,29.139999,29.139999,28.08,28.08,5100,27.227928
2016-01-14,28.040001,28.629999,27.969999,28.379999,6900,27.518824
2016-01-15,27.25,27.76,27.25,27.74,3700,26.898245
2016-01-19,28.49,28.49,27.969999,28.120001,8800,27.266716
2016-01-20,27.74,27.74,26.780001,27.610001,11200,26.772191
2016-01-21,27.389999,27.92,27.389999,27.780001,8600,26.937032
2016-01-22,28.35,28.85,28.35,28.58,26100,27.712756
2016-01-25,28.860001,28.860001,28.33,28.48,1100,27.61579
2016-01-26,28.610001,29.02,28.610001,29.02,3800,28.139405
2016-01-27,29.08,29.209999,29.08,29.200001,1300,28.313943
2016-01-28,29.809999,30.16,29.549999,29.67,3900,28.769681
2016-01-29,30.280001,30.74,30.25,30.73,21100,29.797515
2016-02-01,30.5,30.799999,30.5,30.780001,1000,29.845999
2016-02-02,29.950001,30.110001,29.92,30.01,700,29.099364
2016-02-03,29.700001,30.049999,29.4,30.049999,4000,29.138149
2016-02-04,29.84,30.190001,29.84,29.870001,4100,28.963613
2016-02-05,29.84,29.84,29.27,29.27,4800,28.381819
2016-02-08,28.799999,28.889999,28.299999,28.76,4700,27.887295
2016-02-09,28.0,28.450001,27.74,28.299999,21400,27.441252
2016-02-10,28.57,28.6,28.24,28.24,800,27.383073
2016-02-11,28.049999,28.26,27.92,28.049999,2100,27.198838
2016-02-12,28.84,29.23,28.780001,29.0,8600,28.120012
2016-02-16,29.65,29.950001,29.52,29.950001,10100,29.041185
2016-02-17,30.540001,30.549999,30.24,30.49,31400,29.564798
2016-02-18,30.52,30.809999,30.4,30.530001,12400,29.603585
2016-02-19,30.219999,30.41,30.200001,30.41,4200,29.487226
2016-02-22,30.9,31.469999,30.9,31.4,2900,30.447185
2016-02-23,31.059999,31.059999,30.860001,30.950001,3100,30.010841
2016-02-24,30.530001,31.0,30.200001,30.9,16400,29.962357
2016-02-25,30.73,30.77,30.73,30.77,1400,29.836302
2016-02-26,31.15,31.43,31.1,31.1,1500,30.156289
2016-02-29,31.18,31.18,31.18,31.18,400,30.233861
2016-03-01,31.469999,32.049999,31.459999,31.98,19700,31.009585
2016-03-02,31.940001,32.150002,31.940001,32.150002,500,31.174428
2016-03-03,31.959999,32.490002,31.959999,32.490002,30900,31.504111
2016-03-04,32.130001,32.389999,32.009998,32.200001,7300,31.22291
2016-03-07,31.75,32.18,31.629999,32.09,2500,31.116247
2016-03-08,31.35,31.52,31.129999,31.17,32400,30.224164
2016-03-09,31.65,31.83,31.65,31.83,800,30.864137
2016-03-10,31.860001,32.130001,31.780001,31.91,1400,30.941709
2016-03-11,32.130001,32.59,32.130001,32.59,1200,31.601075
2016-03-14,32.349998,32.41,32.25,32.41,3300,31.426537
2016-03-15,32.099998,32.099998,31.9,31.9,6900,30.932012
2016-03-16,31.91,32.709999,31.91,32.709999,1500,31.717433
2016-03-17,32.799999,32.98,32.799999,32.98,1000,31.97924
2016-03-18,33.299999,33.75,33.299999,33.639999,13800,32.619213
2016-03-21,33.509998,33.529999,33.23,33.330002,5300,32.318622
2016-03-22,33.330002,33.330002,33.330002,33.330002,0,32.318622
2016-03-23,33.049999,33.049999,32.48,32.57,24800,31.581682
2016-03-24,32.0,32.869999,32.0,32.610001,2300,31.620469
2016-03-28,32.959999,32.959999,32.779999,32.779999,500,31.785309
2016-03-29,32.720001,33.490002,32.720001,33.490002,4100,32.473767
2016-03-30,33.93,33.939999,33.66,33.860001,3300,32.832538
2016-03-31,33.939999,34.029999,33.240002,34.029999,900,32.997378
2016-04-01,34.029999,34.029999,34.029999,34.029999,0,32.997378
2016-04-04,33.68,33.68,33.209999,33.209999,7200,32.202261
2016-04-05,32.869999,32.880001,32.68,32.720001,12800,31.727132
2016-04-06,32.799999,33.380001,32.790001,33.380001,15500,32.367104
2016-04-07,33.290001,33.419998,33.290001,33.380001,900,32.367104
2016-04-08,33.700001,33.700001,33.080002,33.27,3900,32.260441
2016-04-11,33.52,33.529999,33.119999,33.119999,11400,32.114992
