Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,7.59,7.59,7.59,7.59,200,7.480948
2016-01-05,7.59,7.63,7.53,7.63,500,7.520374
2016-01-06,7.5,7.5,7.43,7.43,1400,7.323247
2016-01-07,7.3,7.3,7.28,7.28,200,7.175402
2016-01-08,7.28,7.28,7.28,7.28,0,7.175402
2016-01-11,7.5,7.5,7.5,7.5,500,7.392241
2016-01-12,7.46,7.46,7.24,7.28,500,7.175402
2016-01-13,7.27,7.27,7.15,7.15,700,7.04727
2016-01-14,7.39,7.39,7.25,7.26,1800,7.15569
2016-01-15,7.0,7.0,7.0,7.0,200,6.899425
2016-01-19,7.0,7.0,7.0,7.0,900,6.899425
2016-01-20,6.8,6.82,6.66,6.79,10400,6.692442
2016-01-21,6.72,6.73,6.72,6.73,200,6.633305
2016-01-22,6.73,6.73,6.73,6.73,0,6.633305
2016-01-25,6.86,6.86,6.86,6.86,100,6.761437
2016-01-26,6.86,6.86,6.86,6.86,0,6.761437
2016-01-27,7.08,7.08,7.08,7.08,200,6.978276
2016-01-28,7.16,7.16,7.16,7.16,700,7.057126
2016-01-29,7.31,7.31,7.31,7.31,100,7.204971
2016-02-01,7.41,7.44,7.39,7.39,2100,7.283822
2016-02-02,7.34,7.34,7.34,7.34,300,7.23454
2016-02-03,7.34,7.34,7.34,7.34,0,7.23454
2016-02-04,7.34,7.34,7.34,7.34,0,7.23454
2016-02-05,7.34,7.34,7.34,7.34,0,7.23454
2016-02-08,7.34,7.34,7.34,7.34,0,7.23454
2016-02-09,7.47,7.47,7.47,7.47,600,7.362672
2016-02-10,7.47,7.47,7.47,7.47,0,7.362672
2016-02-11,7.47,7.47,7.47,7.47,0,7.362672
2016-02-12,7.25,7.25,7.25,7.25,200,7.145833
2016-02-16,7.25,7.25,7.25,7.25,0,7.145833
2016-02-17,7.74,7.74,7.74,7.74,200,7.628793
2016-02-18,7.74,7.74,7.74,7.74,0,7.628793
2016-02-19,7.74,7.74,7.74,7.74,0,7.628793
2016-02-22,7.74,7.74,7.74,7.74,0,7.628793
2016-02-23,7.74,7.74,7.74,7.74,0,7.628793
2016-02-24,7.74,7.74,7.74,7.74,0,7.628793
2016-02-25,7.74,7.74,7.74,7.74,100,7.628793
2016-02-26,7.74,7.74,7.74,7.74,300,7.628793
2016-02-29,7.81,7.96,7.81,7.96,600,7.845632
2016-03-01,7.96,7.96,7.96,7.96,200,7.845632
2016-03-02,8.27,8.51,8.27,8.51,800,8.38773
2016-03-03,8.8,8.8,8.8,8.8,500,8.673563
2016-03-04,8.9,8.9,8.9,8.9,1500,8.772126
2016-03-07,9.09,9.09,8.98,8.98,1000,8.850977
2016-03-08,8.98,8.98,8.98,8.98,0,8.850977
2016-03-09,9.45,9.45,9.31,9.31,600,9.176236
2016-03-10,9.33,9.33,9.32,9.33,1800,9.195948
2016-03-11,9.63,9.63,9.63,9.63,1000,9.491638
2016-03-14,9.35,9.35,9.32,9.33,700,9.195948
2016-03-15,9.26,9.26,8.94,8.98,900,8.850977
2016-03-16,8.8,9.0,8.8,9.0,3100,8.87069
2016-03-17,9.39,9.39,9.39,9.39,100,9.255087
2016-03-18,9.85,9.85,9.85,9.85,200,9.708477
2016-03-21,9.83,9.83,9.83,9.83,1300,9.688764
2016-03-22,9.97,9.97,9.97,9.97,200,9.826753
2016-03-23,9.53,9.55,9.51,9.51,1300,9.373362
2016-03-24,9.5,9.5,9.5,9.5,500,9.363506
2016-03-28,9.5,9.5,9.5,9.5,0,9.363506
2016-03-29,9.75,9.92,9.74,9.92,2400,9.777471
2016-03-30,9.87,9.87,9.87,9.87,500,9.72819
2016-03-31,9.96,9.97,9.71,9.71,1600,9.570489
2016-04-01,9.83,9.88,9.83,9.88,300,9.738046
2016-04-04,9.51,9.75,9.38,9.38,2000,9.24523
2016-04-05,9.38,9.38,9.38,9.38,0,9.24523
2016-04-06,9.38,9.38,9.38,9.38,0,9.24523
2016-04-07,9.38,9.38,9.38,9.38,0,9.24523
2016-04-08,9.71,9.71,9.46,9.52,400,9.383219
2016-04-11,9.71,9.84,9.71,9.84,500,9.698621
2016-04-12,9.68,9.68,9.68,9.68,100,9.54092
2016-04-13,10.0,10.26,10.0,10.26,800,10.112586
2016-04-14,10.28,10.28,10.17,10.2,3100,10.053448
2016-04-15,10.2,10.2,10.2,10.2,0,10.053448
