Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.01,22.07,22.01,22.040001,257100,21.942252
2016-01-05,22.07,22.08,22.049999,22.07,81600,21.972118
2016-01-06,22.08,22.09,22.049999,22.07,50000,21.972118
2016-01-07,22.08,22.09,22.059999,22.07,98300,21.972118
2016-01-08,22.07,22.1,22.059999,22.09,134300,21.99203
2016-01-11,22.059999,22.08,22.040001,22.040001,159500,21.942252
2016-01-12,22.049999,22.09,22.040001,22.059999,138900,21.962162
2016-01-13,22.049999,22.1,22.040001,22.040001,110200,21.942252
2016-01-14,22.040001,22.08,22.040001,22.07,85900,21.972118
2016-01-15,22.07,22.09,22.049999,22.07,352500,21.972118
2016-01-19,22.059999,22.1,22.049999,22.09,93300,21.99203
2016-01-20,22.07,22.09,22.040001,22.040001,57100,21.942252
2016-01-21,22.07,22.09,22.049999,22.049999,128200,21.952206
2016-01-22,22.049999,22.08,22.040001,22.08,118000,21.982074
2016-01-25,22.07,22.07,22.049999,22.07,72300,21.972118
2016-01-26,22.049999,22.07,22.040001,22.040001,188400,21.942252
2016-01-27,22.030001,22.059999,22.02,22.030001,322800,21.932296
2016-01-28,22.030001,22.040001,22.02,22.040001,268000,21.942252
2016-01-29,22.030001,22.059999,22.030001,22.049999,108800,21.952206
2016-02-01,22.049999,22.059999,22.02,22.02,91800,21.93826
2016-02-02,22.049999,22.049999,22.01,22.030001,164300,21.948223
2016-02-03,22.049999,22.059999,22.02,22.030001,167900,21.948223
2016-02-04,22.040001,22.049999,22.02,22.030001,134200,21.948223
2016-02-05,22.02,22.049999,22.02,22.030001,78000,21.948223
2016-02-08,22.049999,22.07,22.030001,22.030001,172200,21.948223
2016-02-09,22.030001,22.08,22.030001,22.040001,109400,21.958186
2016-02-10,22.040001,22.08,22.030001,22.030001,182700,21.948223
2016-02-11,22.02,22.049999,22.02,22.040001,89700,21.958186
2016-02-12,22.02,22.07,22.02,22.049999,84800,21.968147
2016-02-16,22.030001,22.049999,22.02,22.02,136700,21.93826
2016-02-17,22.040001,22.059999,22.02,22.040001,108600,21.958186
2016-02-18,22.030001,22.049999,22.02,22.030001,92000,21.948223
2016-02-19,22.049999,22.059999,22.02,22.040001,209500,21.958186
2016-02-22,22.02,22.07,22.02,22.040001,94200,21.958186
2016-02-23,22.030001,22.07,22.030001,22.040001,70400,21.958186
2016-02-24,22.040001,22.07,22.040001,22.07,61400,21.988073
2016-02-25,22.059999,22.07,22.040001,22.040001,453200,21.958186
2016-02-26,22.040001,22.059999,22.01,22.02,3641900,21.93826
2016-02-29,22.01,22.040001,22.01,22.030001,2989700,21.948223
2016-03-01,22.030001,22.049999,22.02,22.049999,82800,21.968147
2016-03-02,22.049999,22.049999,22.030001,22.040001,101800,21.958186
2016-03-03,22.030001,22.059999,22.030001,22.049999,47700,21.968147
2016-03-04,22.030001,22.059999,22.02,22.049999,133600,21.968147
2016-03-07,22.040001,22.059999,22.030001,22.040001,67800,21.958186
2016-03-08,22.059999,22.07,22.030001,22.030001,114400,21.948223
2016-03-09,22.02,22.040001,22.02,22.030001,74400,21.948223
2016-03-10,22.02,22.059999,22.01,22.030001,84700,21.948223
2016-03-11,22.049999,22.049999,22.030001,22.030001,44300,21.948223
2016-03-14,22.059999,22.059999,22.030001,22.030001,65700,21.948223
2016-03-15,22.030001,22.049999,22.02,22.030001,64100,21.948223
2016-03-16,22.02,22.049999,22.02,22.040001,119000,21.958186
2016-03-17,22.030001,22.049999,22.030001,22.040001,117700,21.958186
2016-03-18,22.030001,22.07,22.02,22.030001,134000,21.948223
2016-03-21,22.07,22.07,22.030001,22.040001,175300,21.958186
2016-03-22,22.030001,22.049999,22.030001,22.049999,65200,21.968147
2016-03-23,22.08,22.08,22.040001,22.059999,94900,21.97811
2016-03-24,22.040001,22.07,22.040001,22.07,108800,21.988073
2016-03-28,22.040001,22.08,22.040001,22.059999,108000,21.97811
2016-03-29,22.049999,22.08,22.049999,22.08,63100,21.998036
2016-03-30,22.049999,22.1,22.040001,22.07,86600,21.988073
2016-03-31,22.07,22.07,22.040001,22.049999,124600,21.968147
2016-04-01,22.030001,22.07,22.030001,22.040001,82500,21.958186
2016-04-04,22.040001,22.049999,22.030001,22.040001,101000,21.958186
2016-04-05,22.040001,22.07,22.040001,22.049999,90000,21.968147
2016-04-06,22.07,22.08,22.040001,22.049999,90700,21.968147
2016-04-07,22.049999,22.08,22.040001,22.07,92600,21.988073
2016-04-08,22.049999,22.08,22.049999,22.049999,37600,21.968147
2016-04-11,22.040001,22.07,22.040001,22.049999,258000,21.968147
2016-04-12,22.040001,22.07,22.040001,22.07,80000,21.988073
2016-04-13,22.040001,22.09,22.040001,22.059999,110500,21.97811
2016-04-14,22.049999,22.07,22.049999,22.049999,65200,21.968147
2016-04-15,22.049999,22.059999,22.040001,22.049999,78300,21.968147
2016-04-18,22.040001,22.059999,22.030001,22.049999,99300,21.968147
2016-04-19,22.049999,22.08,22.040001,22.07,80700,21.988073
