Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.76,22.76,22.59,22.629999,58700,21.511977
2016-01-05,22.73,22.82,22.639999,22.790001,120500,21.664074
2016-01-06,22.75,22.879999,22.65,22.75,179500,21.626049
2016-01-07,22.6,22.77,22.6,22.68,77600,21.559508
2016-01-08,22.66,22.780001,22.639999,22.690001,68000,21.569014
2016-01-11,22.75,22.77,22.639999,22.68,29600,21.559508
2016-01-12,22.67,22.75,22.620001,22.690001,68700,21.569014
2016-01-13,22.76,22.76,22.4,22.450001,84400,21.340871
2016-01-14,22.450001,22.6,22.43,22.540001,52600,21.426425
2016-01-15,22.440001,22.440001,22.139999,22.27,424800,21.169764
2016-01-19,22.26,22.299999,22.08,22.08,215000,20.98915
2016-01-20,22.139999,22.139999,21.74,21.879999,41300,20.79903
2016-01-21,22.030001,22.190001,21.9,21.98,254100,20.89409
2016-01-22,22.049999,22.309999,22.049999,22.309999,110400,21.207786
2016-01-25,22.290001,22.290001,22.16,22.23,95600,21.131739
2016-01-26,22.26,22.379999,22.26,22.35,20400,21.245811
2016-01-27,22.26,22.360001,22.26,22.32,43600,21.217293
2016-01-28,22.4,22.42,22.35,22.379999,51100,21.274328
2016-01-29,22.450001,22.559999,22.42,22.5,50500,21.3884
2016-02-01,22.389999,22.459999,22.309999,22.4,149800,21.382672
2016-02-02,22.32,22.370001,22.209999,22.24,41300,21.229939
2016-02-03,22.299999,22.389999,22.23,22.360001,76000,21.34449
2016-02-04,22.290001,22.33,22.200001,22.27,71400,21.258577
2016-02-05,22.280001,22.309999,22.110001,22.15,87800,21.144026
2016-02-08,22.08,22.1,21.93,22.030001,52800,21.029477
2016-02-09,22.059999,22.059999,21.85,21.889999,42100,20.895834
2016-02-10,22.02,22.02,21.790001,21.82,90000,20.829014
2016-02-11,21.65,21.77,21.65,21.75,54400,20.762193
2016-02-12,21.780001,21.870001,21.65,21.870001,51000,20.876744
2016-02-16,21.82,21.860001,21.68,21.799999,42200,20.809921
2016-02-17,21.809999,22.01,21.809999,21.969999,87000,20.972201
2016-02-18,21.950001,22.129999,21.950001,22.08,65800,21.077205
2016-02-19,22.02,22.16,22.01,22.07,89800,21.067659
2016-02-22,22.16,22.26,22.16,22.190001,71700,21.18221
2016-02-23,22.209999,22.209999,22.120001,22.190001,133600,21.18221
2016-02-24,22.09,22.18,22.02,22.17,52200,21.163118
2016-02-25,22.200001,22.27,22.110001,22.23,117100,21.220393
2016-02-26,22.280001,22.389999,22.280001,22.389999,526700,21.373126
2016-02-29,22.440001,22.57,22.389999,22.540001,329000,21.516315
2016-03-01,22.5,22.68,22.440001,22.629999,358000,21.700426
2016-03-02,22.59,22.629999,22.450001,22.59,153400,21.66207
2016-03-03,22.610001,22.690001,22.59,22.65,60800,21.719605
2016-03-04,22.690001,22.76,22.610001,22.73,186900,21.796319
2016-03-07,22.75,22.799999,22.74,22.780001,152400,21.844266
2016-03-08,22.780001,22.790001,22.709999,22.75,135100,21.815498
2016-03-09,22.76,22.790001,22.719999,22.76,80500,21.825087
2016-03-10,22.790001,22.860001,22.719999,22.84,93200,21.901801
2016-03-11,22.83,22.969999,22.83,22.959999,174900,22.016871
2016-03-14,22.889999,22.98,22.83,22.91,161300,21.968925
2016-03-15,22.84,22.969999,22.82,22.879999,132000,21.940157
2016-03-16,22.9,23.030001,22.870001,23.030001,214400,22.083997
2016-03-17,23.040001,23.08,23.0,23.08,101200,22.131942
2016-03-18,23.120001,23.17,23.030001,23.09,189900,22.141532
2016-03-21,23.15,23.25,23.139999,23.18,105200,22.227835
2016-03-22,23.139999,23.17,23.059999,23.15,114000,22.199067
2016-03-23,23.1,23.209999,23.1,23.129999,175100,22.179888
2016-03-24,23.030001,23.07,23.0,23.030001,71300,22.083997
2016-03-28,23.110001,23.110001,22.940001,22.969999,57200,22.02646
2016-03-29,22.99,23.059999,22.950001,23.02,290400,22.074407
2016-03-30,23.08,23.1,23.01,23.09,278300,22.141532
2016-03-31,23.110001,23.16,23.09,23.129999,62500,22.179888
2016-04-01,22.959999,23.09,22.92,23.08,208500,22.226113
2016-04-04,23.02,23.07,22.98,23.030001,168500,22.177963
2016-04-05,23.0,23.049999,22.879999,22.92,371000,22.072032
2016-04-06,23.0,23.190001,22.959999,23.1,76900,22.245373
2016-04-07,23.120001,23.120001,23.030001,23.049999,127900,22.197222
2016-04-08,23.139999,23.209999,23.08,23.110001,87500,22.255004
2016-04-11,23.1,23.16,23.059999,23.120001,82600,22.264634
2016-04-12,23.15,23.209999,23.110001,23.200001,75000,22.341674
2016-04-13,23.27,23.309999,23.15,23.309999,72600,22.447603
2016-04-14,23.209999,23.290001,23.209999,23.290001,127300,22.428344
2016-04-15,23.280001,23.34,23.24,23.290001,80200,22.428344
2016-04-18,23.280001,23.360001,23.27,23.360001,72900,22.495754
2016-04-19,23.379999,23.42,23.34,23.42,56800,22.553534
2016-04-20,23.450001,23.51,23.4,23.51,405400,22.640204
2016-04-21,23.49,23.52,23.43,23.469999,108900,22.601683
2016-04-22,23.5,23.540001,23.48,23.52,341600,22.649835
2016-04-25,23.5,23.51,23.450001,23.48,176400,22.611314
2016-04-26,23.459999,23.51,23.450001,23.48,174700,22.611314
2016-04-27,23.530001,23.6,23.5,23.59,135100,22.717245
2016-04-28,23.58,23.66,23.52,23.610001,258400,22.736505
2016-04-29,23.6,23.610001,23.549999,23.6,408900,22.726875
2016-05-02,23.52,23.59,23.450001,23.58,123500,22.799392
2016-05-03,23.5,23.530001,23.459999,23.49,70500,22.804245
2016-05-04,23.469999,23.469999,23.379999,23.440001,49400,22.755706
2016-05-05,23.52,23.540001,23.440001,23.49,87000,22.804245
2016-05-06,23.459999,23.5,23.33,23.450001,117300,22.765414
2016-05-09,23.42,23.43,23.379999,23.42,798700,22.736289
2016-05-10,23.440001,23.549999,23.440001,23.51,144300,22.823662
2016-05-11,23.530001,23.530001,23.459999,23.459999,93400,22.775121
2016-05-12,23.549999,23.559999,23.450001,23.469999,1568400,22.784829
2016-05-13,23.530001,23.530001,23.360001,23.370001,496000,22.68775
2016-05-16,23.51,23.51,23.42,23.469999,163400,22.784829
2016-05-17,23.51,23.530001,23.379999,23.42,170400,22.736289
2016-05-18,23.459999,23.49,23.41,23.440001,577100,22.755706
2016-05-19,23.41,23.5,23.4,23.43,72900,22.745998
2016-05-20,23.49,23.530001,23.42,23.43,116100,22.745998
2016-05-23,23.450001,23.52,23.440001,23.49,106600,22.804245
2016-05-24,23.530001,23.59,23.51,23.549999,109400,22.862493
2016-05-25,23.6,23.610001,23.530001,23.58,78100,22.891618
2016-05-26,23.58,23.610001,23.52,23.52,119200,22.83337
2016-05-27,23.57,23.610001,23.549999,23.59,74300,22.901326
2016-05-31,23.6,23.629999,23.57,23.6,116500,22.911035
2016-06-01,23.51,23.52,23.48,23.52,116700,22.934438
2016-06-02,23.52,23.549999,23.48,23.51,90200,22.924686
2016-06-03,23.52,23.6,23.49,23.549999,104300,22.963689
2016-06-06,23.6,23.66,23.540001,23.610001,91900,23.022197
2016-06-07,23.690001,23.709999,23.58,23.67,66800,23.080703
2016-06-08,23.67,23.75,23.65,23.73,119000,23.139208
2016-06-09,23.690001,23.719999,23.65,23.690001,357600,23.100205
2016-06-10,23.65,23.68,23.610001,23.65,79000,23.0612
2016-06-13,23.610001,23.66,23.6,23.620001,197400,23.031948
2016-06-14,23.65,23.65,23.540001,23.59,132200,23.002694
2016-06-15,23.6,23.639999,23.540001,23.57,115300,22.983192
2016-06-16,23.5,23.59,23.450001,23.540001,166100,22.95394
2016-06-17,23.58,23.58,23.5,23.57,73300,22.983192
2016-06-20,23.639999,23.690001,23.620001,23.67,71000,23.080703
2016-06-21,23.709999,23.709999,23.59,23.66,104000,23.070951
2016-06-22,23.66,23.690001,23.639999,23.65,47600,23.0612
2016-06-23,23.74,23.780001,23.690001,23.780001,298500,23.187965
2016-06-24,23.610001,23.620001,23.48,23.559999,272700,22.973441
2016-06-27,23.48,23.5,23.309999,23.379999,531800,22.797922
2016-06-28,23.540001,23.540001,23.360001,23.51,463000,22.924686
2016-06-29,23.6,23.66,23.49,23.65,691700,23.0612
2016-06-30,23.610001,23.700001,23.59,23.690001,142200,23.100205
2016-07-01,23.620001,23.73,23.6,23.629999,135600,23.146242
2016-07-05,23.629999,23.639999,23.58,23.629999,123900,23.146242
2016-07-06,23.57,23.709999,23.57,23.700001,89400,23.21481
2016-07-07,23.74,23.76,23.690001,23.75,160200,23.263786
2016-07-08,23.74,23.9,23.74,23.889999,294300,23.400919
2016-07-11,23.889999,23.98,23.889999,23.950001,124900,23.459692
2016-07-12,24.030001,24.049999,23.940001,24.01,187300,23.518463
2016-07-13,24.040001,24.040001,23.93,24.0,110400,23.508668
2016-07-14,24.030001,24.1,24.0,24.030001,79200,23.538054
2016-07-15,24.07,24.07,24.0,24.02,73300,23.528259
2016-07-18,24.01,24.09,24.0,24.07,88700,23.577235
2016-07-19,24.030001,24.049999,23.940001,24.030001,182300,23.538054
2016-07-20,24.08,24.1,24.040001,24.1,93100,23.606621
2016-07-21,24.09,24.120001,24.059999,24.07,130800,23.577235
2016-07-22,24.07,24.120001,24.049999,24.110001,50100,23.616417
2016-07-25,24.110001,24.110001,24.040001,24.07,115000,23.577235
2016-07-26,24.08,24.08,24.01,24.040001,70900,23.54785
2016-07-27,24.059999,24.059999,24.01,24.049999,60100,23.557644
2016-07-28,24.01,24.02,23.969999,23.98,108000,23.489077
2016-07-29,23.959999,24.049999,23.93,24.0,87500,23.508668
2016-08-01,23.91,23.93,23.84,23.870001,243400,23.477194
2016-08-02,23.9,23.9,23.84,23.870001,65000,23.477194
2016-08-03,23.84,23.889999,23.82,23.889999,83500,23.496864
2016-08-04,23.93,23.959999,23.9,23.92,274500,23.526371
2016-08-05,23.99,24.01,23.950001,23.959999,130900,23.565712
