Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,19.549999,19.549999,18.658001,19.23,997200,19.23
2016-01-05,19.9,19.9,19.52,19.809999,303600,19.809999
2016-01-06,19.52,19.870001,19.4,19.51,197800,19.51
2016-01-07,17.15,18.295,16.719999,17.16,1367100,17.16
2016-01-08,18.0,18.0,17.23,17.290001,455200,17.290001
2016-01-11,16.73,16.84,16.17,16.52,610500,16.52
2016-01-12,17.24,17.389999,16.950001,17.190001,266800,17.190001
2016-01-13,16.299999,16.32,15.51,15.55,438500,15.55
2016-01-14,16.4,16.879999,16.190001,16.870001,403600,16.870001
2016-01-15,15.22,15.4,14.725,15.23,546600,15.23
2016-01-19,16.549999,16.82,16.275999,16.719999,447300,16.719999
2016-01-20,15.83,16.16,15.43,15.96,404400,15.96
2016-01-21,15.31,15.87,15.31,15.78,483800,15.78
2016-01-22,16.209999,16.242001,16.0,16.23,163500,16.23
2016-01-25,15.76,15.89,15.4,15.45,170200,15.45
2016-01-26,14.27,14.476,14.23,14.38,581200,14.38
2016-01-27,14.03,14.31,13.85,13.88,431900,13.88
2016-01-28,13.61,13.77,13.26,13.51,661200,13.51
2016-01-29,14.27,14.7,14.177,14.6,649200,14.6
2016-02-01,13.63,13.79,13.5,13.61,480800,13.61
2016-02-02,14.38,14.4,13.91,14.02,456300,14.02
2016-02-03,14.13,14.63,14.005,14.62,331600,14.62
2016-02-04,14.67,15.08,14.67,14.88,383700,14.88
2016-02-05,14.5,14.52,13.95,13.99,171800,13.99
2016-02-08,13.73,14.0,13.6,13.77,222400,13.77
2016-02-09,13.45,13.8,13.424,13.62,133300,13.62
2016-02-10,13.74,14.15,13.74,13.91,87300,13.91
2016-02-11,13.36,13.51,13.09,13.32,330500,13.32
2016-02-12,13.66,13.94,13.425,13.9,182800,13.9
2016-02-16,15.24,15.95,15.24,15.9,517200,15.9
2016-02-17,15.97,16.549999,15.87,16.469999,333100,16.469999
2016-02-18,16.17,16.309999,15.867,15.97,215800,15.97
2016-02-19,16.01,16.188,15.91,16.15,215900,16.15
2016-02-22,16.85,17.17,16.799999,17.09,350000,17.09
2016-02-23,16.459999,16.469999,16.15,16.16,185300,16.16
2016-02-24,16.34,16.731001,16.200001,16.67,238000,16.67
2016-02-25,14.65,14.945,14.52,14.85,661500,14.85
2016-02-26,15.18,15.29,14.96,14.98,316800,14.98
2016-02-29,14.56,14.56,14.35,14.369,598000,14.369
2016-03-01,14.9,15.272,14.79,15.23,538000,15.23
2016-03-02,15.99,16.17,15.83,16.08,393700,16.08
2016-03-03,16.08,16.4,15.99,16.290001,318800,16.290001
2016-03-04,16.73,17.299999,16.629999,17.200001,481800,17.200001
2016-03-07,16.91,17.049999,16.719999,16.809999,200900,16.809999
2016-03-08,16.74,16.74,16.188,16.24,203500,16.24
2016-03-09,16.040001,16.25,15.969,16.17,199200,16.17
2016-03-10,15.75,15.75,15.15,15.4,394800,15.4
2016-03-11,15.81,16.219999,15.76,16.219999,248400,16.219999
2016-03-14,16.370001,16.629999,16.309999,16.559999,184900,16.559999
2016-03-15,16.299999,16.431999,16.120001,16.370001,120600,16.370001
2016-03-16,16.389999,17.17,16.290001,17.139999,284800,17.139999
2016-03-17,17.34,17.790001,17.240999,17.66,732800,17.66
2016-03-18,18.15,18.610001,18.15,18.4,380400,18.4
2016-03-21,19.190001,19.190001,18.799999,19.07,391800,19.07
2016-03-22,18.610001,18.620001,18.296,18.34,324600,18.34
2016-03-23,18.48,18.549999,18.18,18.25,169200,18.25
2016-03-24,17.52,17.535,17.32,17.450001,264000,17.450001
2016-03-28,17.25,17.68,17.25,17.639999,166100,17.639999
2016-03-29,17.1,17.764999,17.030001,17.59,312400,17.59
2016-03-30,18.690001,18.940001,18.6,18.76,516600,18.76
