Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.1,10.1,10.1,10.1,0,9.879767
2016-01-05,9.85,9.87,9.85,9.87,200,9.654782
2016-01-06,9.87,9.87,9.87,9.87,0,9.654782
2016-01-07,9.87,9.87,9.87,9.87,0,9.654782
2016-01-08,9.47,9.47,9.47,9.47,300,9.263504
2016-01-11,9.0,9.0,8.99,8.99,300,8.79397
2016-01-12,9.16,9.16,9.16,9.16,300,8.960263
2016-01-13,9.12,9.12,8.84,8.84,2100,8.647241
2016-01-14,8.86,8.86,8.86,8.86,100,8.666805
2016-01-15,8.55,8.55,8.55,8.55,200,8.363565
2016-01-19,8.55,8.55,8.55,8.55,0,8.363565
2016-01-20,8.55,8.55,8.55,8.55,0,8.363565
2016-01-21,8.36,8.36,8.36,8.36,500,8.177707
2016-01-22,8.55,8.73,8.55,8.7,900,8.510294
2016-01-25,8.68,8.68,8.53,8.53,600,8.344001
2016-01-26,8.54,8.55,8.54,8.55,1100,8.363565
2016-01-27,8.44,8.44,8.44,8.44,200,8.255963
2016-01-28,8.44,8.44,8.44,8.44,0,8.255963
2016-01-29,9.0,9.0,9.0,9.0,400,8.803752
2016-02-01,8.77,8.77,8.77,8.77,400,8.578768
2016-02-02,8.77,8.77,8.77,8.77,0,8.578768
2016-02-03,8.42,8.42,8.42,8.42,100,8.2364
2016-02-04,8.42,8.42,8.42,8.42,0,8.2364
2016-02-05,8.57,8.57,8.53,8.54,2800,8.353783
2016-02-08,8.38,8.38,8.37,8.37,300,8.18749
2016-02-09,8.37,8.37,8.37,8.37,0,8.18749
2016-02-10,8.33,8.33,8.33,8.33,200,8.148362
2016-02-11,8.33,8.33,8.33,8.33,0,8.148362
2016-02-12,8.42,8.47,8.42,8.46,1800,8.275527
2016-02-16,8.96,8.97,8.77,8.77,600,8.578768
2016-02-17,8.8,8.93,8.8,8.82,39000,8.627677
2016-02-18,8.82,8.82,8.82,8.82,0,8.627677
2016-02-19,8.82,8.82,8.82,8.82,0,8.627677
2016-02-22,9.15,9.18,9.15,9.18,300,8.979828
2016-02-23,9.18,9.18,9.18,9.18,0,8.979828
2016-02-24,8.78,9.05,8.78,9.05,1100,8.852662
2016-02-25,8.81,9.0,8.81,9.0,900,8.803752
2016-02-26,9.09,9.09,9.05,9.05,500,8.852662
2016-02-29,8.97,8.97,8.91,8.96,2900,8.764625
2016-03-01,8.96,8.96,8.96,8.96,100,8.764625
2016-03-02,8.96,8.96,8.96,8.96,100,8.764625
2016-03-03,8.96,8.96,8.96,8.96,100,8.764625
2016-03-04,8.96,8.96,8.96,8.96,0,8.764625
2016-03-07,8.96,8.96,8.96,8.96,0,8.764625
2016-03-08,9.84,9.84,9.84,9.84,200,9.625436
2016-03-09,9.84,9.84,9.84,9.84,0,9.625436
2016-03-10,9.84,9.84,9.84,9.84,0,9.625436
2016-03-11,9.99,9.99,9.99,9.99,500,9.772165
2016-03-14,9.99,9.99,9.99,9.99,0,9.772165
2016-03-15,9.99,9.99,9.99,9.99,0,9.772165
2016-03-16,9.81,9.83,9.81,9.83,1100,9.615654
2016-03-17,9.97,9.97,9.97,9.97,200,9.752602
2016-03-18,9.97,9.97,9.97,9.97,0,9.752602
2016-03-21,9.97,9.97,9.97,9.97,0,9.752602
2016-03-22,10.01,10.01,10.0,10.01,1400,9.791729
2016-03-23,10.01,10.01,10.01,10.01,0,9.791729
2016-03-24,9.78,9.83,9.78,9.83,400,9.615654
2016-03-28,9.91,9.91,9.9,9.91,2500,9.693909
2016-03-29,9.91,9.91,9.91,9.91,0,9.693909
2016-03-30,10.16,10.24,10.16,10.17,2800,9.94824
2016-03-31,10.16,10.16,10.16,10.16,200,9.938458
2016-04-01,10.16,10.16,10.16,10.16,0,9.938458
2016-04-04,10.16,10.16,10.16,10.16,0,9.938458
2016-04-05,9.71,9.71,9.7,9.7,700,9.488489
2016-04-06,9.7,9.7,9.7,9.7,0,9.488489
2016-04-07,9.7,9.7,9.7,9.7,0,9.488489
2016-04-08,9.7,9.7,9.7,9.7,0,9.488489
2016-04-11,10.25,10.25,10.08,10.08,1000,9.860203
2016-04-12,10.27,10.27,10.25,10.25,500,10.026496
2016-04-13,10.76,10.76,10.75,10.76,900,10.525375
2016-04-14,10.76,10.76,10.76,10.76,0,10.525375
2016-04-15,10.76,10.76,10.76,10.76,0,10.525375
2016-04-18,10.76,10.76,10.76,10.76,0,10.525375
2016-04-19,10.7,10.7,10.7,10.7,100,10.466683
2016-04-20,10.4,10.47,10.4,10.47,1000,10.241699
2016-04-21,10.38,10.38,10.38,10.38,200,10.153661
2016-04-22,10.33,10.41,10.33,10.41,800,10.183007
2016-04-25,10.41,10.41,10.41,10.41,0,10.183007
2016-04-26,10.41,10.41,10.41,10.41,0,10.183007
2016-04-27,10.41,10.41,10.41,10.41,0,10.183007
2016-04-28,10.11,10.13,10.11,10.12,1600,9.89933
2016-04-29,10.07,10.07,10.07,10.07,200,9.85042
2016-05-02,10.06,10.06,10.06,10.06,300,9.840639
2016-05-03,10.06,10.06,10.06,10.06,0,9.840639
2016-05-04,10.06,10.06,10.06,10.06,0,9.840639
2016-05-05,10.06,10.06,10.06,10.06,0,9.840639
2016-05-06,10.06,10.06,10.06,10.06,0,9.840639
