Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.200001,24.450001,24.09,24.309999,15400,23.278418
2016-01-05,24.32,24.5,24.129999,24.129999,28000,23.106056
2016-01-06,24.26,24.32,24.129999,24.17,20000,23.144359
2016-01-07,24.25,24.530001,24.17,24.209999,2700,23.182661
2016-01-08,24.540001,24.549999,24.200001,24.200001,1400,23.173087
2016-01-11,24.139999,24.23,24.110001,24.16,3800,23.134783
2016-01-12,24.450001,24.58,24.1,24.1,4600,23.07733
2016-01-13,24.16,24.219999,23.969999,23.969999,5800,22.952845
2016-01-14,24.02,24.1,24.02,24.1,2200,23.07733
2016-01-15,23.82,23.969999,23.799999,23.799999,1400,22.790059
2016-01-19,23.870001,24.059999,23.84,23.84,2700,22.828363
2016-01-20,23.700001,23.84,23.639999,23.84,4200,22.828363
2016-01-21,23.809999,23.93,23.700001,23.709999,4600,22.703878
2016-01-22,23.610001,23.92,23.610001,23.91,4400,22.895392
2016-01-25,24.02,24.129999,23.870001,23.870001,1100,22.85709
2016-01-26,23.82,24.139999,23.82,23.9,3500,22.885816
2016-01-27,23.889999,24.16,23.799999,23.85,2700,22.837939
2016-01-28,23.860001,24.24,23.860001,23.940001,7100,22.92412
2016-01-29,24.26,24.27,23.780001,24.030001,4000,23.010301
2016-02-01,23.799999,24.290001,23.799999,24.17,2500,23.231368
2016-02-02,24.23,24.23,23.790001,23.790001,900,22.866126
2016-02-03,23.950001,24.040001,23.799999,23.879999,2100,22.95263
2016-02-04,23.84,23.959999,23.709999,23.709999,4400,22.789231
2016-02-05,23.74,24.049999,23.74,24.049999,700,23.116028
2016-02-08,23.780001,24.01,23.58,23.73,2900,22.808455
2016-02-09,23.52,23.73,23.52,23.6,6600,22.683504
2016-02-10,23.67,23.99,23.51,23.790001,1800,22.866126
2016-02-11,23.73,23.83,23.57,23.75,2300,22.827679
2016-02-12,23.91,23.950001,23.59,23.68,2900,22.760398
2016-02-16,23.389999,23.870001,23.389999,23.790001,5800,22.866126
2016-02-17,23.549999,23.84,23.549999,23.719999,8600,22.798843
2016-02-18,23.9,24.049999,23.620001,23.709999,3200,22.789231
2016-02-19,23.77,24.110001,23.719999,24.07,6000,23.135252
2016-02-22,24.08,24.24,23.75,24.07,3600,23.135252
2016-02-23,23.790001,24.07,23.790001,24.030001,5100,23.096806
2016-02-24,24.139999,24.24,23.940001,24.120001,13000,23.183311
2016-02-25,23.99,24.219999,23.99,24.190001,15600,23.250592
2016-02-26,24.309999,24.4,23.98,24.33,4200,23.385155
2016-02-29,24.049999,24.43,24.049999,24.43,2000,23.481272
2016-03-01,24.469999,24.49,24.040001,24.360001,4400,23.500567
2016-03-02,24.34,24.52,24.34,24.4,1400,23.539155
2016-03-03,24.6,24.6,24.440001,24.440001,1000,23.577744
2016-03-04,24.5,24.690001,24.219999,24.450001,4300,23.587392
2016-03-07,24.5,24.73,24.4,24.58,2500,23.712805
2016-03-08,24.299999,24.76,24.299999,24.41,5000,23.548802
2016-03-09,24.780001,24.780001,24.379999,24.780001,2000,23.905749
2016-03-10,24.540001,24.790001,24.290001,24.700001,14100,23.828572
2016-03-11,24.709999,24.940001,24.6,24.799999,4700,23.925042
2016-03-14,24.870001,24.870001,24.629999,24.709999,6500,23.838217
2016-03-15,24.799999,24.91,24.49,24.610001,3500,23.741747
2016-03-16,24.9,24.91,24.49,24.76,9300,23.886454
2016-03-17,24.870001,25.040001,24.780001,24.870001,3800,23.992574
2016-03-18,24.99,25.02,24.9,24.950001,2500,24.069752
2016-03-21,24.860001,25.129999,24.75,25.110001,28100,24.224107
2016-03-22,24.85,25.09,24.85,25.09,1700,24.204812
2016-03-23,24.98,25.07,24.73,24.83,7400,23.953984
2016-03-24,25.1,25.1,24.74,25.01,1800,24.127634
2016-03-28,24.85,25.02,24.610001,24.809999,2300,23.93469
2016-03-29,24.73,25.0,24.73,24.91,2000,24.031162
2016-03-30,25.129999,25.209999,24.809999,24.93,118100,24.050457
2016-03-31,25.219999,25.219999,24.98,25.139999,800,24.253047
2016-04-01,25.139999,25.16,25.0,25.01,1400,24.213353
2016-04-04,25.17,25.17,25.030001,25.030001,800,24.232717
2016-04-05,25.02,25.18,25.0,25.18,2600,24.377938
2016-04-06,25.09,25.23,25.09,25.23,133500,24.426345
2016-04-07,25.049999,25.23,25.049999,25.110001,3200,24.310168
2016-04-08,25.309999,25.309999,25.190001,25.299999,11700,24.494115
2016-04-11,25.01,25.27,25.01,25.24,5000,24.436027
2016-04-12,25.32,25.450001,25.18,25.33,24200,24.52316
2016-04-13,25.209999,25.4,25.209999,25.34,2600,24.532842
2016-04-14,25.200001,25.5,25.200001,25.4,2000,24.59093
2016-04-15,25.200001,25.469999,25.200001,25.35,2000,24.542523
2016-04-18,25.35,25.49,25.219999,25.219999,1600,24.416663
2016-04-19,25.450001,25.549999,25.26,25.5,2400,24.687745
2016-04-20,25.52,25.629999,25.35,25.379999,6300,24.571567
2016-04-21,25.4,25.49,25.379999,25.379999,800,24.571567
2016-04-22,25.280001,25.52,25.280001,25.290001,3600,24.484435
2016-04-25,25.59,25.6,25.33,25.6,2300,24.78456
2016-04-26,25.49,25.610001,25.389999,25.57,8600,24.755515
2016-04-27,25.290001,25.559999,25.290001,25.4,5700,24.59093
2016-04-28,25.49,25.65,25.379999,25.610001,1400,24.794242
2016-04-29,25.57,25.57,25.459999,25.5,2300,24.687745
2016-05-02,25.66,25.66,25.549999,25.549999,600,24.824742
2016-05-03,25.59,25.59,25.42,25.48,4000,24.845219
2016-05-04,25.32,25.469999,25.32,25.33,1500,24.698956
2016-05-05,25.73,25.73,25.49,25.49,2100,24.85497
2016-05-06,25.389999,25.469999,25.309999,25.459999,1500,24.825717
2016-05-09,25.549999,25.549999,25.23,25.34,800,24.708707
2016-05-10,25.280001,25.610001,25.280001,25.49,7400,24.85497
2016-05-11,25.450001,25.66,25.34,25.540001,1800,24.903726
2016-05-12,25.58,25.67,25.389999,25.58,16600,24.942728
2016-05-13,25.09,25.59,25.07,25.299999,1600,24.669703
2016-05-16,25.540001,25.67,25.16,25.219999,4900,24.591696
2016-05-17,25.440001,25.639999,25.34,25.639999,2300,25.001233
2016-05-18,25.370001,25.549999,25.370001,25.549999,1200,24.913475
2016-05-19,25.540001,25.540001,25.129999,25.280001,1700,24.650203
2016-05-20,25.0,25.42,25.0,25.360001,1500,24.72821
2016-05-23,25.43,25.52,25.389999,25.52,2900,24.884223
2016-05-24,25.209999,25.549999,25.139999,25.549999,6300,24.913475
2016-05-25,25.379999,25.450001,25.370001,25.379999,2100,24.74771
2016-05-26,25.5,25.59,25.120001,25.59,1000,24.952479
2016-05-27,25.610001,25.610001,25.27,25.48,4700,24.845219
2016-05-31,25.66,25.66,25.42,25.42,4300,24.786714
2016-06-01,25.389999,25.459999,25.309999,25.379999,24700,24.838583
2016-06-02,25.41,25.51,25.309999,25.440001,3000,24.897305
2016-06-03,25.540001,25.65,25.299999,25.65,6800,25.102824
2016-06-06,25.780001,25.780001,25.58,25.690001,115100,25.141972
2016-06-07,25.530001,25.879999,25.530001,25.83,2900,25.278984
