Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,50.709999,50.84,50.66,50.669998,46600,49.809238
2016-01-05,50.669998,50.73,50.549999,50.66,16900,49.79941
2016-01-06,50.830002,50.93,50.740002,50.830002,24100,49.966524
2016-01-07,50.939999,50.98,50.82,50.93,14800,50.064824
2016-01-08,50.950001,51.130001,50.91,51.130001,66100,50.261427
2016-01-11,51.029999,51.209999,50.900002,51.009998,77100,50.143463
2016-01-12,51.080002,51.349998,50.98,51.279999,53900,50.408877
2016-01-13,51.200001,51.310001,51.130001,51.25,13000,50.379387
2016-01-14,51.200001,51.259998,51.07,51.09,12200,50.222106
2016-01-15,51.369999,51.59,51.259998,51.540001,61100,50.664462
2016-01-19,51.43,51.48,51.220001,51.360001,29600,50.487519
2016-01-20,51.549999,51.630001,51.380001,51.59,53700,50.713612
2016-01-21,51.540001,51.57,51.189999,51.400002,26300,50.526841
2016-01-22,51.259998,51.27,51.060001,51.060001,62300,50.192616
2016-01-25,51.25,51.259998,51.07,51.16,77300,50.290916
2016-01-26,51.07,51.07,50.970001,50.990002,28500,50.123806
2016-01-27,51.09,51.130001,50.900002,51.029999,15800,50.163124
2016-01-28,51.060001,51.560001,51.009998,51.09,99500,50.222106
2016-01-29,51.27,51.439999,51.16,51.34,16400,50.467859
2016-02-01,51.43,51.43,51.209999,51.369999,36300,50.601823
2016-02-02,51.509998,51.639999,51.380001,51.639999,15900,50.867786
2016-02-03,51.450001,51.709999,51.419998,51.419998,18000,50.651074
2016-02-04,51.57,51.779999,51.389999,51.610001,103200,50.838235
2016-02-05,51.43,51.700001,51.360001,51.549999,53300,50.779131
2016-02-08,51.740002,51.869999,51.580002,51.709999,41500,50.936739
2016-02-09,51.610001,51.77,51.540001,51.599998,13400,50.828383
2016-02-10,51.790001,51.91,51.650002,51.82,24400,51.045094
2016-02-11,52.119999,52.240002,52.02,52.130001,37800,51.35046
2016-02-12,52.130001,52.150002,51.970001,52.009998,18200,51.232252
2016-02-16,51.700001,51.82,51.57,51.700001,17500,50.92689
2016-02-17,51.709999,51.73,51.529999,51.57,22200,50.798833
2016-02-18,51.669998,52.220001,51.540001,52.0,20300,51.222403
2016-02-19,51.650002,51.880001,51.34,51.619999,34700,50.848084
2016-02-22,51.48,51.610001,51.41,51.52,13500,50.749581
2016-02-23,51.599998,51.75,51.59,51.68,21200,50.907188
2016-02-24,51.759998,51.849998,51.639999,51.669998,90700,50.897336
2016-02-25,51.740002,51.919998,51.740002,51.830002,14900,51.054947
2016-02-26,51.73,51.799999,51.66,51.740002,36600,50.966292
2016-02-29,51.779999,51.900002,51.709999,51.860001,38100,51.084497
2016-03-01,51.75,51.75,51.509998,51.599998,25700,50.828383
2016-03-02,51.419998,51.52,51.240002,51.450001,16200,50.680628
2016-03-03,51.349998,51.5,51.330002,51.349998,12500,50.582121
2016-03-04,51.360001,51.43,51.220001,51.400002,42200,50.631377
2016-03-07,51.290001,51.52,51.259998,51.380001,633600,50.611675
2016-03-08,51.43,51.66,51.43,51.57,286300,50.798833
2016-03-09,51.549999,51.650002,51.459999,51.48,71900,50.710178
2016-03-10,51.529999,51.639999,51.25,51.330002,33100,50.562424
2016-03-11,51.400002,51.450001,51.189999,51.279999,21600,50.513168
2016-03-14,51.23,51.450001,51.099998,51.099998,66000,50.33586
2016-03-15,51.34,51.41,51.150002,51.32,19300,50.552571
2016-03-16,51.389999,51.48,51.07,51.27,39700,50.50332
2016-03-17,51.27,51.68,51.27,51.549999,23000,50.779131
2016-03-18,51.73,51.790001,51.549999,51.700001,21600,50.92689
2016-03-21,51.84,51.919998,51.599998,51.599998,39600,50.828383
2016-03-22,51.709999,51.959999,51.459999,51.5,59200,50.72988
2016-03-23,51.630001,51.82,51.48,51.48,59300,50.710178
2016-03-24,51.75,51.919998,51.080002,51.080002,16300,50.316162
2016-03-28,51.48,51.779999,51.459999,51.59,27800,50.818534
2016-03-29,51.669998,51.990002,51.580002,51.700001,30500,50.92689
2016-03-30,51.830002,52.009998,51.790001,51.950001,30000,51.173151
2016-03-31,51.93,52.209999,51.93,52.02,13300,51.242104
2016-04-01,51.939999,52.200001,51.919998,52.02,21700,51.242104
2016-04-04,51.990002,52.150002,51.900002,52.029999,19700,51.251953
2016-04-05,52.029999,52.23,52.029999,52.110001,65800,51.330758
2016-04-06,52.040001,52.16,52.0,52.02,25800,51.242104
2016-04-07,52.09,52.32,51.950001,52.189999,23000,51.40956
2016-04-08,52.139999,52.279999,52.110001,52.209999,14300,51.429262
2016-04-11,52.130001,52.330002,52.119999,52.189999,16100,51.40956
2016-04-12,52.049999,52.16,52.009998,52.029999,22000,51.251953
2016-04-13,51.990002,52.18,51.919998,52.130001,19900,51.35046
2016-04-14,52.02,52.16,51.98,52.139999,40000,51.360309
