Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.530001,26.530001,26.530001,26.530001,0,26.530001
2016-01-05,26.469999,26.469999,26.4,26.42,900,26.42
2016-01-06,26.370001,26.469999,26.370001,26.459999,6500,26.459999
2016-01-07,26.4,26.4,26.32,26.360001,3400,26.360001
2016-01-08,26.42,26.42,26.26,26.290001,4700,26.290001
2016-01-11,26.219999,26.26,26.219999,26.26,2800,26.26
2016-01-12,26.299999,26.309999,26.24,26.26,6500,26.26
2016-01-13,26.280001,26.33,26.219999,26.219999,31900,26.219999
2016-01-14,26.200001,26.280001,26.200001,26.26,8400,26.26
2016-01-15,26.48,26.49,26.02,26.42,45200,26.42
2016-01-19,26.15,26.16,26.15,26.16,1600,26.16
2016-01-20,26.049999,26.190001,26.049999,26.190001,3600,26.190001
2016-01-21,26.17,26.200001,26.1,26.139999,12400,26.139999
2016-01-22,26.27,26.27,26.200001,26.200001,4000,26.200001
2016-01-25,26.27,26.27,26.18,26.18,3000,26.18
2016-01-26,26.23,26.290001,26.18,26.280001,4100,26.280001
2016-01-27,26.190001,26.26,26.16,26.18,5200,26.18
2016-01-28,26.23,26.27,26.209999,26.27,3500,26.27
2016-01-29,26.299999,26.34,26.23,26.34,6400,26.34
2016-02-01,26.290001,26.370001,26.290001,26.35,1600,26.35
2016-02-02,26.33,26.33,26.27,26.290001,1100,26.290001
2016-02-03,26.360001,26.360001,26.32,26.32,2000,26.32
2016-02-04,26.33,26.370001,26.309999,26.309999,7300,26.309999
2016-02-05,26.290001,26.299999,26.23,26.26,1800,26.26
2016-02-08,26.16,26.200001,26.120001,26.17,2600,26.17
2016-02-09,26.200001,26.209999,26.17,26.209999,3100,26.209999
2016-02-10,26.25,26.25,26.25,26.25,300,26.25
2016-02-11,26.27,26.27,26.129999,26.200001,16300,26.200001
2016-02-12,26.200001,26.23,26.200001,26.219999,800,26.219999
2016-02-16,26.23,26.23,26.23,26.23,200,26.23
2016-02-17,26.309999,26.32,26.290001,26.290001,4100,26.290001
2016-02-18,26.35,26.35,26.25,26.290001,1600,26.290001
2016-02-19,26.290001,26.290001,26.290001,26.290001,600,26.290001
2016-02-22,26.370001,26.370001,26.309999,26.32,2200,26.32
2016-02-23,26.360001,26.360001,26.27,26.27,5000,26.27
2016-02-24,26.209999,26.309999,26.209999,26.280001,9400,26.280001
2016-02-25,26.34,26.379999,26.290001,26.34,7900,26.34
2016-02-26,26.32,26.360001,26.309999,26.360001,8700,26.360001
2016-02-29,26.32,26.34,26.32,26.34,900,26.34
2016-03-01,26.370001,26.4,26.370001,26.370001,8400,26.370001
2016-03-02,26.389999,26.450001,26.379999,26.41,6600,26.41
2016-03-03,26.440001,26.469999,26.440001,26.469999,900,26.469999
