Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,18.07,18.110001,17.870001,18.110001,166700,17.279453
2016-01-05,18.15,18.17,18.02,18.17,56800,17.336701
2016-01-06,17.93,18.01,17.809999,17.879999,79900,17.06
2016-01-07,17.610001,17.76,17.5,17.530001,238000,16.726053
2016-01-08,17.629999,17.629999,17.379999,17.389999,98900,16.592472
2016-01-11,17.48,17.49,17.190001,17.309999,164000,16.516141
2016-01-12,17.41,17.48,17.059999,17.290001,197000,16.49706
2016-01-13,17.389999,17.41,16.9,16.92,153700,16.144028
2016-01-14,16.98,17.25,16.809999,17.139999,243400,16.353938
2016-01-15,16.76,16.83,16.559999,16.77,111300,16.000907
2016-01-19,16.92,17.0,16.51,16.620001,274100,15.857787
2016-01-20,16.469999,16.49,15.95,16.360001,240900,15.609711
2016-01-21,16.4,16.700001,16.290001,16.540001,299500,15.781456
2016-01-22,16.780001,17.059999,16.780001,17.0,245600,16.220359
2016-01-25,16.889999,16.950001,16.66,16.690001,151200,15.924576
2016-01-26,16.780001,17.059999,16.77,16.98,111200,16.201276
2016-01-27,16.969999,17.17,16.870001,16.940001,126000,16.163111
2016-01-28,17.09,17.139999,16.950001,17.09,100300,16.306231
2016-01-29,17.18,17.48,17.18,17.469999,68700,16.668803
2016-02-01,17.4,17.559999,17.290001,17.49,163700,16.687887
2016-02-02,17.299999,17.299999,17.110001,17.16,94700,16.373021
2016-02-03,17.290001,17.370001,16.99,17.32,121300,16.525683
2016-02-04,17.26,17.549999,17.26,17.43,81100,16.630639
2016-02-05,17.4,17.459999,17.25,17.26,104900,16.468435
2016-02-08,17.139999,17.139999,16.76,16.93,133100,16.153569
2016-02-09,16.809999,16.889999,16.6,16.719999,118800,15.953199
2016-02-10,16.77,16.9,16.65,16.65,78100,15.88641
2016-02-11,16.48,16.530001,16.219999,16.360001,196500,15.609711
2016-02-12,16.52,16.75,16.51,16.700001,108700,15.934118
2016-02-16,16.860001,17.030001,16.77,17.02,542700,16.239442
2016-02-17,17.049999,17.299999,17.049999,17.219999,106900,16.430269
2016-02-18,17.27,17.280001,17.17,17.27,71200,16.477977
2016-02-19,17.190001,17.190001,17.02,17.139999,107600,16.353938
2016-02-22,17.27,17.4,17.27,17.33,73200,16.535225
2016-02-23,17.299999,17.299999,17.110001,17.129999,62200,16.344396
2016-02-24,16.959999,17.24,16.799999,17.209999,67300,16.420727
2016-02-25,17.23,17.34,17.110001,17.309999,49500,16.516141
2016-02-26,17.42,17.49,17.32,17.370001,154100,16.573391
2016-02-29,17.370001,17.49,17.33,17.360001,60000,16.563849
2016-03-01,17.5,17.66,17.459999,17.629999,59600,16.821465
2016-03-02,17.610001,17.799999,17.559999,17.790001,62700,16.974129
2016-03-03,17.809999,18.040001,17.799999,18.040001,89300,17.212664
2016-03-04,18.030001,18.190001,17.950001,18.08,72100,17.250829
2016-03-07,18.040001,18.34,18.040001,18.309999,179000,17.47028
2016-03-08,18.290001,18.290001,17.959999,17.969999,86100,17.145873
2016-03-09,18.1,18.219999,18.02,18.129999,67600,17.298535
2016-03-10,18.16,18.219999,17.92,18.059999,61300,17.231745
2016-03-11,18.25,18.440001,18.25,18.43,111700,17.584778
2016-03-14,18.379999,18.42,18.290001,18.35,89400,17.508447
2016-03-15,18.25,18.25,18.1,18.219999,59500,17.384407
2016-03-16,18.219999,18.52,18.219999,18.49,338200,17.642025
2016-03-17,18.51,18.83,18.5,18.75,121700,17.890102
2016-03-18,18.73,18.9,18.700001,18.76,86400,17.899643
2016-03-21,18.77,18.809999,18.66,18.719999,68000,17.861477
2016-03-22,18.65,18.809999,18.57,18.77,67600,17.909185
2016-03-23,18.68,18.68,18.4,18.4,553300,17.556153
2016-03-24,18.07,18.17,17.959999,18.17,81500,17.547462
2016-03-28,18.23,18.25,18.1,18.17,77300,17.547462
2016-03-29,18.1,18.370001,18.040001,18.360001,253900,17.730952
2016-03-30,18.459999,18.58,18.35,18.42,93500,17.788896
2016-03-31,18.450001,18.51,18.42,18.49,84300,17.856498
2016-04-01,18.33,18.4,18.190001,18.35,91500,17.721295
2016-04-04,18.379999,18.389999,18.200001,18.23,137800,17.605405
2016-04-05,18.120001,18.129999,18.02,18.030001,104300,17.412259
2016-04-06,18.049999,18.17,17.950001,18.139999,70000,17.518489
2016-04-07,18.07,18.129999,17.879999,17.98,261800,17.363971
2016-04-08,18.1,18.26,18.1,18.129999,96400,17.508831
2016-04-11,18.23,18.360001,18.190001,18.190001,64200,17.566777
2016-04-12,18.25,18.540001,18.219999,18.48,90200,17.84684
2016-04-13,18.58,18.719999,18.57,18.690001,98400,18.049646
2016-04-14,18.68,18.68,18.57,18.620001,60500,17.982045
2016-04-15,18.610001,18.67,18.540001,18.59,65200,17.953072
2016-04-18,18.52,18.77,18.43,18.73,67200,18.088275
2016-04-19,18.799999,18.969999,18.780001,18.93,127500,18.281423
2016-04-20,18.969999,19.08,18.92,19.01,68800,18.358682
2016-04-21,19.02,19.059999,18.91,18.93,61300,18.281423
2016-04-22,19.0,19.139999,19.0,19.08,96100,18.426283
2016-04-25,19.049999,19.049999,18.879999,18.940001,55300,18.29108
2016-04-26,19.030001,19.120001,19.0,19.1,70100,18.445598
2016-04-27,19.120001,19.290001,19.110001,19.24,77900,18.580801
2016-04-28,19.1,19.25,19.059999,19.08,67600,18.426283
2016-04-29,19.07,19.129999,18.879999,19.01,69700,18.358682
2016-05-02,19.059999,19.110001,18.93,19.059999,77500,18.406968
2016-05-03,18.969999,18.969999,18.780001,18.85,55100,18.204164
2016-05-04,18.77,18.85,18.68,18.73,157500,18.088275
2016-05-05,18.790001,18.870001,18.66,18.719999,44200,18.078617
2016-05-06,18.629999,18.799999,18.629999,18.74,98600,18.097932
2016-05-09,18.75,18.75,18.59,18.65,62400,18.011016
2016-05-10,18.709999,18.879999,18.709999,18.85,40200,18.204164
2016-05-11,18.790001,18.889999,18.68,18.76,51000,18.117247
2016-05-12,18.76,18.92,18.68,18.75,56400,18.10759
2016-05-13,18.700001,18.77,18.57,18.6,45400,17.962729
2016-05-16,18.610001,18.83,18.610001,18.82,47600,18.175191
2016-05-17,18.75,18.9,18.700001,18.77,119400,18.126905
2016-05-18,18.66,18.83,18.59,18.639999,73800,18.001358
2016-05-19,18.549999,18.59,18.42,18.530001,45900,17.895128
2016-05-20,18.59,18.76,18.559999,18.73,49700,18.088275
2016-05-23,18.700001,18.799999,18.690001,18.690001,59300,18.049646
2016-05-24,18.85,18.889999,18.780001,18.85,46800,18.204164
2016-05-25,18.969999,19.09,18.969999,19.030001,94600,18.377997
2016-05-26,19.110001,19.15,18.950001,18.950001,83300,18.300738
2016-05-27,18.93,19.07,18.93,19.01,64200,18.358682
2016-05-31,19.02,19.110001,18.93,19.02,50700,18.368339
2016-06-01,18.879999,19.09,18.85,19.08,61000,18.426283
2016-06-02,19.030001,19.16,19.01,19.139999,40500,18.484227
2016-06-03,19.18,19.190001,19.01,19.139999,52200,18.484227
2016-06-06,19.200001,19.379999,19.200001,19.360001,100300,18.696691
2016-06-07,19.370001,19.52,19.370001,19.450001,74400,18.783607
2016-06-08,19.48,19.610001,19.450001,19.5,40900,18.831893
2016-06-09,19.41,19.41,19.299999,19.35,421300,18.687033
2016-06-10,19.290001,19.290001,18.99,19.040001,53400,18.387655
2016-06-13,18.969999,19.030001,18.790001,18.799999,73400,18.155876
2016-06-14,18.74,18.84,18.57,18.68,96500,18.039988
2016-06-15,18.690001,18.85,18.66,18.76,71800,18.117247
2016-06-16,18.719999,18.77,18.459999,18.74,113100,18.097932
2016-06-17,18.73,18.950001,18.73,18.9,84900,18.25245
2016-06-20,19.030001,19.219999,19.030001,19.040001,44800,18.387655
2016-06-21,19.07,19.16,18.98,19.110001,61300,18.455256
2016-06-22,19.120001,19.24,19.07,19.07,34600,18.416626
2016-06-23,19.27,19.379999,19.26,19.370001,34500,18.706348
2016-06-24,18.469999,18.780001,18.469999,18.530001,75100,18.103548
2016-06-27,18.389999,18.389999,17.93,17.98,84000,17.566204
2016-06-28,18.190001,18.459999,18.190001,18.450001,79700,18.025389
2016-06-29,18.639999,18.799999,18.629999,18.77,38300,18.338024
2016-06-30,18.84,18.950001,18.66,18.950001,91300,18.513882
2016-07-01,18.950001,19.110001,18.91,19.1,178500,18.660429
2016-07-05,18.98,18.98,18.709999,18.82,83700,18.386873
2016-07-06,18.74,18.9,18.629999,18.870001,103500,18.435723
2016-07-07,18.889999,19.040001,18.75,18.84,52900,18.406413
2016-07-08,18.99,19.17,18.99,19.139999,70500,18.699508
2016-07-11,19.25,19.290001,19.23,19.25,100000,18.806977
2016-07-12,19.33,19.59,19.33,19.530001,102000,19.080534
2016-07-13,19.559999,19.59,19.389999,19.48,45500,19.031683
2016-07-14,19.610001,19.639999,19.540001,19.549999,37800,19.100072
2016-07-15,19.610001,19.639999,19.49,19.51,73000,19.060993
2016-07-18,19.51,19.68,19.459999,19.639999,114400,19.188001
2016-07-19,19.65,19.65,19.530001,19.57,56300,19.119612
2016-07-20,19.59,19.719999,19.51,19.66,53100,19.207541
2016-07-21,19.66,19.76,19.610001,19.629999,103400,19.178231
2016-07-22,19.66,19.719999,19.610001,19.690001,63800,19.236851
2016-07-25,19.690001,19.700001,19.6,19.639999,53700,19.188001
2016-07-26,19.58,19.700001,19.559999,19.629999,37600,19.178231
2016-07-27,19.65,19.74,19.51,19.58,30400,19.129382
2016-07-28,19.530001,19.559999,19.450001,19.49,47700,19.041453
2016-07-29,19.459999,19.690001,19.450001,19.65,52100,19.197771
2016-08-01,19.65,19.65,19.41,19.459999,137000,19.012143
2016-08-02,19.450001,19.59,19.190001,19.26,161200,18.816747
2016-08-03,19.209999,19.440001,19.200001,19.43,232100,18.982835
2016-08-04,19.459999,19.52,19.4,19.459999,31100,19.012143
2016-08-05,19.52,19.65,19.5,19.6,41400,19.148922
2016-08-08,19.66,19.700001,19.639999,19.66,112900,19.207541
2016-08-09,19.67,19.700001,19.549999,19.57,45500,19.119612
2016-08-10,19.620001,19.620001,19.459999,19.49,46300,19.041453
2016-08-11,19.58,19.700001,19.549999,19.690001,77800,19.236851
2016-08-12,19.629999,19.74,19.620001,19.66,51200,19.207541
2016-08-15,19.719999,19.82,19.719999,19.790001,36400,19.33455
2016-08-16,19.790001,19.790001,19.68,19.68,70500,19.227081
2016-08-17,19.68,19.719999,19.57,19.700001,56200,19.246621
2016-08-18,19.700001,19.85,19.700001,19.84,54800,19.383399
2016-08-19,19.85,19.85,19.719999,19.799999,55600,19.344318
2016-08-22,19.74,19.74,19.66,19.709999,56700,19.256389
2016-08-23,19.790001,19.889999,19.790001,19.85,38700,19.393169
2016-08-24,19.84,19.85,19.700001,19.74,49300,19.2857
2016-08-25,19.690001,19.809999,19.690001,19.73,62500,19.27593
2016-08-26,19.790001,19.93,19.629999,19.700001,58500,19.246621
2016-08-29,19.67,19.809999,19.67,19.790001,53400,19.33455
2016-08-30,19.790001,19.860001,19.75,19.799999,45800,19.344318
2016-08-31,19.780001,19.85,19.66,19.74,57700,19.2857
2016-09-01,19.700001,19.75,19.52,19.620001,69900,19.168462
2016-09-02,19.719999,19.84,19.719999,19.780001,62800,19.32478
2016-09-06,19.780001,19.809999,19.709999,19.799999,74500,19.344318
2016-09-07,19.83,19.92,19.83,19.92,34900,19.461557
2016-09-08,19.879999,19.950001,19.870001,19.91,39900,19.451787
2016-09-09,19.74,19.74,19.360001,19.389999,109500,18.943754
2016-09-12,19.25,19.58,19.18,19.52,88600,19.070764
2016-09-13,19.440001,19.440001,19.120001,19.16,76200,18.719048
2016-09-14,19.129999,19.25,19.07,19.120001,49900,18.67997
2016-09-15,19.08,19.34,19.08,19.27,48800,18.826517
2016-09-16,19.190001,19.280001,19.15,19.24,30700,18.797207
2016-09-19,19.25,19.440001,19.25,19.35,42900,18.904676
2016-09-20,19.389999,19.389999,19.280001,19.280001,41600,18.836287
2016-09-21,19.34,19.549999,19.290001,19.51,49800,19.060993
2016-09-22,19.68,19.74,19.66,19.690001,34900,19.236851
2016-09-23,19.66,19.709999,19.6,19.629999,52200,19.178231
2016-09-26,19.35,19.389999,19.23,19.27,68200,19.062492
2016-09-27,19.219999,19.309999,19.200001,19.299999,184800,19.092168
2016-09-28,19.290001,19.48,19.200001,19.469999,42100,19.260337
2016-09-29,19.450001,19.469999,19.209999,19.290001,73100,19.082277
2016-09-30,19.379999,19.450001,19.309999,19.389999,76400,19.181199
2016-10-03,19.34,19.4,19.25,19.290001,51600,19.082277
2016-10-04,19.27,19.33,19.1,19.16,68100,18.953676
2016-10-05,19.299999,19.32,19.25,19.27,60500,19.062492
2016-10-06,19.27,19.280001,19.120001,19.23,82400,19.022922
2016-10-07,19.290001,19.290001,19.110001,19.17,48500,18.963568
2016-10-10,19.26,19.370001,19.26,19.290001,94800,19.082277
2016-10-11,19.280001,19.280001,19.040001,19.09,62800,18.88443
2016-10-12,19.129999,19.18,19.059999,19.139999,58700,18.933891
2016-10-13,19.030001,19.16,18.93,19.1,54300,18.894323
2016-10-14,19.110001,19.24,19.1,19.1,44200,18.894323
2016-10-17,19.1,19.18,19.07,19.07,47000,18.864645
2016-10-18,19.219999,19.27,19.15,19.24,54100,19.032814
2016-10-19,19.26,19.389999,19.23,19.35,66800,19.14163
2016-10-20,19.35,19.389999,19.27,19.360001,61400,19.151523
2016-10-21,19.27,19.43,19.26,19.41,310000,19.200984
2016-10-24,19.42,19.549999,19.379999,19.450001,55500,19.240554
2016-10-25,19.41,19.469999,19.34,19.4,79900,19.191091
2016-10-26,19.34,19.440001,19.309999,19.389999,68800,19.181199
2016-10-27,19.389999,19.43,19.24,19.25,74200,19.042707
2016-10-28,19.25,19.379999,19.190001,19.24,60000,19.032814
2016-10-31,19.24,19.33,19.24,19.299999,42400,19.092168
2016-11-01,19.290001,19.32,18.969999,19.030001,109000,18.825077
2016-11-02,19.040001,19.040001,18.809999,18.860001,71300,18.656907
2016-11-03,18.870001,18.98,18.84,18.860001,43900,18.656907
2016-11-04,18.870001,18.98,18.82,18.860001,55800,18.656907
2016-11-07,19.040001,19.200001,19.040001,19.190001,116500,18.983354
2016-11-08,19.110001,19.24,19.08,19.129999,50800,18.923998
2016-11-09,18.889999,19.41,18.85,19.33,115600,19.121845
2016-11-10,19.440001,19.58,19.290001,19.33,123600,19.121845
2016-11-11,19.25,19.4,19.209999,19.360001,76400,19.151523
2016-11-14,19.41,19.6,19.41,19.59,82000,19.379046
2016-11-15,19.58,19.73,19.5,19.719999,57000,19.507645
2016-11-16,19.73,19.73,19.59,19.629999,69000,19.418614
2016-11-17,19.74,19.76,19.66,19.67,46100,19.458184
2016-11-18,19.719999,19.73,19.620001,19.700001,63500,19.487862
2016-11-21,19.75,19.860001,19.75,19.82,58700,19.606569
2016-11-22,19.860001,19.98,19.860001,19.969999,105300,19.754953
2016-11-23,19.870001,19.98,19.870001,19.93,51400,19.715385
2016-11-25,19.98,20.0,19.950001,19.969999,72800,19.754953
2016-11-28,19.9,19.969999,19.809999,19.809999,80000,19.596676
2016-11-29,19.780001,19.91,19.780001,19.83,77900,19.616461
2016-11-30,19.940001,19.950001,19.84,19.84,126100,19.626354
2016-12-01,19.85,19.93,19.76,19.809999,56800,19.596676
2016-12-02,19.799999,19.91,19.790001,19.84,94900,19.626354
2016-12-05,19.93,20.01,19.93,20.0,148700,19.784631
2016-12-06,20.030001,20.16,19.99,20.139999,67200,19.923122
2016-12-07,20.15,20.42,20.15,20.4,92400,20.180323
2016-12-08,20.35,20.49,20.35,20.42,89000,20.200108
2016-12-09,20.43,20.48,20.379999,20.440001,67900,20.219893
2016-12-12,20.5,20.52,20.34,20.360001,94700,20.140754
2016-12-13,20.4,20.52,20.370001,20.450001,198000,20.229785
2016-12-14,20.440001,20.469999,20.209999,20.209999,91300,19.992368
2016-12-15,20.200001,20.34,20.129999,20.27,121500,20.051724
2016-12-16,20.309999,20.41,20.27,20.299999,81300,20.081399
2016-12-19,20.32,20.41,20.299999,20.370001,62400,20.150647
2016-12-20,20.4,20.48,20.360001,20.440001,57100,20.219893
2016-12-21,20.440001,20.5,20.440001,20.48,39600,20.259461
2016-12-22,20.450001,20.48,20.389999,20.43,60000,20.21
2016-12-23,20.18,20.23,20.17,20.23,77300,20.23
2016-12-27,20.18,20.299999,20.18,20.24,113200,20.24
2016-12-28,20.290001,20.33,20.09,20.120001,39400,20.120001
2016-12-29,20.120001,20.23,20.120001,20.17,140700,20.17
2016-12-30,20.25,20.26,20.120001,20.16,421600,20.16
2017-01-03,20.290001,20.41,20.26,20.370001,165500,20.370001
