Date,Open,High,Low,Close,Volume,Adj Close
2016-09-21,25.15,25.23,25.030001,25.23,4700,25.221313
2016-09-22,25.41,25.573999,25.396999,25.49,15600,25.481224
2016-09-23,25.52,25.52,25.450001,25.450001,6800,25.441239
2016-09-26,25.4,25.4,25.190001,25.216999,5000,25.208317
2016-09-27,25.242001,25.360001,25.219999,25.33,1800,25.321279
2016-10-13,25.209999,25.209999,24.629999,24.83,4800,24.821452
2016-10-14,24.992001,25.0,24.860001,24.860001,900,24.851442
2016-10-17,24.959999,24.959999,24.719999,24.719999,7700,24.711489
2016-10-18,24.83,24.9,24.806999,24.855,6100,24.846443
2016-10-19,25.0,25.0,24.84,24.945,12700,24.936412
2016-10-20,25.17,25.17,24.870001,24.9,4900,24.891427
2016-10-21,24.77,24.790001,24.688,24.790001,6500,24.781466
2016-10-24,24.790001,25.01,24.790001,24.99,3400,24.981396
2016-10-25,24.860001,24.860001,24.75,24.785,9700,24.776467
2016-10-26,24.889999,24.889999,24.790001,24.790001,2600,24.781466
2016-10-27,24.98,24.98,24.577,24.577,8600,24.568538
2016-10-28,24.67,24.806,24.67,24.67,6700,24.661507
2016-10-31,24.737,24.737,24.737,24.737,200,24.728483
2016-11-01,24.73,24.73,24.58,24.58,800,24.571538
2016-11-02,25.49,25.49,24.502001,24.549999,800,24.541547
2016-11-03,24.360001,24.417,24.34,24.34,1200,24.33162
2016-11-04,24.415001,24.415001,24.35,24.35,1100,24.341617
2016-11-07,24.733,24.743999,24.733,24.743999,800,24.735481
2016-11-08,24.743999,24.743999,24.743999,24.743999,0,24.735481
2016-11-09,25.120001,25.120001,25.120001,25.120001,300,25.111353
2016-11-10,25.35,25.75,25.35,25.646999,7200,25.63817
2016-11-11,25.629999,25.629999,25.58,25.58,600,25.571193
2016-11-14,25.85,25.85,25.702,25.74,6800,25.731138
2016-11-15,25.629999,25.84,25.629999,25.84,3700,25.831104
2016-11-16,25.51,25.84,25.51,25.809999,6100,25.801114
2016-11-17,25.92,26.08,25.863001,26.08,4300,26.071021
2016-11-18,26.114,26.139999,26.007999,26.09,6000,26.081018
2016-11-21,26.0,26.190001,26.0,26.129999,154800,26.121003
2016-11-22,26.25,26.289,26.059999,26.18,46800,26.170987
2016-11-23,26.35,26.35,26.101,26.18,20200,26.170987
2016-11-25,26.309999,26.309999,26.211,26.299999,6300,26.290945
2016-11-28,26.35,26.35,26.226999,26.26,6900,26.25096
2016-11-29,26.309999,26.32,26.214001,26.24,16000,26.230966
2016-11-30,26.200001,26.200001,26.0,26.0,8600,25.991049
2016-12-01,26.049999,26.059999,25.92,25.958,6600,25.949063
2016-12-02,27.030001,27.24,25.780001,25.85,5000,25.841101
2016-12-05,26.040001,26.059999,25.926001,25.979,1600,25.970056
2016-12-06,27.02,27.02,25.9,26.049999,7400,26.041031
2016-12-07,26.049999,26.370001,26.049999,26.370001,6600,26.360922
2016-12-08,26.280001,26.459999,26.280001,26.42,19300,26.410904
2016-12-09,26.6,26.6,26.365999,26.459999,11100,26.45089
2016-12-12,26.57,26.57,26.296,26.299999,8300,26.290945
2016-12-13,27.02,27.02,26.35,26.360001,10500,26.350925
2016-12-14,26.280001,26.280001,26.09,26.110001,11300,26.101012
2016-12-15,26.18,26.360001,26.16,26.26,6600,26.25096
2016-12-16,26.25,26.27,26.233,26.26,4400,26.25096
2016-12-19,26.35,26.48,26.311001,26.360001,9400,26.350925
2016-12-20,26.48,26.5,26.4,26.440001,10000,26.430898
2016-12-21,26.469999,26.5,26.41,26.450001,3100,26.440895
2016-12-22,26.42,26.42,26.09,26.139999,14100,26.131
2016-12-23,26.24,26.25,26.191999,26.229,4500,26.229
2016-12-27,26.41,26.41,26.32,26.322001,2100,26.322001
2016-12-28,26.391001,26.43,26.09,26.09,9000,26.09
2016-12-29,26.18,26.26,26.07,26.115999,7000,26.115999
2016-12-30,26.167999,26.167999,25.889999,25.98,20000,25.98
2017-01-03,26.25,26.360001,26.09,26.191,14800,26.191
2017-01-04,26.389999,26.49,26.323,26.459999,11500,26.459999
2017-01-05,26.48,26.48,26.322001,26.33,5900,26.33
2017-01-06,26.43,26.459999,26.299999,26.375999,16400,26.375999
2017-01-09,26.360001,26.360001,26.27,26.27,1500,26.27
2017-01-10,26.25,26.4,26.25,26.344,7600,26.344
2017-01-11,26.459999,26.469999,26.371,26.469999,6700,26.469999
2017-01-12,26.35,26.48,26.33,26.48,2600,26.48
2017-01-13,26.587999,26.65,26.587999,26.629999,1200,26.629999
2017-01-17,26.52,26.74,26.479,26.554001,4700,26.554001
2017-01-18,26.75,26.75,26.608,26.655001,3500,26.655001
2017-01-19,26.58,26.722,26.5,26.540001,9100,26.540001
2017-01-20,26.67,26.67,26.587,26.620001,3500,26.620001
2017-01-23,26.6,26.601,26.434,26.434,1000,26.434
2017-01-24,26.541,26.790001,26.541,26.75,1800,26.75
2017-01-25,26.860001,26.938999,26.856001,26.913,1700,26.913
2017-01-26,27.01,27.02,26.948,26.948,4300,26.948
