Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,3.24,3.25,3.15,3.15,5100,3.15
2016-01-05,3.15,3.27,3.15,3.15,6000,3.15
2016-01-06,3.15,3.15,2.99,3.03,78400,3.03
2016-01-07,3.03,3.2,3.03,3.09,21800,3.09
2016-01-08,3.12,3.12,3.05,3.06,3300,3.06
2016-01-11,3.02,3.03,3.01,3.01,6400,3.01
2016-01-12,3.02,3.15,2.99,3.04,14700,3.04
2016-01-13,3.03,3.16,3.02,3.1,16200,3.1
2016-01-14,3.07,3.12,3.07,3.09,2000,3.09
2016-01-15,2.99,3.12,2.99,3.1,15200,3.1
2016-01-19,3.1,3.16,3.1,3.13,3600,3.13
2016-01-20,3.1,3.15,3.1,3.13,13100,3.13
2016-01-21,3.12,3.22,3.12,3.13,4200,3.13
2016-01-22,3.15,3.21,3.12,3.14,7800,3.14
2016-01-25,3.16,3.16,3.12,3.13,3400,3.13
2016-01-26,3.13,3.13,3.13,3.13,0,3.13
2016-01-27,3.12,3.13,3.11,3.11,1500,3.11
2016-01-28,3.12,3.12,3.05,3.06,1700,3.06
2016-01-29,3.16,3.2,3.16,3.2,400,3.2
2016-02-01,3.18,3.18,3.18,3.18,1100,3.18
2016-02-02,3.14,3.15,3.14,3.15,800,3.15
2016-02-03,3.13,3.13,3.06,3.06,1300,3.06
2016-02-04,3.06,3.16,3.06,3.12,2400,3.12
2016-02-05,3.07,3.12,3.07,3.12,17200,3.12
2016-02-08,3.15,3.15,3.05,3.1,15900,3.1
2016-02-09,3.05,3.05,3.01,3.03,7200,3.03
2016-02-10,3.01,3.01,2.98,2.99,7000,2.99
2016-02-11,2.99,2.99,2.91,2.94,11800,2.94
2016-02-12,2.97,3.05,2.97,3.02,3700,3.02
2016-02-16,3.05,3.05,3.05,3.05,100,3.05
2016-02-17,3.05,3.05,3.04,3.04,1400,3.04
2016-02-18,3.07,3.1,3.02,3.02,5500,3.02
2016-02-19,3.0,3.07,3.0,3.07,2700,3.07
2016-02-22,3.07,3.13,3.07,3.1,4900,3.1
2016-02-23,3.11,3.15,3.02,3.02,15800,3.02
2016-02-24,3.02,3.02,3.01,3.01,2800,3.01
2016-02-25,3.05,3.05,3.05,3.05,1700,3.05
2016-02-26,3.1,3.1,3.1,3.1,200,3.1
2016-02-29,3.1,3.12,3.1,3.12,1100,3.12
2016-03-01,3.06,3.1,3.02,3.1,3400,3.1
2016-03-02,3.15,3.15,3.03,3.03,7800,3.03
2016-03-03,3.05,3.12,3.05,3.11,17300,3.11
2016-03-04,3.04,3.27,3.04,3.19,21300,3.19
2016-03-07,3.2,3.3,3.2,3.21,22400,3.21
2016-03-08,3.25,3.25,3.16,3.16,5600,3.16
2016-03-09,3.19,3.39,3.19,3.37,3800,3.37
2016-03-10,3.41,3.41,3.25,3.29,13700,3.29
2016-03-11,3.25,3.46,3.25,3.4,9200,3.4
2016-03-14,3.32,3.43,3.26,3.4,10300,3.4
2016-03-15,3.4,3.52,3.32,3.48,30800,3.48
2016-03-16,3.45,3.47,3.43,3.47,4200,3.47
2016-03-17,3.4,3.49,3.4,3.48,8200,3.48
