Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,20.51,20.52,20.290001,20.41,252200,20.41
2016-01-05,20.35,20.389999,20.27,20.280001,265900,20.280001
2016-01-06,20.129999,20.18,20.120001,20.139999,122200,20.139999
2016-01-07,20.09,20.18,20.049999,20.059999,161600,20.059999
2016-01-08,20.16,20.27,20.110001,20.129999,174700,20.129999
2016-01-11,20.0,20.0,19.76,19.83,325600,19.83
2016-01-12,19.790001,20.0,19.77,19.950001,220100,19.950001
2016-01-13,20.040001,20.110001,20.0,20.0,142300,20.0
2016-01-14,19.99,20.040001,19.92,19.99,95600,19.99
2016-01-15,19.91,19.98,19.879999,19.969999,238700,19.969999
2016-01-19,20.0,20.15,19.969999,20.07,545400,20.07
2016-01-20,19.870001,19.9,19.67,19.790001,539000,19.790001
2016-01-21,19.85,20.07,19.82,20.01,196300,20.01
2016-01-22,20.18,20.25,20.08,20.129999,306800,20.129999
2016-01-25,20.110001,20.190001,20.040001,20.1,469100,20.1
2016-01-26,20.08,20.18,20.08,20.129999,62500,20.129999
2016-01-27,20.17,20.200001,20.09,20.1,169600,20.1
2016-01-28,20.1,20.120001,19.98,20.030001,211900,20.030001
2016-01-29,20.02,20.1,19.969999,19.99,203400,19.99
2016-02-01,20.0,20.15,19.98,20.08,288700,20.08
2016-02-02,20.040001,20.08,19.98,20.049999,671900,20.049999
2016-02-03,20.08,20.17,20.030001,20.129999,99300,20.129999
2016-02-04,20.200001,20.219999,20.02,20.030001,101500,20.030001
2016-02-05,19.99,20.040001,19.92,19.92,176500,19.92
2016-02-08,19.860001,19.889999,19.75,19.780001,88600,19.780001
2016-02-09,19.74,19.82,19.700001,19.709999,140600,19.709999
2016-02-10,19.719999,19.799999,19.68,19.719999,85300,19.719999
2016-02-11,19.57,19.66,19.549999,19.629999,105300,19.629999
2016-02-12,19.709999,19.77,19.66,19.700001,51100,19.700001
2016-02-16,19.73,19.860001,19.690001,19.860001,80200,19.860001
2016-02-17,19.76,19.98,19.76,19.91,87700,19.91
2016-02-18,19.940001,19.99,19.860001,19.860001,61800,19.860001
2016-02-19,19.84,19.860001,19.75,19.780001,101600,19.780001
2016-02-22,19.889999,19.98,19.889999,19.940001,89200,19.940001
