Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,57.98,57.98,57.98,57.98,0,57.98
2016-01-05,59.0,59.0,59.0,59.0,100,59.0
2016-01-06,70.0,70.0,70.0,70.0,200,70.0
2016-01-07,70.0,70.0,63.0,63.0,2200,63.0
2016-01-08,63.0,63.0,63.0,63.0,100,63.0
2016-01-11,63.0,63.0,63.0,63.0,0,63.0
2016-01-12,63.0,63.0,63.0,63.0,0,63.0
2016-01-13,63.0,63.0,63.0,63.0,0,63.0
2016-01-14,63.0,63.0,63.0,63.0,0,63.0
2016-01-15,56.900002,56.900002,56.900002,56.900002,100,56.900002
2016-01-19,56.900002,56.900002,56.900002,56.900002,0,56.900002
2016-01-20,56.900002,56.900002,56.900002,56.900002,0,56.900002
2016-01-21,65.0,66.629997,65.0,66.629997,300,66.629997
2016-01-22,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-01-25,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-01-26,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-01-27,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-01-28,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-01-29,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-01,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-02,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-03,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-04,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-05,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-08,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-09,66.629997,66.629997,66.629997,66.629997,0,66.629997
2016-02-10,57.799999,57.799999,57.799999,57.799999,400,57.799999
2016-02-11,57.799999,57.799999,57.799999,57.799999,0,57.799999
2016-02-12,57.799999,57.799999,57.799999,57.799999,0,57.799999
2016-02-16,60.0,60.0,60.0,60.0,100,60.0
2016-02-17,60.0,60.0,60.0,60.0,0,60.0
2016-02-18,60.0,60.0,60.0,60.0,0,60.0
2016-02-19,60.0,60.0,60.0,60.0,0,60.0
2016-02-22,60.0,60.0,60.0,60.0,0,60.0
2016-02-23,60.0,60.0,60.0,60.0,0,60.0
2016-02-24,60.0,60.0,60.0,60.0,0,60.0
2016-02-25,60.0,60.0,60.0,60.0,0,60.0
2016-02-26,60.0,60.0,60.0,60.0,0,60.0
2016-02-29,60.0,60.0,60.0,60.0,200,60.0
2016-03-01,60.0,60.0,60.0,60.0,0,60.0
2016-03-02,57.0,57.0,57.0,57.0,200,57.0
2016-03-03,57.0,57.0,57.0,57.0,100,57.0
2016-03-04,53.0,53.0,53.0,53.0,300,53.0
2016-03-07,53.0,53.0,53.0,53.0,0,53.0
2016-03-08,45.0,53.0,45.0,53.0,1500,53.0
2016-03-09,46.439999,46.439999,46.439999,46.439999,300,46.439999
2016-03-10,49.0,50.0,48.759998,50.0,1500,50.0
2016-03-11,50.0,50.0,50.0,50.0,0,50.0
2016-03-14,50.0,50.0,50.0,50.0,0,50.0
2016-03-15,50.0,50.0,50.0,50.0,0,50.0
2016-03-16,51.5,55.119999,51.5,53.439999,2500,53.439999
2016-03-17,53.439999,53.439999,53.439999,53.439999,0,53.439999
2016-03-18,50.23,55.419998,50.23,55.419998,500,55.419998
2016-03-21,56.0,56.0,56.0,56.0,900,56.0
2016-03-22,56.0,56.0,56.0,56.0,0,56.0
2016-03-23,56.0,56.0,56.0,56.0,0,56.0
2016-03-24,56.0,56.0,56.0,56.0,0,56.0
2016-03-28,56.0,56.0,56.0,56.0,0,56.0
2016-03-29,56.0,56.0,56.0,56.0,0,56.0
2016-03-30,56.0,56.0,56.0,56.0,0,56.0
2016-03-31,54.049999,56.0,54.049999,56.0,300,56.0
2016-04-01,56.0,56.0,56.0,56.0,0,56.0
2016-04-04,56.0,56.0,56.0,56.0,0,56.0
2016-04-05,54.0,54.0,54.0,54.0,200,54.0
2016-04-06,59.810001,69.0,59.810001,60.200001,700,60.200001
2016-04-07,60.200001,60.200001,60.200001,60.200001,0,60.200001
2016-04-08,58.52,59.5,54.869999,59.5,600,59.5
2016-04-11,59.5,59.5,59.5,59.5,0,59.5
2016-04-12,59.5,59.5,59.5,59.5,0,59.5
2016-04-13,59.5,59.5,59.5,59.5,0,59.5
2016-04-14,59.5,59.5,59.5,59.5,0,59.5
2016-04-15,59.5,59.5,59.5,59.5,0,59.5
2016-04-18,62.029999,62.029999,62.029999,62.029999,200,62.029999
2016-04-19,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-20,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-21,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-22,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-25,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-26,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-27,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-28,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-04-29,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-02,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-03,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-04,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-05,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-06,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-09,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-10,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-11,62.029999,62.029999,62.029999,62.029999,0,62.029999
2016-05-12,38.700001,51.400002,38.700001,51.400002,700,51.400002
2016-05-13,51.400002,51.400002,51.400002,51.400002,0,51.400002
2016-05-16,45.0,50.0,45.0,50.0,1100,50.0
2016-05-17,50.0,50.0,50.0,50.0,0,50.0
2016-05-18,50.0,50.0,50.0,50.0,0,50.0
