Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,55.709999,55.799999,55.09,55.77,384100,53.550491
2016-01-05,55.150002,55.27,54.799999,55.25,189300,53.051186
2016-01-06,54.189999,54.529999,54.119999,54.380001,344700,52.215811
2016-01-07,53.52,53.77,53.279999,53.43,515900,51.303617
2016-01-08,53.779999,53.779999,53.060001,53.09,321500,50.977149
2016-01-11,53.310001,53.310001,52.75,52.990002,117900,50.88113
2016-01-12,53.419998,53.48,52.939999,53.43,236600,51.303617
2016-01-13,53.639999,53.639999,52.5,52.59,194100,50.497047
2016-01-14,52.639999,53.049999,52.310001,52.889999,311800,50.785107
2016-01-15,51.330002,51.48,50.82,50.939999,816400,48.912712
2016-01-19,50.939999,51.060001,50.259998,50.509998,364600,48.499824
2016-01-20,49.740002,49.889999,48.759998,49.639999,794700,47.664449
2016-01-21,49.470001,50.119999,49.080002,49.889999,226000,47.9045
2016-01-22,51.0,51.380001,50.959999,51.290001,115200,49.248785
2016-01-25,51.299999,51.52,51.209999,51.32,1718000,49.27759
2016-01-26,51.66,52.369999,51.619999,52.34,544400,50.256997
2016-01-27,52.139999,52.43,51.639999,51.779999,200600,49.719282
2016-01-28,52.470001,52.619999,52.119999,52.439999,242400,50.353015
2016-01-29,52.220001,52.869999,52.110001,52.860001,99900,50.756302
2016-02-01,52.689999,53.27,52.580002,53.189999,273300,51.073167
2016-02-02,52.560001,52.560001,51.900002,52.029999,245300,49.959333
2016-02-03,52.330002,52.869999,51.830002,52.869999,176600,50.765903
2016-02-04,52.490002,52.93,52.400002,52.84,76800,50.737098
2016-02-05,52.75,52.77,52.080002,52.25,93700,50.170578
2016-02-08,50.740002,50.740002,50.060001,50.43,333800,48.42301
2016-02-09,49.209999,50.029999,49.209999,49.82,170300,47.837286
2016-02-10,50.459999,50.610001,50.25,50.310001,132500,48.307787
2016-02-11,49.810001,50.040001,49.439999,49.720001,335600,47.741267
2016-02-12,49.880001,50.330002,49.82,50.330002,106200,48.326991
2016-02-16,50.959999,50.98,50.5,50.959999,145200,48.931916
2016-02-17,51.59,52.200001,51.59,52.119999,158200,50.045751
2016-02-18,52.459999,52.5,52.139999,52.169998,164700,50.09376
2016-02-19,51.790001,52.209999,51.759998,52.099998,105000,50.026546
2016-02-22,52.27,52.419998,52.209999,52.299999,112300,50.218588
2016-02-23,52.25,52.34,51.759998,51.880001,150400,49.815304
2016-02-24,51.34,52.200001,51.189999,52.150002,202400,50.07456
2016-02-25,52.080002,52.380001,51.84,52.32,93000,50.237792
2016-02-26,52.419998,52.48,51.939999,52.009998,81500,49.940128
2016-02-29,52.209999,52.470001,52.060001,52.080002,120400,50.007346
2016-03-01,52.939999,53.380001,52.830002,53.32,162900,51.197995
2016-03-02,53.02,53.259998,52.82,53.23,104200,51.111576
2016-03-03,53.349998,53.91,53.330002,53.900002,52600,51.754914
2016-03-04,54.240002,54.580002,54.240002,54.41,79600,52.244615
2016-03-07,53.939999,54.490002,53.880001,54.330002,96400,52.167801
2016-03-08,54.040001,54.099998,53.619999,53.650002,77000,51.514863
2016-03-09,53.599998,53.830002,53.48,53.639999,93600,51.505259
2016-03-10,53.91,54.360001,53.529999,53.759998,259100,51.620482
2016-03-11,54.59,55.0,54.52,54.950001,149300,52.763126
2016-03-14,54.990002,55.139999,54.919998,55.02,112500,52.83034
2016-03-15,54.740002,54.860001,54.650002,54.860001,69600,52.676707
2016-03-16,54.490002,55.650002,54.490002,55.639999,75900,53.425664
2016-03-17,55.900002,56.43,55.790001,56.27,112200,54.030593
2016-03-18,56.389999,56.549999,56.32,56.400002,79500,54.15542
2016-03-21,56.27,56.380001,56.119999,56.18,69000,53.944174
2016-03-22,55.610001,56.25,55.57,56.130001,1853300,53.896165
2016-03-23,56.009998,56.240002,55.84,55.91,1433900,53.684919
2016-03-24,55.560001,55.75,55.439999,55.73,90600,53.512082
2016-03-28,55.77,56.02,55.650002,55.990002,76300,53.761737
2016-03-29,55.700001,56.59,55.580002,56.540001,125900,54.289848
2016-03-30,56.959999,57.389999,56.779999,57.099998,80200,54.827559
2016-03-31,57.110001,57.43,57.0,57.029999,145400,54.760345
2016-04-01,56.490002,56.950001,56.200001,56.860001,119200,54.597112
2016-04-04,56.889999,56.889999,56.48,56.509998,128400,54.261039
2016-04-05,56.0,56.0,55.66,55.75,207500,53.531287
2016-04-06,56.02,56.450001,55.939999,56.43,96200,54.184225
2016-04-07,55.880001,55.959999,55.360001,55.48,116400,53.272032
2016-04-08,56.279999,56.41,56.040001,56.220001,41900,53.982583
2016-04-11,56.66,56.93,56.380001,56.380001,63700,54.136215
2016-04-12,56.560001,56.84,56.34,56.799999,62400,54.539499
2016-04-13,56.970001,57.130001,56.799999,56.959999,116200,54.693131
2016-04-14,56.869999,56.869999,56.57,56.610001,286200,54.357062
2016-04-15,56.549999,56.560001,56.23,56.25,324500,54.011388
2016-04-18,56.34,56.720001,56.32,56.540001,75000,54.289848
2016-04-19,57.240002,57.380001,57.049999,57.290001,156300,55.01
2016-04-20,57.130001,57.18,56.889999,56.91,98200,54.645122
2016-04-21,56.66,56.970001,56.259998,56.34,106600,54.097806
2016-04-22,56.509998,56.66,56.200001,56.380001,47400,54.136215
2016-04-25,56.369999,56.540001,56.310001,56.490002,44700,54.241838
2016-04-26,56.889999,57.0,56.75,56.82,88900,54.558703
2016-04-27,57.25,57.400002,57.0,57.189999,83900,54.913977
2016-04-28,57.029999,57.369999,56.959999,57.0,80300,54.73154
2016-04-29,57.389999,57.48,57.09,57.25,131300,54.971591
2016-05-02,57.41,57.75,57.389999,57.66,236000,55.365273
2016-05-03,57.200001,57.43,56.889999,56.939999,100300,54.673926
2016-05-04,56.799999,56.939999,56.599998,56.689999,78200,54.433876
2016-05-05,56.639999,56.639999,56.259998,56.400002,266700,54.15542
2016-05-06,56.43,56.650002,56.34,56.610001,73800,54.357062
2016-05-09,56.439999,56.560001,56.279999,56.330002,111200,54.088206
2016-05-10,56.439999,56.610001,56.32,56.560001,104000,54.309052
2016-05-11,56.349998,56.720001,56.349998,56.459999,52000,54.21303
2016-05-12,56.77,56.860001,56.330002,56.59,274700,54.337857
2016-05-13,56.07,56.209999,55.779999,55.869999,158800,53.64651
2016-05-16,56.200001,56.639999,56.200001,56.580002,90200,54.328257
2016-05-17,56.669998,57.0,56.48,56.490002,181300,54.241838
2016-05-18,56.490002,57.0,56.240002,56.470001,62800,54.222634
2016-05-19,56.330002,56.5,56.189999,56.439999,46100,54.193825
2016-05-20,56.84,56.84,56.619999,56.709999,53100,54.45308
2016-05-23,56.959999,57.200001,56.869999,57.02,167500,54.750744
2016-05-24,57.209999,57.740002,57.209999,57.66,89800,55.365273
2016-05-25,57.990002,58.310001,57.990002,58.23,123600,55.912589
2016-05-26,58.560001,58.59,58.299999,58.470001,111800,56.143039
2016-05-27,58.459999,58.5,58.209999,58.360001,40400,56.037416
2016-05-31,58.450001,58.77,58.060001,58.27,134900,55.950998
2016-06-01,57.98,58.349998,57.98,58.279999,108400,55.960598
2016-06-02,58.18,58.529999,58.02,58.529999,241800,56.200649
2016-06-03,58.869999,59.0,58.57,59.0,34400,56.651945
2016-06-06,58.630001,58.970001,58.459999,58.799999,133400,56.459904
2016-06-07,59.27,59.389999,59.189999,59.189999,118100,56.834382
2016-06-08,59.48,59.610001,59.299999,59.369999,114000,57.007219
2016-06-09,58.810001,58.900002,58.599998,58.84,231400,56.498313
2016-06-10,57.68,57.68,56.84,57.009998,155000,54.74114
2016-06-13,55.82,56.349998,55.709999,55.880001,124100,53.656114
2016-06-14,55.0,55.060001,54.599998,54.860001,106100,52.676707
2016-06-15,54.98,54.98,54.419998,54.48,2645100,52.311829
2016-06-16,53.779999,54.099998,53.150002,54.060001,2026000,51.908546
2016-06-17,54.830002,55.360001,54.759998,55.23,274300,53.031981
2016-06-20,55.43,55.560001,55.099998,55.119999,175500,54.408987
2016-06-21,55.040001,55.580002,54.860001,55.25,112600,54.537312
2016-06-22,55.380001,55.619999,55.150002,55.220001,255600,54.5077
2016-06-23,56.619999,57.09,56.23,57.0,84800,56.264738
2016-06-24,50.16,51.459999,50.139999,50.360001,1316100,49.71039
2016-06-27,48.450001,48.450001,47.400002,47.93,784200,47.311735
2016-06-28,48.84,49.27,48.59,49.27,492600,48.63445
2016-06-29,49.849998,50.200001,49.849998,50.080002,538900,49.434003
2016-06-30,50.380001,51.029999,50.32,51.029999,208100,50.371746
2016-07-01,51.130001,51.34,51.080002,51.189999,150000,50.529681
2016-07-05,49.369999,49.41,48.639999,48.790001,489800,48.160642
2016-07-06,48.169998,48.700001,47.830002,48.700001,318400,48.071803
2016-07-07,49.09,49.259998,48.509998,48.709999,157200,48.081672
2016-07-08,49.560001,49.77,49.509998,49.700001,131700,49.058904
2016-07-11,50.630001,50.959999,50.540001,50.75,115100,50.095359
2016-07-12,51.630001,52.099998,51.630001,51.799999,225500,51.131813
2016-07-13,51.98,52.139999,51.700001,51.700001,428100,51.033105
2016-07-14,52.080002,52.470001,52.080002,52.279999,321900,51.605621
2016-07-15,51.91,52.060001,51.669998,51.919998,172500,51.250265
2016-07-18,52.099998,52.43,52.0,52.220001,76000,51.546398
2016-07-19,51.939999,52.0,51.73,51.950001,50500,51.27988
2016-07-20,52.290001,52.650002,52.290001,52.43,144700,51.753688
2016-07-21,52.509998,52.849998,52.5,52.549999,77200,51.872139
2016-07-22,52.529999,52.580002,52.32,52.360001,65000,51.684591
2016-07-25,52.689999,52.869999,52.560001,52.790001,225700,52.109045
2016-07-26,52.700001,52.889999,52.650002,52.82,57400,52.138657
2016-07-27,53.41,53.849998,53.040001,53.650002,112000,52.957952
2016-07-28,53.77,53.959999,53.639999,53.950001,497400,53.254081
2016-07-29,54.209999,54.380001,53.959999,54.290001,53000,53.589696
2016-08-01,53.77,53.830002,53.419998,53.470001,86200,52.780274
2016-08-02,53.470001,53.540001,53.279999,53.450001,120900,52.760531
2016-08-03,52.919998,53.060001,52.82,53.049999,36800,52.365689
2016-08-04,53.119999,53.27,53.080002,53.220001,57100,52.533498
2016-08-05,53.16,53.540001,53.16,53.450001,33400,52.760531
2016-08-08,53.709999,53.709999,53.459999,53.669998,39200,52.977691
2016-08-09,53.860001,54.220001,53.860001,54.040001,188500,53.342921
2016-08-10,54.299999,54.400002,54.299999,54.34,76100,53.63905
2016-08-11,54.52,54.82,54.5,54.57,65400,53.866083
2016-08-12,54.959999,54.959999,54.599998,54.68,36200,53.974664
2016-08-15,54.610001,54.869999,54.610001,54.689999,43000,53.984534
2016-08-16,54.93,55.0,54.709999,54.720001,76100,54.014149
2016-08-17,54.48,54.779999,54.220001,54.59,59300,53.885825
2016-08-18,54.950001,55.290001,54.939999,55.290001,35300,54.576796
2016-08-19,54.689999,54.959999,54.639999,54.919998,43000,54.211566
2016-08-22,54.849998,55.139999,54.77,55.099998,86000,54.389245
2016-08-23,55.48,55.650002,55.34,55.380001,70900,54.665636
2016-08-24,55.66,55.759998,55.470001,55.490002,50600,54.774217
2016-08-25,55.150002,55.209999,54.970001,55.02,38200,54.310279
2016-08-26,55.240002,55.740002,54.470001,54.669998,72600,53.964791
2016-08-29,54.5,54.889999,54.48,54.889999,86200,54.181955
2016-08-30,54.759998,54.830002,54.549999,54.599998,71600,53.895695
2016-08-31,54.57,54.720001,54.439999,54.580002,48600,53.875956
2016-09-01,55.23,55.419998,55.099998,55.380001,39700,54.665636
2016-09-02,55.66,55.75,55.52,55.68,66100,54.961765
2016-09-06,56.049999,56.490002,56.049999,56.41,60200,55.682348
2016-09-07,56.529999,56.639999,56.369999,56.5,33200,55.771187
2016-09-08,56.740002,56.959999,56.650002,56.810001,70100,56.07719
2016-09-09,56.290001,56.290001,55.59,55.59,74000,54.872926
2016-09-12,54.919998,55.91,54.880001,55.900002,139900,55.178928
2016-09-13,55.130001,55.16,54.599998,54.759998,112700,54.053631
2016-09-14,54.939999,55.119999,54.73,54.84,37700,54.1326
2016-09-15,54.810001,55.299999,54.810001,55.23,20000,54.517569
2016-09-16,54.529999,54.689999,54.43,54.549999,49600,53.84634
2016-09-19,54.82,54.970001,54.59,54.709999,40000,54.004276
