Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,20.16,20.809999,20.030001,20.34,62400,20.34
2016-01-05,20.379999,20.379999,18.969999,19.120001,121800,19.120001
2016-01-06,19.559999,19.59,19.23,19.299999,85300,19.299999
2016-01-07,20.0,20.41,19.74,20.35,51900,20.35
2016-01-08,20.09,21.27,20.040001,21.27,91200,21.27
2016-01-11,21.15,21.15,20.459999,20.790001,84400,20.790001
2016-01-12,20.459999,21.530001,20.459999,21.23,56900,21.23
2016-01-13,21.07,22.26,20.629999,22.15,56600,22.15
2016-01-14,22.200001,22.75,21.700001,22.280001,54900,22.280001
2016-01-15,23.15,23.6,22.6,22.73,89200,22.73
2016-01-19,22.33,22.620001,21.91,22.35,52500,22.35
2016-01-20,22.91,25.540001,22.91,24.17,128700,24.17
2016-01-21,23.870001,24.379999,22.75,23.75,91200,23.75
2016-01-22,23.09,23.09,21.52,21.82,104400,21.82
2016-01-25,21.9,22.309999,21.27,22.18,31100,22.18
2016-01-26,21.98,21.98,20.780001,20.799999,67700,20.799999
2016-01-27,20.860001,22.389999,20.860001,21.93,103400,21.93
2016-01-28,21.620001,22.66,21.5,22.49,54900,22.49
2016-01-29,21.65,22.530001,21.07,21.139999,41600,21.139999
2016-02-01,21.360001,21.530001,20.51,20.969999,118200,20.969999
2016-02-02,21.219999,21.889999,21.15,21.59,27200,21.59
2016-02-03,21.33,21.92,20.9,21.110001,51800,21.110001
2016-02-04,21.15,21.6,20.870001,21.0,20200,21.0
2016-02-05,21.190001,22.360001,21.190001,22.280001,103000,22.280001
2016-02-08,22.75,25.17,22.690001,24.209999,232600,24.209999
2016-02-09,25.18,26.02,24.75,25.540001,128500,25.540001
2016-02-10,25.219999,25.280001,23.950001,25.049999,64800,25.049999
2016-02-11,26.110001,26.6,25.549999,25.92,80500,25.92
2016-02-12,25.5,25.969999,24.889999,25.129999,92200,25.129999
2016-02-16,24.629999,24.860001,23.66,23.74,52900,23.74
2016-02-17,23.49,23.51,22.42,23.120001,44900,23.120001
2016-02-18,23.09,23.299999,22.290001,22.469999,29700,22.469999
2016-02-19,22.700001,22.76,21.790001,22.08,39500,22.08
2016-02-22,21.530001,21.58,20.969999,21.43,93700,21.43
2016-02-23,21.450001,21.639999,20.91,21.610001,40100,21.610001
2016-02-24,22.32,22.32,21.59,21.700001,50400,21.700001
2016-02-25,21.42,21.42,20.309999,20.360001,52300,20.360001
2016-02-26,20.309999,20.65,20.200001,20.65,60500,20.65
2016-02-29,20.559999,20.98,20.049999,20.84,78800,20.84
2016-03-01,20.860001,20.870001,19.16,19.16,94100,19.16
2016-03-02,19.690001,19.690001,18.66,18.709999,60700,18.709999
2016-03-03,18.709999,18.950001,18.43,18.450001,59700,18.450001
2016-03-04,18.530001,18.809999,18.35,18.42,41500,18.42
2016-03-07,18.73,18.75,18.18,18.299999,34300,18.299999
2016-03-08,18.33,18.9,18.309999,18.790001,90500,18.790001
2016-03-09,18.610001,18.629999,18.219999,18.559999,59100,18.559999
2016-03-10,18.299999,19.24,18.030001,18.74,94700,18.74
2016-03-11,18.379999,18.379999,17.370001,17.4,62100,17.4
2016-03-14,17.41,17.66,17.360001,17.360001,26900,17.360001
2016-03-15,17.65,17.719999,17.299999,17.43,26000,17.43
2016-03-16,17.639999,17.68,16.68,16.790001,67800,16.790001
2016-03-17,16.700001,16.84,15.94,16.049999,64700,16.049999
2016-03-18,15.97,16.23,15.93,16.23,56100,16.23
2016-03-21,16.370001,16.780001,16.200001,16.709999,114100,16.709999
2016-03-22,16.82,16.959999,16.6,16.690001,62300,16.690001
2016-03-23,16.690001,16.99,16.68,16.950001,32900,16.950001
2016-03-24,16.959999,17.370001,16.9,16.959999,40000,16.959999
2016-03-28,17.0,17.0,16.370001,16.530001,32000,16.530001
2016-03-29,16.5,16.5,15.4,15.4,45800,15.4
2016-03-30,15.25,15.54,15.23,15.49,62200,15.49
2016-03-31,15.47,15.57,15.15,15.21,41300,15.21
2016-04-01,15.36,15.55,15.19,15.26,130400,15.26
2016-04-04,15.19,15.44,15.14,15.33,85000,15.33
2016-04-05,15.55,15.71,15.43,15.62,93500,15.62
2016-04-06,15.53,15.84,15.5,15.51,59300,15.51
2016-04-07,15.62,16.030001,15.55,15.83,39600,15.83
2016-04-08,15.63,15.63,15.37,15.55,24400,15.55
2016-04-11,15.4,15.64,15.33,15.61,9400,15.61
2016-04-12,15.56,15.62,15.19,15.32,34400,15.32
2016-04-13,15.21,15.63,15.18,15.48,89000,15.48
2016-04-14,15.53,15.87,15.52,15.77,34900,15.77
2016-04-15,15.7,15.88,15.3,15.41,40700,15.41
2016-04-18,15.58,15.58,15.18,15.21,232000,15.21
2016-04-19,15.15,15.33,15.08,15.17,29600,15.17
2016-04-20,15.15,15.95,15.14,15.92,55700,15.92
2016-04-21,16.0,16.879999,15.87,16.77,102800,16.77
2016-04-22,16.809999,16.809999,16.17,16.25,37800,16.25
2016-04-25,16.450001,16.450001,15.85,15.85,39900,15.85
2016-04-26,15.79,15.79,15.38,15.66,57600,15.66
2016-04-27,15.61,16.129999,15.57,15.69,113900,15.69
2016-04-28,16.16,16.16,15.48,15.8,42800,15.8
2016-04-29,15.98,16.59,15.92,16.219999,68800,16.219999
2016-05-02,16.290001,16.290001,15.33,15.46,109000,15.46
2016-05-03,15.64,15.72,15.35,15.38,43400,15.38
2016-05-04,15.61,15.66,14.62,14.72,111900,14.72
2016-05-05,14.68,14.86,14.5,14.55,128600,14.55
2016-05-06,14.55,14.75,14.05,14.06,105300,14.06
2016-05-09,14.06,14.06,13.54,13.63,244800,13.63
2016-05-10,13.6,13.74,13.51,13.61,52000,13.61
2016-05-11,13.63,14.65,13.63,14.51,352300,14.51
2016-05-12,14.51,14.76,14.14,14.22,68000,14.22
2016-05-13,14.44,14.92,14.4,14.65,120500,14.65
2016-05-16,14.74,14.74,14.1,14.23,153100,14.23
2016-05-17,14.43,15.23,14.34,15.03,170300,15.03
2016-05-18,15.26,16.190001,15.15,15.7,255200,15.7
2016-05-19,16.02,16.469999,15.82,16.18,131700,16.18
2016-05-20,16.049999,16.110001,15.72,15.81,79600,15.81
2016-05-23,15.83,15.92,15.69,15.84,64100,15.84
2016-05-24,15.65,15.65,15.15,15.22,199500,15.22
2016-05-25,15.11,15.67,15.11,15.22,122400,15.22
2016-05-26,15.3,15.39,15.01,15.13,118400,15.13
2016-05-27,15.12,15.12,14.73,14.91,113200,14.91
2016-05-31,14.85,15.14,14.77,14.9,128800,14.9
2016-06-01,14.99,15.15,14.78,14.88,222600,14.88
2016-06-02,14.96,15.1,14.62,14.63,150000,14.63
2016-06-03,14.35,14.63,14.07,14.48,83500,14.48
2016-06-06,14.45,15.02,14.38,14.8,50500,14.8
2016-06-07,14.65,14.69,14.4,14.57,63600,14.57
