Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,19.889999,20.129999,19.65,20.1,26200,20.1
2016-01-05,20.110001,20.110001,19.799999,20.030001,10500,20.030001
2016-01-06,19.469999,19.52,19.190001,19.209999,24200,19.209999
2016-01-07,19.040001,19.459999,18.84,18.92,11100,18.92
2016-01-08,18.799999,18.860001,18.450001,18.450001,12400,18.450001
2016-01-11,18.92,18.959999,18.49,18.780001,8200,18.780001
2016-01-12,18.85,18.879999,17.85,18.219999,14400,18.219999
2016-01-13,18.33,18.33,17.5,17.66,44800,17.66
2016-01-14,17.549999,18.23,17.5,18.09,20200,18.09
2016-01-15,16.950001,17.280001,16.93,17.200001,160900,17.200001
2016-01-19,17.389999,17.48,17.200001,17.440001,16600,17.440001
2016-01-20,16.76,16.82,16.26,16.76,64800,16.76
2016-01-21,16.68,17.02,16.48,17.02,17700,17.02
2016-01-22,17.51,17.67,17.290001,17.370001,9000,17.370001
2016-01-25,17.25,17.280001,17.0,17.059999,9800,17.059999
2016-01-26,16.9,17.139999,16.74,16.74,13900,16.74
2016-01-27,17.08,17.360001,16.690001,16.700001,46800,16.700001
2016-01-28,16.92,16.98,16.51,16.52,26900,16.52
2016-01-29,16.01,16.18,15.72,15.76,49500,15.76
2016-02-01,16.0,16.290001,15.89,16.219999,14900,16.219999
2016-02-02,15.52,15.52,15.12,15.18,35000,15.18
2016-02-03,15.27,15.33,14.31,15.21,22600,15.21
2016-02-04,15.03,15.27,14.92,14.97,18200,14.97
2016-02-05,15.2,15.3,14.78,14.9,16000,14.9
2016-02-08,14.33,14.33,13.61,13.77,103900,13.77
2016-02-09,13.46,13.81,13.45,13.81,30500,13.81
2016-02-10,13.87,14.15,13.32,13.32,54300,13.32
2016-02-11,12.45,13.1,12.25,12.81,105900,12.81
2016-02-12,13.64,14.08,13.39,13.89,17900,13.89
2016-02-16,16.0,16.0,14.11,14.2,16800,14.2
2016-02-17,14.93,15.05,14.65,14.76,40200,14.76
2016-02-18,14.53,14.77,13.98,14.22,152600,14.22
2016-02-19,14.19,14.59,14.02,14.16,37100,14.16
2016-02-22,14.33,14.54,14.27,14.34,16500,14.34
2016-02-23,14.71,14.71,13.88,14.17,40500,14.17
2016-02-24,13.84,14.21,13.15,13.94,17600,13.94
2016-02-25,13.63,13.83,13.48,13.57,10500,13.57
2016-02-26,13.86,14.5,13.86,14.44,14900,14.44
2016-02-29,14.57,14.57,14.1,14.11,11700,14.11
2016-03-01,14.12,15.1,14.12,14.96,36000,14.96
2016-03-02,15.16,15.65,15.16,15.5,33000,15.5
2016-03-03,15.65,15.65,15.3,15.31,17600,15.31
2016-03-04,15.59,15.94,15.51,15.94,50500,15.94
2016-03-07,16.08,16.24,16.01,16.23,24400,16.23
2016-03-08,15.4,15.49,15.03,15.32,58600,15.32
2016-03-09,15.61,16.09,15.51,15.88,29300,15.88
2016-03-10,16.16,16.49,15.17,16.34,31700,16.34
2016-03-11,16.200001,16.75,16.18,16.700001,18400,16.700001
2016-03-14,16.75,16.85,16.35,16.85,50900,16.85
2016-03-15,16.52,16.790001,16.389999,16.790001,38800,16.790001
2016-03-16,16.9,17.15,16.01,16.120001,21200,16.120001
2016-03-17,16.02,16.02,15.6,15.73,14500,15.73
2016-03-18,15.71,15.96,15.43,15.5,21600,15.5
2016-03-21,15.82,16.09,15.79,16.040001,23000,16.040001
2016-03-22,15.77,16.17,15.6,16.17,12300,16.17
2016-03-23,16.059999,16.190001,15.63,15.66,6300,15.66
2016-03-24,15.79,16.030001,15.6,15.9,4300,15.9
2016-03-28,15.76,15.83,15.48,15.68,13700,15.68
2016-03-29,15.68,15.68,14.86,14.89,5300,14.89
2016-03-30,15.21,15.4,14.59,14.6,5000,14.6
2016-03-31,14.69,14.76,14.11,14.21,12800,14.21
2016-04-01,14.28,14.64,14.28,14.33,10700,14.33
2016-04-04,14.28,14.28,14.13,14.13,11600,14.13
2016-04-05,13.77,13.86,13.69,13.74,14100,13.74
2016-04-06,13.76,14.14,13.76,13.98,17800,13.98
2016-04-07,13.57,13.61,13.22,13.28,40900,13.28
2016-04-08,13.61,13.75,13.43,13.5,15200,13.5
2016-04-11,13.77,13.87,13.47,13.58,10900,13.58
2016-04-12,13.87,14.16,13.76,14.14,23900,14.14
2016-04-13,14.31,14.46,14.0,14.14,3500,14.14
2016-04-14,14.34,14.5,14.03,14.47,10700,14.47
2016-04-15,14.32,14.32,13.9,14.06,9700,14.06
2016-04-18,14.16,14.35,14.11,14.25,7900,14.25
2016-04-19,14.52,14.52,14.3,14.49,2900,14.49
2016-04-20,14.41,15.15,14.36,15.15,23400,15.15
2016-04-21,15.4,15.45,15.23,15.32,11200,15.32
2016-04-22,15.41,15.66,15.33,15.47,24400,15.47
2016-04-25,15.6,15.64,15.49,15.6,18100,15.6
2016-04-26,15.64,15.94,15.64,15.81,24100,15.81
2016-04-27,15.56,15.7,15.07,15.15,7400,15.15
2016-04-28,15.15,15.15,14.7,14.72,31100,14.72
