Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.0,15.93,14.61,15.15,161100,757.499983
2016-01-05,14.96,15.65,14.95,15.33,103600,766.499983
2016-01-06,14.63,14.88,14.26,14.55,170000,727.499984
2016-01-07,13.85,14.17,12.25,12.66,243900,632.999986
2016-01-08,13.65,14.19,13.25,13.55,162800,677.499985
2016-01-11,13.41,15.5,13.28,15.17,210700,758.499983
2016-01-12,15.7,17.0,15.66,16.15,189900,807.499982
2016-01-13,16.46,17.12,15.54,16.21,153700,810.499982
2016-01-14,16.84,18.39,16.3,17.85,161500,892.49998
2016-01-15,16.05,18.2,16.0,18.07,96800,903.49998
2016-01-19,17.63,20.96,17.46,20.45,129200,1022.499977
2016-01-20,18.97,20.44,18.6,18.62,148900,930.999979
2016-01-21,19.5,20.53,18.23,18.59,167600,929.499979
2016-01-22,19.2,19.47,17.41,18.05,130000,902.49998
2016-01-25,17.17,17.45,16.48,16.64,131400,831.999981
2016-01-26,16.04,16.05,14.3,14.47,203300,723.499984
2016-01-27,14.75,15.18,13.63,13.67,220000,683.499985
2016-01-28,14.61,15.0,13.72,14.56,203100,727.999984
2016-01-29,14.8,15.0,13.5,13.59,180900,679.499985
2016-02-01,13.23,13.28,12.3,12.34,231400,616.999986
2016-02-02,12.72,13.61,12.5,13.1,197800,654.999985
2016-02-03,12.8,12.83,10.3,10.32,504000,515.999988
2016-02-04,9.38,9.41,8.22,8.66,600200,432.99999
2016-02-05,9.29,9.57,7.17,7.22,579400,360.999992
2016-02-08,6.63,6.73,6.12,6.71,685100,335.499993
2016-02-09,6.37,7.47,6.28,7.44,749200,371.999992
2016-02-10,7.52,8.29,6.95,6.98,666900,348.999992
2016-02-11,5.52,6.2,5.15,5.47,1125700,273.499994
2016-02-12,5.97,6.0,5.04,5.06,801200,252.999994
2016-02-16,5.8,6.36,5.47,6.33,903300,316.499993
2016-02-17,6.0,6.21,5.57,5.68,661200,283.999994
2016-02-18,5.97,6.04,4.66,4.68,887100,233.999995
2016-02-19,4.88,5.1,4.66,5.0,691100,249.999994
2016-02-22,5.49,5.54,4.78,4.89,823700,244.499995
2016-02-23,4.65,4.82,4.5,4.61,601600,230.499995
2016-02-24,4.22,4.68,3.92,4.46,1240500,222.999995
2016-02-25,4.54,4.58,4.22,4.26,727300,212.999995
2016-02-26,4.55,4.76,4.3,4.71,944100,235.499995
2016-02-29,4.53,4.55,4.19,4.2,600100,209.999995
2016-03-01,4.17,4.75,4.12,4.72,907900,235.999995
2016-03-02,4.61,4.71,4.26,4.36,878600,217.999995
2016-03-03,4.29,4.32,3.7,3.85,1187300,192.499996
2016-03-04,3.83,3.98,3.22,3.88,1974700,193.999996
2016-03-07,3.73,3.77,3.29,3.49,1413600,174.499996
2016-03-08,3.36,3.99,3.32,3.97,1355500,198.499996
2016-03-09,4.25,4.35,3.79,3.92,1642100,195.999996
2016-03-10,3.75,3.79,3.38,3.41,1335800,170.499996
2016-03-11,3.48,3.67,3.31,3.6,987500,179.999996
2016-03-14,3.53,4.08,3.46,4.05,1279500,202.499995
2016-03-15,4.06,4.23,3.79,3.8,1139500,189.999996
2016-03-16,3.98,4.13,3.0,3.03,1657900,151.499997
2016-03-17,2.97,3.24,2.79,3.18,1899800,158.999996
2016-03-18,3.24,3.25,2.98,3.14,1108900,156.999996
2016-03-21,3.18,3.27,3.05,3.14,946600,156.999996
2016-03-22,3.0,3.25,2.95,3.13,882000,156.499997
2016-03-23,3.51,3.86,3.46,3.84,1555500,191.999996
2016-03-24,3.72,3.82,3.51,3.59,853100,179.499996
2016-03-28,3.5,3.79,3.47,3.6,621900,179.999996
2016-03-29,3.5,3.62,2.96,3.01,1502100,150.499997
