Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.799999,16.799999,16.6,16.6,2600,14.051625
2016-01-05,16.709999,17.129999,16.709999,17.129999,3500,14.50026
2016-01-06,16.92,16.92,16.65,16.65,4800,14.093948
2016-01-07,16.5,16.5,15.99,16.059999,9000,13.594523
2016-01-08,16.059999,16.08,15.94,15.96,3100,13.509875
2016-01-11,15.6,15.6,15.07,15.2,4700,13.158407
2016-01-12,15.05,15.06,14.7,14.97,39000,12.9593
2016-01-13,15.02,15.18,14.15,14.19,86900,12.284065
2016-01-14,14.16,14.7,13.88,14.66,122400,12.690937
2016-01-15,14.04,14.06,13.73,14.06,85800,12.171527
2016-01-19,14.11,14.16,13.6,13.73,9700,11.88585
2016-01-20,13.32,13.42,12.66,13.34,70000,11.548234
2016-01-21,13.34,15.11,13.18,13.7,140500,11.85988
2016-01-22,14.05,14.59,14.05,14.47,138700,12.526458
2016-01-25,14.25,14.76,14.15,14.17,33500,12.266752
2016-01-26,14.33,14.7,14.15,14.61,86100,12.647653
2016-01-27,14.65,14.72,14.25,14.43,99800,12.49183
2016-01-28,14.72,14.9,14.53,14.76,98300,12.777506
2016-01-29,15.02,15.15,14.89,15.15,184100,13.115123
2016-02-01,15.09,15.11,14.79,14.92,113800,12.916016
2016-02-02,14.93,14.93,14.53,14.67,71600,12.699594
2016-02-03,14.78,14.85,14.35,14.77,45100,12.786163
2016-02-04,14.68,15.12,14.68,15.01,12500,12.993927
2016-02-05,15.01,15.01,14.71,14.8,10800,12.812134
2016-02-08,14.08,14.09,13.88,14.03,15300,12.145556
2016-02-09,13.57,13.57,13.32,13.48,7000,11.669429
2016-02-10,13.5,13.52,13.27,13.28,7300,11.645752
2016-02-11,13.0,13.0,12.57,12.87,41000,11.286207
2016-02-12,13.0,13.34,13.0,13.27,7900,11.636983
2016-02-16,13.65,13.84,13.49,13.81,8100,12.11053
2016-02-17,13.87,14.48,13.87,14.39,5000,12.619155
2016-02-18,14.36,14.6,14.24,14.6,14000,12.803312
2016-02-19,14.3,14.42,14.27,14.39,22900,12.619155
2016-02-22,14.7,14.87,14.67,14.8,67300,12.9787
2016-02-23,15.0,15.0,14.51,14.58,36600,12.785773
2016-02-24,14.41,14.71,14.16,14.7,16200,12.891006
2016-02-25,14.61,14.89,14.61,14.88,10300,13.048855
2016-02-26,14.99,15.28,14.99,15.02,88500,13.171627
2016-02-29,15.1,15.32,15.04,15.18,49300,13.311937
2016-03-01,15.18,15.42,15.17,15.42,4300,13.522402
2016-03-02,15.55,15.75,15.2,15.72,6900,13.785484
2016-03-03,16.200001,16.35,16.120001,16.16,5200,14.171337
2016-03-04,16.629999,16.780001,16.309999,16.41,25700,14.390572
2016-03-07,16.41,16.799999,16.41,16.799999,300,14.732578
2016-03-08,16.780001,16.780001,16.0,16.0,5400,14.031027
2016-03-09,16.110001,16.200001,15.77,16.200001,9100,14.334531
2016-03-10,16.209999,16.209999,15.64,15.81,8100,13.98944
2016-03-11,16.059999,16.200001,16.059999,16.18,9400,14.316833
2016-03-14,16.120001,16.290001,15.93,16.17,30400,14.307984
2016-03-15,15.87,16.049999,15.76,15.88,12500,14.051379
2016-03-16,15.85,16.43,15.79,16.43,25400,14.538045
2016-03-17,16.0,17.08,16.0,16.98,24300,15.024711
2016-03-18,17.0,17.25,16.940001,16.98,21600,15.024711
2016-03-21,16.940001,16.940001,16.74,16.85,21000,14.909681
2016-03-22,16.799999,17.08,16.59,16.83,12800,14.891984
2016-03-23,16.719999,16.719999,16.360001,16.360001,7200,14.476106
2016-03-24,16.360001,16.370001,15.9,16.370001,12300,14.484955
2016-03-28,16.360001,16.360001,16.299999,16.299999,3800,14.423014
2016-03-29,16.17,16.620001,15.97,16.6,6200,14.688469
