Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,186.5,210.0,177.600006,201.190002,1008900,201.190002
2016-01-05,210.0,220.279999,207.479996,219.399994,633600,219.399994
2016-01-06,240.0,255.600006,230.720001,251.850006,1125200,251.850006
2016-01-07,270.0,272.790009,246.020004,268.730011,1143200,268.730011
2016-01-08,264.799988,282.76001,256.399994,276.890015,772900,276.890015
2016-01-11,282.089996,325.970001,279.23999,322.959991,1024800,322.959991
2016-01-12,307.01001,357.5,300.100006,329.350006,1609800,329.350006
2016-01-13,312.220001,356.0,303.25,336.600006,1517100,336.600006
2016-01-14,326.709991,341.630005,307.0,321.649994,1197500,321.649994
2016-01-15,365.0,381.899994,356.100006,365.269989,970000,365.269989
2016-01-19,372.859985,408.480011,367.549988,403.899994,1143500,403.899994
2016-01-20,427.190002,484.230011,415.329987,438.399994,1548600,438.399994
2016-01-21,461.299988,467.700012,362.200012,386.399994,1421400,386.399994
2016-01-22,310.809998,327.0,282.339996,287.299988,1448500,287.299988
2016-01-25,317.799988,358.48999,302.119995,358.410004,1166900,358.410004
2016-01-26,326.0,335.0,270.0,307.679993,1746100,307.679993
2016-01-27,314.170013,325.880005,262.0,286.299988,1805400,286.299988
2016-01-28,230.0,264.779999,225.0,241.199997,1803700,241.199997
2016-01-29,236.110001,266.0,226.600006,244.080002,1325300,244.080002
2016-02-01,268.600006,294.5,266.26001,294.100006,999800,294.100006
2016-02-02,320.799988,336.369995,313.0,335.5,1090500,335.5
2016-02-03,305.0,339.970001,248.029999,248.550003,1941100,248.550003
2016-02-04,231.5,271.730011,223.009995,266.350006,1543800,266.350006
2016-02-05,273.929993,295.0,257.049988,284.700012,1178100,284.700012
2016-02-08,297.480011,321.600006,293.0,308.440002,1055000,308.440002
2016-02-09,323.329987,382.940002,306.359985,355.0,1584900,355.0
2016-02-10,385.0,394.779999,325.0,385.679993,1703300,385.679993
2016-02-11,406.299988,426.700012,367.01001,371.700012,1597100,371.700012
2016-02-12,345.269989,369.98999,285.0,306.950012,1488600,306.950012
2016-02-16,290.0,322.029999,287.48999,307.100006,1169700,307.100006
2016-02-17,293.959991,297.920013,241.0,254.0,1684300,254.0
2016-02-18,231.559998,264.910004,228.199997,264.0,1467700,264.0
2016-02-19,275.0,290.220001,269.320007,271.670013,1235600,271.670013
2016-02-22,236.460007,242.509995,225.550003,236.5,1152300,236.5
2016-02-23,249.960007,274.950012,248.660004,270.5,1282500,270.5
2016-02-24,299.410004,303.290009,256.600006,259.950012,1600300,259.950012
2016-02-25,269.700012,288.790009,231.0,240.940002,1576600,240.940002
2016-02-26,212.770004,248.960007,211.440002,242.360001,2805200,242.360001
2016-02-29,234.600006,242.119995,220.600006,223.350006,1379300,223.350006
2016-03-01,225.0,231.979996,204.399994,211.789993,1443500,211.789993
2016-03-02,222.0,226.759995,198.0,202.5,1944500,202.5
2016-03-03,213.990005,214.830002,195.0,206.169998,1177300,206.169998
2016-03-04,203.0,210.0,178.75,178.800003,2026100,178.800003
2016-03-07,177.199997,177.399994,150.169998,152.309998,3139600,152.309998
2016-03-08,156.059998,174.240005,156.0,173.990005,2095300,173.990005
2016-03-09,161.960007,163.5,146.5,147.600006,2307300,147.600006
2016-03-10,155.240005,159.240005,148.339996,151.5,1695400,151.5
2016-03-11,143.690002,150.600006,140.199997,144.789993,1363400,144.789993
2016-03-14,156.899994,162.990005,155.770004,157.220001,1756700,157.220001
2016-03-15,165.399994,171.970001,164.850006,166.699997,1446600,166.699997
2016-03-16,155.0,155.679993,141.020004,142.0,1459200,142.0
2016-03-17,133.929993,137.179993,124.360001,126.300003,1715400,126.300003
2016-03-18,120.169998,130.0,117.339996,128.460007,2227100,128.460007
2016-03-21,128.0,132.610001,123.050003,124.690002,1920800,124.690002
2016-03-22,131.179993,131.820007,122.470001,126.230003,1377700,126.230003
2016-03-23,133.809998,142.75,132.289993,141.490005,1920300,141.490005
2016-03-24,155.300003,157.0,142.220001,143.75,2142000,143.75
2016-03-28,146.220001,151.690002,143.639999,145.899994,1025400,145.899994
2016-03-29,159.139999,162.169998,154.25,154.809998,1642800,154.809998
2016-03-30,145.809998,159.860001,138.660004,158.470001,2079900,158.470001
2016-03-31,160.369995,161.029999,148.779999,159.449997,1808600,159.449997
2016-04-01,173.929993,178.470001,171.419998,177.910004,1576300,177.910004
2016-04-04,178.440002,193.520004,170.600006,192.850006,1617600,192.850006
2016-04-05,192.199997,197.699997,185.0,188.470001,1452200,188.470001
2016-04-06,172.889999,177.119995,157.520004,159.100006,2176200,159.100006
2016-04-07,165.100006,173.0,162.210007,163.800003,1315600,163.800003
2016-04-08,138.779999,141.119995,132.070007,135.25,2965000,135.25
2016-04-11,129.059998,130.869995,123.0,126.190002,2426200,126.190002
2016-04-12,122.709999,125.190002,109.410004,111.800003,3619900,111.800003
2016-04-13,113.550003,116.779999,108.610001,115.309998,3437600,115.309998
2016-04-14,113.720001,118.620003,111.400002,116.68,2031900,116.68
2016-04-15,123.720001,128.240005,121.839996,124.419998,2502800,124.419998
2016-04-18,139.690002,141.119995,124.699997,127.790001,4883000,127.790001
2016-04-19,124.580002,125.419998,113.209999,116.900002,2715900,116.900002
2016-04-20,123.980003,125.099998,102.290001,105.57,4394500,105.57
2016-04-21,107.0,110.699997,104.019997,106.75,2942000,106.75
2016-04-22,105.889999,107.400002,100.050003,105.650002,2522700,105.650002
2016-04-25,104.699997,113.599998,103.760002,111.480003,2534400,111.480003
2016-04-26,107.669998,108.809998,100.82,102.400002,2268800,102.400002
2016-04-27,96.360001,104.110001,91.260002,93.400002,4151200,93.400002
2016-04-28,93.0,94.389999,88.309998,91.239998,2558300,91.239998
2016-04-29,86.300003,93.400002,84.470001,89.190002,4026500,89.190002
2016-05-02,90.5,97.440002,90.5,95.290001,2405300,95.290001
