Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.950001,22.950001,22.67,22.74,1400,19.144223
2016-01-05,22.67,23.0,22.67,22.93,2900,19.304179
2016-01-06,22.5,22.780001,22.35,22.530001,28600,18.96743
2016-01-07,21.870001,22.26,21.870001,22.049999,14000,18.563329
2016-01-08,22.24,22.5,22.1,22.25,22200,18.731705
2016-01-11,21.969999,21.99,21.969999,21.98,1300,18.504398
2016-01-12,22.120001,22.15,21.99,22.15,800,18.647517
2016-01-13,22.07,22.370001,22.049999,22.059999,8700,18.571748
2016-01-14,21.82,22.58,21.76,22.42,18200,18.874823
2016-01-15,21.969999,21.969999,21.92,21.92,1300,18.453886
2016-01-19,21.83,22.030001,21.76,21.82,13000,18.369698
2016-01-20,21.139999,21.440001,21.139999,21.440001,500,18.049787
2016-01-21,21.450001,21.450001,21.440001,21.440001,300,18.049787
2016-01-22,21.92,22.32,21.92,22.309999,11600,18.782217
2016-01-25,22.200001,22.200001,22.200001,22.200001,700,18.689611
2016-01-26,22.040001,22.370001,22.02,22.200001,5300,18.689611
2016-01-27,22.530001,22.6,22.190001,22.290001,40100,18.76538
2016-01-28,22.32,22.459999,22.32,22.440001,2300,18.891661
2016-01-29,22.6,23.049999,22.6,22.950001,8000,19.321017
2016-02-01,22.629999,23.07,22.629999,22.91,3900,19.287341
2016-02-02,22.120001,22.17,22.1,22.129999,34900,18.630679
2016-02-03,22.08,22.24,22.07,22.219999,2400,18.706448
2016-02-04,22.129999,22.469999,22.129999,22.27,13300,18.748542
2016-02-05,22.110001,22.110001,22.059999,22.059999,30200,18.571748
2016-02-08,21.74,21.950001,21.42,21.6,2300,18.184487
2016-02-09,21.360001,21.5,21.219999,21.379999,18700,17.999273
2016-02-10,21.360001,21.530001,21.23,21.24,4200,17.881411
2016-02-11,20.98,21.139999,20.959999,21.139999,7400,17.797223
2016-02-12,21.58,21.59,21.57,21.59,42200,18.176068
2016-02-16,22.309999,22.4,22.290001,22.290001,5900,18.76538
2016-02-17,22.49,23.09,22.49,22.76,6100,19.161061
2016-02-18,22.6,22.73,22.6,22.639999,39900,19.060035
2016-02-19,22.700001,22.700001,22.51,22.51,900,18.950592
2016-02-22,22.969999,23.27,22.9,22.91,9800,19.287341
2016-02-23,23.07,23.07,22.73,22.790001,34200,19.186317
2016-02-24,22.58,22.799999,22.389999,22.73,23300,19.135804
2016-02-25,22.790001,22.9,22.790001,22.85,1600,19.236829
2016-02-26,23.309999,23.309999,23.309999,23.309999,2300,19.624091
2016-02-29,23.01,23.059999,23.01,23.049999,5600,19.405203
2016-03-01,23.15,23.48,23.15,23.48,14800,19.76721
2016-03-02,23.25,23.25,23.219999,23.219999,600,19.548322
2016-03-03,23.129999,23.379999,23.110001,23.32,46800,19.63251
2016-03-04,23.65,23.66,23.610001,23.610001,900,19.876654
2016-03-07,23.389999,23.51,23.379999,23.51,2100,19.792466
2016-03-08,23.32,23.43,23.32,23.35,7300,19.657767
