Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,25.139999,25.559999,25.059999,25.15,475700,25.15
2016-01-05,24.93,25.17,24.870001,25.02,293700,25.02
2016-01-06,25.99,26.190001,25.690001,26.01,171500,26.01
2016-01-07,27.360001,27.639999,26.65,27.639999,481500,27.639999
2016-01-08,27.25,28.23,27.049999,28.18,306900,28.18
2016-01-11,27.67,28.75,27.65,28.209999,328400,28.209999
2016-01-12,27.85,28.5,27.559999,28.09,212200,28.09
2016-01-13,27.41,28.790001,27.290001,28.719999,521800,28.719999
2016-01-14,28.639999,29.040001,27.73,27.940001,288100,27.940001
2016-01-15,30.1,30.83,29.76,30.139999,680200,30.139999
2016-01-19,28.540001,29.67,28.459999,29.25,481500,29.25
2016-01-20,30.65,31.73,30.08,30.469999,732500,30.469999
2016-01-21,30.530001,30.92,29.459999,30.280001,287500,30.280001
2016-01-22,28.309999,28.74,28.16,28.190001,284500,28.190001
2016-01-25,28.530001,29.16,28.35,29.15,290700,29.15
2016-01-26,28.82,28.889999,28.209999,28.299999,170200,28.299999
2016-01-27,28.34,28.85,27.68,28.51,230800,28.51
2016-01-28,27.370001,28.049999,27.32,27.58,247600,27.58
2016-01-29,26.68,26.719999,25.74,25.84,321300,25.84
2016-02-01,26.66,26.780001,26.120001,26.25,276300,26.25
2016-02-02,27.139999,28.07,27.07,27.959999,180000,27.959999
2016-02-03,27.389999,28.26,26.34,26.4,369000,26.4
2016-02-04,25.92,26.27,25.290001,25.969999,267700,25.969999
2016-02-05,26.17,26.77,26.040001,26.559999,219600,26.559999
2016-02-08,27.389999,27.9,27.059999,27.280001,318400,27.280001
2016-02-09,28.35,28.57,27.51,28.049999,217000,28.049999
2016-02-10,27.34,27.82,26.780001,27.799999,375100,27.799999
2016-02-11,28.940001,29.120001,28.35,28.690001,261700,28.690001
2016-02-12,28.26,28.459999,27.709999,27.73,238600,27.73
2016-02-16,26.66,26.9,26.41,26.469999,145800,26.469999
2016-02-17,26.040001,26.049999,25.309999,25.440001,243100,25.440001
2016-02-18,25.25,25.85,25.25,25.76,200900,25.76
2016-02-19,26.049999,26.209999,25.719999,25.98,89700,25.98
2016-02-22,25.049999,25.139999,24.690001,24.690001,99500,24.690001
2016-02-23,25.209999,25.77,25.18,25.74,95900,25.74
2016-02-24,26.52,26.809999,25.67,25.84,225100,25.84
2016-02-25,25.93,26.25,25.6,25.66,100000,25.66
2016-02-26,25.299999,26.18,25.299999,26.15,130000,26.15
2016-02-29,25.67,25.76,25.23,25.73,97300,25.73
2016-03-01,24.75,24.75,23.85,23.889999,278700,23.889999
2016-03-02,23.82,23.870001,23.200001,23.219999,272100,23.219999
2016-03-03,23.200001,23.23,22.690001,22.700001,139800,22.700001
2016-03-04,22.290001,22.35,21.610001,21.83,380000,21.83
2016-03-07,22.219999,22.219999,21.68,21.9,129600,21.9
2016-03-08,22.379999,22.76,22.34,22.610001,170200,22.610001
2016-03-09,22.309999,22.459999,22.07,22.35,85700,22.35
2016-03-10,22.040001,22.889999,22.0,22.26,162100,22.26
2016-03-11,21.6,21.610001,21.219999,21.290001,108100,21.290001
