Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.870001,16.870001,16.76,16.85,519900,16.003788
2016-01-05,16.809999,16.870001,16.809999,16.860001,328500,16.013286
2016-01-06,16.719999,16.77,16.66,16.66,725500,15.823329
2016-01-07,16.700001,16.74,16.639999,16.639999,452800,15.804333
2016-01-08,16.66,16.709999,16.6,16.629999,742700,15.794835
2016-01-11,16.66,16.66,16.530001,16.6,517900,15.766343
2016-01-12,16.65,16.68,16.559999,16.6,505700,15.766343
2016-01-13,16.76,16.76,16.610001,16.629999,348700,15.794835
2016-01-14,16.639999,16.74,16.59,16.66,786400,15.823329
2016-01-15,16.52,16.6,16.450001,16.51,1260600,15.680863
2016-01-19,16.49,16.57,16.469999,16.469999,786100,15.642871
2016-01-20,16.4,16.41,16.290001,16.370001,709600,15.547894
2016-01-21,16.309999,16.5,16.299999,16.389999,390100,15.566889
2016-01-22,16.6,16.639999,16.299999,16.49,9917700,15.661867
2016-01-25,16.49,16.559999,16.440001,16.48,879800,15.652369
2016-01-26,16.51,16.620001,16.5,16.610001,467800,15.775841
2016-01-27,16.620001,16.65,16.52,16.620001,298900,15.785339
2016-01-28,16.84,16.860001,16.719999,16.77,250900,15.927806
2016-01-29,16.950001,16.99,16.889999,16.98,415500,16.127259
2016-02-01,16.84,16.93,16.83,16.91,444300,16.142533
2016-02-02,16.790001,16.799999,16.709999,16.74,413000,15.980249
2016-02-03,16.870001,17.0,16.77,16.959999,392600,16.190263
2016-02-04,17.16,17.219999,17.09,17.129999,369500,16.352548
2016-02-05,17.040001,17.1,17.02,17.02,239800,16.247542
2016-02-08,16.93,16.93,16.870001,16.870001,328400,16.10435
2016-02-09,16.879999,17.0,16.879999,16.98,874600,16.209356
2016-02-10,17.110001,17.139999,17.01,17.09,2416600,16.314364
2016-02-11,16.98,17.049999,16.9,16.940001,680300,16.171172
2016-02-12,16.969999,17.08,16.91,17.059999,441600,16.285725
2016-02-16,17.02,17.08,16.9,16.99,278700,16.218903
2016-02-17,17.0,17.23,16.99,17.209999,350000,16.428917
2016-02-18,17.209999,17.290001,17.16,17.18,518100,16.40028
2016-02-19,17.120001,17.24,17.059999,17.190001,392000,16.409826
2016-02-22,17.26,17.33,17.25,17.280001,319000,16.495742
2016-02-23,17.26,17.299999,17.18,17.18,604700,16.40028
2016-02-24,17.059999,17.24,17.01,17.24,3122500,16.457556
2016-02-25,17.24,17.26,17.190001,17.219999,262300,16.438463
2016-02-26,17.24,17.24,17.049999,17.1,527100,16.323911
2016-02-29,17.18,17.219999,17.129999,17.18,313800,16.40028
2016-03-01,17.200001,17.34,17.15,17.34,425300,16.623654
2016-03-02,17.290001,17.42,17.280001,17.379999,483400,16.662
2016-03-03,17.42,17.530001,17.379999,17.52,1327600,16.796218
2016-03-04,17.6,17.74,17.549999,17.700001,550400,16.968782
2016-03-07,17.610001,17.76,17.610001,17.73,455900,16.997541
2016-03-08,17.73,17.73,17.6,17.639999,489100,16.911259
2016-03-09,17.68,17.84,17.68,17.83,3107700,17.093411
2016-03-10,17.780001,17.879999,17.73,17.82,1221400,17.083823
2016-03-11,18.030001,18.08,17.959999,18.040001,740100,17.294736
2016-03-14,17.99,17.99,17.879999,17.93,695500,17.18928
2016-03-15,17.84,17.85,17.639999,17.719999,960300,16.987954
2016-03-16,17.66,17.969999,17.6,17.950001,574000,17.208454
2016-03-17,18.15,18.360001,18.120001,18.280001,1392500,17.524821
2016-03-18,18.33,18.379999,18.25,18.27,901600,17.515234
