Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,17.540001,17.59,17.360001,17.549999,334000,17.174524
2016-01-05,17.290001,17.34,17.129999,17.209999,517200,16.841798
2016-01-06,16.799999,16.9,16.75,16.83,253300,16.469929
2016-01-07,16.809999,16.950001,16.719999,16.75,299600,16.39164
2016-01-08,16.65,16.67,16.450001,16.51,689000,16.156775
2016-01-11,16.469999,16.540001,16.34,16.469999,140600,16.11763
2016-01-12,16.83,16.870001,16.73,16.82,201500,16.460142
2016-01-13,17.200001,17.219999,16.85,16.860001,377800,16.499287
2016-01-14,16.780001,16.98,16.719999,16.889999,204100,16.528644
2016-01-15,16.690001,16.76,16.15,16.23,457300,15.882765
2016-01-19,16.120001,16.139999,15.92,15.99,193300,15.6479
2016-01-20,15.95,16.0,15.66,15.93,342000,15.589184
2016-01-21,15.59,15.82,15.47,15.69,270900,15.354318
2016-01-22,16.030001,16.17,15.99,16.110001,260300,15.765333
2016-01-25,16.120001,16.200001,16.01,16.049999,165100,15.706616
2016-01-26,16.02,16.200001,16.0,16.18,139700,15.833836
2016-01-27,16.15,16.24,16.040001,16.110001,316200,15.765333
2016-01-28,16.58,16.68,16.450001,16.6,253700,16.24485
2016-01-29,16.620001,16.879999,16.620001,16.870001,388500,16.509074
2016-02-01,16.879999,16.969999,16.83,16.950001,156300,16.587362
2016-02-02,16.67,16.67,16.459999,16.48,263300,16.127416
2016-02-03,16.74,17.129999,16.66,17.1,462400,16.734153
2016-02-04,17.26,17.440001,17.25,17.309999,167500,16.939659
2016-02-05,17.43,17.52,17.34,17.43,178000,17.057092
2016-02-08,17.08,17.290001,17.049999,17.219999,546800,16.851584
2016-02-09,17.08,17.389999,17.07,17.32,242400,16.949445
2016-02-10,17.370001,17.42,17.190001,17.309999,139700,16.939659
2016-02-11,17.15,17.379999,17.15,17.299999,248300,16.929872
2016-02-12,17.389999,17.469999,17.290001,17.459999,111300,17.086449
2016-02-16,17.299999,17.370001,17.219999,17.35,349700,16.978804
2016-02-17,17.790001,18.0,17.790001,17.98,471800,17.595324
2016-02-18,17.99,18.030001,17.82,17.870001,167000,17.487679
2016-02-19,17.82,18.02,17.790001,17.93,145100,17.546395
2016-02-22,17.99,18.09,17.99,18.09,105500,17.702972
2016-02-23,17.959999,17.959999,17.74,17.75,135100,17.370246
2016-02-24,17.559999,17.799999,17.559999,17.74,161600,17.360459
2016-02-25,17.75,17.9,17.74,17.889999,129100,17.50725
2016-02-26,17.879999,17.93,17.540001,17.559999,152300,17.18431
2016-02-29,17.48,17.559999,17.370001,17.42,182600,17.047306
2016-03-01,17.360001,17.610001,17.23,17.610001,205400,17.233242
2016-03-02,17.389999,17.75,17.389999,17.73,430800,17.350673
2016-03-03,17.75,18.16,17.74,18.16,203300,17.771474
2016-03-04,18.1,18.309999,18.1,18.24,851200,17.849762
2016-03-07,18.24,18.52,18.190001,18.42,282700,18.025911
2016-03-08,18.360001,18.389999,18.25,18.309999,122600,17.918264
2016-03-09,18.18,18.41,18.18,18.25,146500,17.859548
2016-03-10,18.5,18.65,18.389999,18.6,126100,18.202061
2016-03-11,18.780001,19.059999,18.780001,19.01,111300,18.603289
