Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,29.52,30.790001,28.66,29.309999,1405900,29.309999
2016-01-05,29.51,30.41,28.950001,29.01,1496900,29.01
2016-01-06,31.1,33.060001,30.9,32.41,1497300,32.41
2016-01-07,34.32,35.110001,32.080002,34.740002,1914400,34.740002
2016-01-08,33.549999,36.459999,33.549999,36.119999,1534000,36.119999
2016-01-11,35.959999,39.700001,35.5,38.470001,2247200,38.470001
2016-01-12,36.950001,41.290001,36.290001,38.150002,2045600,38.150002
2016-01-13,36.900002,42.07,35.93,40.84,2153000,40.84
2016-01-14,39.849998,41.560001,34.529999,35.560001,2579900,35.560001
2016-01-15,40.009998,40.619999,37.73,38.689999,1522600,38.689999
2016-01-19,37.77,42.93,37.25,41.189999,1871200,41.189999
2016-01-20,43.849998,48.66,42.610001,44.360001,2104000,44.360001
2016-01-21,44.700001,45.459999,38.639999,40.290001,2341600,40.290001
2016-01-22,35.669998,37.849998,34.029999,34.959999,1753900,34.959999
2016-01-25,37.0,39.849998,34.299999,39.720001,1948900,39.720001
2016-01-26,38.169998,39.169998,35.150002,35.279999,2825300,35.279999
2016-01-27,36.009998,37.060001,32.830002,35.799999,1952200,35.799999
2016-01-28,32.0,34.709999,31.299999,32.43,1686300,32.43
2016-01-29,32.52,32.619999,29.549999,29.690001,2036000,29.690001
2016-02-01,31.200001,32.400002,30.459999,31.16,1657500,31.16
2016-02-02,33.259998,34.689999,32.98,34.240002,1590900,34.240002
2016-02-03,32.720001,36.48,30.5,30.540001,1735800,30.540001
2016-02-04,30.549999,31.059999,28.68,30.6,1630200,30.6
2016-02-05,31.73,33.5,31.469999,32.740002,1158400,32.740002
2016-02-08,34.830002,36.150002,32.66,33.240002,1134800,33.240002
2016-02-09,35.0,37.23,33.57,35.630001,1530500,35.630001
2016-02-10,36.009998,37.16,33.700001,36.09,1212600,36.09
2016-02-11,38.029999,39.529999,35.720001,36.580002,1774600,36.580002
2016-02-12,34.630001,36.02,33.169998,33.650002,1096100,33.650002
2016-02-16,31.889999,34.099998,31.76,32.630001,886700,32.630001
2016-02-17,31.299999,31.799999,29.0,29.450001,1542700,29.450001
