Date,Open,High,Low,Close,Volume,Adj Close
2016-04-07,25.129999,25.370001,25.09,25.129999,17000,25.129999
2016-04-08,24.719999,24.74,24.5,24.5,5200,24.5
2016-04-11,24.459999,24.639999,24.450001,24.48,8000,24.48
2016-04-12,24.48,24.48,24.48,24.48,0,24.48
2016-04-13,23.9,23.91,23.77,23.77,20000,23.77
2016-04-14,23.77,23.77,23.77,23.77,0,23.77
2016-04-15,23.77,23.77,23.77,23.77,0,23.77
2016-04-18,23.77,23.77,23.77,23.77,0,23.77
2016-04-19,23.77,23.77,23.77,23.77,0,23.77
2016-04-20,23.77,23.77,23.77,23.77,0,23.77
2016-04-21,23.77,23.77,23.77,23.77,0,23.77
2016-04-22,23.77,23.77,23.77,23.77,0,23.77
2016-04-25,23.77,23.77,23.77,23.77,0,23.77
2016-04-26,23.77,23.77,23.77,23.77,0,23.77
2016-04-27,23.77,23.77,23.77,23.77,0,23.77
2016-04-28,23.77,23.77,23.77,23.77,0,23.77
2016-04-29,23.77,23.77,23.77,23.77,0,23.77
2016-05-02,23.77,23.77,23.77,23.77,0,23.77
2016-05-03,23.77,23.77,23.77,23.77,0,23.77
2016-05-04,23.77,23.77,23.77,23.77,0,23.77
2016-05-05,23.77,23.77,23.77,23.77,0,23.77
2016-05-06,23.77,23.77,23.77,23.77,0,23.77
2016-05-09,23.77,23.77,23.77,23.77,0,23.77
2016-05-10,23.77,23.77,23.77,23.77,0,23.77
2016-05-11,23.77,23.77,23.77,23.77,0,23.77
2016-05-12,23.77,23.77,23.77,23.77,0,23.77
2016-05-13,23.77,23.77,23.77,23.77,0,23.77
2016-05-16,23.77,23.77,23.77,23.77,100,23.77
2016-05-17,23.77,23.77,23.77,23.77,0,23.77
2016-05-18,23.77,23.77,23.77,23.77,0,23.77
2016-05-19,23.77,23.77,23.77,23.77,0,23.77
2016-05-20,23.77,23.77,23.77,23.77,0,23.77
2016-05-23,23.77,23.77,23.77,23.77,0,23.77
2016-05-24,23.77,23.77,23.77,23.77,0,23.77
2016-05-25,23.77,23.77,23.77,23.77,0,23.77
2016-05-26,23.77,23.77,23.77,23.77,0,23.77
2016-05-27,23.77,23.77,23.77,23.77,0,23.77
2016-05-31,23.77,23.77,23.77,23.77,0,23.77
2016-06-01,23.77,23.77,23.77,23.77,0,23.77
2016-06-02,23.77,23.77,23.77,23.77,0,23.77
2016-06-03,23.77,23.77,23.77,23.77,0,23.77
2016-06-06,23.77,23.77,23.77,23.77,0,23.77
2016-06-07,23.77,23.77,23.77,23.77,0,23.77
2016-06-08,23.77,23.77,23.77,23.77,0,23.77
2016-06-09,23.77,23.77,23.77,23.77,0,23.77
2016-06-10,23.77,23.77,23.77,23.77,0,23.77
2016-06-13,23.77,23.77,23.77,23.77,0,23.77
2016-06-14,23.77,23.77,23.77,23.77,0,23.77
2016-06-15,23.77,23.77,23.77,23.77,0,23.77
2016-06-16,23.77,23.77,23.77,23.77,0,23.77
2016-06-17,23.77,23.77,23.77,23.77,0,23.77
2016-06-20,23.77,23.77,23.77,23.77,0,23.77
2016-06-21,23.77,23.77,23.77,23.77,0,23.77
2016-06-22,23.77,23.77,23.77,23.77,0,23.77
2016-06-23,22.02,22.02,21.98,21.98,1500,21.98
2016-06-24,22.07,22.07,22.07,22.07,100,22.07
2016-06-27,23.049999,23.33,23.049999,23.33,8600,23.33
2016-06-28,23.33,23.33,23.33,23.33,0,23.33
2016-06-29,22.43,22.48,22.15,22.24,9800,22.24
2016-06-30,22.24,22.24,22.24,22.24,0,22.24
2016-07-01,21.99,21.99,21.99,21.99,400,21.99
2016-07-05,22.469999,22.469999,22.469999,22.469999,100,22.469999
2016-07-06,22.573999,22.573999,22.573999,22.573999,400,22.573999
2016-07-07,22.573999,22.573999,22.573999,22.573999,100,22.573999
2016-07-08,22.573999,22.573999,22.573999,22.573999,0,22.573999
2016-07-11,22.139999,22.139999,22.106001,22.106001,4300,22.106001
2016-07-12,22.106001,22.106001,22.106001,22.106001,0,22.106001
2016-07-13,22.106001,22.106001,22.106001,22.106001,0,22.106001
