Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,25.620001,25.940001,25.57,25.719999,758200,25.719999
2016-01-05,26.08,26.27,26.07,26.09,703000,26.09
2016-01-06,26.15,26.18,25.860001,25.91,913400,25.91
2016-01-07,25.58,25.719999,25.18,25.190001,1098000,25.190001
2016-01-08,25.49,25.559999,25.26,25.26,748200,25.26
2016-01-11,25.530001,25.6,25.370001,25.59,745000,25.59
2016-01-12,25.559999,25.73,25.469999,25.57,494000,25.57
2016-01-13,25.690001,25.719999,25.440001,25.440001,1670100,25.440001
2016-01-14,25.379999,25.67,25.299999,25.530001,1726200,25.530001
2016-01-15,25.059999,25.33,24.98,25.280001,679800,25.280001
2016-01-19,25.459999,25.48,25.190001,25.309999,939900,25.309999
2016-01-20,25.299999,25.459999,25.200001,25.41,1231400,25.41
2016-01-21,25.700001,25.799999,25.370001,25.42,413500,25.42
2016-01-22,25.780001,25.889999,25.67,25.860001,572900,25.860001
2016-01-25,25.700001,25.719999,25.549999,25.57,380300,25.57
2016-01-26,25.67,25.700001,25.540001,25.540001,297900,25.540001
2016-01-27,25.459999,25.540001,25.290001,25.4,461000,25.4
2016-01-28,25.26,25.299999,25.049999,25.17,220800,25.17
2016-01-29,25.559999,25.76,25.559999,25.68,872300,25.68
2016-02-01,25.43,25.469999,25.290001,25.370001,333200,25.370001
2016-02-02,25.25,25.370001,25.17,25.27,373400,25.27
2016-02-03,25.030001,25.049999,24.219999,24.370001,1364100,24.370001
2016-02-04,24.02,24.16,23.889999,23.950001,833600,23.950001
2016-02-05,24.25,24.370001,24.139999,24.190001,585300,24.190001
2016-02-08,24.33,24.34,23.91,24.030001,594000,24.030001
2016-02-09,23.559999,23.73,23.389999,23.559999,726100,23.559999
2016-02-10,23.790001,24.120001,23.57,23.58,412700,23.58
2016-02-11,23.32,23.49,23.23,23.450001,716900,23.450001
2016-02-12,23.790001,23.91,23.65,23.73,402700,23.73
2016-02-16,24.049999,24.280001,24.040001,24.209999,285000,24.209999
2016-02-17,24.309999,24.33,24.15,24.27,388400,24.27
2016-02-18,24.5,24.530001,24.32,24.41,741900,24.41
2016-02-19,24.43,24.549999,24.24,24.26,400900,24.26
2016-02-22,24.76,24.790001,24.68,24.73,537500,24.73
2016-02-23,24.809999,24.85,24.68,24.77,813800,24.77
2016-02-24,24.950001,24.950001,24.639999,24.790001,591700,24.790001
2016-02-25,24.84,24.889999,24.629999,24.73,250100,24.73
2016-02-26,24.969999,25.23,24.93,25.120001,591900,25.120001
2016-02-29,25.4,25.48,25.299999,25.389999,799300,25.389999
2016-03-01,25.459999,25.6,25.41,25.43,740000,25.43
2016-03-02,25.549999,25.639999,25.42,25.459999,304400,25.459999
2016-03-03,25.290001,25.290001,24.959999,25.0,592100,25.0
2016-03-04,24.92,24.969999,24.639999,24.809999,655900,24.809999
2016-03-07,25.049999,25.07,24.73,24.780001,376100,24.780001
2016-03-08,24.629999,24.85,24.58,24.799999,288100,24.799999
2016-03-09,25.040001,25.08,24.68,24.82,626500,24.82
2016-03-10,24.77,24.77,23.870001,24.030001,2080500,24.030001
2016-03-11,24.290001,24.309999,24.02,24.16,969300,24.16
2016-03-14,24.32,24.469999,24.290001,24.4,573600,24.4
2016-03-15,24.35,24.450001,24.299999,24.33,229100,24.33
2016-03-16,24.48,24.559999,23.76,23.790001,1145400,23.790001
2016-03-17,23.440001,23.559999,23.360001,23.459999,1209400,23.459999
2016-03-18,23.57,23.68,23.49,23.629999,886000,23.629999
2016-03-21,23.639999,23.790001,23.620001,23.74,339900,23.74
2016-03-22,23.84,23.92,23.77,23.860001,258800,23.860001
2016-03-23,23.99,24.110001,23.959999,24.040001,427800,24.040001
2016-03-24,24.120001,24.15,24.0,24.030001,476000,24.030001
2016-03-28,23.940001,23.969999,23.860001,23.940001,122500,23.940001
2016-03-29,23.91,24.02,23.49,23.530001,362800,23.530001
2016-03-30,23.49,23.49,23.26,23.360001,351900,23.360001
2016-03-31,23.190001,23.190001,23.049999,23.190001,428800,23.190001
2016-04-01,23.209999,23.370001,23.1,23.15,763300,23.15
2016-04-04,23.07,23.209999,23.07,23.139999,457100,23.139999
2016-04-05,23.219999,23.370001,23.110001,23.17,844700,23.17
2016-04-06,23.18,23.24,22.99,23.1,665500,23.1
2016-04-07,23.32,23.34,23.110001,23.23,425500,23.23
2016-04-08,23.15,23.200001,23.040001,23.09,499300,23.09
2016-04-11,23.09,23.110001,22.92,23.08,475500,23.08
2016-04-12,23.15,23.32,23.110001,23.15,429100,23.15
2016-04-13,23.450001,23.639999,23.450001,23.6,481500,23.6
2016-04-14,23.66,23.719999,23.58,23.700001,477700,23.700001
2016-04-15,23.58,23.6,23.450001,23.57,683900,23.57
2016-04-18,23.49,23.52,23.379999,23.469999,272300,23.469999
2016-04-19,23.23,23.26,23.16,23.25,631500,23.25
2016-04-20,23.299999,23.549999,23.27,23.549999,488100,23.549999
2016-04-21,23.26,23.629999,23.25,23.559999,850200,23.559999
2016-04-22,23.709999,23.85,23.639999,23.83,610900,23.83
