Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.73,23.82,23.360001,23.82,1311800,23.138784
2016-01-05,23.59,23.610001,23.370001,23.59,809600,22.915362
2016-01-06,23.049999,23.27,23.049999,23.219999,651700,22.555942
2016-01-07,22.91,23.139999,22.879999,22.9,1267400,22.245094
2016-01-08,23.07,23.120001,22.67,22.709999,1421800,22.060527
2016-01-11,22.950001,22.969999,22.610001,22.76,1467800,22.109099
2016-01-12,23.129999,23.17,22.85,23.059999,2316300,22.400518
2016-01-13,23.15,23.200001,22.57,22.620001,3837400,21.973103
2016-01-14,22.690001,22.950001,22.52,22.82,2404800,22.167382
2016-01-15,22.17,22.34,22.01,22.110001,3009600,21.477688
2016-01-19,22.48,22.540001,22.209999,22.389999,2177400,21.749679
2016-01-20,21.93,22.049999,21.49,21.92,3117500,21.293121
2016-01-21,21.879999,22.219999,21.700001,22.08,4152800,21.448545
2016-01-22,22.73,22.83,22.59,22.76,908700,22.109099
2016-01-25,22.620001,22.700001,22.49,22.49,1667300,21.84682
2016-01-26,22.66,22.98,22.66,22.98,1851700,22.322806
2016-01-27,22.9,23.139999,22.74,22.82,2410500,22.167382
2016-01-28,23.040001,23.059999,22.690001,22.940001,2006700,22.283951
2016-01-29,22.93,23.290001,22.92,23.290001,2301800,22.623942
2016-02-01,23.129999,23.35,23.059999,23.280001,1073800,22.614228
2016-02-02,22.809999,22.83,22.540001,22.59,1287100,21.94396
2016-02-03,22.85,23.01,22.49,23.0,2886400,22.342235
2016-02-04,22.860001,23.15,22.809999,23.08,1838800,22.419947
2016-02-05,22.99,23.01,22.65,22.75,1022700,22.099384
2016-02-08,22.16,22.280001,22.0,22.219999,1841200,21.584541
2016-02-09,21.77,22.1,21.77,22.01,3368800,21.380548
2016-02-10,22.219999,22.33,22.040001,22.08,2685900,21.448545
2016-02-11,21.74,21.799999,21.51,21.690001,1687900,21.069699
2016-02-12,21.67,21.9,21.58,21.879999,1140800,21.254264
2016-02-16,22.389999,22.43,22.17,22.42,880500,21.778822
2016-02-17,22.719999,22.969999,22.709999,22.92,745700,22.264523
2016-02-18,22.940001,22.959999,22.75,22.780001,757000,22.128527
2016-02-19,22.629999,22.82,22.549999,22.799999,513700,22.147954
2016-02-22,22.879999,23.02,22.879999,22.969999,533000,22.313092
2016-02-23,22.889999,22.9,22.6,22.610001,615100,21.963389
2016-02-24,22.16,22.59,22.049999,22.57,1009400,21.924532
2016-02-25,22.700001,22.870001,22.639999,22.870001,690900,22.215953
2016-02-26,22.98,23.0,22.709999,22.76,677600,22.109099
2016-02-29,22.74,22.92,22.690001,22.700001,717000,22.050815
2016-03-01,23.049999,23.32,22.99,23.280001,949400,22.614228
2016-03-02,23.08,23.27,23.01,23.25,1414200,22.585085
2016-03-03,23.24,23.52,23.23,23.5,1070400,22.827936
2016-03-04,23.690001,23.77,23.620001,23.629999,786800,22.954217
2016-03-07,23.34,23.690001,23.33,23.639999,1180100,22.963931
