Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,50.650002,51.049999,50.27,50.299999,12200,50.299999
2016-01-05,49.68,49.700001,49.049999,49.360001,22100,49.360001
2016-01-06,51.139999,51.41,50.779999,50.889999,20300,50.889999
2016-01-07,52.169998,52.57,51.599998,52.310001,19500,52.310001
2016-01-08,52.509998,54.639999,52.43,54.450001,24200,54.450001
2016-01-11,53.389999,55.0,53.18,53.91,24200,53.91
2016-01-12,53.779999,54.98,53.639999,54.27,18200,54.27
2016-01-13,53.189999,55.48,53.040001,55.200001,21200,55.200001
2016-01-14,54.990002,55.580002,53.459999,53.959999,25000,53.959999
2016-01-15,57.099998,57.509998,56.380001,56.950001,12800,56.950001
2016-01-19,55.330002,57.16,55.060001,56.349998,21800,56.349998
2016-01-20,59.880001,62.119999,59.59,60.16,47000,60.16
2016-01-21,61.950001,62.59,59.740002,60.68,19700,60.68
2016-01-22,57.349998,57.580002,55.119999,55.330002,28900,55.330002
2016-01-25,56.549999,57.599998,56.18,57.599998,16800,57.599998
2016-01-26,57.27,57.27,55.91,56.0,11600,56.0
2016-01-27,55.419998,56.349998,54.380001,56.029999,25200,56.029999
2016-01-28,55.369999,56.43,55.369999,55.759998,10400,55.759998
2016-01-29,55.060001,55.060001,53.0,53.080002,31700,53.080002
2016-02-01,53.93,54.200001,53.209999,53.68,24600,53.68
2016-02-02,54.139999,55.299999,53.82,54.779999,19600,54.779999
2016-02-03,55.360001,57.759998,55.360001,56.16,26800,56.16
2016-02-04,56.779999,57.200001,55.82,56.400002,29000,56.400002
2016-02-05,57.150002,58.799999,57.060001,58.349998,46800,58.349998
2016-02-08,58.310001,60.0,58.169998,58.630001,38500,58.630001
2016-02-09,61.990002,61.990002,60.279999,60.889999,41300,60.889999
2016-02-10,62.0,63.25,60.900002,63.139999,39700,63.139999
2016-02-11,65.43,66.25,64.660004,65.529999,43800,65.529999
2016-02-12,66.459999,67.110001,64.099998,64.239998,41700,64.239998
2016-02-16,60.080002,60.919998,59.650002,59.650002,32500,59.650002
2016-02-17,59.189999,59.189999,58.349998,58.799999,62000,58.799999
2016-02-18,57.43,58.990002,57.27,58.77,41000,58.77
2016-02-19,59.790001,59.82,59.16,59.259998,12900,59.259998
2016-02-22,57.5,57.599998,56.900002,57.259998,11100,57.259998
2016-02-23,58.080002,59.16,58.080002,59.139999,17800,59.139999
2016-02-24,59.549999,60.16,57.91,57.93,32800,57.93
2016-02-25,57.139999,57.639999,56.540001,56.540001,8800,56.540001
2016-02-26,55.689999,56.860001,55.52,56.740002,25500,56.740002
2016-02-29,57.310001,58.32,57.310001,58.220001,13600,58.220001
2016-03-01,56.98,57.02,55.34,55.48,23900,55.48
2016-03-02,54.32,54.459999,53.93,54.0,8100,54.0
2016-03-03,53.32,53.459999,53.0,53.080002,10800,53.080002
2016-03-04,51.810001,52.299999,51.560001,52.139999,11800,52.139999
2016-03-07,53.549999,53.59,53.07,53.25,11400,53.25
2016-03-08,53.669998,54.189999,53.639999,54.049999,17900,54.049999
2016-03-09,53.950001,54.400002,53.900002,54.119999,9000,54.119999
2016-03-10,53.34,55.419998,52.66,54.700001,21200,54.700001
2016-03-11,52.740002,52.740002,51.75,51.810001,18700,51.810001
2016-03-14,51.59,51.790001,51.279999,51.459999,6000,51.459999
2016-03-15,52.869999,53.009998,52.580002,52.630001,18600,52.630001
2016-03-16,53.439999,53.439999,52.41,52.41,8300,52.41
2016-03-17,53.029999,53.029999,51.950001,52.25,11600,52.25
2016-03-18,52.849998,52.849998,52.330002,52.400002,7100,52.400002
2016-03-21,52.240002,52.57,51.970001,52.110001,3200,52.110001
2016-03-22,51.380001,51.59,51.349998,51.529999,7200,51.529999
2016-03-23,52.139999,52.709999,52.139999,52.700001,12500,52.700001
2016-03-24,54.240002,54.240002,53.419998,53.419998,16600,53.419998
2016-03-28,51.93,52.5,51.540001,51.82,17200,51.82
2016-03-29,51.939999,51.959999,50.779999,50.82,16300,50.82
2016-03-30,50.900002,51.240002,50.560001,51.240002,16500,51.240002
2016-03-31,52.34,52.529999,52.119999,52.48,6300,52.48
2016-04-01,54.049999,56.139999,54.049999,55.150002,104500,55.150002
2016-04-04,55.200001,55.580002,55.0,55.290001,19800,55.290001
2016-04-05,56.939999,57.950001,56.939999,57.630001,15600,57.630001
2016-04-06,56.970001,57.419998,55.759998,55.77,21900,55.77
2016-04-07,55.41,56.77,55.139999,56.299999,16500,56.299999
2016-04-08,53.0,53.32,52.549999,53.32,62000,53.32
2016-04-11,52.84,53.740002,52.66,53.740002,24100,53.740002
2016-04-12,51.880001,52.0,50.84,51.16,19500,51.16
2016-04-13,48.720001,48.98,48.299999,48.43,29200,48.43
2016-04-14,47.970001,48.169998,47.599998,48.099998,12200,48.099998
2016-04-15,48.529999,48.93,48.48,48.84,15700,48.84
2016-04-18,49.599998,49.599998,48.220001,48.220001,26500,48.220001
2016-04-19,46.59,46.779999,46.23,46.77,12000,46.77
2016-04-20,46.41,46.41,45.439999,46.009998,15700,46.009998
2016-04-21,45.93,46.400002,45.790001,46.200001,8400,46.200001
2016-04-22,45.759998,45.779999,45.240002,45.439999,12900,45.439999
2016-04-25,46.650002,46.650002,46.07,46.07,10500,46.07
2016-04-26,46.68,46.830002,46.290001,46.290001,4700,46.290001
2016-04-27,46.869999,47.049999,46.470001,46.470001,12400,46.470001
2016-04-28,49.700001,51.209999,48.970001,50.57,36700,50.57
2016-04-29,51.41,52.0,50.709999,51.52,31700,51.52
2016-05-02,50.0,50.09,49.439999,49.66,24600,49.66
2016-05-03,50.5,51.0,50.27,50.68,66500,50.68
2016-05-04,51.040001,51.759998,51.040001,51.57,8400,51.57
2016-05-05,50.919998,51.310001,50.779999,50.900002,37500,50.900002
2016-05-06,50.91,50.91,50.189999,50.380001,9400,50.380001
2016-05-09,49.849998,50.5,49.619999,50.48,8900,50.48
2016-05-10,48.830002,48.869999,47.869999,47.98,13800,47.98
2016-05-11,49.119999,49.75,48.810001,49.68,5900,49.68
2016-05-12,48.77,49.389999,48.459999,49.049999,9700,49.049999
2016-05-13,50.099998,50.400002,49.84,50.23,15200,50.23
2016-05-16,49.720001,49.720001,48.799999,49.02,9100,49.02
2016-05-17,49.009998,49.68,48.919998,49.549999,6700,49.549999
2016-05-18,49.52,49.59,48.84,49.43,9500,49.43
2016-05-19,50.209999,50.549999,50.110001,50.240002,7800,50.240002
2016-05-20,49.41,49.860001,49.32,49.709999,5900,49.709999
2016-05-23,49.73,49.830002,49.580002,49.810001,2500,49.810001
2016-05-24,49.5,49.560001,49.0,49.209999,58400,49.209999
2016-05-25,48.68,48.68,48.23,48.450001,4400,48.450001
2016-05-26,48.740002,48.98,48.560001,48.580002,6200,48.580002
2016-05-27,48.779999,48.869999,48.779999,48.810001,1200,48.810001
