Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,84.540001,85.099998,83.860001,84.900002,4900,84.900002
2016-01-05,86.620003,86.629997,86.620003,86.620003,400,86.620003
2016-01-06,83.440002,83.68,83.209999,83.209999,800,83.209999
2016-01-07,81.900002,82.550003,81.309998,81.309998,2100,81.309998
2016-01-08,80.870003,80.870003,78.879997,78.879997,7100,78.879997
2016-01-11,79.199997,79.199997,77.510002,78.989998,900,78.989998
2016-01-12,78.809998,78.809998,78.809998,78.809998,400,78.809998
2016-01-13,80.019997,80.019997,77.870003,77.870003,3800,77.870003
2016-01-14,77.150002,78.889999,77.150002,78.809998,2500,78.809998
2016-01-15,74.110001,74.879997,73.050003,73.550003,7200,73.550003
2016-01-19,76.639999,76.639999,75.059998,75.059998,2600,75.059998
2016-01-20,70.480003,70.620003,68.25,69.949997,3700,69.949997
2016-01-21,67.349998,70.07,67.349998,69.470001,4600,69.470001
2016-01-22,72.809998,75.389999,72.809998,75.32,4100,75.32
2016-01-25,73.309998,73.559998,73.309998,73.559998,400,73.559998
2016-01-26,72.68,74.099998,72.68,74.089996,3000,74.089996
2016-01-27,75.970001,76.110001,74.370003,74.370003,1400,74.370003
2016-01-28,74.900002,74.900002,74.099998,74.610001,2300,74.610001
2016-01-29,75.589996,76.5,75.349998,76.5,8400,76.5
2016-02-01,76.599998,76.730003,76.599998,76.690002,1800,76.690002
2016-02-02,75.830002,75.830002,75.480003,75.480003,400,75.480003
2016-02-03,73.580002,73.580002,71.900002,73.349998,35200,73.349998
2016-02-04,72.720001,73.379997,72.610001,72.970001,1800,72.970001
2016-02-05,72.029999,72.129997,70.599998,70.650002,1800,70.650002
2016-02-08,69.639999,69.639999,69.0,69.019997,1100,69.019997
2016-02-09,66.940002,67.699997,66.940002,67.669998,800,67.669998
2016-02-10,66.470001,67.790001,65.82,65.910004,2800,65.910004
2016-02-11,63.07,63.790001,62.0,62.68,4000,62.68
2016-02-12,61.73,63.77,61.419998,63.77,8600,63.77
2016-02-16,68.019997,68.330002,67.5,68.330002,10500,68.330002
2016-02-17,69.160004,70.120003,69.110001,69.669998,3500,69.669998
2016-02-18,70.639999,71.050003,69.489998,70.089996,1900,70.089996
2016-02-19,68.410004,69.010002,68.110001,68.870003,14700,68.870003
2016-02-22,71.139999,71.260002,71.010002,71.230003,1000,71.230003
2016-02-23,70.169998,70.169998,69.410004,69.410004,1900,69.410004
2016-02-24,68.040001,68.040001,68.040001,68.040001,100,68.040001
2016-02-25,68.040001,68.040001,68.040001,68.040001,100,68.040001
2016-02-26,72.5,72.690002,72.209999,72.209999,1500,72.209999
2016-02-29,70.169998,71.080002,70.150002,70.150002,1000,70.150002
2016-03-01,71.300003,73.110001,71.300003,72.970001,3800,72.970001
2016-03-02,73.529999,74.709999,73.529999,74.459999,1300,74.459999
2016-03-03,76.07,76.360001,75.900002,76.169998,2700,76.169998
2016-03-04,78.199997,78.199997,77.150002,77.68,14100,77.68
2016-03-07,75.419998,76.309998,75.419998,76.050003,5100,76.050003
2016-03-08,75.099998,75.099998,74.769997,75.080002,2600,75.080002
2016-03-09,74.849998,75.0,74.410004,74.510002,8500,74.510002
2016-03-10,76.0,76.629997,73.169998,73.169998,3900,73.169998
2016-03-11,76.970001,77.760002,76.970001,77.760002,900,77.760002
2016-03-14,78.150002,78.599998,77.970001,78.599998,900,78.599998
2016-03-15,76.160004,76.290001,76.160004,76.209999,1500,76.209999
2016-03-16,76.739998,76.739998,76.739998,76.739998,400,76.739998
2016-03-17,77.230003,77.230003,77.220001,77.220001,1600,77.220001
2016-03-18,76.82,76.82,76.5,76.5,400,76.5
2016-03-21,76.879997,77.379997,76.879997,77.199997,1100,77.199997
2016-03-22,78.0,78.120003,77.989998,78.120003,1200,78.120003
2016-03-23,76.5,76.860001,76.239998,76.239998,900,76.239998
2016-03-24,75.199997,75.339996,75.199997,75.300003,1000,75.300003
2016-03-28,77.599998,77.889999,77.599998,77.720001,1800,77.720001
2016-03-29,77.720001,77.720001,77.720001,77.720001,0,77.720001
2016-03-30,78.919998,79.050003,78.589996,78.629997,3900,78.629997
2016-03-31,76.860001,76.879997,76.18,76.410004,4200,76.410004
2016-04-01,71.410004,72.790001,71.410004,72.650002,4400,72.650002
2016-04-04,72.489998,72.489998,72.150002,72.150002,2500,72.150002
2016-04-05,69.120003,69.449997,68.980003,69.449997,2900,69.449997
2016-04-06,69.57,70.43,69.57,70.43,800,70.43
2016-04-07,72.099998,72.099998,70.739998,70.75,1400,70.75
2016-04-08,74.959999,75.349998,74.779999,75.349998,2100,75.349998
2016-04-11,74.790001,75.0,74.639999,75.0,600,75.0
2016-04-12,76.879997,77.360001,76.790001,77.279999,2200,77.279999
2016-04-13,80.779999,81.870003,80.779999,81.480003,15400,81.480003
2016-04-14,82.529999,82.709999,81.910004,81.910004,4600,81.910004
2016-04-15,80.800003,80.800003,80.800003,80.800003,500,80.800003
2016-04-18,80.050003,81.669998,80.050003,81.669998,1000,81.669998
2016-04-19,84.639999,84.639999,84.639999,84.639999,500,84.639999
2016-04-20,85.089996,86.07,85.089996,86.07,900,86.07
2016-04-21,85.110001,85.309998,85.050003,85.050003,1200,85.050003
2016-04-22,86.449997,86.839996,86.220001,86.480003,2300,86.480003
2016-04-25,86.480003,86.480003,86.480003,86.480003,0,86.480003
2016-04-26,84.190002,84.559998,84.080002,84.559998,900,84.559998
2016-04-27,83.82,84.650002,83.82,84.18,800,84.18
2016-04-28,78.639999,78.739998,76.059998,76.519997,6300,76.519997
2016-04-29,75.029999,75.800003,75.029999,75.32,1300,75.32
2016-05-02,75.32,75.32,75.32,75.32,500,75.32
2016-05-03,76.620003,76.620003,76.620003,76.620003,2900,76.620003
2016-05-04,76.07,76.07,75.370003,75.370003,400,75.370003
2016-05-05,76.720001,76.720001,76.440002,76.440002,600,76.440002
2016-05-06,77.269997,77.269997,76.410004,77.25,1600,77.25
2016-05-09,77.300003,77.300003,77.220001,77.260002,300,77.260002
2016-05-10,79.629997,80.610001,79.629997,80.610001,1600,80.610001
2016-05-11,80.610001,80.610001,80.610001,80.610001,0,80.610001
2016-05-12,78.769997,79.029999,78.769997,79.029999,1800,79.029999
2016-05-13,77.07,77.07,77.07,77.07,100,77.07
