Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,121.220001,121.220001,116.879997,119.050003,24500,119.050003
2016-01-05,119.989998,120.190002,118.269997,119.389999,51900,119.389999
2016-01-06,117.599998,118.239998,115.419998,116.105003,47800,116.105003
2016-01-07,112.989998,113.849998,110.75,111.510002,64400,111.510002
2016-01-08,112.040001,113.029999,109.510002,109.510002,17200,109.510002
2016-01-11,110.400002,110.400002,105.778,109.089996,69000,109.089996
2016-01-12,110.919998,111.919998,108.010002,111.089996,17700,111.089996
2016-01-13,111.910004,111.919998,103.690002,104.040001,15000,104.040001
2016-01-14,104.169998,108.080002,101.800003,107.900002,5000,107.900002
2016-01-15,101.699997,103.379997,99.82,102.849998,9800,102.849998
2016-01-19,105.190002,105.239998,101.588997,103.110001,77600,103.110001
2016-01-20,100.709999,103.300003,95.18,102.080002,27300,102.080002
2016-01-21,101.209999,104.521004,100.591003,102.839996,6300,102.839996
2016-01-22,105.410004,107.449997,105.410004,107.449997,7900,107.449997
2016-01-25,106.260002,107.25,104.540001,104.540001,2600,104.540001
2016-01-26,104.410004,106.919998,104.410004,106.150002,3600,106.150002
2016-01-27,104.914001,106.949997,102.209999,102.940002,48100,102.940002
2016-01-28,105.389999,105.389999,102.559998,104.279999,48100,104.279999
2016-01-29,104.980003,109.230003,104.779999,108.839996,18000,108.839996
2016-02-01,106.489998,110.911003,106.489998,110.18,9600,110.18
2016-02-02,108.440002,108.440002,105.32,106.440002,65500,106.440002
2016-02-03,105.642998,106.620003,102.129997,106.110001,16700,106.110001
2016-02-04,103.629997,107.839996,103.629997,106.245003,99200,106.245003
2016-02-05,104.900002,104.900002,100.0,100.389999,7200,100.389999
2016-02-08,97.43,97.938004,93.440002,96.610001,13400,96.610001
2016-02-09,94.860001,98.790001,92.0,96.805,15100,96.805
2016-02-10,96.800003,100.779999,96.800003,97.497002,7800,97.497002
2016-02-11,94.110001,96.459999,92.93,96.459999,27600,96.459999
2016-02-12,97.599998,99.143997,96.900002,98.900002,10000,98.900002
2016-02-16,102.139999,103.019997,101.400002,102.900002,4200,102.900002
2016-02-17,106.089996,107.93,106.089996,107.629997,3600,107.629997
2016-02-18,102.0,107.040001,102.0,106.029999,12200,106.029999
2016-02-19,106.283997,106.610001,105.779999,106.488998,11700,106.488998
2016-02-22,109.489998,109.870003,108.800003,109.32,63500,109.32
2016-02-23,109.290001,109.529999,107.304001,107.610001,62400,107.610001
2016-02-24,105.5,108.25,103.669998,108.25,104100,108.25
2016-02-25,108.349998,110.809998,107.940002,110.720001,31600,110.720001
2016-02-26,111.93,112.0,110.480003,111.0,16100,111.0
2016-02-29,110.5,112.290001,109.389999,109.389999,37300,109.389999
2016-03-01,110.919998,114.731003,110.790001,114.399002,17200,114.399002
2016-03-02,114.739998,114.830002,113.57,114.830002,14100,114.830002
2016-03-03,114.269997,115.489998,114.129997,115.489998,2300,115.489998
2016-03-04,115.580002,117.300003,114.959999,116.220001,13900,116.220001
2016-03-07,115.210999,116.540001,114.739998,115.705002,16300,115.705002
2016-03-08,114.300003,115.396004,113.529999,113.665001,15300,113.665001
2016-03-09,113.779999,114.644997,113.470001,114.644997,13300,114.644997
