Date,Open,High,Low,Close,Volume,Adj Close
2016-09-15,24.955,25.200001,24.860001,25.18,6200,25.067721
2016-09-16,25.038,25.110001,25.01,25.049999,11500,24.938299
2016-09-19,25.17,25.280001,25.16,25.165001,5500,25.052788
2016-09-20,25.246,25.25,25.15,25.15,6500,25.037854
2016-09-21,25.23,25.462,25.145,25.462,15200,25.348463
2016-09-22,25.559999,25.68,25.559999,25.65,13800,25.535624
2016-09-23,25.5,25.540001,25.493999,25.493999,6500,25.38032
2016-09-26,25.440001,25.440001,25.32,25.35,7400,25.236963
2016-09-27,25.33,25.43,25.33,25.41,7200,25.296695
2016-09-28,25.459999,25.59,25.379999,25.57,24300,25.455981
2016-09-29,25.57,25.57,25.302999,25.361,32800,25.247913
2016-09-30,25.41,25.549999,25.4,25.48,17000,25.366382
2016-10-03,25.5,25.5,25.285,25.344999,22200,25.231984
2016-10-04,25.348,25.348,25.059999,25.105,16000,24.993054
2016-10-05,25.184999,25.184999,25.122,25.122,3500,25.009979
2016-10-06,25.139999,25.209999,25.059999,25.200001,33700,25.087632
2016-10-07,25.200001,25.209999,25.0,25.110001,17300,24.998033
2016-10-10,25.200001,25.24,25.194,25.197001,17600,25.084645
2016-10-11,25.190001,25.190001,24.870001,24.910999,12200,24.799919
2016-10-12,24.886999,25.09,24.886999,25.045,5500,24.933322
2016-10-13,24.888,25.032,24.85,25.032,1300,24.92038
2016-10-14,25.1,25.219999,25.07,25.07,13000,24.95821
2016-10-17,25.059999,25.059999,24.969999,24.969999,4400,24.858656
2016-10-18,25.139999,25.17,25.07,25.09,6700,24.978122
2016-10-19,25.129999,25.139999,25.082001,25.094,4400,24.982104
2016-10-20,25.01,25.09,24.961,25.040001,20700,24.928345
2016-10-21,25.0,25.09,24.945,25.07,3600,24.95821
2016-10-24,25.18,25.23,25.122,25.184999,7200,25.072697
2016-10-25,25.18,25.18,25.07,25.07,3000,24.95821
2016-10-26,25.0,25.030001,24.9,24.908001,10200,24.796934
2016-10-27,24.91,24.91,24.683001,24.683001,33800,24.572937
2016-10-28,24.870001,24.909,24.739,24.743,8100,24.632669
2016-10-31,24.809999,24.879999,24.783001,24.85,20600,24.739192
2016-11-01,24.805,24.805,24.48,24.546,7100,24.436547
2016-11-02,24.700001,24.700001,24.423,24.440001,5600,24.331021
2016-11-03,24.43,24.43,24.264,24.273001,4500,24.164765
2016-11-04,24.294001,24.398001,24.284,24.34,9200,24.231466
2016-11-07,24.549999,24.74,24.549999,24.700001,16100,24.589861
2016-11-08,24.77,24.934999,24.77,24.934999,3900,24.823812
2016-11-09,24.83,24.969999,24.573,24.92,14800,24.80888
2016-11-10,24.93,24.93,24.641001,24.74,18000,24.629682
2016-11-11,24.757999,24.82,24.693001,24.73,31300,24.619726
2016-11-14,24.82,24.82,24.593,24.690001,8800,24.579906
2016-11-15,24.83,24.9,24.799999,24.9,6900,24.788968
2016-11-16,24.905001,24.940001,24.879999,24.933001,5700,24.821822
2016-11-17,24.99,25.120001,24.99,25.08,10500,24.968166
2016-11-18,25.0,25.07,24.972,25.051001,11500,24.939296
2016-11-21,25.139999,25.200001,25.120001,25.200001,9000,25.087632
2016-11-22,25.26,25.299999,25.190001,25.274,14400,25.161301
2016-11-23,25.129999,25.290001,25.129999,25.274,27500,25.161301
2016-11-25,25.34,25.370001,25.309999,25.344999,6200,25.231984
2016-11-28,25.610001,25.610001,25.25,25.299999,13100,25.187184
2016-11-29,25.299999,25.450001,25.299999,25.35,10500,25.236963
2016-11-30,25.469999,25.51,25.219999,25.219999,8600,25.107541
2016-12-01,25.27,25.27,24.91,24.933001,4800,24.821822
2016-12-02,25.049999,25.1,24.990999,25.0,12600,24.888523
2016-12-05,25.129999,25.200001,25.129999,25.15,4400,25.037854
2016-12-06,25.155001,25.24,25.155001,25.225,11900,25.11252
2016-12-07,25.290001,25.559999,25.191999,25.525,21100,25.411182
2016-12-08,25.610001,25.65,25.537001,25.594999,20200,25.480869
2016-12-09,25.700001,25.709999,25.601999,25.709999,8200,25.595356
2016-12-12,25.75,25.780001,25.684999,25.74,8600,25.625223
2016-12-13,25.83,25.948999,25.83,25.884001,20800,25.768582
2016-12-14,25.889999,25.99,25.687,25.687,10100,25.57246
2016-12-15,25.77,25.889999,25.674999,25.790001,16700,25.675001
2016-12-16,25.85,25.85,25.65,25.662001,4900,25.662001
2016-12-19,25.700001,25.780001,25.665001,25.780001,10900,25.780001
2016-12-20,25.85,25.85,25.76,25.813999,8200,25.813999
2016-12-21,25.85,25.860001,25.809999,25.809999,9300,25.809999
2016-12-22,25.790001,25.790001,25.75,25.780001,18100,25.780001
2016-12-23,25.870001,25.870001,25.728001,25.780001,4600,25.780001
2016-12-27,25.85,25.91,25.85,25.9,3700,25.9
2016-12-28,25.93,25.93,25.652,25.68,6600,25.68
2016-12-29,25.691999,25.73,25.65,25.697001,2500,25.697001
2016-12-30,25.85,25.85,25.539,25.539,7600,25.539
2017-01-03,25.620001,25.639999,25.521,25.610001,4600,25.610001
2017-01-04,25.77,25.85,25.721001,25.85,31700,25.85
2017-01-05,25.84,25.879999,25.790001,25.834999,8200,25.834999
2017-01-06,25.870001,25.99,25.789,25.950001,4800,25.950001
2017-01-09,25.92,25.950001,25.870001,25.870001,7500,25.870001
2017-01-10,25.969999,25.969999,25.849001,25.889999,10400,25.889999
2017-01-11,25.91,25.959999,25.85,25.879999,9000,25.879999
2017-01-12,25.940001,25.940001,25.711,25.84,5900,25.84
2017-01-13,25.924999,25.927999,25.870001,25.889999,9800,25.889999
2017-01-17,25.870001,25.91,25.83,25.85,19400,25.85
2017-01-18,25.98,25.98,25.865,25.950001,8200,25.950001
2017-01-19,25.959999,25.959999,25.799999,25.809999,20500,25.809999
2017-01-20,25.879999,26.02,25.879999,25.969999,4100,25.969999
2017-01-23,25.969999,25.99,25.868999,25.950001,5600,25.950001
2017-01-24,26.02,26.18,25.99,26.18,7300,26.18
2017-01-25,26.370001,26.370001,26.200001,26.309999,14300,26.309999
2017-01-26,26.35,26.41,26.334999,26.379999,20900,26.379999
