Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,42.599998,42.709999,42.23,42.709999,417700,42.135599
2016-01-05,42.869999,42.900002,42.540001,42.84,314300,42.263852
2016-01-06,42.259998,42.400002,41.91,42.16,193300,41.592997
2016-01-07,41.48,41.939999,41.220001,41.34,420000,40.784025
2016-01-08,41.540001,41.580002,40.68,40.77,433900,40.221691
2016-01-11,40.93,41.049999,40.200001,40.689999,477800,40.142766
2016-01-12,41.009998,41.150002,40.380001,40.91,524800,40.359808
2016-01-13,41.029999,41.139999,39.779999,39.849998,278700,39.314062
2016-01-14,39.959999,40.59,39.450001,40.310001,359000,39.767879
2016-01-15,39.360001,39.639999,38.98,39.490002,380500,38.958907
2016-01-19,39.889999,39.889999,39.009998,39.369999,469500,38.840518
2016-01-20,38.849998,39.290001,37.799999,38.939999,560600,38.416301
2016-01-21,39.009998,39.669998,38.759998,39.209999,305000,38.68267
2016-01-22,39.799999,40.119999,39.650002,39.990002,160000,39.452183
2016-01-25,39.810001,39.810001,39.18,39.25,223100,38.722133
2016-01-26,39.400002,39.98,39.380001,39.91,483400,39.373257
2016-01-27,39.799999,40.27,39.34,39.59,196200,39.057561
2016-01-28,39.889999,39.990002,39.369999,39.68,145700,39.146351
2016-01-29,39.860001,40.790001,39.860001,40.779999,275100,40.231555
2016-02-01,40.549999,41.07,40.389999,40.889999,301400,40.340077
2016-02-02,40.599998,40.599998,39.91,40.040001,384700,39.50151
2016-02-03,40.310001,40.459999,39.470001,40.369999,326400,39.82707
2016-02-04,40.259998,40.849998,40.259998,40.52,162300,39.975054
2016-02-05,40.380001,40.400002,39.720001,39.790001,170700,39.254872
2016-02-08,39.439999,39.439999,38.5,39.029999,188700,38.505091
2016-02-09,38.66,39.299999,38.66,38.990002,263200,38.465632
2016-02-10,39.200001,39.540001,39.0,39.029999,174300,38.505091
2016-02-11,38.529999,38.779999,38.119999,38.490002,315900,37.972356
2016-02-12,38.849998,39.310001,38.68,39.279999,209900,38.751729
2016-02-16,39.720001,40.110001,39.560001,40.099998,171900,39.5607
2016-02-17,40.389999,41.0,40.389999,40.880001,202500,40.330213
2016-02-18,40.889999,41.0,40.709999,40.82,341700,40.271018
2016-02-19,40.630001,40.77,40.41,40.75,138800,40.20196
2016-02-22,41.169998,41.52,41.169998,41.5,139800,40.941873
2016-02-23,41.380001,41.450001,41.02,41.07,201800,40.517656
2016-02-24,40.66,41.369999,40.450001,41.32,590300,40.764294
2016-02-25,41.41,41.799999,41.200001,41.799999,275700,41.237838
2016-02-26,42.0,42.040001,41.740002,41.799999,156800,41.237838
2016-02-29,41.810001,42.09,41.57,41.57,146100,41.010932
2016-03-01,41.900002,42.470001,41.75,42.419998,204600,41.849499
2016-03-02,42.369999,42.740002,42.240002,42.740002,151400,42.165198
2016-03-03,42.700001,43.130001,42.639999,43.099998,860400,42.520354
2016-03-04,43.169998,43.529999,43.009998,43.279999,142500,42.697933
