Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,35.380001,35.400002,35.02,35.349998,13000,34.885044
2016-01-05,35.150002,35.200001,34.84,35.169998,52900,34.707411
2016-01-06,34.400002,34.709999,34.330002,34.650002,14400,34.194254
2016-01-07,33.939999,34.25,33.84,33.959999,42600,33.513327
2016-01-08,34.189999,34.189999,33.48,33.560001,21300,33.11859
2016-01-11,33.889999,33.93,33.48,33.73,28900,33.286352
2016-01-12,34.32,34.32,33.880001,34.220001,11000,33.769909
2016-01-13,34.220001,34.220001,33.240002,33.299999,70000,32.862008
2016-01-14,33.169998,33.57,33.139999,33.400002,41900,32.960695
2016-01-15,32.419998,32.419998,31.959999,31.98,35400,31.55937
2016-01-19,32.880001,33.119999,32.73,32.919998,38400,32.487005
2016-01-20,32.369999,32.380001,31.67,32.169998,28400,31.746869
2016-01-21,32.119999,32.59,32.119999,32.529999,15600,32.102135
2016-01-22,33.080002,33.18,33.0,33.130001,10200,32.694246
2016-01-25,33.150002,33.240002,33.029999,33.099998,37400,32.664638
2016-01-26,33.48,33.619999,33.450001,33.619999,24600,33.177799
2016-01-27,33.66,33.810001,33.32,33.41,11400,32.970562
2016-01-28,33.450001,33.5,33.209999,33.209999,14700,32.773191
2016-01-29,33.23,33.560001,33.23,33.48,458300,33.039641
2016-02-01,33.549999,33.810001,33.549999,33.77,5600,33.325827
2016-02-02,33.400002,33.400002,32.869999,32.869999,55800,32.437663
2016-02-03,33.209999,33.349998,32.880001,33.34,58600,32.901483
2016-02-04,32.91,33.25,32.830002,33.169998,10400,32.733717
2016-02-05,33.220001,33.23,32.68,32.720001,20400,32.289638
2016-02-08,31.6,31.6,31.16,31.389999,23400,30.97713
2016-02-09,30.65,31.52,30.65,31.34,123300,30.927788
2016-02-10,31.790001,31.950001,31.610001,31.620001,42500,31.204106
2016-02-11,31.48,31.620001,31.35,31.559999,53900,31.144894
2016-02-12,31.57,31.68,31.379999,31.68,24800,31.263317
2016-02-16,32.400002,32.41,32.040001,32.360001,217700,31.934373
2016-02-17,32.720001,33.029999,32.720001,32.950001,27000,32.516613
2016-02-18,33.34,33.41,33.200001,33.25,12200,32.812666
2016-02-19,32.950001,33.139999,32.860001,33.119999,22500,32.684375
2016-02-22,33.290001,33.470001,33.290001,33.459999,4800,33.019903
2016-02-23,33.240002,33.240002,33.009998,33.040001,47900,32.605429
2016-02-24,32.330002,32.73,32.119999,32.66,30000,32.230426
2016-02-25,33.110001,33.189999,32.98,33.169998,5200,32.733717
2016-02-26,33.48,33.48,33.23,33.279999,6500,32.84227
2016-02-29,33.200001,33.439999,33.200001,33.27,20100,32.832404
2016-03-01,34.18,34.599998,34.18,34.599998,46200,34.144908
2016-03-02,34.200001,34.27,34.07,34.27,10100,33.819251
2016-03-03,34.470001,34.700001,34.470001,34.700001,2600,34.243595
2016-03-04,34.919998,35.119999,34.919998,34.990002,5900,34.529782
2016-03-07,34.48,35.0,34.48,34.900002,8100,34.440965
2016-03-08,34.630001,34.630001,34.220001,34.220001,8300,33.769909
2016-03-09,34.330002,34.330002,34.119999,34.18,14400,33.730434
2016-03-10,34.419998,34.419998,33.77,34.060001,26000,33.612014
2016-03-11,35.009998,35.389999,35.009998,35.389999,12700,34.924518
2016-03-14,35.5,35.57,35.5,35.57,900,35.102151
2016-03-15,35.25,35.389999,35.25,35.330002,26700,34.86531
2016-03-16,35.490002,36.139999,35.490002,36.02,27300,35.546233
2016-03-17,35.889999,36.09,35.889999,36.060001,20300,35.585708
2016-03-18,36.080002,36.240002,36.07,36.169998,2400,35.694258
2016-03-21,35.939999,35.939999,35.73,35.82,11000,35.348863
2016-03-22,35.66,35.889999,35.66,35.82,6400,35.348863
2016-03-23,35.98,35.990002,35.810001,35.810001,36400,35.350838
2016-03-24,35.470001,35.59,35.439999,35.59,1200,35.133658
2016-03-28,35.73,35.73,35.619999,35.700001,8300,35.242248
2016-03-29,35.43,36.189999,35.43,36.189999,17800,35.725963
2016-03-30,36.610001,36.93,36.610001,36.82,12000,36.347886
2016-03-31,36.779999,36.869999,36.599998,36.599998,40100,36.130706
2016-04-01,36.25,36.639999,36.16,36.599998,13700,36.130706
2016-04-04,36.68,36.68,36.369999,36.5,11200,36.031989
2016-04-05,35.619999,35.669998,35.470001,35.549999,8100,35.09417
2016-04-06,35.889999,36.049999,35.860001,36.049999,2800,35.587759
2016-04-07,35.619999,35.619999,35.279999,35.349998,10400,34.896733
2016-04-08,35.959999,35.959999,35.880001,35.939999,4300,35.479168
2016-04-11,36.380001,36.380001,35.950001,35.970001,12900,35.508786
2016-04-12,36.040001,36.279999,35.91,36.25,4100,35.785195
2016-04-13,36.669998,36.669998,36.529999,36.66,6100,36.189938
2016-04-14,36.599998,36.700001,36.599998,36.689999,1100,36.219552
2016-04-15,36.439999,36.439999,36.32,36.34,3400,35.874041
2016-04-18,36.32,36.650002,36.32,36.540001,86800,36.071477
2016-04-19,37.18,37.290001,37.150002,37.290001,2400,36.811861
2016-04-20,37.169998,37.279999,37.16,37.18,48300,36.703271
2016-04-21,36.919998,37.02,36.759998,36.82,48000,36.347886
2016-04-22,36.790001,36.82,36.599998,36.75,12400,36.278784
2016-04-25,36.75,36.75,36.75,36.75,0,36.278784
2016-04-26,36.880001,36.880001,36.639999,36.68,7700,36.209682
2016-04-27,37.41,37.41,37.16,37.34,26600,36.861219
2016-04-28,37.139999,37.32,37.139999,37.279999,2700,36.801987
2016-04-29,37.27,37.27,37.040001,37.18,12100,36.703271
2016-05-02,37.34,37.5,37.34,37.490002,2300,37.009297
2016-05-03,37.240002,37.240002,36.720001,36.759998,9000,36.288654
2016-05-04,36.349998,36.380001,36.16,36.200001,7100,35.735837
2016-05-05,36.060001,36.09,35.970001,36.009998,4800,35.548271
2016-05-06,36.34,36.43,36.299999,36.369999,15800,35.903655
2016-05-09,36.299999,36.299999,36.299999,36.299999,400,35.834553
2016-05-10,36.48,36.66,36.48,36.650002,4600,36.180067
2016-05-11,36.59,36.669998,36.490002,36.490002,2100,36.022119
2016-05-12,36.669998,36.669998,36.0,36.25,9200,35.785195
2016-05-13,35.889999,35.91,35.759998,35.759998,4800,35.301476
2016-05-16,35.77,36.029999,35.77,35.93,10600,35.469298
2016-05-17,35.790001,35.790001,35.529999,35.599998,5500,35.143528
2016-05-18,35.860001,36.02,35.689999,35.75,22300,35.291606
2016-05-19,35.689999,35.689999,35.549999,35.68,11900,35.222504
2016-05-20,36.07,36.119999,36.0,36.110001,1900,35.646991
2016-05-23,35.939999,36.220001,35.939999,36.220001,4100,35.755581
