Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.33,16.48,16.0,16.299999,52700,15.847229
2016-01-05,16.48,16.6,16.16,16.16,9400,15.711118
2016-01-06,15.86,16.1,15.6,15.93,16600,15.487508
2016-01-07,15.47,15.77,15.38,15.41,12600,14.981951
2016-01-08,15.45,15.45,15.25,15.25,4100,14.826396
2016-01-11,15.42,15.42,14.73,14.85,28600,14.437507
2016-01-12,15.0,15.01,14.66,14.94,21100,14.525007
2016-01-13,15.37,15.37,14.64,14.76,34300,14.350007
2016-01-14,14.97,15.6,14.79,15.3,26500,14.875007
2016-01-15,14.64,14.95,14.64,14.77,10200,14.35973
2016-01-19,15.08,15.08,14.5,14.68,12000,14.272229
2016-01-20,14.34,14.41,13.68,14.39,50600,13.990285
2016-01-21,13.97,14.97,13.97,14.59,49100,14.184729
2016-01-22,15.48,15.48,15.14,15.3,10000,14.875007
2016-01-25,15.23,15.38,14.87,14.98,10500,14.563895
2016-01-26,15.11,15.42,15.11,15.42,6100,14.991674
2016-01-27,15.3,15.73,15.24,15.33,18200,14.904174
2016-01-28,15.56,15.87,15.54,15.85,18700,15.40973
2016-01-29,16.02,16.120001,15.66,16.02,86200,15.575008
2016-02-01,15.83,15.98,15.83,15.98,1800,15.536118
2016-02-02,15.25,15.36,15.17,15.27,94600,14.845841
2016-02-03,15.25,15.78,15.2,15.65,11600,15.215285
2016-02-04,15.91,16.25,15.89,15.95,6900,15.506952
2016-02-05,15.86,15.86,15.47,15.83,9300,15.390285
2016-02-08,15.26,15.77,15.26,15.51,3800,15.079174
2016-02-09,15.6,15.6,15.12,15.18,10400,14.758341
2016-02-10,15.25,15.6,15.01,15.01,34400,14.593063
2016-02-11,14.94,15.35,14.85,14.86,18600,14.447229
2016-02-12,15.23,15.51,15.22,15.28,20500,14.855562
2016-02-16,15.86,15.94,15.5,15.53,6800,15.098618
2016-02-17,15.69,16.08,15.69,16.040001,6200,15.594453
2016-02-18,15.97,16.17,15.25,16.17,30300,15.720841
2016-02-19,15.6,15.71,15.56,15.71,3300,15.273618
2016-02-22,16.15,16.15,16.02,16.139999,7800,15.691674
2016-02-23,15.8,15.8,15.51,15.66,1500,15.225007
2016-02-24,15.07,16.57,15.07,15.46,14400,15.030563
2016-02-25,15.58,15.87,15.49,15.87,10400,15.429174
2016-02-26,16.049999,16.459999,15.96,16.0,2800,15.555563
2016-02-29,16.0,16.0,15.75,15.81,8100,15.370841
2016-03-01,15.83,16.33,15.83,16.190001,5500,15.740286
2016-03-02,16.25,16.59,16.01,16.459999,28300,16.002785
2016-03-03,16.700001,17.040001,16.559999,16.99,19200,16.518063
2016-03-04,17.32,17.379999,17.040001,17.129999,12100,16.654174
2016-03-07,17.200001,17.540001,17.040001,17.540001,49300,17.052787
2016-03-08,17.469999,17.469999,16.91,17.0,7500,16.527786
2016-03-09,17.049999,17.379999,16.75,17.27,9200,16.790286
2016-03-10,17.17,17.17,16.809999,16.870001,8400,16.401398
2016-03-11,17.370001,17.559999,17.280001,17.42,20100,16.936119
2016-03-14,17.389999,17.389999,17.07,17.33,22900,16.848619
2016-03-15,17.219999,17.219999,16.82,17.200001,21300,16.722231
2016-03-16,17.290001,17.58,17.129999,17.459999,8500,16.975007
2016-03-17,17.73,18.02,17.6,17.99,14400,17.490286
2016-03-18,18.0,18.0,17.639999,17.85,9900,17.354175
2016-03-21,17.92,17.92,17.639999,17.76,12000,17.266675
2016-03-22,17.74,17.85,17.639999,17.74,18300,17.24723
2016-03-23,17.32,17.35,17.25,17.35,1500,16.868064
2016-03-24,17.16,17.35,16.99,17.209999,2500,16.731952
2016-03-28,17.6,17.83,17.27,17.43,26100,16.945842
2016-03-29,17.1,17.51,17.01,17.5,9200,17.013897
2016-03-30,17.65,17.799999,17.309999,17.67,11000,17.179175
2016-03-31,17.440001,17.68,17.35,17.4,7300,16.916674
2016-04-01,17.110001,17.309999,17.0,17.309999,6300,16.829174
2016-04-04,17.35,17.35,17.02,17.02,18900,16.547231
2016-04-05,16.73,17.0,16.73,16.91,6000,16.440285
2016-04-06,17.01,17.360001,16.91,17.360001,6000,16.877786
2016-04-07,17.1,17.209999,16.959999,17.139999,9100,16.663896
2016-04-08,17.530001,17.639999,17.379999,17.450001,9100,16.965287
2016-04-11,17.75,17.870001,17.58,17.68,5800,17.188897
2016-04-12,17.59,18.23,17.59,18.23,7200,17.723619
2016-04-13,18.33,18.48,18.16,18.34,28800,17.830564
2016-04-14,18.4,18.4,18.27,18.33,11800,17.820842
2016-04-15,18.25,18.309999,18.0,18.24,18500,17.733342
2016-04-18,17.98,18.370001,17.700001,18.18,14000,17.675009
2016-04-19,18.379999,18.68,18.370001,18.620001,13200,18.102787
2016-04-20,18.5,18.83,18.5,18.83,7100,18.306953
2016-04-21,18.690001,18.9,18.67,18.85,7800,18.326398
2016-04-22,18.700001,18.92,18.700001,18.85,10000,18.326398
2016-04-25,18.74,18.780001,18.52,18.780001,14700,18.258343
2016-04-26,18.99,19.1,18.860001,18.889999,6200,18.365286
2016-04-27,19.15,19.299999,19.15,19.209999,11800,18.676397
2016-04-28,19.280001,19.33,19.02,19.02,6500,18.491676
2016-04-29,19.08,19.15,18.84,19.15,8600,18.618064
2016-05-02,19.16,19.17,18.91,19.16,13700,18.627787
2016-05-03,18.719999,18.719999,18.48,18.57,2400,18.054175
2016-05-04,18.459999,18.459999,18.15,18.18,12100,17.675009
2016-05-05,18.48,18.48,18.24,18.34,9200,17.830564
