Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,14.94,14.94,14.94,14.94,200,14.94
2016-09-14,14.94,14.94,14.94,14.94,0,14.94
2016-09-15,15.227,15.229,15.227,15.229,200,15.229
2016-09-16,15.229,15.229,15.229,15.229,0,15.229
2016-09-19,15.2,15.21,15.185,15.2,4400,15.2
2016-09-20,15.08,15.08,15.08,15.08,500,15.08
2016-09-21,15.05,15.05,15.04,15.04,400,15.04
2016-09-22,15.32,15.32,15.32,15.32,1000,15.32
2016-09-23,15.42,15.42,15.262,15.29,4500,15.29
2016-09-26,15.29,15.29,15.29,15.29,0,15.29
2016-09-27,15.29,15.29,15.29,15.29,0,15.29
2016-09-28,15.29,15.29,15.29,15.29,0,15.29
2016-09-29,15.44,15.46,15.34,15.34,4800,15.34
2016-09-30,15.39,15.429,15.39,15.429,500,15.429
2016-10-03,15.54,15.54,15.477,15.52,1600,15.52
2016-10-04,15.434,15.434,15.434,15.434,400,15.434
2016-10-05,15.52,15.52,15.464,15.464,900,15.464
2016-10-06,15.52,15.52,15.37,15.45,1700,15.45
2016-10-07,15.31,15.31,15.25,15.25,300,15.25
2016-10-10,15.34,15.34,15.323,15.323,500,15.323
2016-10-11,15.315,15.315,15.05,15.05,1800,15.05
2016-10-12,15.0,15.11,15.0,15.11,1000,15.11
2016-10-13,15.0,15.0,14.99,15.0,6100,15.0
2016-10-14,15.0,15.0,15.0,15.0,0,15.0
2016-10-17,15.0,15.0,15.0,15.0,0,15.0
2016-10-18,15.0,15.0,15.0,15.0,100,15.0
2016-10-19,15.0,15.0,15.0,15.0,0,15.0
2016-10-20,15.0,15.0,15.0,15.0,0,15.0
2016-10-21,15.0,15.0,15.0,15.0,0,15.0
2016-10-24,15.0,15.0,15.0,15.0,0,15.0
2016-10-25,15.19,15.19,15.09,15.09,2700,15.09
2016-10-26,15.09,15.09,15.09,15.09,0,15.09
2016-10-27,15.09,15.09,15.09,15.09,0,15.09
2016-10-28,14.857,14.857,14.85,14.85,300,14.85
2016-10-31,14.85,14.85,14.85,14.85,0,14.85
2016-11-01,14.84,14.85,14.76,14.76,7600,14.76
2016-11-02,14.66,14.66,14.59,14.59,200,14.59
2016-11-03,14.59,14.59,14.59,14.59,0,14.59
2016-11-04,14.59,14.59,14.551,14.551,400,14.551
2016-11-07,15.04,15.06,15.04,15.06,400,15.06
2016-11-08,15.06,15.06,15.06,15.06,0,15.06
2016-11-09,14.936,14.988,14.936,14.988,400,14.988
2016-11-10,14.988,14.988,14.988,14.988,0,14.988
2016-11-11,14.76,14.89,14.76,14.89,6800,14.89
2016-11-14,14.98,14.98,14.8,14.846,2200,14.846
2016-11-15,14.85,14.85,14.85,14.85,1000,14.85
2016-11-16,14.978,15.0,14.948,14.948,2600,14.948
2016-11-17,15.075,15.13,15.07,15.1,2400,15.1
2016-11-18,15.2,15.2,15.2,15.2,300,15.2
2016-11-21,15.13,15.14,15.13,15.14,700,15.14
2016-11-22,15.22,15.24,15.219,15.24,1500,15.24
2016-11-23,15.23,15.23,15.23,15.23,1400,15.23
2016-11-25,15.4,15.4,15.19,15.27,700,15.27
2016-11-28,15.19,15.19,15.16,15.16,200,15.16
2016-11-29,15.24,15.24,15.16,15.16,1200,15.16
2016-11-30,15.05,15.065,14.98,14.99,500,14.99
2016-12-01,14.85,14.85,14.63,14.63,1600,14.63
2016-12-02,14.57,14.57,14.53,14.53,600,14.53
2016-12-05,14.76,14.79,14.715,14.715,1400,14.715
2016-12-06,14.76,14.76,14.548,14.548,1000,14.548
2016-12-07,14.58,14.8,14.58,14.8,1300,14.8
2016-12-08,14.8,14.8,14.8,14.8,100,14.8
2016-12-09,14.8,14.8,14.8,14.8,0,14.8
2016-12-12,14.8,14.8,14.78,14.78,1600,14.78
2016-12-13,14.71,14.71,14.7,14.7,800,14.7
2016-12-14,14.692,14.692,14.692,14.692,200,14.692
2016-12-15,14.76,14.76,14.739,14.76,600,14.76
2016-12-16,14.76,14.76,14.76,14.76,0,14.76
2016-12-19,14.65,14.69,14.59,14.59,4800,14.59
2016-12-20,14.7,14.7,14.669,14.669,300,14.669
2016-12-21,14.669,14.669,14.669,14.669,0,14.669
2016-12-22,14.669,14.669,14.669,14.669,0,14.669
2016-12-23,14.638,14.638,14.638,14.638,300,14.638
2016-12-27,14.746,14.755,14.746,14.755,700,14.755
2016-12-28,14.71,14.71,14.669,14.669,900,14.669
2016-12-29,14.8,14.8,14.654,14.654,2000,14.654
2016-12-30,14.654,14.654,14.654,14.654,0,14.654
2017-01-03,14.75,14.81,14.75,14.779,1200,14.779
2017-01-04,14.85,14.85,14.841,14.85,1600,14.85
2017-01-05,15.038,15.038,15.02,15.02,400,15.02
2017-01-06,15.06,15.089,15.053,15.089,900,15.089
2017-01-09,15.045,15.045,15.045,15.045,400,15.045
2017-01-10,15.2,15.23,15.2,15.23,1100,15.23
2017-01-11,15.25,15.25,15.11,15.11,700,15.11
2017-01-12,15.11,15.11,15.11,15.11,0,15.11
2017-01-13,15.263,15.33,15.263,15.31,2200,15.31
2017-01-17,15.164,15.164,15.11,15.11,300,15.11
2017-01-18,15.11,15.11,15.11,15.11,0,15.11
2017-01-19,15.199,15.26,15.196,15.26,800,15.26
2017-01-20,15.28,15.28,15.229,15.229,1200,15.229
2017-01-23,15.34,15.34,15.237,15.237,400,15.237
2017-01-24,15.25,15.317,15.25,15.317,500,15.317
2017-01-25,15.43,15.44,15.43,15.44,300,15.44
2017-01-26,15.44,15.44,15.4,15.4,400,15.4
