Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,18.780001,18.780001,18.780001,18.780001,0,37.560001
2016-01-05,20.0,20.08,19.99,20.08,1300,40.16
2016-01-06,21.08,21.08,20.469999,20.559999,800,41.119999
2016-01-07,20.84,22.35,20.84,22.200001,2600,44.400002
2016-01-08,22.059999,23.459999,21.940001,23.459999,1300,46.919998
2016-01-11,23.18,23.450001,23.0,23.0,4600,46.0
2016-01-12,22.610001,23.0,22.370001,23.0,2300,46.0
2016-01-13,22.91,24.559999,22.91,24.42,39300,48.84
2016-01-14,24.34,24.4,23.450001,23.450001,1300,46.900002
2016-01-15,25.780001,25.99,25.32,25.370001,4300,50.740002
2016-01-19,24.780001,25.99,24.24,25.32,17700,50.639999
2016-01-20,26.93,28.34,26.299999,26.309999,6000,52.619999
2016-01-21,27.18,27.290001,26.0,27.209999,2700,54.419998
2016-01-22,25.52,25.73,25.52,25.73,1300,51.459999
2016-01-25,26.15,26.700001,26.129999,26.700001,3600,53.400002
2016-01-26,26.65,26.65,26.24,26.24,1000,52.48
2016-01-27,26.32,26.32,26.32,26.32,200,52.639999
2016-01-28,25.9,26.620001,25.780001,26.09,12000,52.18
2016-01-29,25.65,25.65,24.08,24.08,4100,48.16
2016-02-01,24.24,24.690001,24.059999,24.18,4700,48.360001
2016-02-02,25.98,26.32,25.98,26.32,800,52.639999
2016-02-03,26.049999,28.280001,26.0,26.33,7000,52.66
2016-02-04,26.9,26.9,25.48,25.48,2300,50.959999
2016-02-05,25.52,26.65,25.15,26.639999,5400,53.279999
2016-02-08,27.860001,29.549999,27.860001,29.120001,6100,58.240002
2016-02-09,32.41,32.41,28.360001,28.360001,72300,56.720001
2016-02-10,28.35,28.98,27.389999,28.98,5500,57.959999
2016-02-11,31.84,32.07,31.200001,31.629999,15100,63.259998
2016-02-12,32.0,32.0,28.0,28.0,11000,56.0
2016-02-16,26.879999,27.299999,26.200001,26.59,9200,53.18
2016-02-17,24.959999,25.57,24.940001,25.559999,6100,51.119999
2016-02-18,25.27,26.129999,25.27,26.059999,7500,52.119999
2016-02-19,26.200001,26.639999,25.530001,25.76,7800,51.52
2016-02-22,25.040001,25.040001,24.459999,24.530001,8700,49.060001
2016-02-23,25.27,26.059999,25.27,25.950001,4600,51.900002
2016-02-24,26.0,27.77,26.0,26.18,12100,52.360001
2016-02-25,26.0,26.0,25.139999,25.139999,2700,50.279999
2016-02-26,24.67,24.950001,23.969999,24.35,6100,48.700001
2016-02-29,24.879999,25.370001,24.379999,25.040001,4200,50.080002
2016-03-01,24.51,24.51,22.950001,22.950001,6300,45.900002
2016-03-02,22.09,22.43,22.09,22.25,1100,44.5
2016-03-03,22.290001,22.290001,21.559999,21.559999,7200,43.119999
2016-03-04,21.440001,21.6,21.0,21.34,6300,42.68
2016-03-07,21.940001,22.110001,21.440001,21.440001,3100,42.880001
2016-03-08,22.219999,22.27,21.85,22.07,4900,44.139999
2016-03-09,22.0,22.35,22.0,22.26,3300,44.52
2016-03-10,21.98,22.82,21.98,22.389999,4800,44.779999
2016-03-11,21.549999,21.57,20.549999,20.549999,3800,41.099998
2016-03-14,20.75,21.1,20.6,20.719999,4400,41.439999
2016-03-15,21.799999,21.799999,20.91,20.91,2100,41.82
2016-03-16,20.91,21.01,20.620001,21.01,4500,42.02
2016-03-17,21.370001,21.370001,20.120001,20.190001,5100,40.380001
2016-03-18,19.85,19.85,19.33,19.83,1600,39.66
2016-03-21,19.780001,19.879999,19.690001,19.690001,2300,39.380001
2016-03-22,19.950001,19.99,19.9,19.9,2000,39.799999
2016-03-23,20.09,20.34,20.09,20.34,1200,40.68
2016-03-24,20.9,21.15,20.799999,20.809999,3100,41.619999
2016-03-28,20.620001,20.639999,20.559999,20.559999,1200,41.119999
2016-03-29,20.9,21.059999,20.5,20.5,2400,41.0
2016-03-30,19.92,20.15,19.66,19.75,4100,39.5
2016-03-31,19.98,20.120001,19.98,20.120001,500,40.240002
2016-04-01,20.5,20.5,19.77,19.77,700,39.540001
2016-04-04,19.77,19.84,19.6,19.84,600,39.68
2016-04-05,20.620001,20.780001,20.459999,20.780001,3500,41.560001
2016-04-06,20.950001,20.950001,20.5,20.5,600,41.0
2016-04-07,21.200001,21.75,21.200001,21.75,2500,43.5
2016-04-08,20.74,21.4,20.73,21.4,4300,42.799999
2016-04-11,20.91,20.91,20.620001,20.700001,2300,41.400002
2016-04-12,21.190001,21.190001,20.200001,20.200001,7700,40.400002
2016-04-13,20.5,20.5,18.940001,19.049999,6100,38.099998
2016-04-14,19.18,19.18,18.42,18.639999,1400,37.279999
2016-04-15,18.719999,18.85,18.719999,18.85,900,37.700001
2016-04-18,19.110001,19.110001,18.549999,18.57,1900,37.139999
2016-04-19,18.200001,18.200001,17.84,17.84,3500,35.68
2016-04-20,17.799999,17.799999,17.26,17.360001,8700,34.720001
2016-04-21,17.450001,17.450001,17.450001,17.450001,200,34.900002
2016-04-22,17.780001,17.780001,17.5,17.5,800,35.0
2016-04-25,17.77,17.77,17.59,17.59,900,35.18
2016-04-26,17.299999,17.299999,17.299999,17.299999,100,34.599998
2016-04-27,17.24,17.24,16.870001,16.98,11400,33.959999
2016-04-28,17.450001,17.450001,17.120001,17.4,11000,34.799999
2016-04-29,18.049999,18.32,17.9,17.9,3200,35.799999
2016-05-02,18.030001,18.030001,17.4,17.469999,2300,34.939999
2016-05-03,18.360001,18.459999,18.08,18.15,2700,36.299999
2016-05-04,18.370001,18.68,18.370001,18.450001,2600,36.900002
2016-05-05,18.49,18.49,18.49,18.49,400,36.98
2016-05-06,18.549999,18.790001,18.549999,18.790001,1500,37.580002
2016-05-09,18.540001,18.540001,18.540001,18.540001,100,37.080002
2016-05-10,17.74,17.77,17.629999,17.68,2900,35.360001
2016-05-11,17.68,18.15,17.68,18.15,4800,36.299999
2016-05-12,18.07,18.52,18.07,18.25,1400,36.5
2016-05-13,18.33,18.75,18.33,18.75,2200,37.5
2016-05-16,18.860001,18.860001,18.469999,18.469999,1700,36.939999
2016-05-17,18.5,18.969999,18.5,18.950001,1300,37.900002
2016-05-18,18.09,18.09,18.09,18.09,400,36.18
2016-05-19,18.5,18.58,18.4,18.4,900,36.799999
2016-05-20,18.4,18.4,18.4,18.4,100,36.799999
2016-05-23,18.4,18.4,18.4,18.4,0,36.799999
2016-05-24,17.219999,17.35,17.219999,17.35,1200,34.700001
2016-05-25,16.549999,16.620001,16.5,16.610001,2300,33.220001
2016-05-26,16.48,16.91,16.48,16.91,500,33.82
2016-05-27,16.75,16.790001,16.66,16.66,1600,33.32
2016-05-31,16.41,16.73,16.360001,16.73,2400,33.459999
2016-06-01,16.620001,16.67,16.610001,16.66,2400,33.32
2016-06-02,16.74,16.77,16.540001,16.540001,4700,33.080002
2016-06-03,17.469999,17.6,17.16,17.219999,5000,34.439999
2016-06-06,16.879999,16.879999,16.799999,16.799999,3900,33.599998
2016-06-07,16.799999,16.799999,16.799999,16.799999,0,33.599998
2016-06-08,16.969999,17.040001,16.969999,16.99,700,33.98
2016-06-09,17.379999,17.41,17.379999,17.379999,1500,34.759998
2016-06-10,17.84,17.950001,17.700001,17.950001,700,35.900002
2016-06-13,18.01,18.09,17.790001,18.09,700,36.18
2016-06-14,18.299999,19.139999,18.299999,19.040001,2100,38.080002
2016-06-15,19.049999,19.049999,18.559999,18.860001,5400,37.720001
2016-06-16,19.790001,19.9,19.02,19.02,3900,38.040001
2016-06-17,19.059999,19.26,18.940001,19.16,3800,38.32
2016-06-20,18.030001,18.629999,17.92,18.629999,3500,37.259998
2016-06-21,18.35,18.35,18.35,18.35,1000,36.700001
2016-06-22,18.219999,18.219999,17.950001,17.950001,1800,35.900002
2016-06-23,17.799999,17.799999,17.5,17.52,1900,35.040001
2016-06-24,19.99,20.42,19.01,20.07,15200,40.139999
2016-06-27,20.76,22.09,20.76,21.610001,43400,43.220001
2016-06-28,20.0,21.0,19.84,20.15,17100,40.299999
2016-06-29,19.379999,19.690001,18.690001,18.74,11000,37.48
2016-06-30,18.35,18.790001,17.719999,17.719999,6500,35.439999
2016-07-01,17.85,18.16,17.73,17.889999,8500,35.779999
2016-07-05,18.719999,19.08,18.719999,18.889999,6600,37.779999
2016-07-06,19.0,19.35,18.559999,18.559999,7500,37.119999
2016-07-07,18.5,18.780001,18.200001,18.549999,3700,37.099998
2016-07-08,17.93,17.93,17.610001,17.66,6700,35.32
2016-07-11,17.25,17.35,17.110001,17.110001,5000,34.220001
2016-07-12,16.66,16.76,16.57,16.57,6000,33.139999
2016-07-13,16.65,16.9,16.639999,16.639999,4300,33.279999
2016-07-14,16.18,16.18,16.030001,16.040001,12100,32.080002
2016-07-15,16.33,16.35,16.26,16.35,1600,32.700001
2016-07-18,16.34,16.34,16.030001,16.030001,900,32.060001
2016-07-19,16.09,16.17,16.09,16.17,1300,32.34
2016-07-20,15.97,16.0,15.93,15.93,2100,31.860001
2016-07-21,15.82,16.190001,15.82,16.129999,3500,32.259998
2016-07-22,15.99,16.01,15.85,15.87,1300,31.74
2016-07-25,16.0,16.0,16.0,16.0,600,32.0
2016-07-26,16.1,16.1,15.98,15.98,700,31.959999
2016-07-27,15.85,16.030001,15.8,15.88,6300,31.76
2016-07-28,16.15,16.15,15.66,15.66,2600,31.32
2016-07-29,15.87,15.91,15.81,15.81,1100,31.620001
2016-08-01,15.81,15.81,15.76,15.76,3300,31.52
2016-08-02,16.35,16.49,16.299999,16.4,3100,32.799999
2016-08-03,16.440001,16.440001,15.95,15.95,4000,31.9
2016-08-04,15.95,16.1,15.95,16.0,2100,32.0
2016-08-05,15.67,15.67,15.23,15.23,900,30.459999
2016-08-08,14.86,15.05,14.86,15.0,2200,30.0
2016-08-09,14.99,15.16,14.99,15.02,1400,30.040001
2016-08-10,15.38,15.45,15.38,15.45,800,30.9
2016-08-11,15.43,15.49,15.3,15.32,1800,30.639999
2016-08-12,15.47,15.47,15.47,15.47,300,30.940001
2016-08-15,15.14,15.15,15.1,15.1,1100,30.200001
2016-08-16,15.29,15.35,15.25,15.3,2000,30.6
2016-08-17,15.25,15.35,15.1,15.23,1200,30.459999
2016-08-18,15.15,15.15,15.15,15.15,500,30.299999
2016-08-19,15.4,15.4,15.25,15.25,1000,30.5
2016-08-22,15.25,15.25,15.25,15.25,0,30.5
2016-08-23,15.03,15.03,15.03,15.03,300,30.059999
2016-08-24,15.11,15.14,15.04,15.04,600,30.08
2016-08-25,15.04,15.04,15.04,15.04,0,30.08
2016-08-26,14.95,15.21,14.95,15.0,3800,30.0
2016-08-29,14.55,14.55,14.41,14.41,600,28.82
2016-08-30,14.41,14.41,14.41,14.41,0,28.82
2016-08-31,14.26,14.41,14.21,14.21,1100,28.42
2016-09-01,14.55,14.55,14.35,14.35,2200,28.700001
2016-09-02,14.18,14.25,13.97,14.1,2100,28.200001
2016-09-06,14.1,14.1,14.1,14.1,0,28.200001
2016-09-07,14.25,14.25,14.11,14.11,700,28.219999
2016-09-08,14.11,14.11,14.11,14.11,100,28.219999
2016-09-09,14.6,14.6,14.6,14.6,500,29.200001
2016-09-12,15.4,15.4,14.66,14.66,5000,29.32
2016-09-13,15.23,15.23,15.23,15.23,200,30.459999
2016-09-14,15.3,15.3,15.15,15.18,500,30.360001
2016-09-15,15.45,15.45,15.08,15.08,12200,30.16
2016-09-16,15.55,15.62,15.45,15.45,4900,30.9
2016-09-19,15.07,15.44,14.75,15.26,9200,30.52
2016-09-20,14.9,15.22,14.89,15.22,900,30.440001
2016-09-21,15.22,15.22,15.22,15.22,0,30.440001
2016-09-22,14.71,14.91,14.71,14.85,1000,29.700001
2016-09-23,14.9,15.16,14.84,15.11,8600,30.219999
2016-09-26,15.51,15.51,15.48,15.48,400,30.959999
2016-09-27,15.69,15.69,15.62,15.62,800,31.24
2016-09-28,15.4,15.69,15.35,15.48,7400,30.959999
2016-09-29,15.13,15.73,15.11,15.73,1500,31.459999
2016-09-30,15.5,15.6,15.09,15.09,3200,30.18
2016-10-03,15.47,15.5,15.25,15.44,1400,30.879999
