Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,39.240002,39.48,39.110001,39.459999,10000,38.545575
2016-01-05,39.380001,39.560001,39.25,39.560001,40500,38.64326
2016-01-06,38.84,38.990002,38.57,38.669998,23600,37.773881
2016-01-07,37.82,38.16,37.580002,37.790001,28600,36.914276
2016-01-08,37.889999,38.09,37.459999,37.459999,18700,36.591922
2016-01-11,37.689999,37.77,37.32,37.610001,39500,36.738447
2016-01-12,37.619999,37.619999,37.220001,37.439999,16200,36.572385
2016-01-13,37.5,37.5,36.779999,36.779999,30800,35.927679
2016-01-14,36.630001,37.080002,36.43,36.779999,22700,35.927679
2016-01-15,35.610001,35.610001,34.93,35.139999,32700,34.325684
2016-01-19,35.25,35.34,34.939999,35.080002,57400,34.267077
2016-01-20,34.529999,34.700001,33.849998,34.529999,18700,33.72982
2016-01-21,34.380001,35.07,34.380001,34.990002,22000,34.179163
2016-01-22,35.490002,35.900002,35.490002,35.82,8400,34.989927
2016-01-25,35.75,35.759998,35.439999,35.450001,34200,34.628502
2016-01-26,35.860001,36.130001,35.799999,36.099998,36400,35.263437
2016-01-27,35.959999,36.27,35.52,35.560001,9200,34.735953
2016-01-28,36.0,36.009998,35.77,35.799999,11700,34.97039
2016-01-29,36.16,36.630001,35.970001,36.43,515900,35.585791
2016-02-01,36.360001,36.970001,36.27,36.970001,52100,36.113279
2016-02-02,36.419998,36.419998,36.009998,36.150002,65900,35.312281
2016-02-03,36.5,36.5,36.009998,36.470001,82700,35.624865
2016-02-04,36.27,36.450001,36.169998,36.310001,44200,35.468573
2016-02-05,36.290001,36.290001,35.450001,35.560001,92500,34.735953
2016-02-08,34.57,34.57,33.84,34.16,83100,33.368395
2016-02-09,33.330002,34.009998,33.330002,33.889999,88300,33.104651
2016-02-10,34.459999,34.720001,34.349998,34.349998,30100,33.55399
2016-02-11,33.66,33.880001,33.52,33.75,60700,32.967896
2016-02-12,33.950001,34.509998,33.950001,34.509998,43900,33.710283
2016-02-16,34.82,34.98,34.529999,34.779999,219300,33.974026
2016-02-17,35.470001,35.970001,35.470001,35.830002,50600,34.999697
2016-02-18,36.009998,36.09,35.869999,35.880001,10900,35.048538
2016-02-19,35.549999,36.009998,35.470001,35.93,32100,35.097378
2016-02-22,35.540001,35.540001,35.330002,35.48,18900,34.657805
2016-02-23,35.259998,35.259998,34.91,34.91,37400,34.101015
2016-02-24,34.419998,34.639999,34.110001,34.540001,27500,33.73959
2016-02-25,34.93,35.330002,34.93,35.330002,19000,34.511284
