Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.59,24.889999,24.51,24.65,144700,24.123403
2016-01-05,24.700001,24.83,24.530001,24.620001,226900,24.094045
2016-01-06,24.51,24.620001,24.370001,24.4,100500,23.878743
2016-01-07,24.35,24.35,24.01,24.139999,329700,23.624298
2016-01-08,24.1,24.129999,23.719999,23.719999,246600,23.21327
2016-01-11,23.67,23.74,23.48,23.57,562700,23.066475
2016-01-12,23.57,23.57,23.280001,23.469999,280200,22.968611
2016-01-13,23.35,23.4,22.85,22.85,375600,22.361857
2016-01-14,22.84,23.16,22.76,22.969999,321100,22.479292
2016-01-15,22.5,22.91,22.42,22.5,462600,22.019333
2016-01-19,22.34,22.690001,22.15,22.209999,347300,21.735528
2016-01-20,22.129999,22.139999,21.610001,21.879999,594100,21.412578
2016-01-21,22.0,22.299999,21.9,22.02,316200,21.549588
2016-01-22,22.440001,22.530001,22.09,22.469999,514700,21.989974
2016-01-25,22.360001,22.450001,22.139999,22.17,410200,21.696383
2016-01-26,22.33,22.540001,22.1,22.370001,672800,21.892111
2016-01-27,22.280001,22.57,22.200001,22.290001,272400,21.813821
2016-01-28,22.719999,22.780001,22.379999,22.629999,339500,22.146555
2016-01-29,22.83,23.0,22.82,22.950001,165600,22.459721
2016-02-01,23.059999,23.280001,22.940001,23.15,376700,22.655447
2016-02-02,23.200001,23.219999,22.9,22.950001,595300,22.459721
2016-02-03,23.1,23.18,22.85,23.030001,677500,22.538012
2016-02-04,23.34,23.559999,23.32,23.370001,230600,22.870748
2016-02-05,23.49,23.860001,23.18,23.360001,519600,22.860962
2016-02-08,23.389999,23.610001,23.190001,23.290001,618700,22.792458
2016-02-09,23.25,23.440001,23.02,23.17,567600,22.67502
2016-02-10,23.42,23.440001,23.040001,23.08,847000,22.586943
2016-02-11,23.1,23.26,22.68,22.870001,919200,22.38143
2016-02-12,22.969999,23.32,22.790001,23.27,603100,22.772884
2016-02-16,23.290001,23.559999,23.200001,23.52,427300,23.017544
2016-02-17,23.469999,23.700001,23.25,23.639999,535300,23.134979
2016-02-18,23.549999,23.6,23.32,23.49,394900,22.988184
2016-02-19,23.370001,23.639999,23.299999,23.610001,438900,23.105621
2016-02-22,23.74,23.92,23.58,23.860001,611800,23.35028
2016-02-23,23.879999,23.940001,23.57,23.66,631000,23.154552
2016-02-24,23.530001,23.959999,23.459999,23.93,510900,23.418785
2016-02-25,23.879999,23.98,23.700001,23.870001,443300,23.360067
2016-02-26,23.950001,24.09,23.85,23.9,419200,23.389425
2016-02-29,23.889999,24.200001,23.809999,23.91,831800,23.399211
2016-03-01,23.93,24.379999,23.83,24.299999,844800,23.780879
