Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,28.120001,28.120001,27.82,28.1,33500,27.491127
2016-01-05,28.18,28.24,28.040001,28.18,10500,27.569394
2016-01-06,27.82,27.9,27.620001,27.799999,31400,27.197627
2016-01-07,27.360001,27.540001,27.15,27.23,20800,26.639978
2016-01-08,27.34,27.34,26.83,26.85,23300,26.268213
2016-01-11,26.99,26.99,26.549999,26.83,53800,26.248645
2016-01-12,27.07,27.07,26.690001,26.98,16800,26.395395
2016-01-13,27.09,27.110001,26.33,26.360001,69800,25.78883
2016-01-14,26.48,26.98,26.35,26.780001,101400,26.19973
2016-01-15,26.18,26.35,25.969999,26.24,94100,25.671429
2016-01-19,26.549999,26.549999,25.959999,26.200001,59900,25.632297
2016-01-20,25.84,26.059999,25.209999,25.809999,133900,25.250746
2016-01-21,25.870001,26.280001,25.66,26.07,33800,25.505113
2016-01-22,26.459999,26.540001,26.34,26.5,27400,25.925796
2016-01-25,26.43,26.469999,26.059999,26.059999,16500,25.495329
2016-01-26,26.209999,26.540001,26.209999,26.49,19300,25.916012
2016-01-27,26.459999,26.77,26.25,26.34,16100,25.769263
2016-01-28,26.549999,26.59,26.24,26.51,66000,25.93558
2016-01-29,26.59,27.09,26.59,27.07,20000,26.483445
2016-02-01,27.0,27.219999,26.870001,27.15,61400,26.561711
2016-02-02,26.700001,26.77,26.57,26.59,21800,26.013846
2016-02-03,26.75,26.860001,26.299999,26.790001,26500,26.209513
2016-02-04,26.809999,27.0,26.76,26.92,38900,26.336695
2016-02-05,26.870001,26.879999,26.51,26.57,15600,25.994279
2016-02-08,26.26,26.360001,25.950001,26.25,20100,25.681213
2016-02-09,26.049999,26.360001,25.950001,26.17,64000,25.602947
2016-02-10,26.280001,26.51,26.120001,26.16,21200,25.593163
2016-02-11,25.74,25.889999,25.620001,25.799999,19500,25.240963
2016-02-12,26.040001,26.34,25.98,26.34,32100,25.769263
2016-02-16,26.620001,26.76,26.459999,26.700001,12100,26.121463
2016-02-17,27.030001,27.24,27.0,27.18,11700,26.591062
2016-02-18,27.18,27.200001,27.049999,27.110001,10900,26.522579
2016-02-19,27.01,27.059999,26.870001,27.049999,14200,26.463878
2016-02-22,27.299999,27.469999,27.299999,27.469999,14100,26.874777
2016-02-23,27.4,27.4,27.110001,27.200001,85800,26.610629
2016-02-24,26.870001,27.34,26.77,27.34,24700,26.747595
2016-02-25,27.360001,27.549999,27.24,27.52,32600,26.923695
2016-02-26,27.719999,27.719999,27.540001,27.57,6800,26.972611
2016-02-29,27.559999,27.66,27.43,27.440001,5200,26.845429
2016-03-01,27.549999,27.93,27.450001,27.92,14400,27.315027
2016-03-02,27.889999,28.129999,27.860001,28.1,12400,27.491127
2016-03-03,28.15,28.33,28.09,28.33,10600,27.716143
2016-03-04,28.360001,28.620001,28.34,28.5,13400,27.88246
2016-03-07,28.4,28.700001,28.4,28.65,17200,28.029209
2016-03-08,28.5,28.5,28.27,28.27,32200,27.657444
2016-03-09,28.389999,28.530001,28.379999,28.42,9800,27.804193
2016-03-10,28.52,28.6,28.200001,28.4,6500,27.784626
2016-03-11,28.690001,28.889999,28.690001,28.879999,10300,28.254225
2016-03-14,28.77,28.879999,28.719999,28.790001,7300,28.166177
2016-03-15,28.639999,28.76,28.549999,28.690001,22400,28.068343
2016-03-16,28.709999,28.99,28.709999,28.99,21000,28.361842
2016-03-17,29.0,29.32,28.969999,29.27,7400,28.635776
