Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.120001,26.16,25.93,26.16,48600,25.653765
2016-01-05,26.16,26.219999,26.08,26.190001,74600,25.683185
2016-01-06,25.73,25.82,25.67,25.73,82800,25.232086
2016-01-07,25.33,25.540001,25.33,25.370001,68400,24.879054
2016-01-08,25.41,25.42,24.969999,24.969999,116000,24.486793
2016-01-11,25.15,25.209999,24.780001,24.98,120700,24.4966
2016-01-12,25.07,25.09,24.76,24.959999,147500,24.476986
2016-01-13,25.120001,25.190001,24.65,24.68,128400,24.202406
2016-01-14,24.700001,24.889999,24.530001,24.780001,392100,24.300471
2016-01-15,24.09,24.23,23.959999,24.08,368000,23.614016
2016-01-19,24.379999,24.379999,23.959999,24.15,143900,23.682661
2016-01-20,23.68,23.73,23.190001,23.58,760300,23.123692
2016-01-21,23.379999,23.790001,23.290001,23.66,73500,23.202144
2016-01-22,24.15,24.4,24.15,24.379999,81900,23.90821
2016-01-25,24.299999,24.360001,24.08,24.120001,75800,23.653243
2016-01-26,24.290001,24.52,24.290001,24.48,73500,24.006275
2016-01-27,24.52,24.76,24.32,24.450001,64200,23.976857
2016-01-28,24.67,24.74,24.43,24.620001,55900,24.143567
2016-01-29,24.75,25.049999,24.74,25.049999,94600,24.565245
2016-02-01,24.879999,25.07,24.82,24.969999,50000,24.486793
2016-02-02,24.780001,24.780001,24.5,24.57,73700,24.094534
2016-02-03,24.719999,24.77,24.33,24.75,72300,24.271051
2016-02-04,24.67,24.860001,24.629999,24.77,50800,24.290664
2016-02-05,24.690001,24.690001,24.34,24.370001,44400,23.898405
2016-02-08,24.209999,24.209999,23.889999,24.09,86600,23.623823
2016-02-09,23.6,23.9,23.6,23.780001,61600,23.319822
2016-02-10,23.809999,23.940001,23.65,23.65,155400,23.192337
2016-02-11,23.459999,23.51,23.23,23.4,200300,22.947175
2016-02-12,23.41,23.67,23.370001,23.67,552800,23.21195
2016-02-16,23.98,24.01,23.809999,23.98,99900,23.515951
2016-02-17,24.27,24.52,24.27,24.5,70200,24.025889
2016-02-18,24.610001,24.67,24.440001,24.450001,117000,23.976857
2016-02-19,24.299999,24.440001,24.24,24.42,69700,23.947437
2016-02-22,24.610001,24.73,24.610001,24.690001,105500,24.212212
2016-02-23,24.57,24.620001,24.35,24.379999,68200,23.90821
2016-02-24,24.24,24.57,24.16,24.57,62500,24.094534
2016-02-25,24.700001,24.83,24.59,24.809999,66900,24.329889
2016-02-26,24.889999,24.940001,24.700001,24.709999,35800,24.231824
2016-02-29,24.690001,24.84,24.67,24.67,106000,24.192599
2016-03-01,24.98,25.23,24.950001,25.200001,80900,24.712343
2016-03-02,25.139999,25.35,25.139999,25.35,78100,24.85944
2016-03-03,25.35,25.52,25.32,25.5,45800,25.006537
2016-03-04,25.82,25.959999,25.82,25.85,47500,25.349765
2016-03-07,25.65,25.879999,25.65,25.84,71200,25.339958
2016-03-08,25.709999,25.709999,25.51,25.51,59900,25.016344
2016-03-09,25.559999,25.610001,25.469999,25.51,44900,25.016344
2016-03-10,25.75,25.799999,25.389999,25.57,61500,25.075182
2016-03-11,25.93,26.15,25.93,26.15,75100,25.643958
2016-03-14,26.15,26.190001,26.08,26.17,75600,25.663572
2016-03-15,25.879999,25.940001,25.83,25.92,52700,25.41841
2016-03-16,25.77,26.23,25.77,26.23,141500,25.72241
2016-03-17,26.32,26.6,26.32,26.51,68600,25.996992
2016-03-18,26.6,26.639999,26.530001,26.58,85700,26.065638
2016-03-21,26.540001,26.620001,26.49,26.58,78800,26.065638
2016-03-22,26.549999,26.66,26.52,26.65,62100,26.134283
2016-03-23,26.51,26.51,26.360001,26.360001,62400,25.849896
2016-03-24,26.120001,26.24,26.120001,26.219999,52700,25.712603
2016-03-28,26.43,26.49,26.360001,26.379999,67500,25.869507
2016-03-29,26.33,26.780001,26.27,26.73,89900,26.212734
2016-03-30,26.950001,27.1,26.93,27.02,70200,26.497123
2016-03-31,26.879999,26.9,26.780001,26.790001,103500,26.271575
2016-04-01,26.24,26.52,26.219999,26.51,67400,25.996992
2016-04-04,26.549999,26.549999,26.360001,26.379999,49200,25.869507
