Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,35.189999,35.599998,35.189999,35.599998,1000,35.144886
2016-01-05,35.689999,35.73,35.59,35.720001,900,35.263354
2016-01-06,34.830002,34.919998,34.830002,34.919998,300,34.473579
2016-01-07,34.189999,34.189999,33.849998,33.849998,700,33.417258
2016-01-08,34.25,34.310001,33.830002,34.130001,1100,33.693681
2016-01-11,33.549999,33.57,33.540001,33.57,600,33.140839
2016-01-12,33.889999,33.889999,33.889999,33.889999,800,33.456747
2016-01-13,33.619999,33.619999,33.029999,33.029999,2500,32.607741
2016-01-14,33.07,33.509998,32.970001,33.509998,1500,33.081604
2016-01-15,32.119999,32.119999,32.119999,32.119999,500,31.709375
2016-01-19,32.889999,32.889999,32.360001,32.360001,1500,31.946308
2016-01-20,31.870001,31.870001,31.629999,31.73,1100,31.324361
2016-01-21,32.59,32.610001,32.59,32.610001,500,32.193112
2016-01-22,33.310001,33.610001,33.310001,33.610001,400,33.180328
2016-01-25,33.439999,33.439999,33.439999,33.439999,300,33.0125
2016-01-26,33.810001,33.810001,33.639999,33.639999,2100,33.209943
2016-01-27,33.610001,33.610001,33.610001,33.610001,300,33.180328
2016-01-28,33.029999,33.029999,33.029999,33.029999,300,32.607741
2016-01-29,33.029999,33.029999,33.029999,33.029999,0,32.607741
2016-02-01,33.799999,33.919998,33.799999,33.91,500,33.476492
2016-02-02,33.59,33.610001,33.169998,33.459999,1000,33.032244
2016-02-03,33.650002,33.650002,33.650002,33.650002,200,33.219818
2016-02-04,33.650002,33.650002,33.650002,33.650002,0,33.219818
2016-02-05,33.029999,33.080002,33.029999,33.080002,400,32.657105
2016-02-08,33.080002,33.080002,33.080002,33.080002,0,32.657105
2016-02-09,32.299999,32.299999,32.029999,32.099998,2900,31.68963
2016-02-10,32.099998,32.099998,32.099998,32.099998,0,31.68963
2016-02-11,31.77,32.009998,31.77,31.809999,1700,31.403338
2016-02-12,32.34,32.34,32.34,32.34,200,31.926564
2016-02-16,33.169998,33.169998,33.169998,33.169998,200,32.745951
2016-02-17,34.240002,34.240002,34.240002,34.240002,300,33.802275
2016-02-18,34.330002,34.52,34.259998,34.48,900,34.039205
2016-02-19,34.48,34.48,34.48,34.48,0,34.039205
2016-02-22,34.790001,34.790001,34.66,34.66,800,34.216904
2016-02-23,34.650002,34.650002,34.349998,34.349998,1400,33.910866
2016-02-24,34.310001,34.310001,34.310001,34.310001,100,33.87138
2016-02-25,34.310001,34.310001,34.310001,34.310001,100,33.87138
2016-02-26,34.310001,34.310001,34.310001,34.310001,100,33.87138
2016-02-29,34.860001,34.860001,34.860001,34.860001,100,34.414348
2016-03-01,35.130001,35.130001,35.130001,35.130001,400,34.680897
2016-03-02,35.130001,35.130001,35.130001,35.130001,0,34.680897
2016-03-03,35.5,35.619999,35.5,35.619999,1600,35.164631
2016-03-04,36.060001,36.5,36.029999,36.029999,600,35.569389
2016-03-07,36.529999,36.529999,36.330002,36.330002,1500,35.865557
2016-03-08,36.330002,36.330002,36.330002,36.330002,0,35.865557
2016-03-09,36.330002,36.330002,36.330002,36.330002,0,35.865557
2016-03-10,35.810001,35.810001,35.810001,35.810001,200,35.352204
2016-03-11,36.639999,36.700001,36.470001,36.700001,1900,36.230826
2016-03-14,36.700001,36.700001,36.700001,36.700001,0,36.230826
2016-03-15,36.200001,36.299999,36.200001,36.299999,700,35.835938
2016-03-16,36.299999,36.299999,36.299999,36.299999,0,35.835938
2016-03-17,37.0,37.0,37.0,37.0,300,36.52699
2016-03-18,37.299999,37.299999,37.299999,37.299999,400,36.823154
2016-03-21,37.25,37.25,37.25,37.25,300,36.773794
2016-03-22,37.25,37.25,37.25,37.25,0,36.773794
2016-03-23,37.25,37.25,37.25,37.25,0,36.773794
2016-03-24,36.150002,36.360001,36.139999,36.18,4600,35.717473
2016-03-28,36.169998,36.419998,36.169998,36.419998,900,35.954403
2016-03-29,36.529999,36.810001,36.529999,36.810001,600,36.33942
2016-03-30,37.189999,37.189999,37.189999,37.189999,100,36.714559
2016-03-31,37.189999,37.189999,37.189999,37.189999,0,36.714559
2016-04-01,36.720001,36.720001,36.52,36.529999,1000,36.062997
2016-04-04,36.869999,36.91,36.869999,36.91,500,36.43814
2016-04-05,36.400002,36.509998,36.07,36.07,3900,35.608879
2016-04-06,36.07,36.07,36.07,36.07,0,35.608879
2016-04-07,36.259998,36.259998,36.259998,36.259998,300,35.796448
2016-04-08,36.389999,36.490002,36.34,36.389999,1600,35.924787
2016-04-11,37.18,37.18,36.889999,36.889999,1000,36.418395
