Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.9,21.93,21.629999,21.82,542100,21.124141
2016-01-05,21.799999,22.299999,21.799999,22.24,84600,21.530747
2016-01-06,22.129999,22.17,22.030001,22.15,71800,21.443617
2016-01-07,21.870001,21.969999,21.709999,21.74,132000,21.046692
2016-01-08,21.809999,21.85,21.389999,21.42,50900,20.736898
2016-01-11,21.459999,21.66,21.459999,21.559999,85100,20.872432
2016-01-12,21.690001,21.690001,21.280001,21.379999,60300,20.698172
2016-01-13,21.370001,21.57,21.07,21.08,42300,20.40774
2016-01-14,21.1,21.209999,20.940001,21.040001,48300,20.369017
2016-01-15,20.93,20.940001,20.65,20.889999,45100,20.223799
2016-01-19,21.040001,21.120001,20.93,21.02,469800,20.349654
2016-01-20,20.860001,20.860001,20.02,20.450001,82900,19.797832
2016-01-21,20.51,20.85,20.459999,20.58,47600,19.923686
2016-01-22,20.73,21.209999,20.719999,21.129999,67700,20.456145
2016-01-25,21.08,21.32,20.98,20.98,50100,20.310929
2016-01-26,21.110001,21.440001,21.1,21.440001,73400,20.75626
2016-01-27,21.24,21.26,20.92,21.059999,72200,20.388378
2016-01-28,21.16,21.200001,20.799999,20.879999,67800,20.214118
2016-01-29,20.98,21.299999,20.9,21.299999,323800,20.620724
2016-02-01,21.200001,21.48,21.129999,21.309999,198200,20.630405
2016-02-02,21.25,21.25,21.0,21.129999,51400,20.456145
2016-02-03,21.219999,21.34,21.030001,21.280001,153300,20.601363
2016-02-04,21.24,21.389999,21.1,21.299999,38100,20.620724
2016-02-05,21.26,21.26,20.9,20.91,78200,20.243162
2016-02-08,20.860001,20.860001,20.030001,20.34,160700,19.69134
2016-02-09,20.1,20.18,19.85,19.959999,93300,19.323457
2016-02-10,20.02,20.360001,20.02,20.1,41400,19.458994
2016-02-11,19.790001,19.9,19.690001,19.809999,37400,19.178241
2016-02-12,19.9,20.049999,19.83,20.01,119300,19.371864
2016-02-16,20.16,20.379999,20.1,20.370001,29500,19.720384
2016-02-17,20.51,20.76,20.5,20.559999,90700,19.904323
2016-02-18,20.6,20.82,20.5,20.76,55500,20.097946
2016-02-19,20.68,20.959999,20.65,20.870001,39900,20.204438
2016-02-22,21.1,21.15,21.040001,21.07,42800,20.398059
2016-02-23,21.059999,21.27,21.030001,21.030001,26400,20.359336
2016-02-24,20.959999,21.049999,20.799999,21.0,54800,20.330292
2016-02-25,21.15,21.440001,21.15,21.43,40500,20.746579
2016-02-26,21.4,21.459999,21.32,21.32,42000,20.640086
2016-02-29,21.299999,21.52,21.200001,21.24,42400,20.562638
2016-03-01,21.33,21.82,21.33,21.82,36500,21.124141
2016-03-02,21.77,22.01,21.77,22.01,80500,21.308082
2016-03-03,22.059999,22.110001,21.9,22.110001,86800,21.404893
2016-03-04,22.110001,22.129999,21.98,22.110001,66000,21.404893
2016-03-07,21.98,22.219999,21.98,22.18,184000,21.472661
2016-03-08,22.219999,22.219999,21.940001,21.959999,51800,21.259676
2016-03-09,21.99,22.18,21.99,22.08,141800,21.37585
2016-03-10,22.190001,22.23,21.799999,21.969999,137700,21.269357
2016-03-11,22.280001,22.469999,22.190001,22.469999,33400,21.753412
2016-03-14,22.469999,22.51,22.370001,22.48,46200,21.763093
2016-03-15,22.33,22.51,22.33,22.49,20000,21.772774
2016-03-16,22.700001,22.790001,22.360001,22.74,24900,22.014801
2016-03-17,22.77,23.129999,22.73,23.09,111300,22.35364
2016-03-18,23.07,23.16,22.98,22.98,71000,22.247147
2016-03-21,22.969999,22.98,22.74,22.780001,65200,22.053527
2016-03-22,22.66,22.809999,22.66,22.76,47000,22.034164
2016-03-23,22.6,22.620001,22.48,22.48,36700,21.904569
2016-03-24,22.440001,22.52,22.32,22.52,43900,21.943546
2016-03-28,22.5,22.75,22.48,22.68,149100,22.09945
2016-03-29,22.690001,23.200001,22.690001,23.200001,35200,22.60614
2016-03-30,23.23,23.280001,23.129999,23.129999,45200,22.53793
2016-03-31,23.1,23.33,23.09,23.290001,63100,22.693836
2016-04-01,23.25,23.32,23.110001,23.280001,789200,22.684092
2016-04-04,23.34,23.34,23.139999,23.24,129100,22.645115
2016-04-05,23.09,23.17,23.040001,23.07,127200,22.479466
2016-04-06,23.07,23.18,22.969999,23.139999,173200,22.547674
2016-04-07,23.030001,23.129999,22.9,22.98,136300,22.39177
2016-04-08,23.16,23.219999,23.08,23.110001,113400,22.518443
2016-04-11,23.15,23.23,23.08,23.1,68200,22.508699
2016-04-12,23.110001,23.299999,23.08,23.24,146800,22.645115
2016-04-13,23.299999,23.299999,23.059999,23.16,92200,22.567163
2016-04-14,23.07,23.110001,22.969999,23.01,89100,22.421003
2016-04-15,23.0,23.23,22.98,23.16,175100,22.567163
2016-04-18,23.16,23.27,23.1,23.27,41800,22.674348
2016-04-19,23.290001,23.309999,23.219999,23.290001,149900,22.693836
2016-04-20,23.299999,23.299999,22.879999,22.889999,74100,22.304074
2016-04-21,22.879999,22.91,22.43,22.49,60700,21.914313
2016-04-22,22.58,22.75,22.559999,22.73,22000,22.148169
2016-04-25,22.68,22.93,22.68,22.93,49700,22.343051
2016-04-26,23.0,23.1,22.92,23.0,58900,22.411259
2016-04-27,23.030001,23.030001,22.709999,23.01,30300,22.421003
2016-04-28,22.860001,23.02,22.860001,22.93,20600,22.343051
2016-04-29,22.860001,22.860001,22.5,22.68,49100,22.09945
2016-05-02,22.74,23.1,22.74,23.07,280200,22.479466
2016-05-03,23.0,23.110001,22.92,23.09,28100,22.498955
2016-05-04,23.02,23.49,23.02,23.440001,43300,22.839996
2016-05-05,23.43,23.559999,23.360001,23.51,34300,22.908204
2016-05-06,23.549999,23.799999,23.450001,23.799999,19600,23.19078
2016-05-09,23.969999,24.049999,23.799999,24.01,43500,23.395405
2016-05-10,24.120001,24.120001,23.959999,24.01,99800,23.395405
2016-05-11,23.969999,23.969999,23.450001,23.51,344400,22.908204
2016-05-12,23.549999,23.719999,23.43,23.65,21900,23.04462
2016-05-13,23.450001,23.530001,23.309999,23.4,114400,22.801019
2016-05-16,23.389999,23.709999,23.389999,23.66,64400,23.054364
2016-05-17,23.549999,23.549999,23.110001,23.219999,42800,22.625626
2016-05-18,23.17,23.17,22.59,22.860001,56400,22.274843
2016-05-19,22.59,22.66,22.459999,22.610001,109800,22.031242
2016-05-20,22.65,22.809999,22.65,22.780001,36700,22.196891
2016-05-23,22.91,22.91,22.74,22.77,25400,22.187146
2016-05-24,22.959999,23.059999,22.940001,23.049999,408200,22.459978
2016-05-25,23.02,23.040001,22.83,23.030001,98900,22.440491
2016-05-26,22.950001,23.110001,22.950001,23.08,27500,22.489211
2016-05-27,23.08,23.27,23.07,23.18,85800,22.586651
2016-05-31,23.209999,23.25,23.09,23.23,64400,22.635371
2016-06-01,23.07,23.26,23.059999,23.18,68000,22.586651
2016-06-02,23.16,23.32,23.059999,23.32,100900,22.723067
2016-06-03,23.469999,23.530001,23.299999,23.41,32100,22.810763
2016-06-06,23.379999,23.459999,23.120001,23.209999,54500,22.615882
2016-06-07,23.24,23.43,23.24,23.34,93000,22.742556
2016-06-08,23.459999,23.530001,23.299999,23.51,79500,22.908204
2016-06-09,23.559999,23.6,23.440001,23.549999,36700,22.947179
2016-06-10,23.450001,23.52,23.4,23.469999,12800,22.869227
2016-06-13,23.52,23.6,23.41,23.48,77200,22.878971
2016-06-14,23.440001,23.49,23.309999,23.379999,149500,22.781531
2016-06-15,23.4,23.690001,23.4,23.629999,55500,23.025131
2016-06-16,23.58,23.74,23.469999,23.73,41000,23.122572
2016-06-17,23.700001,23.75,23.530001,23.709999,13900,23.103083
2016-06-20,23.879999,24.0,23.700001,23.75,135800,23.14206
2016-06-21,23.780001,23.879999,23.780001,23.860001,53200,23.249245
2016-06-22,23.790001,23.790001,23.629999,23.65,61600,23.164031
2016-06-23,23.83,23.85,23.719999,23.76,114100,23.271772
2016-06-24,23.200001,23.790001,23.18,23.59,1250900,23.105265
2016-06-27,23.459999,23.639999,23.280001,23.59,914400,23.105265
2016-06-28,23.709999,24.1,23.709999,24.09,130100,23.594991
2016-06-29,24.33,24.42,24.309999,24.41,125000,23.908415
2016-06-30,24.5,24.68,24.280001,24.68,695500,24.172867
2016-07-01,24.75,24.860001,24.59,24.690001,1268200,24.182662
2016-07-05,24.700001,24.940001,24.700001,24.940001,54000,24.427525
2016-07-06,25.02,25.200001,24.73,24.84,255300,24.329579
2016-07-07,24.879999,24.879999,24.49,24.58,115100,24.074922
2016-07-08,24.690001,24.99,24.690001,24.98,115000,24.466702
2016-07-11,25.129999,25.200001,24.9,25.17,660900,24.652798
2016-07-12,25.16,25.190001,24.959999,25.15,283300,24.633209
2016-07-13,25.360001,25.360001,25.110001,25.280001,138400,24.760539
2016-07-14,25.200001,25.24,25.01,25.059999,175300,24.545058
2016-07-15,25.030001,25.09,24.9,25.07,98000,24.554853
2016-07-18,25.07,25.15,25.059999,25.120001,55500,24.603826
2016-07-19,25.209999,25.27,25.02,25.27,56800,24.750744
2016-07-20,25.27,25.27,25.190001,25.27,89000,24.750744
2016-07-21,25.309999,25.34,25.129999,25.33,123100,24.80951
2016-07-22,25.49,25.620001,25.370001,25.540001,907800,25.015196
2016-07-25,25.85,25.85,25.42,25.51,135300,24.985812
2016-07-26,25.49,25.51,25.33,25.379999,93800,24.858482
2016-07-27,25.360001,25.360001,24.99,25.18,452400,24.662593
2016-07-28,25.16,25.49,25.110001,25.41,115600,24.887866
2016-07-29,25.65,25.870001,25.65,25.75,254200,25.22088
2016-08-01,25.790001,25.82,25.700001,25.82,108500,25.289441
2016-08-02,25.690001,25.690001,25.35,25.379999,138700,24.858482
2016-08-03,25.34,25.34,25.129999,25.25,186800,24.731154
2016-08-04,25.34,25.34,25.110001,25.139999,100400,24.623414
2016-08-05,25.209999,25.219999,25.1,25.15,150200,24.633209
2016-08-08,25.17,25.33,25.15,25.190001,169000,24.672388
2016-08-09,25.43,25.43,25.08,25.32,214200,24.799716
2016-08-10,25.43,25.43,25.24,25.290001,114900,24.770333
2016-08-11,25.440001,25.440001,24.91,25.02,221700,24.505881
2016-08-12,25.24,25.360001,25.07,25.1,221900,24.584237
2016-08-15,25.129999,25.24,25.08,25.09,136600,24.574442
2016-08-16,25.15,25.15,24.77,24.799999,257000,24.2904
2016-08-17,24.84,24.91,24.6,24.879999,87300,24.368756
2016-08-18,24.91,24.93,24.690001,24.799999,92900,24.2904
2016-08-19,24.690001,24.77,24.57,24.65,40900,24.143483
2016-08-22,24.620001,24.77,24.620001,24.77,125700,24.261018
2016-08-23,24.889999,24.9,24.77,24.77,121600,24.261018
2016-08-24,24.870001,24.870001,24.52,24.65,66900,24.143483
2016-08-25,24.67,24.93,24.67,24.790001,190700,24.280607
2016-08-26,24.790001,24.959999,24.379999,24.540001,114900,24.035745
2016-08-29,24.719999,24.84,24.67,24.780001,69400,24.270813
2016-08-30,24.92,24.92,24.52,24.73,57600,24.221839
2016-08-31,24.82,24.82,24.639999,24.76,64400,24.251223
2016-09-01,24.719999,24.77,24.549999,24.68,1266300,24.172867
2016-09-02,24.85,25.18,24.790001,24.91,273300,24.398141
2016-09-06,24.969999,25.059999,24.799999,25.059999,149000,24.545058
2016-09-07,25.049999,25.24,25.01,25.23,104400,24.711565
2016-09-08,25.16,25.16,24.9,24.93,169500,24.41773
2016-09-09,24.65,24.65,23.940001,23.940001,149000,23.448073
2016-09-12,23.93,24.32,23.9,24.219999,127900,23.722318
2016-09-13,24.110001,24.110001,23.57,23.610001,118800,23.124854
2016-09-14,23.690001,23.799999,23.639999,23.68,86700,23.193416
2016-09-15,23.67,23.82,23.6,23.780001,84700,23.291361
2016-09-16,23.809999,23.809999,23.65,23.780001,69000,23.291361
2016-09-19,23.860001,24.02,23.860001,24.0,132700,23.50684
2016-09-20,24.129999,24.15,24.0,24.0,69700,23.50684
2016-09-21,23.940001,24.219999,23.620001,24.200001,87500,23.794937
2016-09-22,24.469999,24.65,24.469999,24.639999,153500,24.227571
2016-09-23,24.6,24.790001,24.42,24.700001,52400,24.286568
2016-09-26,24.620001,24.82,24.620001,24.76,63000,24.345563
2016-09-27,24.799999,24.799999,24.469999,24.49,109900,24.080082
2016-09-28,24.51,24.709999,24.49,24.709999,79600,24.296399
2016-09-29,24.639999,24.639999,24.32,24.379999,81200,23.971922
2016-09-30,24.68,24.68,24.209999,24.209999,237000,23.804768
2016-10-03,24.08,24.16,23.690001,23.75,1312800,23.352468
2016-10-04,23.76,23.76,23.290001,23.4,220500,23.008326
2016-10-05,23.43,23.43,22.9,22.940001,642500,22.556027
2016-10-06,22.870001,23.08,22.629999,22.93,407000,22.546194
2016-10-07,23.02,23.280001,22.83,22.889999,236300,22.506863
2016-10-10,22.93,23.129999,22.93,23.030001,102300,22.64452
2016-10-11,22.969999,23.01,22.75,22.799999,222200,22.418369
2016-10-12,22.780001,23.08,22.780001,23.059999,244800,22.674017
2016-10-13,22.959999,23.280001,22.950001,23.23,190000,22.841172
2016-10-14,23.23,23.389999,23.07,23.129999,1064700,22.742845
2016-10-17,23.200001,23.299999,23.17,23.17,102700,22.782177
2016-10-18,23.370001,23.459999,23.25,23.33,104200,22.939498
2016-10-19,23.379999,23.41,23.200001,23.4,130500,23.008326
2016-10-20,23.4,23.469999,23.209999,23.309999,167900,22.919833
2016-10-21,23.209999,23.290001,23.15,23.24,76100,22.851005
2016-10-24,23.33,23.5,23.219999,23.280001,52300,22.890336
2016-10-25,23.25,23.27,23.129999,23.23,38000,22.841172
2016-10-26,23.200001,23.200001,22.780001,22.940001,141200,22.556027
2016-10-27,22.870001,22.870001,22.290001,22.34,173800,21.966069
2016-10-28,22.34,22.59,22.33,22.41,100400,22.034897
2016-10-31,22.459999,22.790001,22.43,22.790001,136600,22.408538
2016-11-01,22.719999,22.719999,22.200001,22.27,358200,21.897241
2016-11-02,22.25,22.299999,21.940001,21.940001,103500,21.572765
2016-11-03,21.92,22.0,21.77,21.809999,252500,21.44494
2016-11-04,21.879999,22.030001,21.77,21.969999,80100,21.602262
2016-11-07,22.15,22.34,22.15,22.33,93700,21.956236
2016-11-08,22.290001,22.51,22.26,22.450001,94000,22.074229
2016-11-09,21.969999,22.280001,21.65,22.1,472200,21.730087
2016-11-10,22.08,22.08,21.469999,21.75,585500,21.385945
2016-11-11,21.74,22.17,21.74,21.9,115200,21.533434
2016-11-14,21.91,22.469999,21.809999,22.43,112100,22.054563
2016-11-15,22.51,22.66,22.08,22.219999,307000,21.848077
2016-11-16,22.17,22.23,22.02,22.17,102300,21.798915
2016-11-17,22.120001,22.299999,21.91,21.940001,339800,21.572765
2016-11-18,21.950001,22.02,21.870001,21.98,94500,21.612094
2016-11-21,22.049999,22.23,21.9,21.93,120500,21.562932
2016-11-22,22.01,22.32,22.0,22.299999,141400,21.926738
2016-11-23,22.059999,22.23,22.040001,22.23,119600,21.85791
2016-11-25,22.26,22.459999,22.26,22.34,33200,21.966069
2016-11-28,22.34,22.57,22.34,22.459999,64600,22.08406
