Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,29.790001,29.83,29.540001,29.809999,206600,29.252661
2016-01-05,29.889999,30.07,29.84,30.02,62300,29.458735
2016-01-06,29.809999,30.01,29.75,29.93,42000,29.370418
2016-01-07,29.52,29.780001,29.440001,29.530001,66900,28.977897
2016-01-08,29.85,29.85,29.24,29.309999,82400,28.762009
2016-01-11,29.440001,29.66,29.309999,29.57,111900,29.017148
2016-01-12,29.799999,29.809999,29.48,29.690001,40400,29.134905
2016-01-13,29.77,29.77,29.15,29.209999,258700,28.663878
2016-01-14,29.280001,29.49,29.15,29.32,80700,28.771822
2016-01-15,28.76,28.969999,28.610001,28.84,71200,28.300797
2016-01-19,29.08,29.219999,28.99,29.17,310200,28.624627
2016-01-20,28.82,28.940001,28.25,28.790001,162300,28.251732
2016-01-21,28.84,29.0,28.639999,28.93,62400,28.389114
2016-01-22,29.23,29.440001,29.07,29.389999,58700,28.840513
2016-01-25,29.32,29.370001,29.120001,29.129999,82200,28.585374
2016-01-26,29.35,29.59,29.26,29.41,78300,28.86014
2016-01-27,29.42,29.73,29.190001,29.370001,91200,28.820889
2016-01-28,29.48,29.75,29.42,29.690001,64500,29.134905
2016-01-29,29.75,30.309999,29.75,30.309999,95100,29.743313
2016-02-01,30.219999,30.48,30.16,30.389999,78900,29.821817
2016-02-02,30.15,30.15,29.92,29.99,78800,29.429296
2016-02-03,30.07,30.139999,29.65,29.950001,43200,29.390045
2016-02-04,29.780001,29.809999,29.540001,29.690001,62600,29.134905
2016-02-05,29.719999,29.790001,29.48,29.639999,25500,29.085839
2016-02-08,29.389999,29.6,29.209999,29.559999,48300,29.007335
2016-02-09,29.290001,29.85,29.290001,29.700001,51900,29.144719
2016-02-10,29.85,29.969999,29.66,29.67,76900,29.115279
2016-02-11,29.32,29.530001,29.129999,29.41,181100,28.86014
2016-02-12,29.559999,29.84,29.530001,29.84,79700,29.282101
2016-02-16,30.1,30.110001,29.870001,30.059999,177500,29.497987
2016-02-17,30.23,30.459999,30.139999,30.389999,60700,29.821817
2016-02-18,30.32,30.33,30.1,30.23,48000,29.664808
2016-02-19,30.190001,30.34,30.049999,30.32,115900,29.753126
2016-02-22,30.48,30.530001,30.379999,30.43,126300,29.86107
2016-02-23,30.49,30.5,30.370001,30.43,80200,29.86107
2016-02-24,30.299999,30.559999,30.15,30.540001,57300,29.969014
2016-02-25,30.629999,30.889999,30.6,30.879999,73700,30.302655
2016-02-26,30.959999,30.959999,30.41,30.469999,61100,29.900321
2016-02-29,30.51,30.690001,30.379999,30.440001,168300,29.870883
2016-03-01,30.68,30.700001,30.5,30.610001,276000,30.037705
2016-03-02,30.76,30.76,30.51,30.76,74100,30.1849
2016-03-03,30.67,30.92,30.549999,30.91,36000,30.332095
2016-03-04,30.83,31.15,30.83,31.09,91900,30.50873
2016-03-07,30.98,31.049999,30.84,30.9,573400,30.322282
2016-03-08,30.879999,31.120001,30.76,31.0,68400,30.420413
2016-03-09,31.120001,31.23,31.1,31.209999,42300,30.626485
2016-03-10,31.299999,31.360001,30.950001,31.209999,62100,30.626485
2016-03-11,31.379999,31.4,31.200001,31.33,30200,30.744243
2016-03-14,31.32,31.360001,31.219999,31.34,53000,30.754056
2016-03-15,31.209999,31.389999,31.209999,31.379999,62300,30.793307
2016-03-16,31.35,31.49,31.139999,31.450001,148700,30.862
2016-03-17,31.440001,31.719999,31.4,31.67,67900,31.077886
2016-03-18,31.629999,31.629999,31.4,31.43,105900,30.842373
2016-03-21,31.42,31.530001,31.299999,31.459999,50300,30.871811
2016-03-22,31.41,31.41,31.200001,31.24,142700,30.655925
2016-03-23,31.23,31.34,31.18,31.23,75300,30.646112
2016-03-24,31.15,31.209999,31.08,31.200001,51100,30.616674
2016-03-28,31.27,31.43,31.26,31.35,75100,30.763869
2016-03-29,31.42,31.620001,31.309999,31.6,202700,31.009195
2016-03-30,31.719999,31.82,31.66,31.74,93900,31.146577
2016-03-31,31.77,31.84,31.629999,31.67,84800,31.077886
2016-04-01,31.559999,32.060001,31.52,32.060001,181200,31.460596
2016-04-04,32.07,32.07,31.85,31.959999,171000,31.362463
2016-04-05,31.92,31.92,31.700001,31.75,66900,31.15639
2016-04-06,31.879999,32.0,31.790001,31.98,99700,31.38209
2016-04-07,31.92,31.92,31.59,31.709999,84300,31.117137
2016-04-08,31.85,31.889999,31.75,31.83,49500,31.234895
2016-04-11,31.93,32.0,31.6,31.610001,181300,31.019008
2016-04-12,31.68,31.860001,31.65,31.83,125800,31.234895
2016-04-13,31.950001,31.99,31.49,31.620001,119400,31.028822
2016-04-14,31.620001,31.66,31.450001,31.469999,66300,30.881625
2016-04-15,31.549999,31.690001,31.450001,31.690001,63700,31.097513
2016-04-18,31.709999,31.809999,31.620001,31.75,72200,31.15639
2016-04-19,31.74,31.860001,31.709999,31.809999,55200,31.215268
2016-04-20,31.83,31.83,31.41,31.42,310600,30.83256
2016-04-21,31.450001,31.450001,30.889999,30.889999,121300,30.312469
2016-04-22,30.84,31.040001,30.809999,31.040001,73800,30.459666
2016-04-25,30.940001,31.25,30.940001,31.25,217700,30.665739
2016-04-26,31.290001,31.35,31.09,31.16,373100,30.577421
2016-04-27,31.299999,31.4,31.040001,31.309999,67100,30.724616
2016-04-28,31.219999,31.5,31.219999,31.309999,45200,30.724616
2016-04-29,31.26,31.309999,31.09,31.280001,61900,30.695178
2016-05-02,31.32,31.639999,31.32,31.58,131400,30.989569
2016-05-03,31.49,31.66,31.450001,31.540001,433300,30.950317
2016-05-04,31.459999,31.68,31.379999,31.629999,59400,31.038633
2016-05-05,31.610001,31.799999,31.549999,31.620001,60000,31.028822
2016-05-06,31.610001,31.799999,31.51,31.780001,47700,31.18583
2016-05-09,31.85,32.060001,31.85,31.969999,158000,31.372276
2016-05-10,32.080002,32.290001,32.080002,32.290001,54900,31.686295
2016-05-11,32.27,32.279999,32.029999,32.049999,51100,31.450781
2016-05-12,32.169998,32.27,32.07,32.209999,74400,31.607789
2016-05-13,32.18,32.18,31.75,31.84,54800,31.244708
2016-05-16,31.82,32.049999,31.74,31.99,64100,31.391903
2016-05-17,31.93,31.93,31.299999,31.379999,57200,30.793307
2016-05-18,31.23,31.309999,30.92,31.040001,142900,30.459666
2016-05-19,31.120001,31.32,31.07,31.290001,57900,30.704992
2016-05-20,31.42,31.42,31.15,31.18,65600,30.597048
2016-05-23,31.25,31.299999,31.190001,31.209999,38200,30.626485
2016-05-24,31.32,31.549999,31.32,31.48,34300,30.891438
2016-05-25,31.5,31.67,31.49,31.549999,56500,30.960129
2016-05-26,31.620001,31.700001,31.6,31.65,46800,31.05826
2016-05-27,31.709999,31.74,31.6,31.700001,34300,31.107326
2016-05-31,31.74,31.74,31.450001,31.57,62900,30.979755
2016-06-01,31.57,31.799999,31.57,31.799999,53600,31.205455
2016-06-02,31.790001,31.860001,31.68,31.860001,77300,31.264334
2016-06-03,31.870001,32.080002,31.870001,32.049999,37000,31.450781
2016-06-06,32.110001,32.189999,32.0,32.049999,43800,31.450781
2016-06-07,32.189999,32.200001,32.029999,32.060001,58100,31.460596
2016-06-08,32.150002,32.279999,32.02,32.240002,58600,31.637231
2016-06-09,32.279999,32.41,32.209999,32.349998,66700,31.745171
2016-06-10,32.32,32.450001,32.209999,32.380001,41700,31.774613
2016-06-13,32.439999,32.439999,32.110001,32.110001,41100,31.50966
2016-06-14,32.080002,32.220001,31.9,32.18,162700,31.578351
2016-06-15,32.330002,32.330002,32.09,32.139999,69000,31.539098
2016-06-16,32.099998,32.330002,32.02,32.330002,55000,31.725548
2016-06-17,32.169998,32.169998,31.799999,32.0,48100,31.592266
2016-06-20,32.23,32.290001,32.060001,32.080002,27900,31.671249
2016-06-21,32.16,32.27,32.150002,32.18,94000,31.769973
2016-06-22,32.25,32.330002,32.150002,32.18,132400,31.769973
2016-06-23,32.34,32.389999,32.240002,32.389999,47700,31.977296
2016-06-24,31.68,32.169998,31.6,31.77,125000,31.365197
2016-06-27,31.6,31.719999,31.450001,31.639999,96100,31.236852
2016-06-28,31.82,31.889999,31.610001,31.889999,82400,31.483667
2016-06-29,32.0,32.25,31.99,32.23,168000,31.819335
2016-06-30,32.32,32.970001,32.279999,32.970001,76800,32.549908
2016-07-01,32.990002,33.040001,32.830002,32.880001,81400,32.461054
2016-07-05,32.98,33.169998,32.830002,33.02,73300,32.59927
2016-07-06,32.990002,33.080002,32.84,33.02,79600,32.59927
2016-07-07,33.220001,33.23,32.93,33.0,74000,32.579524
2016-07-08,33.439999,33.439999,33.009998,33.369999,58400,32.944809
2016-07-11,33.52,33.52,33.200001,33.360001,96600,32.934938
2016-07-12,33.529999,33.529999,33.169998,33.209999,192200,32.786848
2016-07-13,33.25,33.389999,33.200001,33.369999,158900,32.944809
2016-07-14,33.630001,33.630001,33.32,33.389999,59100,32.964555
2016-07-15,33.48,33.5,33.299999,33.389999,81400,32.964555
2016-07-18,33.43,33.43,33.299999,33.360001,69900,32.934938
2016-07-19,33.25,33.299999,32.869999,33.299999,51400,32.875701
2016-07-20,33.360001,33.360001,33.16,33.209999,52200,32.786848
2016-07-21,33.310001,33.310001,32.970001,33.09,73500,32.668378
