Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,20.610001,20.610001,20.610001,20.610001,200,20.576461
2016-10-10,20.610001,20.610001,20.610001,20.610001,0,20.576461
2016-10-11,20.5,20.5,20.4,20.4,3300,20.366802
2016-10-12,20.4,20.4,20.4,20.4,0,20.366802
2016-10-13,19.99,19.99,19.99,19.99,2500,19.95747
2016-10-14,20.1,20.1,20.1,20.1,2500,20.067291
2016-10-17,19.950001,19.959999,19.950001,19.959999,5000,19.927518
2016-10-18,20.129999,20.139999,20.129999,20.139999,5000,20.107225
2016-10-19,20.652,20.652,20.642,20.642,500,20.608409
2016-10-20,20.780001,20.780001,20.74,20.74,200,20.706249
2016-10-21,20.74,20.74,20.74,20.74,0,20.706249
2016-10-24,20.74,20.74,20.74,20.74,0,20.706249
2016-10-25,20.84,20.899,20.823999,20.899,900,20.864991
2016-10-26,20.92,21.07,20.92,21.07,400,21.035712
2016-10-27,22.0,22.0,21.040001,21.254,1600,21.219413
2016-10-28,21.129999,21.129999,20.98,20.98,600,20.945858
2016-10-31,20.98,20.98,20.98,20.98,0,20.945858
2016-11-01,20.98,20.98,20.98,20.98,0,20.945858
2016-11-02,20.77,20.77,20.690001,20.690001,500,20.656331
2016-11-03,20.851,20.851,20.851,20.851,500,20.817068
2016-11-04,20.851,20.851,20.851,20.851,0,20.817068
2016-11-07,20.851,20.851,20.851,20.851,0,20.817068
2016-11-08,21.245001,21.25,21.245001,21.25,1600,21.215419
2016-11-09,22.389999,22.389999,22.360001,22.360001,1100,22.323614
2016-11-10,22.941,23.25,22.780001,23.233999,11600,23.19619
2016-11-11,24.209999,24.209999,23.084,23.52,2800,23.481726
2016-11-14,24.26,25.01,23.903,24.106001,38700,24.066773
2016-11-15,26.17,26.17,23.67,24.17,18900,24.130668
2016-11-16,23.92,23.92,23.709999,23.77,23500,23.731319
2016-11-17,23.99,24.18,23.971001,24.111,155200,24.071764
2016-11-18,24.17,24.424999,23.969999,24.41,49000,24.370277
2016-11-21,24.85,24.85,24.120001,24.33,36400,24.290407
2016-11-22,24.5,24.940001,24.25,24.406,64900,24.366284
2016-11-23,24.48,24.6,24.48,24.566999,7600,24.527021
2016-11-25,24.76,24.76,24.530001,24.620001,15400,24.579936
2016-11-28,24.34,24.34,24.190001,24.190001,1600,24.150636
2016-11-29,24.290001,24.4,24.24,24.245001,5600,24.205546
2016-11-30,24.629999,24.989,24.629999,24.75,4200,24.709724
2016-12-01,25.52,25.52,24.915001,25.139999,22100,25.099088
2016-12-02,24.83,25.040001,24.83,24.93,2900,24.889431
2016-12-05,25.215,25.256001,25.128,25.128,3600,25.087109
2016-12-06,25.9,25.9,25.23,25.583,6800,25.541368
2016-12-07,26.08,26.08,25.48,25.860001,5800,25.817918
2016-12-08,25.959999,26.34,25.945999,26.26,8200,26.217267
2016-12-09,26.058001,26.24,26.011,26.209999,11900,26.167347
2016-12-12,26.136999,26.219999,25.781,25.84,6000,25.79795
2016-12-13,26.67,26.67,25.65,25.9,11200,25.857852
2016-12-14,26.48,26.48,25.629999,25.908001,4400,25.86584
2016-12-15,26.165001,26.27,26.103001,26.18,13100,26.137397
2016-12-16,26.120001,26.280001,25.860001,25.860001,6600,25.817918
2016-12-19,25.809999,26.0,25.745001,25.940001,7100,25.897788
2016-12-20,26.280001,26.440001,26.280001,26.424,6500,26.380999
2016-12-21,26.280001,26.370001,26.24,26.316,6500,26.316
2016-12-22,26.610001,26.610001,26.233999,26.32,5300,26.32
2016-12-23,26.280001,26.4,26.280001,26.389999,12900,26.389999
2016-12-27,26.450001,26.51,26.43,26.5,33500,26.5
2016-12-28,26.440001,26.440001,26.190001,26.200001,18300,26.200001
2016-12-29,26.780001,26.780001,25.878,25.879999,5500,25.879999
2016-12-30,25.940001,26.1,25.940001,26.0,9500,26.0
2017-01-03,26.5,26.559999,26.040001,26.089001,33000,26.089001
2017-01-04,26.4,26.549999,26.309999,26.51,10200,26.51
2017-01-05,26.610001,26.860001,25.91,26.08,17000,26.08
2017-01-06,26.92,26.92,26.17,26.27,12000,26.27
2017-01-09,26.209999,26.209999,25.950001,26.1,8400,26.1
2017-01-10,26.209999,26.35,26.09,26.299999,20500,26.299999
2017-01-11,26.690001,26.690001,26.07,26.379999,45800,26.379999
2017-01-12,26.34,26.34,25.85,26.129999,15400,26.129999
2017-01-13,26.1,26.757999,26.1,26.4,19700,26.4
2017-01-17,25.85,25.85,25.309999,25.33,19700,25.33
2017-01-18,25.559999,25.67,25.360001,25.67,14200,25.67
2017-01-19,25.92,25.93,25.43,25.500999,10900,25.500999
2017-01-20,26.0,26.0,25.620001,25.74,19800,25.74
2017-01-23,25.74,25.759001,25.5,25.709999,15500,25.709999
2017-01-24,25.959999,26.139999,25.709999,26.09,87700,26.09
2017-01-25,26.469999,26.639999,26.309999,26.620001,20700,26.620001
2017-01-26,26.639999,26.82,26.584999,26.73,17600,26.73
