Date,Open,High,Low,Close,Volume,Adj Close
2016-03-18,20.09,20.120001,20.08,20.09,12300,19.955253
2016-03-22,20.1,20.129999,20.049999,20.1,14800,19.965186
2016-03-23,20.07,20.07,20.037001,20.037001,39100,19.902609
2016-03-24,19.98,20.030001,19.959999,20.030001,75600,19.895656
2016-03-28,20.040001,20.059999,20.014,20.040001,26100,19.905589
2016-03-29,20.24,20.24,19.979,20.200001,66300,20.064515
2016-03-30,20.360001,20.360001,20.18,20.200001,294300,20.064515
2016-03-31,20.290001,20.290001,20.200001,20.24,243100,20.104246
2016-04-01,20.26,20.26,20.120001,20.24,296100,20.104246
2016-04-04,20.32,20.32,20.129999,20.129999,281200,19.994983
2016-04-05,20.09,20.09,20.000999,20.01,85500,19.875789
2016-04-06,20.15,20.15,19.969999,20.15,112800,20.01485
2016-04-07,20.24,20.24,19.969999,20.030001,43100,19.895656
2016-04-08,20.129999,20.15,20.059999,20.09,44200,19.955253
2016-04-11,20.33,20.33,20.0,20.0,76500,19.865856
2016-04-12,20.129999,20.327,19.98,20.299999,43100,20.163843
2016-04-13,20.52,20.52,20.318001,20.440001,136000,20.302906
2016-04-14,20.559999,20.559999,20.337,20.360001,295500,20.223442
2016-04-15,20.27,20.360001,20.200001,20.35,119000,20.213509
2016-04-18,20.33,20.5,20.280001,20.450001,63400,20.312839
2016-04-19,20.620001,20.620001,20.48,20.559999,95600,20.4221
2016-04-20,20.709999,20.709999,20.5,20.58,76000,20.441966
2016-04-21,20.700001,20.700001,20.379999,20.4,62000,20.263173
2016-04-22,20.49,20.537001,20.440001,20.52,60900,20.382369
2016-04-25,20.59,20.59,20.357,20.42,168500,20.283039
2016-04-26,20.549999,20.549999,20.440001,20.540001,137600,20.402235
2016-04-27,20.688,20.799999,20.610001,20.743999,92600,20.604866
2016-04-28,20.6,20.889999,20.6,20.620001,77200,20.481699
2016-04-29,20.687,20.709999,20.459999,20.639999,241400,20.501563
2016-05-02,20.66,20.75,20.598,20.74,39000,20.600893
2016-05-03,20.559999,20.559999,20.389999,20.440001,68100,20.302906
2016-05-04,20.42,20.469999,20.27,20.34,44900,20.203576
2016-05-05,20.42,20.440001,20.207001,20.25,31900,20.114179
2016-05-06,20.200001,20.360001,20.200001,20.34,17200,20.203576
