Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,96.32,96.339996,96.0,96.25,19700,96.25
2016-01-05,95.690002,95.690002,95.449997,95.68,4600,95.68
2016-01-06,95.68,95.860001,95.629997,95.860001,3600,95.860001
2016-01-07,96.459999,97.25,96.220001,97.25,7400,97.25
2016-01-08,96.68,97.050003,96.639999,97.040001,10200,97.040001
2016-01-11,96.709999,96.730003,96.330002,96.330002,2700,96.330002
2016-01-12,96.43,96.43,96.160004,96.230003,2000,96.230003
2016-01-13,95.599998,95.959999,95.599998,95.93,3700,95.93
2016-01-14,96.059998,96.269997,95.690002,95.860001,2800,95.860001
2016-01-15,96.709999,96.769997,96.279999,96.290001,10800,96.290001
2016-01-19,96.040001,96.449997,96.0,96.18,53800,96.18
2016-01-20,96.419998,96.510002,95.919998,96.050003,10000,96.050003
2016-01-21,95.470001,95.970001,95.279999,95.879997,16500,95.879997
2016-01-22,95.099998,95.220001,94.919998,94.93,4500,94.93
2016-01-25,95.0,95.040001,95.0,95.040001,400,95.040001
2016-01-26,94.870003,94.870003,94.599998,94.82,25900,94.82
2016-01-27,94.870003,95.199997,94.720001,95.019997,11700,95.019997
2016-01-28,95.220001,95.300003,95.059998,95.160004,7500,95.160004
2016-01-29,94.239998,94.360001,94.050003,94.169998,24500,94.169998
2016-02-01,94.629997,94.949997,94.529999,94.620003,11100,94.620003
2016-02-02,94.650002,94.790001,94.419998,94.629997,57400,94.629997
2016-02-03,95.040001,96.550003,95.010002,96.050003,33400,96.050003
2016-02-04,96.559998,97.18,96.559998,97.120003,29400,97.120003
2016-02-05,96.75,97.220001,96.580002,97.220001,10700,97.220001
2016-02-08,97.120003,97.809998,97.110001,97.739998,21100,97.739998
2016-02-09,99.080002,99.43,98.879997,99.279999,24200,99.279999
2016-02-10,98.860001,99.169998,98.290001,99.169998,11800,99.169998
2016-02-11,99.370003,99.379997,98.900002,99.199997,47500,99.199997
2016-02-12,98.57,98.809998,98.489998,98.699997,20100,98.699997
2016-02-16,97.849998,97.889999,97.440002,97.510002,9400,97.510002
2016-02-17,97.110001,97.230003,97.019997,97.220001,5800,97.220001
2016-02-18,96.709999,97.110001,96.709999,97.019997,5500,97.019997
2016-02-19,97.050003,97.419998,97.050003,97.379997,4900,97.379997
2016-02-22,96.480003,96.620003,96.43,96.480003,14100,96.480003
2016-02-23,97.0,97.349998,96.989998,97.230003,13000,97.230003
2016-02-24,97.099998,97.779999,97.099998,97.440002,23800,97.440002
2016-02-25,96.900002,97.480003,96.879997,97.360001,6600,97.360001
2016-02-26,96.610001,96.779999,96.5,96.779999,10000,96.779999
2016-02-29,96.190002,96.779999,96.169998,96.440002,120800,96.440002
2016-03-01,96.599998,96.720001,96.32,96.68,7000,96.68
2016-03-02,96.339996,96.739998,96.339996,96.739998,11400,96.739998
2016-03-03,97.0,97.379997,97.0,97.230003,8700,97.230003
2016-03-04,97.18,97.360001,96.860001,97.019997,13000,97.019997
2016-03-07,96.339996,96.879997,96.32,96.769997,19100,96.769997
2016-03-08,97.18,97.190002,96.639999,96.75,4300,96.75
2016-03-09,96.199997,96.860001,96.160004,96.599998,4300,96.599998
2016-03-10,96.730003,98.199997,96.720001,97.900002,16000,97.900002
2016-03-11,97.870003,98.220001,97.790001,98.019997,5800,98.019997
2016-03-14,97.660004,97.730003,97.540001,97.589996,6900,97.589996
2016-03-15,97.699997,97.790001,97.5,97.599998,10000,97.599998
2016-03-16,97.32,98.769997,97.190002,98.650002,11200,98.650002
2016-03-17,99.419998,99.760002,99.379997,99.550003,28300,99.550003
2016-03-18,99.620003,99.620003,99.279999,99.279999,18000,99.279999
2016-03-21,99.480003,99.5,99.300003,99.370003,15000,99.370003
2016-03-22,99.230003,99.32,98.959999,99.0,7000,99.0
2016-03-23,98.760002,99.010002,98.690002,98.790001,9900,98.790001
