Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,13.85,14.08,13.61,13.99,177700,13.832328
2016-01-05,13.97,13.97,13.72,13.88,829700,13.723568
2016-01-06,13.5,13.52,12.97,13.06,227300,12.91281
2016-01-07,12.78,13.11,12.65,12.69,262500,12.546979
2016-01-08,12.82,12.87,12.51,12.68,185600,12.537092
2016-01-11,12.7,12.7,12.09,12.3,255600,12.161375
2016-01-12,12.54,12.59,11.81,12.15,167500,12.013065
2016-01-13,12.32,12.45,11.46,11.54,224000,11.40994
2016-01-14,11.66,12.03,11.36,11.96,214700,11.825207
2016-01-15,11.49,11.58,11.21,11.49,307900,11.360504
2016-01-19,11.59,11.63,10.8,11.02,204200,10.895801
2016-01-20,10.8,11.01,10.28,10.87,555300,10.747491
2016-01-21,10.85,11.64,10.82,11.5,300500,11.370391
2016-01-22,11.98,12.26,11.77,12.05,420000,11.914193
2016-01-25,11.73,12.07,11.32,11.32,203300,11.192419
2016-01-26,11.56,11.97,11.4,11.96,144200,11.825207
2016-01-27,11.85,12.38,11.78,12.01,124400,11.874643
2016-01-28,12.53,12.61,12.12,12.35,223600,12.210812
2016-01-29,12.42,12.92,12.41,12.92,99000,12.774387
2016-02-01,12.63,12.64,12.33,12.56,274600,12.418445
2016-02-02,12.21,12.21,11.91,12.01,191900,11.874643
2016-02-03,12.2,12.37,11.61,12.36,189900,12.220698
2016-02-04,12.41,12.9,12.4,12.5,196900,12.359121
2016-02-05,12.37,12.46,12.07,12.16,436300,12.022952
2016-02-08,11.9,11.9,11.52,11.76,342900,11.627461
2016-02-09,11.62,11.71,11.11,11.38,125400,11.251744
2016-02-10,11.35,11.62,11.12,11.18,138400,11.053998
2016-02-11,11.0,11.15,10.59,10.95,941400,10.82659
2016-02-12,11.18,11.39,10.97,11.22,457900,11.093547
2016-02-16,11.44,11.46,11.08,11.29,94000,11.162758
2016-02-17,11.47,11.95,11.46,11.89,124400,11.755996
2016-02-18,12.02,12.03,11.5,11.59,862600,11.459377
2016-02-19,11.47,11.47,11.1,11.35,202900,11.222082
2016-02-22,11.62,11.83,11.62,11.78,147400,11.647235
2016-02-23,11.73,11.73,11.26,11.27,280100,11.142984
2016-02-24,11.05,11.48,10.99,11.46,120000,11.330842
2016-02-25,11.39,11.51,11.17,11.44,200800,11.311067
2016-02-26,11.73,11.95,11.65,11.77,268400,11.637349
2016-02-29,11.84,12.02,11.69,11.86,166700,11.726333
2016-03-01,11.92,12.13,11.7,12.09,527800,11.953742
2016-03-02,12.01,12.57,11.96,12.56,70300,12.418445
2016-03-03,12.53,13.23,12.53,13.2,81100,13.051231
2016-03-04,13.29,14.04,13.2,13.75,408800,13.595033
2016-03-07,13.69,14.44,13.65,14.44,212500,14.277256
2016-03-08,14.25,14.25,13.37,13.39,102200,13.23909
2016-03-09,13.69,13.94,13.38,13.71,248700,13.555484
2016-03-10,13.64,13.73,13.31,13.65,355300,13.496159
2016-03-11,13.94,14.3,13.94,14.21,158300,14.049848
2016-03-14,13.86,14.11,13.77,14.02,136900,13.86199
2016-03-15,13.77,14.07,13.61,14.06,148700,13.901539
2016-03-16,14.14,14.63,14.13,14.56,15079000,14.395904
2016-03-17,14.76,14.93,14.51,14.76,10643100,14.59365
2016-03-18,14.9,15.07,14.44,14.55,6478400,14.386017
2016-03-21,14.54,14.68,14.33,14.56,1439500,14.395904
2016-03-22,14.37,14.64,14.37,14.55,1436700,14.386017
2016-03-23,14.36,14.44,13.85,13.88,1955200,13.750028
2016-03-24,13.73,14.06,13.38,14.01,1282100,13.878811
2016-03-28,14.23,14.23,13.74,13.94,68067600,13.809466
2016-03-29,13.66,14.03,13.49,13.93,4233800,13.79956
2016-03-30,14.15,14.27,13.85,13.96,1242200,13.829279
2016-03-31,13.93,14.19,13.9,14.12,874400,13.987781
2016-04-01,13.83,13.85,13.65,13.8,1747200,13.670778
2016-04-04,13.77,14.03,13.63,13.64,697900,13.512276
2016-04-05,13.51,13.71,13.46,13.56,781000,13.433025
2016-04-06,13.72,13.87,13.46,13.8,794300,13.670778
2016-04-07,13.72,13.91,13.52,13.69,753000,13.561807
2016-04-08,14.04,14.22,14.01,14.13,847800,13.997688
2016-04-11,14.22,14.3,14.06,14.06,681900,13.928343
2016-04-12,14.18,14.94,14.13,14.84,1362900,14.701039
2016-04-13,14.9,15.03,14.68,14.89,2184200,14.750571
2016-04-14,15.03,15.03,14.61,14.74,441700,14.601975
2016-04-15,14.59,14.61,14.38,14.49,624700,14.354316
2016-04-18,14.06,14.81,14.0,14.77,591500,14.631695
2016-04-19,14.85,15.3,14.85,15.23,1756300,15.087387
2016-04-20,15.15,15.54,15.09,15.4,2590300,15.255795
2016-04-21,15.49,15.5,15.2,15.28,981800,15.136919
2016-04-22,15.38,15.79,15.33,15.71,943000,15.562892
2016-04-25,15.65,15.66,15.25,15.37,791100,15.226076
2016-04-26,15.42,15.65,15.3,15.64,689500,15.493548
2016-04-27,15.8,16.24,15.8,16.15,2670400,15.998772
2016-04-28,16.059999,16.25,15.72,15.76,1652600,15.612424
2016-04-29,15.9,16.110001,15.42,15.81,2143900,15.661956
2016-05-02,16.040001,16.040001,15.36,15.61,1768100,15.463828
2016-05-03,15.25,15.29,14.95,15.05,1260400,14.909073
2016-05-04,15.15,15.28,14.61,14.69,751200,14.552443
2016-05-05,15.09,15.25,14.6,14.74,862500,14.601975
2016-05-06,14.62,15.05,14.59,14.79,501200,14.651507
2016-05-09,14.78,14.78,14.13,14.32,910200,14.185908
2016-05-10,14.66,14.76,14.44,14.75,669200,14.611882
2016-05-11,14.7,15.04,14.45,14.84,645400,14.701039
2016-05-12,15.09,15.22,14.55,14.67,1033300,14.532631
2016-05-13,14.59,14.8,14.41,14.45,1118400,14.314691
2016-05-16,14.69,14.92,14.69,14.75,443900,14.611882
2016-05-17,14.77,15.11,14.72,14.93,444900,14.790197
2016-05-18,14.92,15.05,14.55,14.62,773900,14.483099
2016-05-19,14.4,14.58,14.2,14.5,772800,14.364223
2016-05-20,14.59,14.79,14.44,14.74,494100,14.601975
2016-05-23,14.58,14.73,14.45,14.61,611100,14.473192
2016-05-24,14.69,14.72,14.44,14.68,582500,14.542538
2016-05-25,14.83,15.16,14.81,15.14,770200,14.99823
2016-05-26,15.27,15.35,14.94,14.97,715900,14.829822
