Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.25,22.309999,22.07,22.309999,564800,21.723454
2016-01-05,22.299999,22.530001,21.99,22.48,227500,21.888984
2016-01-06,22.32,22.4,22.209999,22.32,102000,21.733191
2016-01-07,22.02,22.27,22.0,22.07,73700,21.489764
2016-01-08,22.15,22.27,22.02,22.059999,280900,21.480026
2016-01-11,22.09,22.17,21.940001,22.040001,240000,21.460554
2016-01-12,22.09,22.09,21.690001,21.780001,47500,21.207389
2016-01-13,21.85,21.959999,21.530001,21.559999,68300,20.993172
2016-01-14,21.6,22.200001,21.530001,22.07,1771500,21.489764
2016-01-15,21.790001,21.790001,21.370001,21.68,622600,21.110018
2016-01-19,21.84,21.959999,21.77,21.9,225500,21.324233
2016-01-20,21.709999,21.709999,20.92,21.360001,129700,20.798431
2016-01-21,21.42,21.639999,21.24,21.440001,135900,20.876328
2016-01-22,21.639999,21.950001,21.6,21.950001,235800,21.37292
2016-01-25,21.870001,21.870001,21.52,21.540001,81300,20.973699
2016-01-26,21.629999,21.959999,21.629999,21.92,51500,21.343708
2016-01-27,21.85,22.16,21.790001,21.969999,38800,21.392392
2016-01-28,22.040001,22.379999,22.040001,22.280001,70000,21.694244
2016-01-29,22.450001,22.870001,22.450001,22.85,375500,22.249258
2016-02-01,22.91,23.299999,22.889999,23.23,1805400,22.619266
2016-02-02,23.110001,23.24,22.889999,23.209999,826500,22.599792
2016-02-03,23.33,23.82,23.33,23.74,15805800,23.115858
2016-02-04,23.85,23.99,23.709999,23.75,6472600,23.125596
2016-02-05,23.690001,23.879999,23.469999,23.66,48303600,23.037962
2016-02-08,23.52,23.73,23.09,23.24,2346800,22.629004
2016-02-09,23.09,23.389999,23.040001,23.290001,2925400,22.67769
2016-02-10,23.4,23.4,22.969999,23.24,1619800,22.629004
2016-02-11,23.129999,23.23,22.83,22.879999,1323700,22.278468
2016-02-12,22.959999,22.959999,22.66,22.9,1807800,22.297942
2016-02-16,23.08,23.16,22.9,23.139999,538300,22.531632
2016-02-17,23.24,23.34,23.049999,23.24,684200,22.629004
2016-02-18,23.290001,23.68,23.24,23.58,560600,22.960065
2016-02-19,23.52,23.6,23.18,23.280001,1380400,22.667953
2016-02-22,23.459999,23.639999,23.41,23.620001,908000,22.999014
2016-02-23,23.57,23.74,23.530001,23.700001,705300,23.076911
2016-02-24,23.629999,24.040001,23.629999,24.01,643700,23.37876
2016-02-25,24.110001,24.209999,23.969999,24.209999,525400,23.573501
2016-02-26,24.16,24.16,23.719999,23.75,727800,23.125596
2016-02-29,23.65,24.01,23.610001,23.82,648500,23.193755
2016-03-01,24.030001,24.030001,23.68,23.84,604600,23.21323
2016-03-02,23.75,24.190001,23.5,24.190001,357500,23.554028
2016-03-03,24.209999,24.379999,24.0,24.379999,607100,23.739032
2016-03-04,24.280001,24.75,24.25,24.620001,456700,23.972723
2016-03-07,24.6,24.969999,24.59,24.85,1119100,24.196676
2016-03-08,24.82,24.860001,24.65,24.799999,466200,24.14799
2016-03-09,24.83,25.01,24.75,24.84,1163900,24.186939
2016-03-10,24.82,25.01,24.700001,25.0,845700,24.342732
2016-03-11,25.17,25.33,25.110001,25.190001,638600,24.527737
2016-03-14,25.120001,25.209999,25.040001,25.17,796600,24.508263
2016-03-15,25.059999,25.120001,24.959999,25.08,261000,24.420629
2016-03-16,25.049999,25.459999,24.92,25.43,920300,24.761427
2016-03-17,25.48,25.690001,25.33,25.629999,1019200,24.956168
2016-03-18,25.65,25.719999,25.530001,25.530001,1050500,24.858799
2016-03-21,25.52,25.6,25.360001,25.469999,607500,24.800375
2016-03-22,25.450001,25.629999,25.389999,25.450001,625100,24.780902
2016-03-23,25.33,25.459999,25.190001,25.34,1404600,24.7946
2016-03-24,25.290001,25.459999,25.139999,25.459999,1397000,24.912016
2016-03-28,25.49,25.540001,25.32,25.450001,2024900,24.902233
2016-03-29,25.42,25.92,25.35,25.92,1696800,25.362116
2016-03-30,25.950001,25.969999,25.82,25.860001,4635700,25.303408
2016-03-31,25.91,26.02,25.85,25.98,704100,25.420824
2016-04-01,25.9,26.110001,25.74,26.1,896800,25.538242
2016-04-04,26.15,26.15,25.889999,25.950001,766400,25.391471
2016-04-05,25.889999,25.889999,25.389999,25.4,829600,24.853308
2016-04-06,25.41,25.469999,25.280001,25.469999,489500,24.921801
2016-04-07,25.389999,25.49,25.25,25.32,438000,24.77503
2016-04-08,25.4,25.540001,25.35,25.440001,586100,24.892448
2016-04-11,25.5,25.58,25.280001,25.309999,356900,24.765245
2016-04-12,25.34,25.540001,25.299999,25.52,2987200,24.970726
2016-04-13,25.6,25.6,25.299999,25.450001,1792500,24.902233
2016-04-14,25.41,25.5,25.379999,25.440001,432300,24.892448
2016-04-15,25.450001,25.65,25.4,25.6,322400,25.049004
2016-04-18,25.559999,25.709999,25.48,25.709999,301000,25.156635
2016-04-19,25.73,25.879999,25.700001,25.860001,490700,25.303408
2016-04-20,25.9,25.9,25.43,25.450001,1094300,24.902233
2016-04-21,25.389999,25.43,24.889999,24.93,443300,24.393425
2016-04-22,25.01,25.15,24.93,25.110001,457800,24.569551
2016-04-25,25.040001,25.16,24.99,25.16,894600,24.618474
2016-04-26,25.190001,25.280001,25.110001,25.17,391400,24.628259
2016-04-27,25.219999,25.559999,25.18,25.48,350800,24.931586
2016-04-28,25.209999,25.49,25.139999,25.370001,372700,24.823955
2016-04-29,25.25,25.389999,25.08,25.370001,530200,24.823955
2016-05-02,25.440001,25.57,25.299999,25.5,1230300,24.951156
2016-05-03,25.52,25.52,25.290001,25.43,423700,24.882663
2016-05-04,25.360001,25.73,25.35,25.58,340100,25.029434
2016-05-05,25.52,25.68,25.370001,25.41,310600,24.863093
2016-05-06,25.379999,25.379999,25.1,25.309999,249300,24.765245
2016-05-09,25.33,25.43,25.27,25.370001,451800,24.823955
2016-05-10,25.440001,25.610001,25.370001,25.559999,463700,25.009864
2016-05-11,25.549999,25.629999,25.49,25.57,1447400,25.019649
2016-05-12,25.58,25.74,25.559999,25.690001,429100,25.137067
2016-05-13,25.690001,25.690001,25.440001,25.459999,736100,24.912016
2016-05-16,25.41,25.530001,25.4,25.530001,241800,24.980511
2016-05-17,25.43,25.52,25.1,25.219999,368000,24.677182
2016-05-18,25.1,25.26,24.719999,24.83,572000,24.295576
2016-05-19,24.690001,24.969999,24.6,24.959999,438700,24.422778
2016-05-20,25.0,25.139999,24.92,25.059999,271400,24.520626
2016-05-23,25.049999,25.08,24.83,24.84,592400,24.305361
2016-05-24,24.870001,25.139999,24.870001,25.1,330300,24.559766
2016-05-25,25.07,25.110001,24.940001,25.07,285100,24.530411
2016-05-26,25.030001,25.35,25.030001,25.32,547400,24.77503
2016-05-27,25.35,25.41,25.219999,25.4,278400,24.853308
2016-05-31,25.389999,25.610001,25.379999,25.559999,316400,25.009864
2016-06-01,25.5,25.6,25.43,25.530001,845300,24.980511
2016-06-02,25.450001,25.58,25.370001,25.58,479000,25.029434
2016-06-03,25.719999,25.940001,25.719999,25.85,661400,25.293623
2016-06-06,25.9,25.99,25.780001,25.870001,392300,25.313193
2016-06-07,25.9,26.040001,25.83,25.940001,474600,25.381686
2016-06-08,25.940001,26.059999,25.940001,26.02,446900,25.459964
2016-06-09,26.01,26.200001,25.99,26.17,355400,25.606735
2016-06-10,26.09,26.129999,25.9,25.98,413200,25.420824
2016-06-13,25.940001,26.040001,25.85,25.870001,381800,25.313193
2016-06-14,25.84,25.959999,25.790001,25.950001,512200,25.391471
2016-06-15,25.940001,25.98,25.799999,25.82,348700,25.264268
2016-06-16,25.74,26.01,25.74,25.98,552900,25.420824
2016-06-17,26.0,26.1,25.879999,26.1,620800,25.538242
2016-06-20,26.120001,26.25,26.030001,26.1,520800,25.538242
2016-06-21,26.129999,26.450001,26.01,26.32,378200,25.753507
2016-06-22,26.139999,26.200001,26.01,26.030001,420100,25.633367
2016-06-23,26.049999,26.24,26.049999,26.24,571500,25.840166
2016-06-24,25.889999,26.219999,25.73,25.959999,1799100,25.564432
2016-06-27,25.870001,26.030001,25.719999,25.98,872300,25.584127
2016-06-28,26.08,26.26,25.959999,26.26,880200,25.859862
2016-06-29,26.4,26.549999,26.4,26.52,1435100,26.1159
2016-06-30,26.6,27.030001,26.5,27.030001,2212700,26.618129
2016-07-01,27.07,27.23,26.83,27.07,1310700,26.657519
2016-07-05,27.049999,27.139999,26.99,27.09,786500,26.677214
2016-07-06,27.040001,27.18,26.879999,27.16,991600,26.746147
2016-07-07,27.120001,27.200001,26.77,26.85,588100,26.440872
2016-07-08,26.870001,27.200001,26.690001,27.17,829200,26.755995
2016-07-11,27.17,27.280001,27.01,27.280001,624900,26.86432
2016-07-12,27.200001,27.32,27.110001,27.139999,750700,26.726452
2016-07-13,27.129999,27.41,27.129999,27.41,487700,26.992338
2016-07-14,27.24,27.389999,27.219999,27.32,454900,26.903709
2016-07-15,27.32,27.459999,27.27,27.42,475500,27.002186
2016-07-18,27.290001,27.32,27.209999,27.309999,527700,26.893861
2016-07-19,27.280001,27.309999,27.1,27.139999,202000,26.726452
2016-07-20,27.1,27.17,27.01,27.15,302000,26.7363
2016-07-21,27.049999,27.219999,27.0,27.209999,419800,26.795385
2016-07-22,27.17,27.59,27.17,27.549999,618000,27.130204
2016-07-25,27.549999,27.700001,27.540001,27.68,317000,27.258224
2016-07-26,27.639999,27.66,27.459999,27.559999,311500,27.140052
2016-07-27,27.530001,27.530001,27.02,27.219999,453000,26.805233
2016-07-28,27.18,27.309999,27.129999,27.27,245800,26.854472
2016-07-29,27.24,27.540001,27.24,27.440001,535600,27.021882
2016-08-01,27.4,27.49,27.299999,27.34,782200,26.923405
2016-08-02,27.209999,27.24,26.940001,27.049999,431100,26.637823
2016-08-03,27.01,27.059999,26.91,27.01,237800,26.598433
2016-08-04,26.940001,27.09,26.940001,27.040001,384500,26.627977
2016-08-05,27.040001,27.040001,26.82,26.83,293100,26.421176
2016-08-08,26.860001,27.01,26.83,26.84,351800,26.431024
2016-08-09,26.91,26.92,26.790001,26.83,789400,26.421176
2016-08-10,26.870001,26.9,26.75,26.809999,490300,26.40148
2016-08-11,26.84,26.870001,26.719999,26.83,862800,26.421176
2016-08-12,26.9,26.959999,26.77,26.780001,624600,26.371939
2016-08-15,26.799999,26.860001,26.57,26.58,403700,26.174985
2016-08-16,26.559999,26.559999,26.219999,26.24,832900,25.840166
2016-08-17,26.219999,26.43,25.99,26.4,913300,25.997728
2016-08-18,26.389999,26.620001,26.360001,26.6,277800,26.194681
2016-08-19,26.48,26.5,26.190001,26.34,907700,25.938643
2016-08-22,26.33,26.48,26.27,26.41,266900,26.007576
2016-08-23,26.459999,26.58,26.4,26.4,466900,25.997728
2016-08-24,26.41,26.43,26.27,26.360001,468600,25.958338
2016-08-25,26.32,26.450001,26.32,26.4,318800,25.997728
2016-08-26,26.389999,26.559999,25.9,25.959999,636300,25.564432
2016-08-29,26.040001,26.27,26.040001,26.18,333700,25.781081
