Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,4.02,4.06,4.02,4.02,7600,4.02
2016-01-05,4.01,4.06,4.01,4.05,6000,4.05
2016-01-06,4.06,4.06,4.06,4.06,1300,4.06
2016-01-07,4.03,4.08,4.03,4.08,4400,4.08
2016-01-08,4.16,4.16,4.13,4.13,4000,4.13
2016-01-11,4.17,4.17,4.06,4.06,700,4.06
2016-01-12,4.08,4.1,4.08,4.1,1400,4.1
2016-01-13,4.16,4.16,4.16,4.16,500,4.16
2016-01-14,4.11,4.14,4.11,4.14,1000,4.14
2016-01-15,4.13,4.13,4.13,4.13,1000,4.13
2016-01-19,4.14,4.18,4.14,4.17,500,4.17
2016-01-20,4.18,4.18,4.18,4.18,1500,4.18
2016-01-21,4.16,4.2,4.16,4.18,4900,4.18
2016-01-22,4.2,4.2,4.2,4.2,1000,4.2
2016-01-25,4.2,4.2,4.2,4.2,0,4.2
2016-01-26,4.24,4.24,4.21,4.21,4600,4.21
2016-01-27,4.21,4.21,4.21,4.21,0,4.21
2016-01-28,4.17,4.17,4.15,4.17,7500,4.17
2016-01-29,4.19,4.24,4.19,4.24,2000,4.24
2016-02-01,4.24,4.24,4.24,4.24,0,4.24
2016-02-02,4.17,4.22,4.17,4.22,1000,4.22
2016-02-03,4.21,4.21,4.21,4.21,300,4.21
2016-02-04,4.2,4.2,4.15,4.15,1500,4.15
2016-02-05,4.15,4.15,4.15,4.15,0,4.15
2016-02-08,4.15,4.15,4.15,4.15,0,4.15
2016-02-09,4.06,4.06,4.06,4.06,1300,4.06
2016-02-10,4.06,4.07,3.97,4.05,188400,4.05
2016-02-11,4.06,4.07,4.06,4.06,1300,4.06
2016-02-12,4.05,4.05,4.05,4.05,100,4.05
2016-02-16,4.09,4.09,4.09,4.09,600,4.09
2016-02-17,4.13,4.13,4.13,4.13,1100,4.13
2016-02-18,4.15,4.15,4.1,4.11,4800,4.11
2016-02-19,4.15,4.15,4.1,4.1,1500,4.1
2016-02-22,4.11,4.11,4.09,4.09,400,4.09
2016-02-23,4.08,4.11,4.06,4.07,1500,4.07
2016-02-24,4.02,4.05,4.0,4.04,17700,4.04
2016-02-25,4.03,4.05,4.0,4.0,1900,4.0
2016-02-26,4.04,4.04,3.96,3.98,5300,3.98
2016-02-29,4.01,4.01,3.97,3.97,800,3.97
2016-03-01,3.98,3.98,3.98,3.98,300,3.98
2016-03-02,3.98,3.99,3.97,3.97,3100,3.97
2016-03-03,4.02,4.02,3.98,3.98,3400,3.98
2016-03-04,4.08,4.08,4.05,4.05,3500,4.05
2016-03-07,4.07,4.08,4.07,4.07,3800,4.07
2016-03-08,4.07,4.08,4.07,4.08,200,4.08
2016-03-09,4.07,4.1,4.07,4.07,1000,4.07
2016-03-10,4.11,4.11,4.1,4.1,5000,4.1
2016-03-11,4.16,4.16,4.12,4.12,600,4.12
2016-03-14,4.15,4.15,4.15,4.15,100,4.15
