Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.059999,21.059999,20.870001,21.0,8300,20.229141
2016-01-05,20.91,20.91,20.77,20.870001,5400,20.103914
2016-01-06,20.620001,20.629999,20.540001,20.549999,4500,19.795658
2016-01-07,20.26,20.52,20.190001,20.42,8900,19.670431
2016-01-08,20.620001,20.639999,20.25,20.25,8000,19.506672
2016-01-11,20.48,20.48,20.18,20.25,5400,19.506672
2016-01-12,20.459999,20.469999,20.25,20.450001,6700,19.699331
2016-01-13,20.59,20.59,20.110001,20.110001,2700,19.371811
2016-01-14,20.08,20.33,19.940001,20.26,6700,19.516305
2016-01-15,19.639999,19.65,19.49,19.6,3200,18.880532
2016-01-19,19.85,19.98,19.700001,19.709999,6800,18.986493
2016-01-20,19.360001,19.530001,19.09,19.379999,10400,18.668606
2016-01-21,19.33,19.76,19.33,19.709999,16500,18.986493
2016-01-22,20.040001,20.309999,20.040001,20.25,38900,19.506672
2016-01-25,20.25,20.25,20.25,20.25,1200,19.506672
2016-01-26,20.57,20.57,20.48,20.51,5400,19.757128
2016-01-27,20.370001,20.59,20.34,20.389999,2900,19.641532
2016-01-28,20.41,20.41,20.049999,20.23,5500,19.487405
2016-01-29,20.23,20.530001,20.23,20.530001,8000,19.776394
2016-02-01,20.209999,20.32,20.09,20.32,6900,19.574102
2016-02-02,20.0,20.0,19.780001,19.780001,2800,19.053925
2016-02-03,19.700001,19.82,19.57,19.82,3300,19.092455
2016-02-04,19.77,20.030001,19.77,20.030001,4900,19.294748
2016-02-05,19.75,19.77,19.68,19.68,3000,18.957595
2016-02-08,19.030001,19.1,18.889999,19.07,6800,18.369986
2016-02-09,18.84,18.93,18.76,18.93,5300,18.235126
2016-02-10,19.15,19.15,19.01,19.030001,11400,18.331455
2016-02-11,18.809999,18.860001,18.690001,18.690001,4200,18.003936
2016-02-12,18.93,19.08,18.93,19.07,8100,18.369986
2016-02-16,19.43,19.540001,19.42,19.540001,3100,18.822735
2016-02-17,19.93,20.09,19.870001,20.08,6600,19.342912
2016-02-18,20.209999,20.209999,20.0,20.01,3600,19.275482
2016-02-19,19.799999,19.959999,19.799999,19.959999,1200,19.227316
2016-02-22,20.280001,20.280001,20.23,20.25,1800,19.506672
2016-02-23,20.15,20.16,20.09,20.09,2000,19.352545
2016-02-24,19.690001,19.83,19.690001,19.83,800,19.102089
2016-02-25,19.870001,20.059999,19.860001,20.059999,5000,19.323645
2016-02-26,20.129999,20.129999,19.98,19.98,1800,19.246582
2016-02-29,20.07,20.07,19.91,19.91,8600,19.179152
2016-03-01,20.16,20.34,20.16,20.34,5300,19.593368
2016-03-02,20.18,20.27,20.139999,20.27,5200,19.525938
2016-03-03,20.42,20.459999,20.389999,20.459999,2700,19.708962
2016-03-04,20.74,20.92,20.74,20.83,3800,20.065381
2016-03-07,20.58,20.870001,20.58,20.860001,3000,20.09428
2016-03-08,20.68,20.68,20.6,20.6,2000,19.843824
2016-03-09,20.719999,20.719999,20.65,20.700001,2800,19.940154
2016-03-10,20.9,21.01,20.559999,20.66,3900,19.901621
2016-03-11,21.02,21.26,21.02,21.26,3800,20.479597
2016-03-14,21.299999,21.34,21.299999,21.34,2500,20.55666
2016-03-15,21.110001,21.120001,21.08,21.08,2400,20.306204
2016-03-16,20.83,21.18,20.83,21.15,4400,20.373634
2016-03-17,21.110001,21.23,21.07,21.209999,3100,20.431431
2016-03-18,21.1,21.26,21.09,21.18,4100,20.402534
2016-03-21,21.09,21.139999,21.049999,21.1,2700,20.32547
2016-03-22,20.860001,21.139999,20.860001,21.110001,4900,20.335104
2016-03-23,20.99,20.99,20.809999,20.860001,1100,20.09428
2016-03-24,20.42,20.549999,20.42,20.5,6700,19.747495
2016-03-28,20.65,20.65,20.530001,20.540001,1300,19.786027
2016-03-29,20.57,20.870001,20.57,20.870001,2400,20.103914
2016-03-30,21.16,21.309999,21.16,21.219999,4900,20.441064
2016-03-31,21.17,21.190001,21.1,21.1,3700,20.32547
2016-04-01,20.790001,21.07,20.790001,21.040001,3100,20.267673
2016-04-04,21.139999,21.18,21.040001,21.040001,6000,20.267673
2016-04-05,20.709999,20.719999,20.68,20.68,1400,19.920888
2016-04-06,20.780001,21.059999,20.780001,21.01,5500,20.238774
2016-04-07,20.85,20.85,20.709999,20.719999,2300,19.959418
2016-04-08,21.09,21.23,21.09,21.15,4600,20.373634
2016-04-11,21.27,21.309999,21.26,21.309999,2600,20.527761
2016-04-12,21.25,21.33,21.18,21.290001,4000,20.508497
2016-04-13,21.440001,21.559999,21.440001,21.52,3500,20.730053
2016-04-14,21.610001,21.610001,21.469999,21.469999,4300,20.681888
2016-04-15,21.469999,21.48,21.469999,21.469999,3300,20.681888
2016-04-18,21.549999,21.66,21.549999,21.66,38100,20.864914
2016-04-19,22.02,22.190001,22.02,22.18,32900,21.365826
2016-04-20,22.09,22.120001,22.0,22.059999,2100,21.25023
2016-04-21,21.84,21.84,21.75,21.82,3500,21.01904
2016-04-22,21.719999,21.719999,21.66,21.68,1100,20.88418
2016-04-25,21.549999,21.620001,21.5,21.51,3300,20.72042
2016-04-26,21.559999,21.58,21.530001,21.559999,4500,20.768584
2016-04-27,21.57,21.74,21.57,21.709999,20500,20.913078
2016-04-28,21.75,21.82,21.65,21.65,16100,20.855281
2016-04-29,21.709999,21.709999,21.5,21.610001,1300,20.81675
2016-05-02,21.6,21.65,21.58,21.6,4500,20.807117
2016-05-03,21.280001,21.33,21.25,21.290001,6300,20.508497
2016-05-04,21.01,21.120001,20.92,20.969999,5100,20.200241
2016-05-05,20.82,20.92,20.82,20.84,3800,20.075014
2016-05-06,20.690001,20.82,20.690001,20.82,3700,20.055748
2016-05-09,21.09,21.09,20.940001,20.940001,4300,20.171344
2016-05-10,21.049999,21.09,20.98,21.059999,4600,20.286938
2016-05-11,20.91,21.040001,20.9,20.969999,2100,20.200241
2016-05-12,21.059999,21.059999,20.74,20.83,2100,20.065381
2016-05-13,20.73,20.73,20.559999,20.620001,8800,19.863091
2016-05-16,20.75,20.92,20.75,20.85,5300,20.084647
2016-05-17,20.809999,20.92,20.74,20.74,19200,19.978685
2016-05-18,20.799999,20.91,20.639999,20.690001,42800,19.930521
2016-05-19,20.49,20.540001,20.440001,20.540001,5100,19.786027
2016-05-20,20.84,20.85,20.77,20.780001,12800,20.017217
2016-05-23,20.66,20.73,20.65,20.68,2100,19.920888
2016-05-24,20.98,21.07,20.950001,21.030001,7200,20.25804
2016-05-25,21.33,21.35,21.309999,21.34,8100,20.55666
2016-05-26,21.42,21.459999,21.379999,21.459999,1800,20.672254
2016-05-27,21.360001,21.360001,21.33,21.360001,5200,20.575927
2016-05-31,21.309999,21.370001,21.309999,21.309999,6700,20.527761
2016-06-01,21.139999,21.35,21.139999,21.35,7800,20.566294
2016-06-02,21.24,21.299999,21.24,21.299999,14500,20.518128
2016-06-03,21.32,21.48,21.32,21.48,3800,20.691521
2016-06-06,21.43,21.65,21.43,21.629999,15400,20.836014
2016-06-07,21.790001,21.809999,21.75,21.809999,2200,21.009407
2016-06-08,21.75,21.780001,21.73,21.76,5700,20.961243
2016-06-09,21.379999,21.42,21.360001,21.42,2500,20.633724
2016-06-10,20.799999,20.82,20.66,20.68,4300,19.920888
2016-06-13,20.4,20.66,20.4,20.440001,4900,19.689698
2016-06-14,19.98,20.1,19.940001,19.99,1700,19.256215
2016-06-15,20.200001,20.33,20.139999,20.17,15900,19.429608
2016-06-16,19.719999,20.08,19.610001,20.08,10400,19.342912
2016-06-17,20.110001,20.32,20.08,20.280001,3800,19.535571
2016-06-20,20.75,20.870001,20.73,20.76,8800,19.997951
2016-06-21,20.77,20.92,20.77,20.92,1100,20.152077
2016-06-22,21.049999,21.059999,20.940001,20.959999,49200,20.190608
2016-06-23,21.34,21.450001,21.280001,21.450001,6400,20.662623
2016-06-24,19.41,19.889999,19.27,19.559999,64700,18.841999
2016-06-27,19.450001,19.450001,19.02,19.15,13500,18.447049
2016-06-28,19.66,19.82,19.59,19.790001,48600,19.063558
2016-06-29,20.049999,20.26,20.049999,20.23,8300,19.487405
2016-06-30,20.32,20.58,20.280001,20.530001,16800,19.776394
2016-07-01,20.68,20.809999,20.68,20.690001,12800,19.930521
2016-07-05,20.370001,20.370001,19.969999,20.0,10600,19.265848
2016-07-06,19.620001,19.91,19.549999,19.870001,16100,19.140621
2016-07-07,20.0,20.1,19.85,19.950001,4300,19.217685
2016-07-08,20.200001,20.23,20.18,20.23,13400,19.487405
2016-07-11,20.469999,20.629999,20.469999,20.540001,13800,19.786027
2016-07-12,20.719999,20.75,20.690001,20.690001,7700,19.930521
2016-07-13,20.82,20.91,20.790001,20.82,6800,20.055748
2016-07-14,20.959999,21.0,20.889999,20.940001,1700,20.171344
2016-07-15,20.959999,20.959999,20.809999,20.860001,115000,20.09428
2016-07-18,20.75,20.84,20.66,20.77,18400,20.007584
2016-07-19,20.719999,20.719999,20.65,20.700001,3500,19.940154
2016-07-20,20.85,20.98,20.85,20.940001,13400,20.171344
2016-07-21,20.92,20.93,20.83,20.84,8700,20.075014
2016-07-22,20.950001,20.950001,20.76,20.860001,4100,20.09428
2016-07-25,20.780001,20.85,20.780001,20.84,2400,20.075014
2016-07-26,20.85,20.93,20.85,20.870001,1900,20.103914
2016-07-27,20.969999,20.99,20.83,20.98,8900,20.209875
2016-07-28,20.91,20.91,20.870001,20.91,6200,20.142444
2016-07-29,20.969999,21.110001,20.969999,21.07,6400,20.296571
2016-08-01,20.940001,20.98,20.860001,20.860001,4000,20.09428
2016-08-02,20.82,20.84,20.73,20.75,2500,19.988318
2016-08-03,20.57,20.639999,20.57,20.639999,5000,19.882355
2016-08-04,20.67,20.74,20.67,20.709999,8000,19.949785
2016-08-05,20.4,20.43,20.299999,20.41,6000,19.660798
2016-08-08,20.299999,20.299999,20.24,20.280001,9200,19.535571
2016-08-09,20.5,20.719999,20.5,20.700001,161100,19.940154
2016-08-10,20.74,20.74,20.67,20.67,2800,19.911254
2016-08-11,20.790001,20.84,20.780001,20.790001,2500,20.02685
2016-08-12,20.83,20.83,20.75,20.75,1300,19.988318
2016-08-15,20.889999,20.940001,20.85,20.889999,8700,20.123178
2016-08-16,20.889999,20.9,20.82,20.84,20500,20.075014
2016-08-17,20.67,20.73,20.57,20.709999,4500,19.949785
2016-08-18,20.799999,20.9,20.799999,20.9,1300,20.132811
2016-08-19,20.610001,20.76,20.610001,20.67,3600,19.911254
2016-08-22,20.709999,20.790001,20.709999,20.790001,1500,20.02685
2016-08-23,21.030001,21.030001,20.879999,20.879999,7400,20.113545
2016-08-24,20.940001,20.940001,20.9,20.9,600,20.132811
2016-08-25,20.85,20.85,20.77,20.77,1100,20.007584
2016-08-26,20.75,20.75,20.629999,20.66,2500,19.901621
2016-08-29,20.6,20.82,20.6,20.790001,4800,20.02685
2016-08-30,20.84,20.84,20.700001,20.73,2800,19.969051
2016-08-31,20.74,20.74,20.629999,20.629999,2200,19.872722
2016-09-01,20.780001,20.780001,20.639999,20.73,1700,19.969051
2016-09-02,20.780001,20.860001,20.77,20.85,3600,20.084647
2016-09-06,20.93,21.049999,20.93,21.040001,3000,20.267673
2016-09-07,21.129999,21.129999,21.059999,21.120001,1900,20.344737
2016-09-08,21.120001,21.139999,21.07,21.09,6500,20.315837
2016-09-09,20.780001,20.780001,20.65,20.66,3700,19.901621
2016-09-12,20.6,20.91,20.51,20.91,3500,20.142444
2016-09-13,20.65,20.65,20.559999,20.57,96200,19.814925
2016-09-14,20.59,20.59,20.549999,20.559999,1400,19.805292
2016-09-15,20.75,20.799999,20.719999,20.75,2200,19.988318
2016-09-16,20.43,20.43,20.370001,20.370001,1900,19.622267
2016-09-19,20.559999,20.559999,20.49,20.51,4200,19.757128
2016-09-20,20.58,20.6,20.52,20.540001,2200,19.786027
2016-09-21,20.57,20.57,20.530001,20.530001,1800,19.776394
2016-09-22,20.940001,21.01,20.940001,20.959999,3100,20.190608
2016-09-23,20.77,20.77,20.76,20.76,800,19.997951
2016-09-26,20.66,20.66,20.57,20.59,3600,19.834191
2016-09-27,20.389999,20.540001,20.299999,20.5,5300,19.747495
2016-09-28,20.48,20.68,20.450001,20.67,4800,19.911254
2016-09-29,20.549999,20.66,20.299999,20.450001,4300,19.699331
2016-09-30,20.48,20.610001,20.48,20.610001,800,19.853457
2016-10-03,20.559999,20.620001,20.52,20.559999,4900,19.805292
2016-10-04,20.67,20.67,20.5,20.5,2400,19.747495
2016-10-05,20.559999,20.719999,20.559999,20.690001,7100,19.930521
2016-10-06,20.67,20.68,20.58,20.639999,7100,19.882355
2016-10-07,20.51,20.51,20.33,20.469999,1700,19.718595
2016-10-10,20.59,20.59,20.549999,20.549999,1400,19.795658
2016-10-11,20.24,20.24,20.09,20.15,7500,19.410342
2016-10-12,20.02,20.02,19.9,19.9,2700,19.169519
2016-10-13,19.74,19.85,19.6,19.809999,16000,19.082822
2016-10-14,19.9,20.02,19.870001,19.870001,19900,19.140621
2016-10-17,19.959999,19.959999,19.85,19.889999,5600,19.159886
2016-10-18,20.209999,20.25,20.18,20.18,5300,19.439241
2016-10-19,20.190001,20.200001,20.129999,20.17,2500,19.429608
2016-10-20,20.09,20.280001,20.09,20.27,6100,19.525938
2016-10-21,20.139999,20.139999,20.129999,20.129999,900,19.391076
2016-10-24,20.18,20.18,20.07,20.07,3400,19.333279
2016-10-25,20.09,20.09,20.030001,20.040001,3800,19.304381
2016-10-26,19.959999,20.059999,19.93,19.99,3800,19.256215
2016-10-27,19.91,19.91,19.85,19.85,2300,19.121355
2016-10-28,19.43,19.51,19.43,19.5,13800,18.784202
2016-10-31,19.4,19.43,19.32,19.33,3700,18.620442
2016-11-01,19.32,19.32,19.16,19.23,10300,18.524113
2016-11-02,19.17,19.200001,19.049999,19.07,6600,18.369986
2016-11-03,19.1,19.1,18.969999,18.969999,4800,18.273657
2016-11-04,18.84,18.92,18.77,18.809999,5100,18.11953
2016-11-07,18.950001,19.049999,18.950001,19.01,6900,18.312189
2016-11-08,19.030001,19.09,19.0,19.049999,4300,18.35072
2016-11-09,18.809999,19.15,18.809999,19.09,6400,18.389252
2016-11-10,19.030001,19.15,18.940001,19.049999,4600,18.35072
2016-11-11,18.93,18.93,18.809999,18.879999,4000,18.18696
2016-11-14,18.629999,18.629999,18.5,18.57,13000,17.88834
2016-11-15,18.58,18.76,18.58,18.75,5100,18.061733
2016-11-16,18.549999,18.559999,18.530001,18.559999,900,17.878707
2016-11-17,18.549999,18.66,18.549999,18.610001,5600,17.926873
2016-11-18,18.6,18.6,18.530001,18.559999,3600,17.878707
2016-11-21,18.639999,18.74,18.639999,18.690001,3100,18.003936
2016-11-22,18.690001,18.700001,18.620001,18.700001,9100,18.013569
2016-11-23,18.4,18.540001,18.4,18.530001,10200,17.849809
2016-11-25,18.73,18.76,18.690001,18.719999,7800,18.032833
2016-11-28,18.65,18.67,18.59,18.610001,5900,17.926873
2016-11-29,18.639999,18.700001,18.620001,18.66,3600,17.975036
2016-11-30,18.889999,18.889999,18.73,18.77,8700,18.080999
2016-12-01,18.799999,18.799999,18.74,18.74,5500,18.0521
2016-12-02,18.780001,18.799999,18.68,18.73,22700,18.042467
2016-12-05,18.969999,19.139999,18.969999,19.139999,7000,18.437416
2016-12-06,19.139999,19.299999,19.139999,19.299999,10600,18.591543
2016-12-07,19.4,19.620001,19.4,19.59,19200,18.870899
2016-12-08,19.35,19.5,19.299999,19.440001,32400,18.726405
2016-12-09,19.440001,19.65,19.440001,19.620001,20500,18.899798
2016-12-12,19.620001,19.68,19.610001,19.620001,16400,18.899798
2016-12-13,19.73,19.870001,19.73,19.82,3700,19.092455
2016-12-14,19.77,19.809999,19.42,19.469999,250700,18.755303
