Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.91,11.07,10.9,10.91,168400,10.91
2016-01-05,10.91,11.06,10.84,11.03,97700,11.03
2016-01-06,11.16,11.3,11.11,11.21,408300,11.21
2016-01-07,11.39,11.46,11.26,11.42,539000,11.42
2016-01-08,11.37,11.62,11.3,11.6,499000,11.6
2016-01-11,11.56,11.79,11.5,11.65,604300,11.65
2016-01-12,11.51,11.65,11.36,11.49,241800,11.49
2016-01-13,11.45,11.87,11.38,11.83,692600,11.83
2016-01-14,11.82,12.06,11.65,11.73,520700,11.73
2016-01-15,12.01,12.25,11.87,12.02,1256000,12.02
2016-01-19,11.94,12.37,11.87,12.24,842200,12.24
2016-01-20,12.43,12.74,12.12,12.24,1272500,12.24
2016-01-21,12.26,12.33,11.99,12.21,616300,12.21
2016-01-22,12.05,12.05,11.84,11.93,631400,11.93
2016-01-25,11.95,12.27,11.95,12.27,223500,12.27
2016-01-26,12.22,12.24,11.96,12.01,587400,12.01
2016-01-27,12.03,12.22,11.97,12.15,462400,12.15
2016-01-28,12.05,12.28,11.99,12.23,101100,12.23
2016-01-29,12.2,12.21,11.93,11.95,681500,11.95
2016-02-01,11.98,12.14,11.85,11.92,144100,11.92
2016-02-02,12.03,12.34,12.03,12.3,166100,12.3
2016-02-03,12.22,12.52,12.09,12.13,331500,12.13
2016-02-04,12.18,12.18,11.79,11.94,383300,11.94
2016-02-05,12.0,12.34,12.0,12.33,1163300,12.33
2016-02-08,12.5,12.89,12.45,12.73,1488400,12.73
2016-02-09,12.99,13.0,12.7,12.89,1587900,12.89
2016-02-10,12.82,12.87,12.55,12.85,1094500,12.85
2016-02-11,13.19,13.19,12.86,12.97,1758900,12.97
2016-02-12,12.87,12.88,12.64,12.67,1221700,12.67
2016-02-16,12.45,12.61,12.26,12.27,729400,12.27
2016-02-17,12.25,12.26,11.98,12.02,1490400,12.02
2016-02-18,12.0,12.2,11.99,12.08,931300,12.08
2016-02-19,12.17,12.23,12.05,12.05,303600,12.05
2016-02-22,11.93,11.97,11.82,11.85,400600,11.85
2016-02-23,11.84,11.98,11.81,11.92,954200,11.92
2016-02-24,12.13,12.23,11.8,11.8,1084900,11.8
2016-02-25,11.83,11.94,11.73,11.76,550800,11.76
2016-02-26,11.69,11.71,11.61,11.66,804000,11.66
2016-02-29,11.66,11.72,11.58,11.72,463000,11.72
2016-03-01,11.71,11.71,11.44,11.44,943100,11.44
2016-03-02,11.44,11.48,11.32,11.32,774800,11.32
2016-03-03,11.32,11.35,11.15,11.15,292000,11.15
2016-03-04,11.15,11.17,10.92,11.06,1031000,11.06
2016-03-07,11.09,11.13,10.92,10.92,552700,10.92
2016-03-08,11.02,11.23,11.0,11.22,468900,11.22
2016-03-09,11.19,11.26,11.17,11.2,263100,11.2
2016-03-10,11.14,11.35,11.06,11.24,648100,11.24
2016-03-11,11.19,11.19,10.91,10.91,369200,10.91
2016-03-14,10.92,11.02,10.92,10.96,214600,10.96
2016-03-15,11.02,11.18,11.02,11.17,638700,11.17
2016-03-16,11.27,11.27,11.03,11.06,295300,11.06
2016-03-17,11.04,11.13,10.9,10.92,395200,10.92
2016-03-18,10.9,10.91,10.77,10.77,488600,10.77
2016-03-21,10.83,10.85,10.74,10.8,261000,10.8
2016-03-22,10.85,10.92,10.78,10.83,1124000,10.83
2016-03-23,10.84,11.05,10.8,11.05,466800,11.05
2016-03-24,11.13,11.2,11.07,11.08,517500,11.08
2016-03-28,11.02,11.1,10.98,11.04,191400,11.04
2016-03-29,11.07,11.11,10.77,10.77,398100,10.77
2016-03-30,10.73,10.75,10.65,10.71,573600,10.71
2016-03-31,10.74,10.74,10.6,10.65,371100,10.65
2016-04-01,10.74,10.75,10.62,10.63,523300,10.63
2016-04-04,10.62,10.72,10.61,10.72,399900,10.72
2016-04-05,10.75,10.92,10.75,10.88,1640300,10.88
2016-04-06,11.02,11.02,10.74,10.75,407500,10.75
2016-04-07,10.81,10.95,10.74,10.91,323000,10.91
2016-04-08,10.87,10.9,10.74,10.87,336100,10.87
2016-04-11,10.86,10.94,10.71,10.94,297500,10.94
2016-04-12,10.95,11.03,10.88,10.91,395200,10.91
2016-04-13,10.87,10.87,10.59,10.6,1266700,10.6
2016-04-14,10.59,10.63,10.55,10.57,300100,10.57
2016-04-15,10.62,10.63,10.56,10.56,347500,10.56
2016-04-18,10.68,10.68,10.34,10.35,432200,10.35
2016-04-19,10.22,10.37,10.21,10.28,1247000,10.28
2016-04-20,10.25,10.3,10.16,10.2,524200,10.2
2016-04-21,10.17,10.25,10.16,10.24,718400,10.24
2016-04-22,10.21,10.24,10.11,10.15,303800,10.15
2016-04-25,10.15,10.27,10.15,10.26,319600,10.26
2016-04-26,10.26,10.26,10.09,10.1,872000,10.1
2016-04-27,10.09,10.13,10.03,10.06,539900,10.06
2016-04-28,10.13,10.21,10.03,10.2,283100,10.2
2016-04-29,10.27,10.38,10.22,10.3,555400,10.3
2016-05-02,10.27,10.33,10.24,10.25,283700,10.25
2016-05-03,10.34,10.54,10.34,10.46,332000,10.46
2016-05-04,10.57,10.65,10.49,10.62,567200,10.62
2016-05-05,10.56,10.65,10.54,10.63,461300,10.63
2016-05-06,10.69,10.8,10.65,10.71,327600,10.71
2016-05-09,10.71,10.77,10.67,10.75,332200,10.75
2016-05-10,10.74,10.74,10.63,10.63,357900,10.63
2016-05-11,10.69,10.82,10.66,10.82,121500,10.82
2016-05-12,10.83,10.97,10.73,10.91,166400,10.91
2016-05-13,10.95,10.99,10.84,10.98,364400,10.98
2016-05-16,10.95,10.97,10.82,10.86,195100,10.86
2016-05-17,10.86,11.01,10.81,10.99,312400,10.99
2016-05-18,11.03,11.07,10.87,10.97,767900,10.97
2016-05-19,11.07,11.13,10.93,11.04,955700,11.04
2016-05-20,11.06,11.06,10.84,10.86,450900,10.86
2016-05-23,10.83,10.88,10.78,10.86,164300,10.86
2016-05-24,10.8,10.83,10.66,10.66,369900,10.66
2016-05-25,10.61,10.64,10.56,10.61,204400,10.61
2016-05-26,10.56,10.63,10.56,10.6,172500,10.6
2016-05-27,10.56,10.57,10.5,10.51,408300,10.51
2016-05-31,10.44,10.49,10.42,10.43,589300,10.43
2016-06-01,10.28,10.29,10.18,10.18,388400,10.18
2016-06-02,10.18,10.25,10.12,10.12,246100,10.12
2016-06-03,10.14,10.31,10.14,10.24,483900,10.24
2016-06-06,10.21,10.29,10.13,10.15,580500,10.15
2016-06-07,10.12,10.15,10.06,10.09,1224300,10.09
2016-06-08,10.1,10.13,10.08,10.09,257800,10.09
2016-06-09,10.1,10.22,10.1,10.18,223400,10.18
2016-06-10,10.28,10.42,10.28,10.4,862600,10.4
2016-06-13,10.45,10.55,10.38,10.55,450300,10.55
2016-06-14,10.58,10.7,10.5,10.63,807200,10.63
2016-06-15,10.64,10.64,10.49,10.59,276000,10.59
2016-06-16,10.69,10.8,10.61,10.63,538700,10.63
2016-06-17,10.57,10.6,10.52,10.59,161100,10.59
2016-06-20,10.39,10.4,10.29,10.39,280000,10.39
2016-06-21,10.37,10.49,10.37,10.45,167100,10.45
2016-06-22,10.45,10.5,10.38,10.5,316800,10.5
2016-06-23,10.36,10.39,10.26,10.27,369100,10.27
2016-06-24,10.76,10.83,10.65,10.83,1181200,10.83
2016-06-27,10.92,11.3,10.92,11.23,1561600,11.23
2016-06-28,11.1,11.13,10.96,10.99,1069500,10.99
2016-06-29,10.89,10.91,10.73,10.76,999300,10.76
2016-06-30,10.7,10.81,10.6,10.61,796400,10.61
2016-07-01,10.63,10.63,10.42,10.47,1123400,10.47
2016-07-05,10.5,10.84,10.5,10.78,355400,10.78
2016-07-06,10.86,10.92,10.7,10.72,486300,10.72
2016-07-07,10.69,10.74,10.58,10.67,448400,10.67
2016-07-08,10.57,10.75,10.36,10.39,992600,10.39
2016-07-11,10.33,10.34,10.22,10.26,987200,10.26
2016-07-12,10.23,10.24,10.03,10.05,1587100,10.05
2016-07-13,10.05,10.13,10.0,10.09,399200,10.09
2016-07-14,10.06,10.06,9.92,9.97,646500,9.97
2016-07-15,9.97,10.01,9.95,9.99,329000,9.99
2016-07-18,9.98,9.99,9.9,9.92,547600,9.92
