Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.76,15.86,15.76,15.86,500,14.562437
2016-01-05,15.86,15.86,15.86,15.86,0,14.562437
2016-01-06,15.65,15.65,15.642,15.642,1200,14.362273
2016-01-07,15.46,15.46,15.46,15.46,200,14.195163
2016-01-08,15.46,15.46,15.46,15.46,0,14.195163
2016-01-11,15.46,15.46,15.46,15.46,0,14.195163
2016-01-12,14.65,14.65,14.56,14.56,1300,13.368796
2016-01-13,14.56,14.56,14.56,14.56,0,13.368796
2016-01-14,14.184,14.247,14.184,14.247,900,13.081403
2016-01-15,14.12,14.12,13.96,13.96,700,12.817883
2016-01-19,13.823,13.84,13.823,13.83,900,12.797525
2016-01-20,13.39,13.39,13.09,13.09,900,12.11277
2016-01-21,13.68,13.79,13.45,13.53,4500,12.519922
2016-01-22,14.299,14.37,14.299,14.37,300,13.297212
2016-01-25,14.269,14.28,14.269,14.28,1200,13.213931
2016-01-26,14.17,14.46,14.17,14.44,1600,13.361986
2016-01-27,14.26,14.4,14.26,14.39,400,13.315719
2016-01-28,14.56,14.56,14.288,14.31,2500,13.241692
2016-01-29,14.48,14.48,14.42,14.42,5400,13.343479
2016-02-01,14.63,14.68,14.63,14.68,300,13.584069
2016-02-02,14.27,14.27,14.27,14.27,200,13.204678
2016-02-03,14.27,14.27,14.27,14.27,0,13.204678
2016-02-04,14.27,14.27,14.27,14.27,0,13.204678
2016-02-05,14.38,14.409,14.34,14.362,1800,13.28981
2016-02-08,14.11,14.11,13.8,13.8,700,12.769765
2016-02-09,13.8,13.8,13.8,13.8,0,12.769765
2016-02-10,13.8,13.8,13.8,13.8,0,12.769765
2016-02-11,13.07,13.19,13.05,13.05,12300,12.075756
2016-02-12,13.25,13.49,13.25,13.46,3100,12.455148
2016-02-16,13.66,13.661,13.66,13.661,600,12.743393
2016-02-17,14.0,14.21,14.0,14.21,300,13.255517
2016-02-18,14.21,14.21,14.21,14.21,0,13.255517
2016-02-19,14.02,14.11,14.02,14.1,3400,13.152906
2016-02-22,14.33,14.37,14.29,14.29,1900,13.330143
2016-02-23,14.29,14.29,14.29,14.29,0,13.330143
2016-02-24,14.29,14.29,14.29,14.29,0,13.330143
2016-02-25,14.29,14.29,14.29,14.29,0,13.330143
2016-02-26,14.47,14.49,14.47,14.49,2000,13.516709
2016-02-29,14.55,14.55,14.51,14.51,1200,13.535366
2016-03-01,14.715,14.715,14.715,14.715,200,13.726596
2016-03-02,14.727,14.928,14.727,14.928,300,13.925289
2016-03-03,14.928,14.928,14.928,14.928,100,13.925289
2016-03-04,15.41,15.5,15.33,15.5,2500,14.458867
2016-03-07,15.5,15.5,15.5,15.5,0,14.458867
2016-03-08,15.28,15.32,15.2,15.211,2500,14.18928
2016-03-09,15.28,15.28,15.28,15.28,100,14.253645
2016-03-10,15.017,15.097,15.017,15.09,1200,14.076407
2016-03-11,15.5,15.5,15.422,15.445,800,14.407561
2016-03-14,15.445,15.445,15.445,15.445,0,14.407561
2016-03-15,15.15,15.26,15.13,15.201,4700,14.279804
2016-03-16,15.201,15.201,15.201,15.201,0,14.279804
2016-03-17,15.77,15.854,15.77,15.854,3300,14.893231
2016-03-18,15.96,16.01,15.88,15.9,900,14.936443
2016-03-21,15.82,15.84,15.82,15.84,700,14.880079
2016-03-22,15.76,15.84,15.62,15.76,4100,14.804928
2016-03-23,15.436,15.436,15.436,15.436,100,14.500562
2016-03-24,15.41,15.41,15.36,15.36,400,14.429167
2016-03-28,15.65,15.76,15.28,15.4,2700,14.466743
2016-03-29,15.2,15.58,15.2,15.58,700,14.635835
2016-03-30,15.84,15.84,15.712,15.72,1600,14.767352
2016-03-31,15.72,15.72,15.72,15.72,0,14.767352
2016-04-01,15.65,15.72,15.624,15.72,900,14.767352
2016-04-04,15.65,15.65,15.59,15.61,3000,14.664017
2016-04-05,15.5,15.5,15.5,15.5,200,14.560684
2016-04-06,15.5,15.5,15.5,15.5,0,14.560684
2016-04-07,15.5,15.5,15.5,15.5,0,14.560684
2016-04-08,15.69,15.69,15.69,15.69,100,14.739169
2016-04-11,15.8,15.8,15.8,15.8,200,14.842504
2016-04-12,16.032,16.1,16.032,16.08,700,15.105535
2016-04-13,16.193001,16.193001,16.193001,16.193001,100,15.211688
2016-04-14,16.193001,16.193001,16.193001,16.193001,0,15.211688
2016-04-15,16.193001,16.193001,16.193001,16.193001,0,15.211688
2016-04-18,16.162001,16.162001,16.162001,16.162001,1000,15.182566
2016-04-19,16.42,16.49,16.15,16.4,3000,15.509784
