Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.120001,24.120001,24.08,24.08,200,23.435678
2016-01-05,24.200001,24.200001,24.17,24.200001,5200,23.552468
2016-01-06,24.200001,24.200001,24.200001,24.200001,0,23.552468
2016-01-07,23.379999,23.450001,23.379999,23.450001,500,22.822536
2016-01-08,23.15,23.15,23.15,23.15,400,22.530563
2016-01-11,22.969999,23.15,22.950001,23.120001,8000,22.501367
2016-01-12,23.200001,23.200001,23.09,23.09,2200,22.472169
2016-01-13,22.860001,22.860001,22.76,22.76,700,22.150999
2016-01-14,22.860001,22.860001,22.860001,22.860001,1800,22.248323
2016-01-15,22.208,22.209999,22.208,22.209999,500,21.615714
2016-01-19,22.42,22.459999,22.110001,22.110001,7600,21.518391
2016-01-20,21.51,21.51,21.51,21.51,3500,20.934446
2016-01-21,21.67,21.906,21.67,21.857,1400,21.272161
2016-01-22,22.5,22.530001,22.48,22.530001,2600,21.927153
2016-01-25,22.49,22.5,22.49,22.5,1100,21.897955
2016-01-26,22.6,22.6,22.59,22.6,800,21.99528
2016-01-27,22.809999,22.860001,22.809999,22.860001,1500,22.248323
2016-01-28,22.66,22.66,22.66,22.66,500,22.053674
2016-01-29,23.01,23.254,23.01,23.254,2200,22.63178
2016-02-01,23.254,23.254,23.254,23.254,0,22.63178
2016-02-02,22.870001,22.879999,22.809999,22.809999,1300,22.19966
2016-02-03,22.73,22.73,22.719999,22.719999,3000,22.112068
2016-02-04,22.719999,22.719999,22.719999,22.719999,0,22.112068
2016-02-05,22.42,22.42,22.42,22.42,1100,21.820096
2016-02-08,22.42,22.42,22.42,22.42,0,21.820096
2016-02-09,21.040001,21.110001,21.040001,21.087999,5900,20.523736
2016-02-10,21.309999,21.32,21.190001,21.190001,2200,20.623008
2016-02-11,20.790001,20.83,20.74,20.749001,3300,20.193808
2016-02-12,20.757,20.757,20.757,20.757,500,20.201594
2016-02-16,21.57,21.6,21.479,21.479,2800,20.904275
2016-02-17,22.01,22.129999,22.01,22.08,4400,21.489193
2016-02-18,22.08,22.08,22.08,22.08,0,21.489193
2016-02-19,22.08,22.08,22.08,22.08,0,21.489193
2016-02-22,22.379999,22.379999,22.379999,22.379999,400,21.781165
2016-02-23,22.379999,22.379999,22.379999,22.379999,0,21.781165
2016-02-24,21.860001,22.257,21.860001,22.257,900,21.661457
2016-02-25,22.41,22.41,22.41,22.41,200,21.810363
2016-02-26,22.639999,22.639999,22.639999,22.639999,1100,22.034209
2016-02-29,22.639999,22.639999,22.639999,22.639999,100,22.034209
2016-03-01,22.75,22.75,22.73,22.73,600,22.121801
2016-03-02,22.915001,22.92,22.915001,22.92,2300,22.306717
2016-03-03,22.92,22.92,22.92,22.92,500,22.306717
2016-03-04,23.315001,23.318001,23.299,23.299,13400,22.675576
2016-03-07,23.15,23.152,23.15,23.152,1000,22.53251
2016-03-08,23.152,23.152,23.152,23.152,0,22.53251
2016-03-09,22.950001,22.950001,22.950001,22.950001,2500,22.335915
2016-03-10,22.870001,22.870001,22.83,22.83,1500,22.219125
2016-03-11,22.83,22.83,22.83,22.83,0,22.219125
2016-03-14,23.450001,23.540001,23.450001,23.52,2200,22.890663
2016-03-15,23.52,23.52,23.52,23.52,0,22.890663
2016-03-16,23.4,23.42,23.4,23.42,2000,22.793339
2016-03-17,23.42,23.42,23.42,23.42,0,22.793339
2016-03-18,23.42,23.42,23.42,23.42,0,22.793339
2016-03-21,23.42,23.42,23.42,23.42,0,22.793339
2016-03-22,23.42,23.42,23.42,23.42,0,22.793339
2016-03-23,23.42,23.42,23.42,23.42,0,22.793339
2016-03-24,23.42,23.42,23.42,23.42,0,22.793339
2016-03-28,23.5,23.5,23.5,23.5,200,22.871198
2016-03-29,23.5,23.5,23.5,23.5,0,22.871198
2016-03-30,23.5,23.5,23.5,23.5,0,22.871198
2016-03-31,23.5,23.5,23.5,23.5,0,22.871198
2016-04-01,23.5,23.5,23.5,23.5,0,22.871198
2016-04-04,23.5,23.5,23.5,23.5,0,22.871198
2016-04-05,22.909,22.909,22.884001,22.884001,700,22.271681
2016-04-06,22.884001,22.884001,22.884001,22.884001,0,22.271681
2016-04-07,22.93,22.93,22.886,22.886,2800,22.273627
2016-04-08,22.886,22.886,22.886,22.886,0,22.273627
2016-04-11,23.32,23.346001,23.26,23.27,1600,22.647353
2016-04-12,23.27,23.27,23.27,23.27,0,22.647353
2016-04-13,23.27,23.27,23.27,23.27,0,22.647353
2016-04-14,23.799999,23.813,23.799999,23.813,400,23.175822
2016-04-15,23.813,23.813,23.813,23.813,0,23.175822
2016-04-18,23.780001,23.785999,23.780001,23.785999,500,23.149545
2016-04-19,24.040001,24.040001,24.040001,24.040001,100,23.39675
2016-04-20,24.040001,24.040001,24.040001,24.040001,0,23.39675
2016-04-21,24.040001,24.040001,24.040001,24.040001,0,23.39675
2016-04-22,24.040001,24.040001,24.040001,24.040001,0,23.39675
2016-04-25,23.85,23.85,23.85,23.85,1200,23.211833
2016-04-26,23.85,23.85,23.85,23.85,0,23.211833
2016-04-27,24.0,24.0,24.0,24.0,100,23.357819
2016-04-28,23.610001,23.639999,23.391001,23.406,12400,22.779713
2016-04-29,23.309999,23.320999,23.309999,23.320999,1000,22.696987
2016-05-02,23.504999,23.504999,23.504999,23.504999,200,22.876063
2016-05-03,23.504999,23.504999,23.504999,23.504999,0,22.876063
2016-05-04,23.226,23.226,23.219999,23.219999,400,22.598689
2016-05-05,23.280001,23.280001,23.280001,23.280001,200,22.657085
2016-05-06,23.280001,23.280001,23.280001,23.280001,0,22.657085
2016-05-09,23.605,23.605,23.605,23.605,2600,22.973388
2016-05-10,23.784,23.784,23.780001,23.780001,400,23.143706
2016-05-11,23.697001,23.697001,23.697001,23.697001,600,23.062927
2016-05-12,23.701,23.705,23.701,23.705,300,23.070712
2016-05-13,23.610001,23.652,23.610001,23.652,300,23.019131
2016-05-16,23.652,23.652,23.652,23.652,100,23.019131
2016-05-17,23.652,23.652,23.652,23.652,0,23.019131
2016-05-18,23.837,23.837,23.709999,23.719999,8100,23.085311
2016-05-19,23.6,23.695999,23.6,23.690001,4100,23.056114
2016-05-20,23.85,23.85,23.85,23.85,1400,23.211833
2016-05-23,23.85,23.85,23.85,23.85,0,23.211833
2016-05-24,24.177,24.177,24.17,24.17,200,23.52327
2016-05-25,24.17,24.17,24.17,24.17,0,23.52327
2016-05-26,24.17,24.17,24.17,24.17,0,23.52327
2016-05-27,24.32,24.32,24.32,24.32,300,23.669256
2016-05-31,24.450001,24.559999,24.379999,24.379999,3200,23.72765
2016-06-01,24.379999,24.379999,24.379999,24.379999,0,23.72765
2016-06-02,24.379999,24.379999,24.379999,24.379999,0,23.72765
2016-06-03,24.379999,24.379999,24.379999,24.379999,0,23.72765
2016-06-06,24.273001,24.299999,24.273001,24.299999,400,23.649791
2016-06-07,24.391001,24.395,24.391001,24.392,1000,23.73933
2016-06-08,24.392,24.392,24.392,24.392,0,23.73933
2016-06-09,24.266001,24.266001,24.23,24.23,600,23.581664
2016-06-10,24.23,24.23,24.23,24.23,0,23.581664
2016-06-13,24.23,24.23,24.23,24.23,0,23.581664
2016-06-14,22.944,22.944,22.944,22.944,200,22.330075
2016-06-15,22.944,22.944,22.944,22.944,0,22.330075
2016-06-16,22.643,22.688999,22.643,22.67,1400,22.063407
2016-06-17,22.67,22.67,22.67,22.67,0,22.063407
2016-06-20,23.469999,23.469999,23.469999,23.469999,500,22.842
2016-06-21,23.656,23.656,23.656,23.656,100,23.023024
2016-06-22,23.656,23.656,23.656,23.656,0,23.023024
2016-06-23,23.656,23.656,23.656,23.656,0,23.023024
2016-06-24,22.469999,22.700001,22.415001,22.42,2800,21.820096
2016-06-27,21.937,21.937,21.937,21.937,500,21.35002
2016-06-28,21.937,21.937,21.937,21.937,0,21.35002
2016-06-29,21.937,21.937,21.937,21.937,0,21.35002
2016-06-30,22.84,22.860001,22.84,22.860001,200,22.248323
2016-07-01,22.860001,22.860001,22.860001,22.860001,0,22.248323
2016-07-05,22.643999,22.643999,22.643999,22.643999,200,22.038101
2016-07-06,22.643999,22.643999,22.643999,22.643999,0,22.319012
2016-07-07,22.643999,22.643999,22.643999,22.643999,0,22.319012
2016-07-08,22.643999,22.643999,22.643999,22.643999,0,22.319012
2016-07-11,22.643999,22.643999,22.643999,22.643999,100,22.319012
2016-07-12,23.455,23.455,23.455,23.455,200,23.118373
2016-07-13,23.455,23.455,23.455,23.455,100,23.118373
2016-07-14,23.455,23.455,23.455,23.455,0,23.118373
2016-07-15,23.365999,23.389999,23.360001,23.382999,1400,23.047406
2016-07-18,23.382999,23.382999,23.382999,23.382999,0,23.047406
2016-07-19,23.525999,23.540001,23.525999,23.530001,1800,23.192298
2016-07-20,23.787001,23.787001,23.787001,23.787001,200,23.445609
2016-07-21,23.787001,23.787001,23.787001,23.787001,0,23.445609
2016-07-22,23.65,23.662001,23.65,23.662001,1600,23.322403
2016-07-25,23.67,23.674999,23.67,23.674999,300,23.335215
2016-07-26,23.683001,23.683001,23.683001,23.683001,100,23.343102
2016-07-27,23.683001,23.683001,23.683001,23.683001,0,23.343102
2016-07-28,23.683001,23.683001,23.683001,23.683001,0,23.343102
2016-07-29,23.683001,23.683001,23.683001,23.683001,0,23.343102
2016-08-01,23.761,23.761,23.709999,23.73,1600,23.389426
2016-08-02,23.73,23.73,23.73,23.73,0,23.389426
2016-08-03,23.73,23.73,23.73,23.73,0,23.389426
2016-08-04,23.582001,23.582001,23.582001,23.582001,200,23.243551
2016-08-05,23.582001,23.582001,23.582001,23.582001,0,23.243551
2016-08-08,23.582001,23.582001,23.582001,23.582001,0,23.243551
2016-08-09,23.582001,23.582001,23.582001,23.582001,0,23.243551
2016-08-10,23.582001,23.582001,23.582001,23.582001,0,23.243551
2016-08-11,23.582001,23.582001,23.582001,23.582001,0,23.243551
2016-08-12,24.17,24.17,24.17,24.17,100,23.823112
2016-08-15,24.17,24.17,24.17,24.17,0,23.823112
2016-08-16,24.17,24.17,24.17,24.17,0,23.823112
2016-08-17,23.82,23.82,23.780001,23.780001,2100,23.43871
2016-08-18,23.780001,23.780001,23.780001,23.780001,0,23.43871
2016-08-19,23.780001,23.780001,23.780001,23.780001,0,23.43871
2016-08-22,23.976,23.98,23.93,23.940001,1500,23.596413
2016-08-23,24.049999,24.049999,24.049999,24.049999,1000,23.704833
2016-08-24,24.118,24.118,24.118,24.118,100,23.771858
2016-08-25,23.993999,23.993999,23.993999,23.993999,1200,23.649637
2016-08-26,24.110001,24.110001,24.110001,24.110001,1200,23.763973
2016-08-29,24.110001,24.110001,24.110001,24.110001,0,23.763973
2016-08-30,24.110001,24.110001,24.110001,24.110001,0,23.763973
2016-08-31,24.077999,24.077999,24.077999,24.077999,100,23.732431
2016-09-01,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-02,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-06,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-07,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-08,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-09,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-12,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-13,24.077999,24.077999,24.077999,24.077999,0,23.732431
2016-09-14,24.006001,24.006001,24.006001,24.006001,300,23.661466
2016-09-15,24.040001,24.040001,24.040001,24.040001,1300,23.694978
2016-09-16,24.040001,24.040001,24.040001,24.040001,0,23.694978
2016-09-19,24.040001,24.040001,24.040001,24.040001,0,23.694978
2016-09-20,24.040001,24.040001,24.040001,24.040001,0,23.694978
2016-09-21,24.040001,24.040001,24.040001,24.040001,0,23.694978
2016-09-22,24.690001,24.690001,24.65,24.65,500,24.296222
2016-09-23,24.65,24.65,24.65,24.65,0,24.296222
2016-09-26,24.42,24.42,24.42,24.42,3000,24.069524
2016-09-27,24.42,24.42,24.42,24.42,0,24.069524
2016-09-28,24.576,24.576,24.576,24.576,100,24.223285
2016-09-29,24.756001,24.756001,24.542999,24.542999,500,24.190758
2016-09-30,24.542999,24.542999,24.542999,24.542999,0,24.190758
2016-10-03,24.700001,24.700001,24.700001,24.700001,400,24.345506
2016-10-04,24.700001,24.700001,24.700001,24.700001,0,24.345506
2016-10-05,24.700001,24.700001,24.700001,24.700001,0,24.345506
2016-10-06,24.700001,24.700001,24.700001,24.700001,0,24.345506
2016-10-07,24.76,24.76,24.76,24.76,100,24.404644
2016-10-10,24.76,24.76,24.76,24.76,0,24.404644
2016-10-11,24.76,24.76,24.76,24.76,0,24.404644
2016-10-12,24.76,24.76,24.76,24.76,0,24.404644
2016-10-13,24.76,24.76,24.76,24.76,0,24.404644
2016-10-14,24.76,24.76,24.76,24.76,0,24.404644
2016-10-17,24.653,24.655001,24.653,24.655001,600,24.301152
2016-10-18,24.870001,24.870001,24.870001,24.870001,500,24.513066
2016-10-19,24.870001,24.870001,24.870001,24.870001,0,24.513066
2016-10-20,24.870001,24.870001,24.870001,24.870001,0,24.513066
2016-10-21,24.870001,24.870001,24.870001,24.870001,0,24.513066
2016-10-24,25.035,25.035,25.035,25.035,300,24.675697
2016-10-25,24.903,24.903,24.903,24.903,200,24.545591
2016-10-26,24.903,24.903,24.903,24.903,0,24.545591
2016-10-27,24.903,24.903,24.903,24.903,0,24.545591
2016-10-28,24.834999,24.834999,24.83,24.83,1000,24.473639
2016-10-31,24.83,24.83,24.83,24.83,0,24.473639
2016-11-01,24.83,24.83,24.83,24.83,0,24.473639
2016-11-02,24.34,24.34,24.34,24.34,400,23.990672
2016-11-03,24.34,24.34,24.34,24.34,0,23.990672
2016-11-04,24.34,24.34,24.34,24.34,0,23.990672
2016-11-07,24.455,24.455,24.455,24.455,200,24.104021
2016-11-08,24.575001,24.584,24.555,24.555,400,24.202586
2016-11-09,24.42,24.42,24.42,24.42,300,24.069524
2016-11-10,24.42,24.42,24.42,24.42,0,24.069524
2016-11-11,24.23,24.290001,24.23,24.290001,1300,23.94139
2016-11-14,24.290001,24.290001,24.290001,24.290001,0,23.94139
2016-11-15,24.524,24.57,24.523001,24.533001,1300,24.180903
2016-11-16,24.52,24.52,24.52,24.52,800,24.168089
2016-11-17,24.52,24.52,24.52,24.52,0,24.168089
2016-11-18,24.784,24.799999,24.76,24.76,700,24.404644
2016-11-21,24.77,24.77,24.77,24.77,700,24.414501
2016-11-22,24.895,24.940001,24.895,24.93,1200,24.572204
2016-11-23,25.0,25.0,24.995001,24.995001,400,24.636272
2016-11-25,24.995001,24.995001,24.995001,24.995001,0,24.636272
2016-11-28,25.02,25.02,24.886,24.886,500,24.528835
2016-11-29,24.886,24.886,24.886,24.886,0,24.528835
2016-11-30,25.09,25.09,25.09,25.09,700,24.729908
2016-12-01,24.870001,24.870001,24.870001,24.870001,700,24.513066
2016-12-02,24.780001,24.802999,24.715,24.715,2500,24.36029
2016-12-05,24.715,24.715,24.715,24.715,0,24.36029
2016-12-06,24.715,24.715,24.715,24.715,0,24.36029
2016-12-07,24.715,24.715,24.715,24.715,0,24.36029
2016-12-08,25.358,25.358,25.358,25.358,300,24.994061
2016-12-09,25.33,25.58,25.33,25.58,2200,25.212875
2016-12-12,25.58,25.58,25.58,25.58,0,25.212875
2016-12-13,25.58,25.58,25.58,25.58,0,25.212875
2016-12-14,25.483999,25.483999,25.427999,25.469999,3500,25.104453
2016-12-15,25.469999,25.469999,25.469999,25.469999,0,25.104453
2016-12-16,25.66,25.66,25.59,25.59,700,25.222732
2016-12-19,25.620001,25.620001,25.620001,25.620001,6200,25.252302
2016-12-20,25.620001,25.620001,25.620001,25.620001,0,25.252302
2016-12-21,25.620001,25.620001,25.620001,25.620001,0,25.252302
2016-12-22,25.707001,25.707001,25.695,25.695,600,25.326224
2016-12-23,25.74,25.75,25.74,25.75,4500,25.380435
2016-12-27,25.85,25.85,25.85,25.85,800,25.479001
2016-12-28,25.85,25.85,25.85,25.85,0,25.85
2016-12-29,25.85,25.85,25.85,25.85,0,25.85
2016-12-30,25.532,25.532,25.532,25.532,400,25.532
2017-01-03,25.846001,25.846001,25.841999,25.841999,700,25.841999
2017-01-04,25.91,25.91,25.91,25.91,400,25.91
2017-01-05,25.99,26.003,25.99,25.995001,1500,25.995001
2017-01-06,26.093,26.129999,26.093,26.129999,1000,26.129999
2017-01-09,26.129999,26.129999,26.129999,26.129999,0,26.129999
2017-01-10,25.99,26.040001,25.983,26.0,1100,26.0
2017-01-11,25.931,25.969999,25.931,25.969999,700,25.969999
2017-01-12,25.969999,25.969999,25.85,25.941,1900,25.941
2017-01-13,25.941,25.941,25.941,25.941,0,25.941
2017-01-17,25.679001,25.709999,25.65,25.65,3600,25.65
2017-01-18,25.74,25.74,25.74,25.74,1100,25.74
2017-01-19,25.74,25.74,25.74,25.74,0,25.74
2017-01-20,25.780001,25.879999,25.780001,25.879999,1500,25.879999
2017-01-23,25.653999,25.76,25.653999,25.76,4000,25.76
2017-01-24,25.77,25.92,25.759001,25.917,1500,25.917
2017-01-25,26.040001,26.040001,25.964001,26.0,7700,26.0
2017-01-26,26.073,26.08,26.073,26.08,3200,26.08
