Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,20.950001,20.99,20.82,20.93,4800,19.106204
2016-01-05,21.02,21.02,20.85,21.0,13800,19.170105
2016-01-06,20.9,20.93,20.75,20.75,24700,18.941889
2016-01-07,21.0,21.040001,20.639999,20.639999,11700,18.841474
2016-01-08,20.639999,20.66,20.48,20.559999,10600,18.768445
2016-01-11,20.5,20.559999,20.27,20.360001,21800,18.585873
2016-01-12,20.4,20.66,20.24,20.370001,14400,18.595002
2016-01-13,20.41,20.41,20.0,20.049999,7200,18.302885
2016-01-14,20.25,20.25,19.780001,20.09,39000,18.3394
2016-01-15,19.42,19.879999,19.280001,19.809999,14000,18.083798
2016-01-19,19.83,19.84,19.49,19.540001,27300,17.837327
2016-01-20,19.540001,19.690001,19.07,19.59,58200,17.882969
2016-01-21,19.77,19.99,19.719999,19.860001,11000,18.129442
2016-01-22,19.99,20.190001,19.99,20.15,14200,18.394171
2016-01-25,19.879999,21.129999,19.879999,19.92,23000,18.184214
2016-01-26,19.950001,20.190001,19.950001,20.190001,10100,18.430687
2016-01-27,19.950001,20.18,19.9,19.969999,5200,18.229856
2016-01-28,19.9,19.9,19.719999,19.84,8000,18.111185
2016-01-29,19.940001,20.01,19.77,19.879999,5200,18.147698
2016-02-01,19.700001,20.0,19.700001,19.969999,5800,18.229856
2016-02-02,19.790001,19.889999,19.6,19.799999,11400,18.074669
2016-02-03,19.66,19.799999,19.360001,19.65,3700,17.93774
2016-02-04,19.83,19.889999,19.65,19.780001,8200,18.056413
2016-02-05,19.57,19.57,19.299999,19.299999,5500,17.618238
2016-02-08,19.0,19.0,18.51,18.700001,16100,17.070522
2016-02-09,18.440001,18.809999,18.200001,18.799999,12600,17.161807
2016-02-10,18.84,18.940001,18.84,18.889999,3800,17.243965
2016-02-11,18.459999,18.620001,18.450001,18.58,17300,16.960978
2016-02-12,17.809999,18.950001,17.809999,18.950001,22400,17.298738
2016-02-16,19.0,19.290001,19.0,19.290001,10100,17.609111
2016-02-17,19.389999,19.790001,19.389999,19.719999,7700,18.00164
2016-02-18,18.799999,19.73,18.799999,19.73,3100,18.010769
2016-02-19,19.57,19.76,19.540001,19.59,9200,17.882969
2016-02-22,19.540001,19.540001,19.200001,19.290001,8700,17.879263
2016-02-23,19.059999,19.34,19.059999,19.280001,5800,17.869994
2016-02-24,19.17,19.43,19.17,19.379999,11400,17.96268
2016-02-25,19.459999,19.5,19.370001,19.5,4800,18.073904
2016-02-26,19.68,19.68,19.49,19.52,5300,18.092442
2016-02-29,19.67,19.780001,19.51,19.51,4300,18.083173
2016-03-01,19.700001,19.700001,19.57,19.65,4500,18.212934
2016-03-02,19.65,19.75,19.629999,19.75,6100,18.305621
2016-03-03,19.690001,19.799999,19.68,19.719999,2200,18.277814
2016-03-04,19.709999,19.780001,19.709999,19.75,14300,18.305621
2016-03-07,19.799999,19.889999,19.77,19.780001,8400,18.333428
2016-03-08,19.790001,19.790001,19.68,19.68,3600,18.240741
2016-03-09,19.76,19.790001,19.709999,19.77,3700,18.324159
2016-03-10,19.790001,19.790001,19.74,19.75,6400,18.305621
2016-03-11,19.790001,19.889999,19.790001,19.889999,90900,18.435382
2016-03-14,19.67,19.92,19.67,19.84,16700,18.389039
2016-03-15,19.84,19.860001,19.799999,19.85,2700,18.398308
2016-03-16,19.799999,19.84,19.74,19.799999,40800,18.351964
2016-03-17,19.889999,19.889999,19.719999,19.75,13600,18.305621
2016-03-18,19.860001,19.860001,19.790001,19.82,16700,18.370501
2016-03-21,19.700001,19.9,19.690001,19.879999,10900,18.426113
2016-03-22,19.76,19.9,19.620001,19.870001,13000,18.416846
2016-03-23,19.93,19.93,19.809999,19.809999,5900,18.361233
2016-03-24,19.65,19.9,19.65,19.870001,8100,18.416846
2016-03-28,19.76,19.870001,19.68,19.780001,29400,18.333428
2016-03-29,19.77,19.889999,19.77,19.870001,16700,18.416846
