Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,103.400002,104.720001,102.870003,103.230003,10400,25.395214
2016-01-05,103.629997,103.629997,103.379997,103.470001,11600,25.454255
2016-01-06,103.940002,104.029999,103.5,103.610001,10800,25.488695
2016-01-07,104.150002,104.150002,103.529999,103.720001,15200,25.515756
2016-01-08,104.389999,104.389999,103.800003,103.809998,9600,25.537896
2016-01-11,103.849998,104.300003,103.730003,103.959999,14000,25.574797
2016-01-12,104.239998,104.239998,103.610001,103.720001,15200,25.515756
2016-01-13,104.32,104.32,103.739998,103.739998,30000,25.520676
2016-01-14,103.839996,104.540001,103.610001,103.860001,8800,25.550197
2016-01-15,103.910004,105.190002,103.629997,103.699997,4400,25.510835
2016-01-19,103.610001,103.669998,103.540001,103.540001,10800,25.471475
2016-01-20,103.699997,103.75,103.43,103.75,10800,25.523136
2016-01-21,103.32,104.279999,103.32,103.68,8800,25.505916
2016-01-22,104.029999,104.029999,103.32,103.879997,2800,25.555116
2016-01-25,103.410004,104.07,102.809998,103.379997,25200,25.432113
2016-01-26,103.800003,104.050003,103.550003,103.550003,8400,25.473936
2016-01-27,103.550003,103.839996,102.830002,103.5,27600,25.461635
2016-01-28,103.610001,103.949997,102.900002,103.419998,121200,25.441954
2016-01-29,104.25,104.25,103.419998,103.800003,6800,25.535437
2016-02-01,103.800003,103.809998,103.239998,103.309998,6000,25.463956
2016-02-02,103.279999,103.370003,103.260002,103.370003,19200,25.478746
2016-02-03,103.529999,104.099998,103.529999,104.080002,13600,25.653748
2016-02-04,103.610001,104.0,103.449997,103.650002,7600,25.547761
2016-02-05,103.650002,103.879997,103.32,103.879997,42000,25.60445
2016-02-08,103.529999,103.940002,103.449997,103.629997,3600,25.54283
2016-02-09,103.25,104.120003,103.25,103.550003,2800,25.523113
2016-02-10,104.169998,104.169998,103.209999,103.529999,40000,25.518182
2016-02-11,103.389999,104.0,103.389999,103.5,26400,25.510788
2016-02-12,103.68,103.720001,103.150002,103.309998,4800,25.463956
2016-02-16,103.330002,103.699997,103.0,103.300003,26400,25.461493
2016-02-17,103.779999,103.779999,102.989998,103.57,39600,25.528042
2016-02-18,103.550003,103.839996,103.440002,103.839996,18400,25.594591
2016-02-19,103.230003,103.800003,103.230003,103.610001,39200,25.537901
2016-02-22,103.379997,103.93,103.129997,103.93,6800,25.616775
2016-02-23,103.099998,104.0,103.089996,103.709999,25200,25.562549
2016-02-24,104.0,105.489998,103.639999,104.0,23200,25.634029
2016-02-25,104.110001,104.230003,103.510002,104.230003,28800,25.69072
2016-02-26,104.099998,105.360001,103.949997,104.489998,28400,25.754804
2016-02-29,104.410004,104.779999,103.910004,104.650002,14400,25.794242
2016-03-01,104.150002,104.290001,103.889999,104.209999,14800,25.68579
2016-03-02,104.290001,104.300003,103.419998,104.129997,11200,25.666071
2016-03-03,104.220001,104.43,103.809998,104.190002,22000,25.680861
2016-03-04,104.360001,105.269997,103.980003,104.300003,21600,25.707974
2016-03-07,104.220001,104.32,104.150002,104.32,22000,25.712903
2016-03-08,104.470001,104.550003,104.449997,104.470001,8000,25.749875
2016-03-09,104.470001,104.519997,104.400002,104.519997,4800,25.762198
2016-03-10,104.559998,104.559998,104.18,104.550003,8800,25.769594
2016-03-11,104.559998,104.620003,103.940002,104.559998,14800,25.772058
2016-03-14,104.510002,104.589996,104.290001,104.57,34000,25.774523
